qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Trumpet 1,F Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,18.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),P8(F Trumpet 2),P8(F Trumpet 1),,Main Part,,,,
18.0,30.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,Main Part,,,,
30.0,48.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),P8(F Trumpet 2),P8(F Trumpet 1),,Main Part,,,,
48.0,60.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
60.0,72.0,P3(Flute 2),P3(Flute 1),,,,,,,U(F Horn 2),U(F Horn 1),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),Main Part,,,,
72.0,85.0,,,,,,,,,,,P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
85.0,88.0,P8(Oboe 1),,P8(Flute 1),,P3(Bb Clarinet 2)&P2(F Horn 1)&P2(F Horn 2),P3(Bb Clarinet 1)&P4(F Horn 1)&P4(F Horn 2),,,P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 2),P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 1),,,,Main Part,,P3(Violoncello)&P3(Contrabass),P3(Viola)&P8(Contrabass),P3(Viola)&P8(Violoncello)
88.0,90.0,P8(Oboe 1),,P8(Flute 1),,P3(Bb Clarinet 2)&P2(F Horn 1)&P2(F Horn 2),P3(Bb Clarinet 1)&P4(F Horn 1)&P4(F Horn 2),,,P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 2),P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 1),,,,Main Part,P4(Viola)&P2(Violoncello)&P2(Contrabass),P4(Violin 2)&P3(Violoncello)&P3(Contrabass),P2(Violin 2)&P3(Viola)&P8(Contrabass),P2(Violin 2)&P3(Viola)&P8(Violoncello)
90.0,92.0,P8(Oboe 1),,P8(Flute 1),,P3(Bb Clarinet 2)&P2(F Horn 1)&P2(F Horn 2),P3(Bb Clarinet 1)&P4(F Horn 1)&P4(F Horn 2),,,P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 2),P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 1),,,,Main Part,P4(Viola)&P2(Violoncello)&P2(Contrabass),P4(Violin 2)&P3(Violoncello)&P3(Contrabass),P2(Violin 2)&P3(Viola)&P8(Contrabass),P2(Violin 2)&P3(Viola)&P8(Violoncello)
92.0,94.0,P8(Oboe 1),,P8(Flute 1),,P3(Bb Clarinet 2)&P2(F Horn 1)&P2(F Horn 2),P3(Bb Clarinet 1)&P4(F Horn 1)&P4(F Horn 2),,,P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 2),P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(F Horn 1),,,,Main Part,P4(Viola)&P2(Violoncello)&P2(Contrabass),P4(Violin 2)&P3(Violoncello)&P3(Contrabass),P2(Violin 2)&P3(Viola)&P8(Contrabass),P2(Violin 2)&P3(Viola)&P8(Violoncello)
