qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,English Horn,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,Bass Sarrusophone,F Horn 1,F Horn 2,F Horn 3,F Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Cymbal,Tambourine,Triangle,Celesta,Harp,Violin,Violin 1,Violin 1 div(2),Violin 1 div(3),Violin 2,Violins,Viola,Violoncello,Contrabass,Piano
0.0,6.0,,U(Flute 2)&U(Violin),U(Flute 1)&U(Violin),Main Part,,,P8(Main),,,,,,,,,,,,,,,,,,,,,U(Flute 1)&U(Flute 2),P2(Violin 2)&P4(Viola)&U(Piano),,,P2(Violin 1)&P3(Viola)&P2(Piano),,P4(Violin 1)&P3(Violin 2)&P4(Piano),,,U(Violin 1)&P2(Violin 2)&P4(Viola)
6.0,33.0,,Main Part,,,,,,,,,,,,,,,,,,,,,,,,,,,U(Piano),,,,,,,,U(Violin 1)
33.0,45.0,,U(Main),,,,,Main Part,,,,,,P4(F Horn 2)&P2(F Horn 3)&P3(Cymbal),P4(F Horn 1)&P3(F Horn 3)&P6(Cymbal),P2(F Horn 1)&P3(F Horn 2)&P4(Cymbal),,,,,,,,P3(F Horn 1)&P6(F Horn 2)&P4(F Horn 3),,,,,,,,,,,,P8(Piano),,P8(Violoncello)
45.0,51.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,
51.75,54.75,,P8(Oboe 1),,P8(Flute 1),,,Main Part,,,,,,,,,,,,,,,,,,,,,,,,,U(Piano),,,,,U(Violin 2)
54.75,63.0,P2(Flute 2)&U(Harp),,P2(Piccolo)&P2(Harp),Main Part,,,P2(A Clarinet 2),P2(A Clarinet 1),,,,,P5(F Horn 3),P6(F Horn 4),P5(F Horn 1),P6(F Horn 2),,,,,,,,,,,U(Piccolo)&P2(Flute 2),,,,,,,,,,
63.0,74.5,,U(Piano),,,,,,,,Main Part,,,,,,,,,,,,,,,,,,,,,,,,,,,U(Flute 1)
74.5,81.75,,U(Piano),,P4(Harp),P2(Bassoon 2),,,,,Main Part,P2(Oboe 2),,,,,,,,,,,,,,,,P4(Oboe 1),,,,,,,,,,U(Flute 1)
81.75,93.0,,,,,,,,,Main Part,,,,,,,,,,,,,,P3(Contrabass),,,,,,,,,,,,,P3(Cymbal),
93.0,99.0,,,,,,,,,,Main Part,,,,,,,,,,,,,,,,,,P8(Main),,,,P8(Viola)&U(Piano),,P8(Violin 2)&P8(Piano),,,U(Violin 2)&P8(Viola)
99.0,105.0,,P3(Flute 2)&P4(F Horn 3)&U(Triangle)&P5(Violin 1),P3(Flute 1)&P2(F Horn 3)&P3(Triangle)&P3(Violin 1),,,,U(Main),,,Main Part,,,,,P4(Flute 1)&P2(Flute 2)&P4(Triangle)&P2(Violin 1),,,,,,,,,,U(Flute 1)&P3(Flute 2)&P4(F Horn 3)&P5(Violin 1),,,,P5(Flute 1)&P3(Flute 2)&P2(F Horn 3)&P5(Triangle),,,U(Piano),,,,,U(Violin 2)
105.0,117.0,,U(Piano),,P3(F Horn 4),,,,,,,,,,,,P3(Oboe 1),,,,,,,,,,,,,Main Part,,,,,,,,U(Flute 1)
117.0,129.0,,,,Main Part,,,,,,P4(Bassoon 2),P4(Bassoon 1),,,,P8(Viola),,,,,,,,,,,,,,,,,U(Piano),,P8(F Horn 3),,,U(Violin 2)
129.0,135.0,P8(Oboe 2)&P8(A Clarinet 2)&P4(C Trumpet 1)&P8(C Trumpet 2)&P4(Tambourine),P8(Flute 2),P8(Flute 1),Main Part,P8(Piccolo)&U(A Clarinet 2)&P4(C Trumpet 1)&U(C Trumpet 2)&P4(Tambourine),,,P8(Piccolo)&U(Oboe 2)&P4(C Trumpet 1)&U(C Trumpet 2)&P4(Tambourine),,,P8(F Horn 4)&P4(Violin 2)&P4(Violoncello),,,,,P8(Bassoon 2)&P4(Violin 2)&P4(Violoncello),P4(Piccolo)&P4(Oboe 2)&P4(A Clarinet 2)&P4(C Trumpet 2)&P8(Tambourine),P8(Piccolo)&U(Oboe 2)&U(A Clarinet 2)&P4(C Trumpet 1)&P4(Tambourine),,,,,,P4(Piccolo)&P4(Oboe 2)&P4(A Clarinet 2)&P8(C Trumpet 1)&P4(C Trumpet 2),,,,,,,,P4(Bassoon 2)&P4(F Horn 4),,,P4(Bassoon 2)&P4(F Horn 4),,
135.0,141.0,,P8(A Clarinet 1),U(A Clarinet 2),,,U(Violoncello),P8(Flute 1),U(Flute 2),,P8(Bassoon 2),P8(Bassoon 1),,Main Part,U(F Horn 4)&U(Contrabass),U(Main),U(F Horn 2)&U(Contrabass),,,,,,,,,,,,U(Violin 1),U(Violin),,,P8(Viola),,P8(Violin 2),U(English Horn),U(F Horn 2)&U(F Horn 4),
141.0,147.0,,P8(A Clarinet 1),P8(A Clarinet 2),,,U(Main)&U(Bassoon 2)&U(Violoncello),P8(Flute 1),P8(Flute 2),,Main Part,U(English Horn)&U(Main)&U(Violoncello),,,,,,,,,,,,,,,,,,,,,,,,U(English Horn)&U(Main)&U(Bassoon 2),,
147.0,153.0,,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2),P8(Main)&P8(Flute 2)&P8(Oboe 2),P8(Main)&P8(Flute 2)&P8(Oboe 1),,P8(A Clarinet 2),P8(A Clarinet 1),,,,,,,,P8(Violin)&P8(Violin 1),,,,,,,,,,,,P8(F Horn 4)&P8(Violin 1),P8(F Horn 4)&P8(Violin),,,P8(Viola),,P8(Violin 2),,,
153.0,159.0,,,,,,,Main Part,U(Main),P2(Cymbal)&P8(Harp)&P8(Contrabass),,,,,,,,P8(Violin 1),,,,,,P2(A Bass Clarinet)&P2(Harp)&P2(Contrabass),,,,P8(A Bass Clarinet)&P2(Cymbal)&P8(Contrabass),,P8(C Trumpet 1),,,,,,,P8(A Bass Clarinet)&P2(Cymbal)&P8(Harp),
159.0,165.0,,,,,,,Main Part,U(Main)&P8(A Bass Clarinet),P8(Main)&P8(A Clarinet 2),,,,P8(Viola),,,,,,,,,,,,,,,U(Violin 2)&P8(Contrabass),,,,U(Violin)&P8(Contrabass),,P8(F Horn 1),,P8(Violin)&P8(Violin 2),
165.0,172.0,,,,U(Piano),,U(A Clarinet 1)&P8(Bassoon 2),U(English Horn)&P8(Bassoon 2),Main Part,,P8(Main),P8(English Horn)&P8(A Clarinet 1),,,,,,,,,,,,P2(Violin 1),,,,,U(Violin 2)&P8(Contrabass),P2(Cymbal),,,U(Violin)&P8(Contrabass),,,,P8(Violin)&P8(Violin 2),U(Oboe 1)
172.0,178.0,,,,U(A Clarinet 2)&P8(Bassoon 1),,P8(Bassoon 2),Main Part,U(Oboe 1)&P8(Bassoon 1),,P8(Oboe 1)&P8(A Clarinet 2),P8(English Horn),,,,,,,,,,,,,,,,,U(Violin 1)&P8(Contrabass),U(Violin)&P8(Contrabass),,,,,,,P8(Violin)&P8(Violin 1),
178.0,184.0,,U(Oboe 1)&U(English Horn)&P8(A Bass Clarinet)&U(Piano),,U(Flute 1)&U(English Horn)&P8(A Bass Clarinet)&U(Piano),,U(Flute 1)&U(Oboe 1)&P8(A Bass Clarinet)&U(Piano),P8(Bassoon 2),Main Part,P8(Flute 1)&P8(Oboe 1)&P8(English Horn)&P8(Piano),P8(Main),P8(A Clarinet 1),,,,,,,,,,,,,,,,,U(Violin 1)&P8(Contrabass),U(Violin)&P8(Contrabass),,,,,,,P8(Violin)&P8(Violin 1),U(Flute 1)&U(Oboe 1)&U(English Horn)&P8(A Bass Clarinet)
184.0,199.0,,U(English Horn)&P8(A Bass Clarinet),,,,U(Flute 1)&P8(A Bass Clarinet),U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(English Horn),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),,,,,,,P8(Violin 1),
199.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,,
210.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,U(Main),,,,,,,,
217.0,227.0,,,,,,,,,P2(Bassoon 2),,P2(A Bass Clarinet),,Main Part,,,,,,,,,,,,,,,,,,,,,,U(Piano),,U(Violoncello)
227.0,234.5,,,,,U(Violins),Main Part,,,,,,,,,,,,,,,,,,,,,,,,,,,U(Oboe 2),,P8(Main)&P8(Piano),,U(Main)&P8(Violoncello)
