qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,English Horn,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,Bass Sarrusophone,F Horn 1,F Horn 2,F Horn 3,F Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Cymbal,Tambourine,Triangle,Celesta,Harp,Violin,Violin 1,Violin 1 div(2),Violin 1 div(3),Violin 2,Violins,Viola,Violoncello,Contrabass,Piano
145.6,61.3727,49,2.6,r,r,r,r,r,C4,r,r,r,C4,C4,r,r,r,G4,C4,r,r,r,r,r,r,r,r,r,r,r,G4,G4,r,r,D6,r,D5,C4,r,D5
145.8,61.4584,49,2.8,r,r,r,r,r,C4,r,r,r,C4,C4,r,r,r,G4,C4,r,r,r,r,r,r,r,r,r,r,r,G4,G4,r,r,E6,r,E5,C4,r,E5
146.0,61.5441,49,3.0,G6,G6,C5,G5,C5,D4,G5,C5,r,D4,D4,r,r,r,A4,D4,r,r,r,r,r,r,r,F#3,r,r,r,A4,G4,r,r,C6,r,C5,D4,r,C5
146.2,61.6298,49,3.2,G6,G6,C5,G5,C5,D4,G5,C5,r,D4,D4,r,r,r,A4,D4,r,r,r,r,r,r,r,F#3,r,r,r,A4,G4,r,r,D6,r,C5,D4,r,D5
146.4,61.7155,49,3.4,G6,G6,C5,G5,C5,D4,G5,C5,r,D4,D4,r,r,r,A4,D4,r,r,r,r,r,r,r,F#3,r,r,r,A4,G4,r,r,E6,r,C5,D4,r,E5
146.5,61.7584,49,3.5,r,r,r,r,r,D4,r,r,r,D4,D4,r,r,r,A4,D4,r,r,r,r,r,r,r,r,r,r,r,A4,G4,r,r,E6,r,r,D4,r,E5
146.6,61.8013,49,3.6,r,r,r,r,r,D4,r,r,r,D4,D4,r,r,r,A4,D4,r,r,r,r,r,r,r,r,r,r,r,A4,G4,r,r,F#6,r,F#5,D4,r,F#5
146.8,61.887,49,3.8,r,r,r,r,r,D4,r,r,r,D4,D4,r,r,r,A4,D4,r,r,r,r,r,r,r,r,r,r,r,A4,G4,r,r,G6,r,G5,D4,r,G5
147.0,61.9727,50,1.0,r,B5,B5,B5,B4,B3,B5,B4,r,B3,B3,r,B4,r,F#4,B3,F#5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,B5,r,B4,B3,r,B4
147.2,62.0584,50,1.2,r,C6,C6,C6,C5,B3,C6,C5,r,B3,B3,r,B4,r,F#4,B3,F#5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,B5,r,B4,B3,r,C5
147.3333,62.1155,50,1.3333,r,C6,C6,C6,C5,B3,C6,C5,r,B3,B3,r,B4,r,F#4,B3,F#5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,B5,r,B4,B3,r,C5
147.4,62.1441,50,1.4,r,D6,D6,D6,D5,B3,D6,D5,r,B3,B3,r,B4,r,F#4,B3,F#5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,B5,r,B4,B3,r,D5
147.6,62.2298,50,1.6,r,E6,E6,E6,E5,r,E6,E5,r,r,r,r,B4,r,r,B3,F#5,r,r,r,r,r,r,r,r,r,r,B5,B5,r,r,r,r,r,r,r,E5
147.6667,62.2584,50,1.6667,r,E6,E6,E6,E5,r,E6,E5,r,r,r,r,B4,r,r,B3,F#5,r,r,r,r,r,r,r,r,r,r,B5,B5,r,r,r,r,r,r,r,E5
147.8,62.3155,50,1.8,r,F#6,F#6,F#6,F#5,r,F#6,F#5,r,r,r,r,B4,r,r,B3,F#5,r,r,r,r,r,r,r,r,r,r,B5,B5,r,r,r,r,r,r,r,F#5
148.0,62.4013,50,2.0,r,G5,G5,G6,G5,r,G5,G4,r,D4,G3,r,r,G4,r,B3,r,D5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,G5,r,G4,D4,r,G4
148.2,62.487,50,2.2,r,G5,G5,G6,G5,r,G5,G4,r,D4,G3,r,r,G4,r,B3,r,D5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,A5,r,A4,D4,r,A4
148.3333,62.5441,50,2.3333,r,G5,G5,G6,G5,r,G5,G4,r,D4,G3,r,r,G4,r,B3,r,D5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,A5,r,A4,D4,r,A4
148.4,62.5727,50,2.4,r,G5,G5,G6,G5,r,G5,G4,r,D4,G3,r,r,G4,r,B3,r,D5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,B5,r,B4,D4,r,B4
148.6,62.6584,50,2.6,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,B3,r,D5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,C6,r,C5,r,r,C5
148.6667,62.687,50,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,B3,r,D5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,C6,r,C5,r,r,C5
148.8,62.7441,50,2.8,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,B3,r,D5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,D6,r,D5,r,r,D5
149.0,62.8298,50,3.0,r,A5,A5,A5,A4,r,A5,A4,r,E4,A3,r,A4,r,r,B3,E5,r,r,r,r,r,r,F#3,r,r,r,B6,B5,r,r,A5,r,A4,E4,r,A4
149.2,62.9155,50,3.2,r,B5,B5,B5,B4,r,B5,B4,r,E4,A3,r,A4,r,r,B3,E5,r,r,r,r,r,r,F#3,r,r,r,B6,B5,r,r,A5,r,A4,E4,r,B4
149.3333,62.9727,50,3.3333,r,B5,B5,B5,B4,r,B5,B4,r,E4,A3,r,A4,r,r,B3,E5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,A5,r,A4,E4,r,B4
149.4,63.0013,50,3.4,r,C6,C6,C6,C5,r,C6,C5,r,E4,A3,r,A4,r,r,B3,E5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,A5,r,A4,E4,r,C5
149.6,63.087,50,3.6,r,D6,D6,D6,D5,r,D6,D5,r,r,r,r,A4,r,r,B3,E5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,r,r,r,r,r,D5
149.6667,63.1156,50,3.6667,r,D6,D6,D6,D5,r,D6,D5,r,r,r,r,A4,r,r,B3,E5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,r,r,r,r,r,D5
149.8,63.1727,50,3.8,r,E6,E6,E6,E5,r,E6,E5,r,r,r,r,A4,r,r,B3,E5,r,r,r,r,r,r,F#3,r,r,r,B5,B5,r,r,r,r,r,r,r,E5
150.0,63.2584,51,1.0,r,F5,F5,F6,F5,r,F5,F4,r,C4,F3,r,r,F4,r,B3,r,C5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,F5,r,F4,C4,r,F4
150.2,63.3441,51,1.2,r,F5,F5,F6,F5,r,F5,F4,r,C4,F3,r,r,F4,r,B3,r,C5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,G5,r,G4,C4,r,G4
150.3333,63.4012,51,1.3333,r,F5,F5,F6,F5,r,F5,F4,r,C4,F3,r,r,F4,r,B3,r,C5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,G5,r,G4,C4,r,G4
150.4,63.4298,51,1.4,r,F5,F5,F6,F5,r,F5,F4,r,C4,F3,r,r,F4,r,B3,r,C5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,A5,r,A4,C4,r,A4
150.6,63.5155,51,1.6,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,B3,r,C5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,B5,r,B4,r,r,B4
150.6667,63.5441,51,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,B3,r,C5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,B5,r,B4,r,r,B4
150.8,63.6013,51,1.8,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,B3,r,C5,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,C6,r,C5,r,r,C5
151.0,63.687,51,2.0,r,G5,G5,G5,G4,r,G5,G4,r,D4,G3,r,G4,r,r,B3,D5,r,r,r,r,r,r,F#3,G#5,r,r,B5,B5,r,r,G5,r,G4,D4,r,G4
151.2,63.7727,51,2.2,r,A5,A5,A5,A4,r,A5,A4,r,D4,G3,r,G4,r,r,B3,D5,r,r,r,r,r,r,F#3,G#5,r,r,B5,B5,r,r,G5,r,G4,D4,r,A4
151.3333,63.8298,51,2.3333,r,A5,A5,A5,A4,r,A5,A4,r,D4,G3,r,G4,r,r,B3,D5,r,r,r,r,r,r,F#3,G#5,r,r,B5,B5,r,r,G5,r,G4,D4,r,A4
151.4,63.8584,51,2.4,r,B5,B5,B5,B4,r,B5,B4,r,D4,G3,r,G4,r,r,B3,D5,r,r,r,r,r,r,F#3,G#5,r,r,B5,B5,r,r,G5,r,G4,D4,r,B4
151.6,63.9441,51,2.6,r,C6,C6,C6,C5,r,C6,C5,r,r,r,r,G4,r,r,B3,D5,r,r,r,r,r,r,F#3,G#5,r,r,B5,B5,r,r,r,r,r,r,r,C5
151.6667,63.9727,51,2.6667,r,C6,C6,C6,C5,r,C6,C5,r,r,r,r,G4,r,r,B3,D5,r,r,r,r,r,r,F#3,G#5,r,r,B5,B5,r,r,r,r,r,r,r,C5
151.8,64.0298,51,2.8,r,D6,D6,D6,D5,r,D6,D5,r,r,r,r,G4,r,r,B3,D5,r,r,r,r,r,r,F#3,G#5,r,r,B5,B5,r,r,r,r,r,r,r,D5
152.0,64.1155,51,3.0,r,E-5,E-5,E-6,E-5,r,E-5,E-4,r,B-3,E-3,r,r,E-4,r,B3,r,B-4,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,E-5,r,E-4,B-3,r,E-4
152.2,64.2013,51,3.2,r,E-5,E-5,E-6,E-5,r,E-5,E-4,r,B-3,E-3,r,r,E-4,r,B3,r,B-4,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,F5,r,F4,B-3,r,F4
152.3333,64.2584,51,3.3333,r,E-5,E-5,E-6,E-5,r,E-5,E-4,r,B-3,E-3,r,r,E-4,r,B3,r,B-4,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,F5,r,F4,B-3,r,F4
152.4,64.287,51,3.4,r,E-5,E-5,E-6,E-5,r,E-5,E-4,r,B-3,E-3,r,r,E-4,r,B3,r,B-4,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,G5,r,G4,B-3,r,G4
152.6,64.3727,51,3.6,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,B3,r,B-4,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,A5,r,A4,r,r,A4
152.6667,64.4013,51,3.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,B3,r,B-4,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,A5,r,A4,r,r,A4
152.8,64.4584,51,3.8,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,B3,r,B-4,r,r,r,r,r,r,G#5,r,r,B6,B6,r,r,B-5,r,B-4,r,r,B-4
153.0,64.5441,52,1.0,r,r,r,r,r,B3,B3,B3,r,C#4,F3,r,r,r,r,B3,B4,B4,r,r,r,r,r,F#3,r,r,r,B4,B6,r,r,B4,r,B3,F#3,r,B3
153.2,64.6324,52,1.2,r,r,r,r,r,B3,C4,C4,r,C#4,F3,r,r,r,r,B3,B4,B4,r,r,r,r,r,F#3,r,r,r,B4,B6,r,r,B4,r,B3,F#3,r,C4
153.3333,64.6912,52,1.3333,r,r,r,r,r,B3,C4,C4,r,C#4,F3,r,r,r,r,B3,B4,B4,r,r,r,r,r,F#3,r,r,r,B4,B6,r,r,B4,r,B3,F#3,r,C4
153.4,64.7206,52,1.4,r,r,r,r,r,B3,D4,D4,r,C#4,F3,r,r,r,r,B3,B4,B4,r,r,r,r,r,F#3,r,r,r,B4,B6,r,r,B4,r,B3,F#3,r,D4
153.6,64.8088,52,1.6,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,F#3,r,r,r,B4,B6,r,r,r,r,r,r,r,E4
153.6667,64.8383,52,1.6667,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,F#3,r,r,r,B4,B6,r,r,r,r,r,r,r,E4
153.8,64.8971,52,1.8,r,r,r,r,r,r,F4,F4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,F#3,r,r,r,B4,B6,r,r,r,r,r,r,r,F#4
154.0,64.9853,52,2.0,r,r,r,D5,r,G3,D4,D4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,G3,D4,r,G3
154.2,65.0735,52,2.2,r,r,r,D5,r,G3,D4,D4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,A3,D4,r,A3
154.4,65.1618,52,2.4,r,r,r,D5,r,G3,D4,D4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,B3,D4,r,B-3
154.6,65.25,52,2.6,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,C4,r,r,C4
154.8,65.3382,52,2.8,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,D4,r,r,D4
155.0,65.4265,52,3.0,r,r,r,r,r,A3,A3,A3,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,A3,E4,r,A3
155.2,65.5147,52,3.2,r,r,r,r,r,A3,B3,B3,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,A3,E4,r,B3
155.4,65.6029,52,3.4,r,r,r,r,r,A3,C4,C4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,A3,E4,r,C4
155.6,65.6912,52,3.6,r,r,r,r,r,r,D4,D4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,r,r,r,D4
155.8,65.7794,52,3.8,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r,B4,B4,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,r,r,r,E4
156.0,65.8676,53,1.0,r,r,r,C5,r,F3,C4,C4,r,r,r,r,B4,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,F3,C4,r,F3
156.2,65.9729,53,1.2,r,r,r,C5,r,F3,C4,C4,r,r,r,r,B4,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,G3,C4,r,G3
156.3333,66.0431,53,1.3333,r,r,r,C5,r,F3,C4,C4,r,r,r,r,B4,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,G3,C4,r,G3
156.4,66.0782,53,1.4,r,r,r,C5,r,F3,C4,C4,r,r,r,r,B4,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,B4,B6,r,r,r,r,A3,C4,r,A3
156.6,66.1834,53,1.6,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,B3
156.6667,66.2185,53,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,B3
156.8,66.2887,53,1.8,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,C4
157.0,66.394,53,2.0,r,r,r,r,r,r,G3,G3,r,G3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,D4,r,G3
157.2,66.4992,53,2.2,r,r,r,r,r,r,A3,A3,r,G3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,D4,r,A3
157.4,66.6045,53,2.4,r,r,r,r,r,r,B3,B3,r,G3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,D4,r,B3
157.6,66.7098,53,2.6,r,r,r,r,r,r,C4,C4,r,G3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4
157.8,66.815,53,2.8,r,r,r,r,r,r,D4,D4,r,G3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4
158.0,66.9203,53,3.0,r,r,r,r,r,r,B-3,B-3,r,E-3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,B-3,r,E-3
158.2,67.0255,53,3.2,r,r,r,r,r,r,B-3,B-3,r,E-3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,B-3,r,F3
158.4,67.1308,53,3.4,r,r,r,r,r,r,B-3,B-3,r,E-3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,B-3,r,G3
158.6,67.2361,53,3.6,r,r,r,r,r,r,r,r,r,E-3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,A3
158.8,67.3413,53,3.8,r,r,r,r,r,r,r,r,r,E-3,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,r,r,B-3
159.0,67.4466,54,1.0,r,r,r,r,r,B3,B3,B3,B1,B-2,B-2,r,B4,r,r,r,r,r,r,r,r,r,A3,r,r,r,B3,B3,r,r,r,B3,r,B3,r,B4,B3
159.3333,67.6688,54,1.3333,r,r,r,r,r,B3,A3,A3,A1,B-2,B-2,r,B4,r,r,r,r,r,r,r,r,r,A3,r,r,r,B3,B3,r,r,r,B3,r,B3,r,B4,A3
159.6667,67.8911,54,1.6667,r,r,r,r,r,B3,G3,G3,G1,r,B-2,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,G3
160.0,68.1133,54,2.0,r,r,r,r,r,B3,F3,F3,F1,r,B-2,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,F3
162.0,69.4466,55,1.0,r,r,r,r,r,B3,F3,F3,F1,r,B-2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,B3
163.0,70.1133,55,2.0,r,C4,r,r,r,C4,E3,E3,E1,r,C3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,C4
164.0,70.7799,55,3.0,r,C#4,r,r,r,C#4,G#3,G#3,G#1,r,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,C#4
165.0,71.4466,56,1.0,r,r,r,B3,r,B3,B3,B3,B1,B2,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,B3
165.3333,71.6688,56,1.3333,r,r,r,B3,r,B3,B3,A3,B1,A2,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,B3
165.6667,71.8911,56,1.6667,r,r,r,B3,r,r,r,G3,B1,G2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,B3
166.0,72.1133,56,2.0,r,r,r,B3,r,r,r,F3,B1,F2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,B3
168.0,73.4466,57,1.0,r,r,r,B3,r,r,r,F3,A1,F2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,B3,r,r,r,B4,B3
168.5,73.7799,57,1.5,r,C4,r,B3,r,r,r,F3,A1,F2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,B3
169.0,74.1133,57,2.0,r,C4,r,C4,r,r,r,E3,C2,E2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,C4
169.5,74.4466,57,2.5,r,E-4,r,C4,r,r,r,E3,C2,E2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,C4
170.0,74.7799,57,3.0,r,E-4,r,E-4,r,r,r,G#3,E-2,G#2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,E-4
170.5,75.1133,57,3.5,r,D4,r,E-4,r,r,r,G#3,E-2,G#2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,E-4
171.0,75.4466,57,4.0,r,r,r,D4,r,r,r,A3,D2,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,r,B3,r,r,r,B4,D4
172.0,76.1133,58,1.0,r,r,r,C#4,r,C#4,C#4,C#4,C#2,C#3,C#3,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,C#4,B3,B3,r,r,B3,r,r,r,B4,C#4
172.3333,76.3355,58,1.3333,r,r,r,C#4,r,C#4,B3,C#4,B1,C#3,C#3,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,C#4,B3,B3,r,r,B3,r,r,r,B4,B3
172.6667,76.5577,58,1.6667,r,r,r,r,r,C#4,A3,r,A1,r,C#3,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,A3
173.0,76.7799,58,2.0,r,r,r,r,r,C#4,G3,r,G1,r,C#3,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,G3
174.0,77.4466,58,3.0,r,r,r,r,r,C#4,G3,r,G1,r,C#3,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
175.0,78.1133,59,1.0,r,r,r,r,r,C#4,G3,r,G1,r,C#3,r,r,r,r,r,r,r,r,r,r,r,A3,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
176.0,78.7799,59,2.0,r,r,D4,r,r,D4,F#3,r,G1,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,B4,D4
177.0,79.4466,59,3.0,r,r,E-4,r,r,E-4,B-3,r,B-1,r,E-3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,B4,E-4
178.0,80.1133,60,1.0,r,C#4,r,C#4,r,C#4,C#4,C#4,C#2,C#3,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
178.3333,80.3355,60,1.3333,r,C#4,r,C#4,r,C#4,C#4,B3,C#2,B2,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
178.6667,80.5577,60,1.6667,r,C#4,r,C#4,r,C#4,r,A3,C#2,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
179.0,80.7799,60,2.0,r,C#4,r,C#4,r,C#4,r,G3,C#2,G2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
180.0,81.4466,60,3.0,r,C#4,r,C#4,r,C#4,r,G3,C#2,G2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
181.0,82.1133,61,1.0,r,C#4,r,C#4,r,C#4,r,G3,C#2,G2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B3,B3,r,r,r,r,r,r,B4,C#4
182.0,82.6587,61,2.0,r,D4,r,D4,r,D4,r,F#3,D2,F#2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,r,D4,r,B4,D4
183.0,83.2042,61,3.0,r,F4,r,F4,r,F4,r,B-3,F2,B-2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,r,F4,r,B4,F4
184.0,83.7496,61,4.0,r,E4,r,E4,r,E4,B3,B3,E2,B2,B2,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,r,E4,r,B4,E4
185.0,84.2951,62,1.0,r,F#4,r,r,r,F#4,C#4,C#4,F#2,C#3,C#3,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,r,F#4,r,B4,F#4
186.0,84.7951,62,2.0,r,G4,r,r,r,G4,D4,D4,G2,D3,D3,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,r,r,G4,r,B4,G4
187.0,85.2951,62,3.0,r,B-4,r,E-4,r,B-4,E-4,E-4,B-2,E-3,E-3,r,B4,E-4,B-3,E-3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,B-4,r,B-4,r,B4,B-4
188.0,85.7951,63,1.0,r,r,r,E-4,r,r,r,r,r,r,r,r,B4,E-4,B3,E-3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,B-4,r,r,r,B4,B-4
189.0,86.3405,63,2.0,r,r,r,D4,r,r,r,r,r,r,r,r,A4,B-3,D4,E3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,A4,r,r,r,B4,A4
190.0,86.886,63,3.0,r,r,r,E-4,r,r,r,r,r,r,r,r,B4,B3,E-4,F3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,B-4,r,r,r,B4,B-4
191.0,87.4314,63,4.0,r,r,r,F#4,r,r,r,r,r,r,r,r,C#5,D4,F#4,G#3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,C#5,r,r,r,B4,C#5
192.0,87.9769,64,1.0,r,r,r,F#4,r,r,r,r,r,r,r,r,C#5,D4,F#4,G#3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,r,r,C#5,r,B3,r,B4,C#5
193.0,88.4608,64,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,B3,F3,r,B-4
194.0,88.9446,64,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,B3,G#3,r,B4
195.0,89.4285,65,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,r,B3,B-3,r,C#5
196.0,89.9124,65,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,B3,F3,r,B-4
197.0,90.3963,65,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,B3,G#3,r,B4
198.0,90.8801,66,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,B3,B3,r,D5
