qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,English Horn,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,Bass Sarrusophone,F Horn 1,F Horn 2,F Horn 3,F Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Cymbal,Tambourine,Triangle,Celesta,Harp,Violin,Violin 1,Violin 1 div(2),Violin 1 div(3),Violin 2,Violins,Viola,Violoncello,Contrabass,Piano
13.0,5.4167,5,2.0,r,E4,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B5,r,r,A5,r,F#5,r,r,B5
13.25,5.5208,5,2.25,r,F4,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,B5,r,r,A5,r,F#5,r,r,B5
13.5,5.625,5,2.5,r,G4,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B5,r,r,A5,r,F#5,r,r,B5
13.75,5.7292,5,2.75,r,A4,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,B5,r,r,A5,r,F#5,r,r,B5
14.0,5.8333,5,3.0,r,B4,B4,D6,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,A5,r,B4,D6,r,r,C6,r,A5,r,r,D6
14.5,6.0417,5,3.5,r,C5,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,A5,r,C5,D6,r,r,C6,r,A5,r,r,D6
14.75,6.1458,5,3.75,r,D5,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,A5,r,D5,D6,r,r,C6,r,A5,r,r,D6
15.0,6.25,6,1.0,r,E5,E5,B5,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,r,E5,B5,r,r,A5,r,F#5,r,r,B5
15.5,6.4583,6,1.5,r,D5,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,r,D5,B5,r,r,A5,r,F#5,r,r,B5
15.75,6.5625,6,1.75,r,C5,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,r,C5,B5,r,r,A5,r,F#5,r,r,B5
16.0,6.6667,6,2.0,r,B4,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B5,r,r,A5,r,F#5,r,r,B5
16.5,6.875,6,2.5,r,B4,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B5,r,r,A5,r,F#5,r,r,B5
17.0,7.0833,6,3.0,r,B4,B4,A5,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,B4,A5,r,r,G5,r,E5,r,r,A5
17.5,7.2917,6,3.5,r,A4,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,A4,A5,r,r,G5,r,E5,r,r,A5
