qstamp,tstamp,measure,beat,Violin,Soprano 1 solo,Soprano 2 solo,Continuo
0.0,0.0,1,1.0,r,r,r,D3
0.5,0.375,1,1.5,D4,r,r,D3
1.0,0.75,1,2.0,A3,r,r,D3
1.5,1.125,1,2.5,B3,r,r,D3
2.0,1.5,1,3.0,C4,r,r,D3
2.5,1.875,1,3.5,A4,r,r,D2
2.75,2.0625,1,3.75,G4,r,r,D2
3.0,2.25,1,4.0,F#4,r,r,E2
3.25,2.4375,1,4.25,E4,r,r,E2
3.5,2.625,1,4.5,D4,r,r,F#2
3.75,2.8125,1,4.75,C4,r,r,F#2
4.0,3.0,2,1.0,B3,r,r,G2
4.25,3.1875,2,1.25,D4,r,r,G2
4.5,3.375,2,1.5,G4,r,r,E2
4.75,3.5625,2,1.75,E4,r,r,E2
5.0,3.75,2,2.0,D4,r,r,A2
5.25,3.9375,2,2.25,C#4,r,r,A2
5.5,4.125,2,2.5,G4,r,r,A2
6.0,4.5,2,3.0,G4,r,r,D2
6.5,4.875,2,3.5,F#4,r,r,D2
6.75,5.0625,2,3.75,E4,r,r,D2
7.0,5.25,2,4.0,D4,r,r,r
7.25,5.4375,2,4.25,C#4,r,r,r
7.5,5.625,2,4.5,B3,r,r,D3
7.75,5.8125,2,4.75,A3,r,r,D3
8.0,6.0,3,1.0,G#3,r,r,D3
8.25,6.1875,3,1.25,B3,r,r,D3
8.5,6.375,3,1.5,E4,r,r,C#3
8.75,6.5625,3,1.75,C#4,r,r,C#3
9.0,6.75,3,2.0,B3,r,r,F#3
9.25,6.9375,3,2.25,B-3,r,r,F#3
9.5,7.125,3,2.5,E4,r,r,F#2
10.0,7.5,3,3.0,E4,r,r,B2
10.25,7.6875,3,3.25,D4,r,r,B2
10.5,7.875,3,3.5,E4,r,r,B2
10.75,8.0625,3,3.75,F#4,r,r,B2
11.0,8.25,3,4.0,G4,r,r,r
11.25,8.4375,3,4.25,A4,r,r,r
11.5,8.625,3,4.5,B4,r,r,G3
11.75,8.8125,3,4.75,G4,r,r,G3
12.0,9.0,4,1.0,A4,r,r,G3
12.25,9.1875,4,1.25,C#5,r,r,G3
12.5,9.375,4,1.5,E5,r,r,C#3
12.75,9.5625,4,1.75,D5,r,r,C#3
13.0,9.75,4,2.0,C#5,r,r,A2
13.25,9.9375,4,2.25,B4,r,r,A2
13.5,10.125,4,2.5,A4,r,r,C#3
13.75,10.3125,4,2.75,G4,r,r,C#3
14.0,10.5,4,3.0,F#4,r,r,D3
14.25,10.6875,4,3.25,A4,r,r,D3
14.5,10.875,4,3.5,D5,r,r,F#3
14.75,11.0625,4,3.75,C5,r,r,F#3
15.0,11.25,4,4.0,B4,r,r,G3
15.25,11.4375,4,4.25,A4,r,r,G3
15.5,11.625,4,4.5,G4,r,r,E3
15.75,11.8125,4,4.75,F#4,r,r,E3
16.0,12.0,5,1.0,E4,r,r,A3
16.5,12.375,5,1.5,E4,r,r,C#3
17.0,12.75,5,2.0,E4,r,r,D3
17.25,12.9375,5,2.25,F#4,r,r,D3
17.5,13.125,5,2.5,E4,r,r,E3
17.75,13.3125,5,2.75,D4,r,r,E3
18.0,13.5,5,3.0,C#4,r,r,A2
18.25,13.6875,5,3.25,D4,r,r,A2
18.5,13.875,5,3.5,E4,r,r,C#3
18.75,14.0625,5,3.75,G4,r,r,C#3
19.0,14.25,5,4.0,A3,r,r,E3
19.25,14.4375,5,4.25,F#4,r,r,E3
19.5,14.625,5,4.5,E4,r,r,G3
19.75,14.8125,5,4.75,D4,r,r,G3
20.0,15.0,6,1.0,C#4,r,r,G3
20.25,15.1875,6,1.25,D4,r,r,G3
20.5,15.375,6,1.5,E4,r,r,C#3
20.75,15.5625,6,1.75,G4,r,r,B2
21.0,15.75,6,2.0,A3,r,r,C#3
21.25,15.9375,6,2.25,B4,r,r,C#3
21.5,16.125,6,2.5,A4,r,r,A2
21.75,16.3125,6,2.75,G4,r,r,A2
22.0,16.5,6,3.0,F#4,r,r,D3
22.25,16.6875,6,3.25,G4,r,r,D3
22.5,16.875,6,3.5,A4,r,r,F#3
22.75,17.0625,6,3.75,C5,r,r,F#3
23.0,17.25,6,4.0,D4,r,r,A3
23.25,17.4375,6,4.25,B4,r,r,A3
23.5,17.625,6,4.5,A4,r,r,C4
23.75,17.8125,6,4.75,G4,r,r,C4
24.0,18.0,7,1.0,F#4,r,r,C4
24.25,18.1875,7,1.25,G4,r,r,C4
24.5,18.375,7,1.5,A4,r,r,F#3
24.75,18.5625,7,1.75,C5,r,r,E3
25.0,18.75,7,2.0,D4,r,r,F#3
25.25,18.9375,7,2.25,E5,r,r,F#3
25.5,19.125,7,2.5,D5,r,r,D3
25.75,19.3125,7,2.75,C5,r,r,D3
26.0,19.5,7,3.0,B4,r,r,G3
26.25,19.6875,7,3.25,E5,r,r,G3
26.5,19.875,7,3.5,F#5,r,r,E3
26.75,20.0625,7,3.75,G5,r,r,E3
27.0,20.25,7,4.0,A4,r,r,F#3
27.25,20.4375,7,4.25,C5,r,r,F#3
27.5,20.625,7,4.5,B4,r,r,D3
27.75,20.8125,7,4.75,A4,r,r,D3
28.0,21.0,8,1.0,G4,r,r,E3
28.25,21.1875,8,1.25,C#5,r,r,E3
