qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 3,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Eb Horn 3,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
92.5,100.0,,,,,Main Part,,,,P8(C Horn 2)&U(Violin 1)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),,,,,U(C Horn 1)&P8(C Horn 2)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(C Horn 1)&P8(C Horn 2)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1)&U(C Horn 2)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1)&P8(C Horn 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(C Horn 1)&P8(C Horn 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
100.0,110.5,,,Main Part,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
110.5,118.5,P8(Bb Clarinet 1),,,P8(C Horn 1)&P8(C Horn 2),P8(Flute 1),,Main Part,,P8(Oboe 2)&P8(C Horn 2),P8(Oboe 2)&P8(C Horn 1),P3(Timpani)&P3(Contrabass),,,P3(Eb Horn 3)&P8(Contrabass),,,,,P3(Eb Horn 3)&P8(Timpani)
118.5,126.5,Main Part,,,,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(Bb Clarinet 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
126.5,136.5,Main Part,P8(Bassoon 2),,,,,,P8(Flute 2),,,,,,,,,,P8(Contrabass),P8(Violoncello)
136.5,140.5,P5(C Horn 1),,Main Part,,,,,,P5(Flute 1),,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
140.5,144.5,Main Part,,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
144.5,147.0,,,,,,,Main Part,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
147.0,150.5,,P8(Oboe 2)&P8(Bassoon 2)&P8(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),Main Part,P8(Flute 2)&P8(Bassoon 2)&U(Eb Horn 3)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),,,,P8(Flute 2)&P8(Oboe 2)&P8(Eb Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),,,P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&U(Eb Horn 3)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 2)&P8(Oboe 2)&U(Bassoon 2)&P8(Eb Horn 3)&P8(C Trumpet 1)&P8(Timpani),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2)&P8(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
150.5,157.5,Main Part,P8(Bassoon 2),,,,,,P8(Flute 2),P4(C Horn 2)&P4(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2),P4(C Horn 1)&P8(Eb Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2),P4(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2),P4(C Horn 1)&P8(C Horn 2)&U(Eb Horn 3)&P8(C Trumpet 2),P4(C Horn 1)&U(C Horn 2)&P8(Eb Horn 3)&P8(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
157.5,166.5,,,,,,,,P8(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,,Main Part,P8(Main),,,P8(Bassoon 2)
166.5,170.5,,,,,,,,P4(Timpani),,,,,,P4(Bassoon 2),Main Part,,,,
170.5,171.5,,,,,,,U(C Horn 1),,U(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
171.5,172.3333,Main Part,,P8(Main)&P8(C Horn 2)&P3(Viola),,,,P3(Eb Horn 3),,,P8(Main)&P8(Oboe 1)&P3(Viola),P3(Bassoon 1),,,,P8(Violin 2),P8(Violin 1),P3(Main)&P3(Oboe 1)&P3(C Horn 2),P8(Contrabass),P8(Violoncello)
172.3333,173.5,P8(Oboe 1),,P8(Flute 1),,,,U(C Horn 1),,U(Bassoon 1),,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
173.5,176.5,Main Part,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
176.5,178.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,P4(C Horn 2)&P4(Violin 2),P4(C Horn 1)&P8(Violin 2),,,,,Main Part,P4(C Horn 1)&P8(C Horn 2),P8(Main)&U(Violoncello)&P8(Contrabass),P8(Main)&U(Viola)&P8(Contrabass),P8(Main)&P8(Viola)&P8(Violoncello)
178.0,194.5,,,Main Part,,,,,,,,,,,,,,,,
194.5,200.5,Main Part,P3(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P3(C Horn 1)&P8(C Horn 2)&P3(C Trumpet 2),P3(Oboe 2),P3(Oboe 1),P8(Main)&P3(Flute 2)&P3(Bb Clarinet 3)&P8(C Horn 1)&P3(C Horn 2)&P8(C Trumpet 2),P3(Main)&P8(Flute 2)&P3(Bb Clarinet 1)&P3(C Horn 1)&P8(C Horn 2)&P3(C Trumpet 2),P3(Bassoon 2)&P8(C Trumpet 1),P3(Bassoon 1)&P3(Eb Horn 3)&P3(C Trumpet 1)&P3(Violin 2),P8(Main)&P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&P3(C Horn 2)&U(C Trumpet 2),P3(Main)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P3(C Horn 1)&P3(C Trumpet 2),P3(Bassoon 2),P8(Bassoon 1)&P3(Bassoon 2),P8(Main)&P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&U(C Horn 1)&P3(C Horn 2),,P8(Violoncello)&P8(Contrabass),P3(Bassoon 2),,P8(Violin 1)&P8(Contrabass),P8(Violin 1)&P8(Violoncello)
200.5,208.0,P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2)&P5(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P3(Flute 1)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P3(Flute 1)&U(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2)&P5(Eb Horn 3)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2)&P5(Eb Horn 3)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&P3(Bassoon 2)&U(C Horn 1)&P3(C Horn 2)&P5(Eb Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P3(Bassoon 1)&P3(C Horn 1)&U(C Horn 2)&P3(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 2)&P5(Eb Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P3(Bassoon 1)&U(Bassoon 2)&P3(C Horn 1)&P3(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P5(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 3)&P5(Bassoon 1)&P3(Bassoon 2)&P5(C Horn 1)&P3(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2)&P5(Eb Horn 3)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P3(C Horn 2)&P5(Eb Horn 3)&P8(C Trumpet 1)&P8(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2)&P5(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Violoncello)
208.0,216.5,,,,,,,,,,,,,,,Main Part,,,,
216.5,232.5,U(Flute 2),U(Flute 1),,,,,,,,,,,,,Main Part,,,,
232.5,240.5,U(Flute 2),U(Flute 1),,,U(Bb Clarinet 3)&P8(Violoncello),U(Bb Clarinet 1)&P8(Violoncello),U(Bassoon 2),U(Bassoon 1),,,,,,,Main Part,,,P8(Bb Clarinet 1)&P8(Bb Clarinet 3),
240.5,246.5,U(Flute 2)&P8(Oboe 2),U(Flute 1)&P8(Oboe 2),,P8(Flute 1)&P8(Flute 2),U(Bb Clarinet 3),U(Bb Clarinet 1),U(Bassoon 2)&U(Violin 2),U(Bassoon 1)&U(Violin 2),,,,,,,,U(Bassoon 1)&U(Bassoon 2),Main Part,U(Main),
246.5,258.5,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),U(Bb Clarinet 3),U(Bb Clarinet 1),U(Bassoon 2)&P8(Eb Horn 3),U(Bassoon 1)&P8(Eb Horn 3),P8(C Horn 2),P8(C Horn 1),P8(Bassoon 1)&P8(Bassoon 2),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,,,,
258.5,268.5,Main Part,P8(Main),,,,,,,P8(C Horn 2),P8(C Horn 1),,P8(C Trumpet 2),P8(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
268.5,278.5,P8(Flute 2),P8(Flute 1),U(Oboe 2),U(Oboe 1),Main Part,P8(Main),,,P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),,P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2),U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
278.5,280.75,P2(Flute 2),P2(Flute 1),Main Part,,,,,,P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani)&P8(Viola),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani)&P8(Viola),P3(Violin 1),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani)&P8(Viola),U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(Timpani)&P8(Viola),P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Viola),P3(Eb Horn 3),,P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Contrabass),P8(Violoncello)
280.75,282.75,Main Part,,P2(Oboe 2),P2(Oboe 1),,,,,P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Violin 1),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1),,P8(Eb Horn 3),,,P8(Contrabass),P8(Violoncello)
282.75,284.75,U(Flute 2),U(Flute 1),Main Part,P8(Bassoon 2),P8(Main)&U(Bb Clarinet 3),P8(Main)&U(Bb Clarinet 1),,P8(Oboe 2),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),,P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
284.75,286.75,Main Part,,,,,,,,P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),,P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
286.75,288.5,,,Main Part,P8(Main),,,,P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Bassoon 2)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Bassoon 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),,P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2),P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1),,P8(Violin 2),P8(Violin 1),P3(Violoncello)&P3(Contrabass),P3(Viola)&P8(Contrabass),P3(Viola)&P8(Violoncello)
288.5,290.0,Main Part,P8(Main)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 2),P8(Oboe 1),U(Bb Clarinet 3),U(Bb Clarinet 1),P8(Main)&P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Bassoon 1),U(C Horn 2)&P8(Violin 1)&P8(Contrabass),U(C Horn 1)&P8(Violin 1)&P8(Contrabass),,U(C Trumpet 2),U(C Trumpet 1),,P8(C Horn 1)&P8(C Horn 2)&P8(Contrabass),P3(Viola),P3(Violin 2),,P8(C Horn 1)&P8(C Horn 2)&P8(Violin 1)
290.0,299.5,,,Main Part,,,,,,P8(C Horn 2),P8(C Horn 1),P3(Timpani),P8(C Trumpet 2),P8(C Trumpet 1),P3(Eb Horn 3),,,,,
299.5,306.5,P8(Bb Clarinet 3),P8(Bassoon 1),U(Oboe 2)&U(Bb Clarinet 1),U(Oboe 1)&U(Bb Clarinet 1),U(Oboe 1)&U(Oboe 2),P8(Flute 1),P8(Flute 2),,,,,,,,Main Part,,,,
306.5,316.5,P4(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P4(Bassoon 1)&P8(Bassoon 2)&P8(Timpani),P4(Flute 1)&P6(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P8(Bassoon 1)&P4(Bassoon 2)&P4(Timpani),P3(Flute 1)&P6(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 3)&P6(Bassoon 1)&P3(Bassoon 2)&P3(Timpani),P3(Flute 1)&P6(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 3)&P6(Bassoon 1)&P3(Bassoon 2)&P3(Timpani),P3(Flute 1)&P6(Flute 2)&U(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 3)&P6(Bassoon 1)&P3(Bassoon 2)&P3(Timpani),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bassoon 1)&P8(Bassoon 2)&P8(Timpani),P4(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P4(Bassoon 2)&P4(Timpani),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P4(Bassoon 1)&P8(Timpani),P8(C Horn 2),P8(C Horn 1),,,,P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P4(Bassoon 1)&P8(Bassoon 2),Main Part,,,P8(Contrabass),P8(Violoncello)
316.5,326.5,,,,,,,,,Main Part,P8(Main)&P3(Violin 2)&P3(Viola),P3(C Trumpet 1)&P3(C Trumpet 2),P3(Eb Horn 3)&P8(C Trumpet 2),P3(Eb Horn 3)&P8(C Trumpet 1),,,P3(Main)&P3(C Horn 2)&P8(Viola),P3(Main)&P3(C Horn 2)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
326.5,327.5,,,,,,,,,P8(C Horn 2)&P3(Eb Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Violin 1),P8(C Horn 1)&P3(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violin 1),P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Violin 1),P8(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&P8(C Trumpet 2)&U(Violin 1),U(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&P8(C Trumpet 1)&P8(Violin 1),,P8(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&U(C Trumpet 1)&P8(C Trumpet 2),,,Main Part,P8(Main)
327.5,328.5,,,,,,,,,P8(C Horn 2)&P3(Eb Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2)&P6(Viola),P8(C Horn 1)&P3(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P6(Viola),P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Viola),P8(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&P8(C Trumpet 2)&P6(Viola),U(C Horn 1)&P8(C Horn 2)&P3(Eb Horn 3)&P8(C Trumpet 1)&P6(Viola),,,Main Part,P6(C Horn 1)&P6(C Horn 2)&P4(Eb Horn 3)&P6(C Trumpet 1)&P6(C Trumpet 2),P8(Contrabass),P8(Violoncello)
328.5,330.5,P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P6(Flute 1)&P4(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(Violoncello)&P4(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(Violoncello)&P4(Contrabass),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P2(Bassoon 1)&P4(Bassoon 2)&P2(Violoncello)&P2(Contrabass),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P3(Violoncello)&P3(Contrabass),P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),,P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1),,Main Part,,,P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Violoncello)
