qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 3,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Eb Horn 3,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,8.5,,,,,,,,,,,,,,,Main Part,,,,
8.5,16.0,,,,,,,,,,,,,,,Main Part,,,,
16.0,24.5,,,Main Part,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
24.5,32.0,,,Main Part,,,,,,U(C Horn 2),U(C Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
32.0,41.5,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,Main Part,,,,
41.5,45.5,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,Main Part,,,,
45.5,48.5,,,,,,,,,P8(C Horn 2)&P8(Violin 1)&P8(Contrabass),P8(C Horn 1)&P8(Violin 1)&P8(Contrabass),,,,,P8(C Horn 1)&P8(C Horn 2)&P8(Contrabass),,,Main Part,P8(C Horn 1)&P8(C Horn 2)&P8(Violin 1)
48.5,52.5,,,,,,,,,P8(C Horn 2)&P8(Contrabass),P8(C Horn 1)&P8(Contrabass),,,,,Main Part,,,,P8(C Horn 1)&P8(C Horn 2)
52.5,60.0,,,,,,,P8(Timpani),,P8(C Horn 2)&P8(Contrabass),P8(C Horn 1)&P8(Contrabass),,,,P8(Bassoon 1),,,,Main Part,P8(C Horn 1)&P8(C Horn 2)
60.0,72.0,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,Main Part,,,,
72.0,76.5,,,Main Part,,,,P8(Eb Horn 3),,,,P8(Bassoon 1),,,,,,,P8(Contrabass),P8(Violoncello)
76.5,81.5,,,Main Part,,,P8(Main),,,P8(C Horn 2),P8(C Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
81.5,85.5,,,Main Part,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
85.5,88.5,P8(Flute 2),P8(Flute 1),P8(C Horn 1)&P8(C Horn 2),,P8(Bb Clarinet 3),P8(Bb Clarinet 1),Main Part,,P8(Oboe 1)&P8(C Horn 2),P8(Oboe 1)&P8(C Horn 1),,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
88.5,92.5,P8(Main),,Main Part,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
