qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
0.25,0.3409,1,1.25,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
0.5,0.6818,1,1.5,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
0.75,1.0227,1,1.75,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
1.0,1.3636,1,2.0,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
1.25,1.7045,1,2.25,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
1.5,2.0455,1,2.5,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
1.75,2.3864,1,2.75,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,E5,r,r,r,r
1.875,2.5568,1,2.875,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,G5,r,r,r,r
2.0,2.7273,2,1.0,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,F5,B-3,r,r,r
2.25,3.0682,2,1.25,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,E5,B-3,r,r,r
2.375,3.2386,2,1.375,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,G5,B-3,r,r,r
2.5,3.4091,2,1.5,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,F5,D4,r,r,r
2.75,3.75,2,1.75,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,E5,D4,r,r,r
2.875,3.9205,2,1.875,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,G5,D4,r,r,r
3.0,4.0909,2,2.0,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,F5,F4,r,r,r
3.25,4.4318,2,2.25,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,F5,F4,r,r,r
3.5,4.7727,2,2.5,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,F5,r,r,r,r
3.75,5.1136,2,2.75,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,D5,B-4,r,r,r
4.0,5.4545,3,1.0,r,r,F5,E-5,C5,F4,E-4,C4,C5,C4,D5,A4,r,r,r
4.125,5.625,3,1.125,r,r,F5,E-5,C5,F4,E-4,C4,C5,C4,C5,A4,r,r,r
4.25,5.7955,3,1.25,r,r,F5,C5,A4,F4,C4,A3,C5,C4,C5,A4,r,r,r
4.375,5.9659,3,1.375,r,r,F5,C5,A4,F4,C4,A3,C5,C4,D5,A4,r,r,r
4.5,6.1364,3,1.5,r,r,F5,C5,A4,F4,C4,A3,C5,C4,E-5,E-4,F3,r,r
4.75,6.4773,3,1.75,r,r,F5,C5,A4,F4,C4,A3,C5,C4,C5,E-4,F3,r,r
4.875,6.6477,3,1.875,r,r,F5,C5,A4,F4,C4,A3,C5,C4,D5,E-4,F3,r,r
5.0,6.8182,3,2.0,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,B-4,D4,F3,B-2,B-1
5.25,7.1591,3,2.25,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,B-4,D4,F3,B-2,B-1
5.5,7.5,3,2.5,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,r,r
5.75,7.8409,3,2.75,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,B-2,B-1
5.875,8.0114,3,2.875,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,C3,C2
6.0,8.1818,4,1.0,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,D3,D2
6.25,8.5227,4,1.25,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,D3,D2
6.375,8.6932,4,1.375,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,E-3,E-2
6.5,8.8636,4,1.5,r,r,F5,D5,B-4,F4,D4,B-3,C5,C4,r,r,r,F3,F2
6.75,9.2045,4,1.75,r,r,F#5,D5,B-4,F#4,D4,B-3,A4,A3,r,r,r,F#3,F#2
6.875,9.375,4,1.875,r,r,F#5,D5,B-4,F#4,D4,B-3,A4,A3,r,r,r,D3,D2
7.0,9.5455,4,2.0,r,r,G5,D5,B-4,G4,D4,B-3,A4,A3,r,r,r,G3,G2
7.25,9.8864,4,2.25,r,r,G5,D5,B-4,G4,B-3,G3,A4,A3,r,r,r,G3,G2
