qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"D, A Timpani",Triangle,Cymbals,Bass Drum,Soprano solo,Alto solo,Tenor solo,Bass solo,Soprano,Alto,Tenor,Bass,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.0,r,B-5,B-4,B-5,B-4,B-4,B-3,F2,F2,F1,F4,D4,F3,F2,A4,A3,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1.0,0.303,2,1.0,r,B-5,B-4,B-5,B-4,B-4,B-3,F2,F2,F1,F4,D4,F3,F2,A4,A3,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
2.5,0.7576,2,2.5,r,A5,A4,A5,A4,A4,A3,F2,F2,F1,F4,D4,F3,F2,A4,A3,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
3.0,0.9091,2,3.0,r,A5,A4,A5,A4,A4,A3,F2,F2,F1,F4,D4,F3,F2,A4,A3,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
3.5,1.0606,2,3.5,r,D6,D5,D6,D5,D5,D4,F2,F2,F1,F4,D4,F3,F2,D5,D4,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
4.0,1.2121,3,1.0,r,D6,D5,D6,D5,D5,D4,F2,F2,F1,F4,D4,F3,F2,D5,D4,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
4.5,1.3636,3,1.5,r,F6,F5,F5,F4,F5,F4,F2,F2,F1,F4,D4,F3,F2,D5,D4,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
5.0,1.5152,3,2.0,r,F6,F5,F5,F4,F5,F4,F2,F2,F1,F4,D4,F3,F2,r,r,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
5.5,1.6667,3,2.5,r,A6,A5,A5,A4,A5,A4,F2,F2,F1,F4,D4,F3,F2,A4,A4,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
6.0,1.8182,3,3.0,r,A6,A5,A5,A4,A5,A4,F2,F2,F1,F4,D4,F3,F2,A4,A4,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
6.5,1.9697,3,3.5,r,D6,D5,D5,D4,D5,D4,F2,F2,F1,F4,D4,F3,F2,D4,D4,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
7.0,2.1212,4,1.0,r,D6,D5,D5,D4,D5,D4,F2,F2,F1,F4,D4,F3,F2,D4,D4,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
7.25,2.197,4,1.25,r,D6,D5,D5,D4,D5,D4,F2,F2,F1,F4,D4,F3,F2,D4,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
7.5,2.2727,4,1.5,r,F6,F5,F5,F5,F5,F4,F4,F3,F2,F4,D4,F4,F3,D4,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
7.75,2.3485,4,1.75,r,F6,F5,F5,F5,F5,F4,F4,F3,F2,F4,D4,F4,F3,D4,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
8.0,2.4242,4,2.0,r,F6,F5,F5,F5,F5,F4,F4,F3,F2,F4,D4,F4,F3,r,r,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
8.5,2.5758,4,2.5,r,A5,A5,A4,A4,A4,A3,A3,A2,A1,F4,D4,r,r,A4,A3,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
9.0,2.7273,4,3.0,r,A5,A5,A4,A4,A4,A3,A3,A2,A1,F4,D4,r,r,A4,A3,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
9.5,2.8788,4,3.5,r,D6,D6,D6,D5,D5,D4,D4,D3,D2,F4,D4,D4,D3,D5,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
10.0,3.0303,5,1.0,r,D6,D6,D6,D5,D5,D4,D4,D3,D2,F4,D4,D4,D3,D5,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
10.5,3.1818,5,1.5,r,F5,F5,F5,F4,F4,F3,F3,F2,F1,F4,D4,D4,D3,D5,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
11.0,3.3333,5,2.0,r,F5,F5,F5,F4,F4,F3,F3,F2,F1,F4,D4,r,r,r,r,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
11.5,3.4848,5,2.5,r,A5,A5,A5,A4,A5,A4,A3,A2,A1,F4,D4,r,r,A5,A4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
12.0,3.6364,5,3.0,r,A5,A5,A5,A4,A5,A4,A3,A2,A1,F4,D4,r,r,A5,A4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
12.5,3.7879,5,3.5,r,D5,D5,D5,D4,D5,D4,D3,D2,D1,F4,D4,D4,D3,D5,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
13.0,3.9394,6,1.0,r,D5,D5,D5,D5,D5,D4,D3,D2,D1,F4,D4,D4,D3,D5,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
13.5,4.0909,6,1.5,r,D6,F5,F5,F5,F5,F4,D3,D2,D1,D4,D3,D4,D3,D5,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
14.0,4.2424,6,2.0,r,D6,F5,F5,F5,F5,F4,D3,D2,D1,D4,D3,D4,D3,D5,D4,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
