qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Pauken,Violin 1,Violin 2,Viola,Violoncello,Contrabass
156.0,160.5,,,,,,,,,P3(F Horn 2)&P5(F Horn 3)&P7(F Horn 4),P3(F Horn 1)&P3(F Horn 3)&P5(F Horn 4),P5(F Horn 1)&P3(F Horn 2)&P3(F Horn 4),P7(F Horn 1)&P5(F Horn 2)&P3(F Horn 3),,,,,,,,,,Main Part,,
160.5,168.0,,,,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,P3(F Horn 4),P3(F Horn 3),,,,,,,,Main Part,,,U(Bassoon 1)&U(Bassoon 2),
168.0,184.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2),U(Flute 1)&U(Flute 2)&U(Oboe 2),U(Flute 1)&U(Flute 2)&U(Oboe 1),,,Main Part,U(Main)&U(Violoncello),,,,,,,,,,,,,,,U(Main)&U(Bassoon 2),
184.0,200.0,Main Part,,U(Oboe 2),U(Oboe 1),,,,,,,,,,,,,,,,U(Main),,,,
200.0,204.0,Main Part,,,,,,,,P5(F Horn 2)&P3(F Horn 3)&P8(F Horn 4)&P3(Viola),P5(F Horn 1)&P3(F Horn 3)&P5(F Horn 4)&P3(Viola),P3(F Horn 1)&P3(F Horn 2)&P3(F Horn 4)&P3(Violin 2)&P8(Viola),P8(F Horn 1)&P5(F Horn 2)&P3(F Horn 3)&P3(Viola),,,,,,,,U(Main),P3(F Horn 3)&P3(Viola),P3(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P3(F Horn 4)&P3(Violin 2),,
204.0,208.0,,,,,,,,,P3(F Horn 3),P5(F Horn 4),P3(F Horn 1),P5(F Horn 2),,,,,,,,,,Main Part,,
208.0,212.0,,,,,,,,,P3(F Horn 3)&P4(F Horn 4),P4(F Horn 3),P3(F Horn 1)&P4(F Horn 2)&P2(F Horn 4),P4(F Horn 1)&P2(F Horn 3),,,,,,,,Main Part,,,,
212.0,216.0,,,P3(Oboe 2)&U(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&P3(Bass Trombone)&P3(Contrabass),P3(Oboe 1)&P3(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Alto Trombone)&P8(Tenor Trombone)&P5(Bass Trombone)&P5(Contrabass),U(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&P3(Bass Trombone)&P3(Contrabass),P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet)&U(Alto Trombone)&P3(Tenor Trombone)&P3(Bass Trombone)&P3(Contrabass),,,,P4(F Horn 3)&P3(F Horn 4),P4(F Horn 2)&P2(F Horn 4),P3(F Horn 2)&P2(F Horn 3),,,,P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet)&U(Bb Clarinet 2)&P3(Tenor Trombone)&P3(Bass Trombone)&P3(Contrabass),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Alto Trombone)&P5(Bass Trombone)&P5(Contrabass),P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Alto Trombone)&P5(Tenor Trombone)&P8(Contrabass),,,,Main Part,,P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Alto Trombone)&P5(Tenor Trombone)&P8(Bass Trombone)
216.0,224.0,U(Flute 2),U(Flute 1),U(Bb Clarinet)&P8(Bb Clarinet 2),,U(Oboe 1)&P8(Bb Clarinet 2),P8(Oboe 1)&P8(Bb Clarinet),P4(F Horn 2),,Main Part,P4(Bassoon 1),,,,,,P3(Bass Trombone),,P3(Alto Trombone),,,,,P8(Contrabass),P8(Violoncello)
224.0,230.5,U(Flute 2),U(Flute 1),P8(Oboe 2)&U(Bb Clarinet)&P8(Bb Clarinet 2),P8(Oboe 1)&P8(Bb Clarinet)&U(Bb Clarinet 2),U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet),,,Main Part,U(Main)&U(Viola),U(F Horn 4),U(F Horn 3),,,,P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),,,,U(Main)&U(F Horn 2),P8(Contrabass),P8(Violoncello)
230.5,232.0,U(Flute 2),U(Flute 1),P8(Main)&U(Bb Clarinet)&P8(Bb Clarinet 2)&U(Violin 1),Main Part,U(Oboe 1)&P8(Main)&P8(Bb Clarinet 2)&U(Violin 1),P8(Oboe 1)&U(Main)&P8(Bb Clarinet)&P8(Violin 1),,,U(F Horn 2)&P4(F Horn 3)&P4(F Horn 4),U(F Horn 1)&P4(F Horn 3)&P4(F Horn 4),P4(F Horn 1)&P4(F Horn 2)&U(F Horn 4),P4(F Horn 1)&P4(F Horn 2)&U(F Horn 3),U(F Trumpet 2)&P6(F Trumpet 3)&P6(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone),U(F Trumpet 1)&P6(F Trumpet 3)&P6(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone),P6(F Trumpet 1)&P6(F Trumpet 2)&U(Alto Trombone)&P3(Tenor Trombone)&P6(Bass Trombone),P6(F Trumpet 1)&P6(F Trumpet 2)&U(F Trumpet 3)&P3(Tenor Trombone)&P6(Bass Trombone),P4(F Trumpet 1)&P4(F Trumpet 2)&P3(F Trumpet 3)&P3(Alto Trombone)&P4(Bass Trombone),P8(F Trumpet 1)&P8(F Trumpet 2)&P6(F Trumpet 3)&P6(Alto Trombone)&P4(Tenor Trombone),,U(Oboe 1)&P8(Main)&U(Bb Clarinet)&P8(Bb Clarinet 2),,,P8(Contrabass),P8(Violoncello)
