qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Pauken,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
0.6667,0.5715,1,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
1.3333,1.1428,1,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
2.0,1.7143,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
2.6667,2.2857,1,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
3.3333,2.8571,1,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
4.0,3.4286,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
4.6667,4.0,2,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
5.3333,4.5714,2,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
6.0,5.1429,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,E3,E2
6.6667,5.7143,2,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
7.3333,6.2857,2,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
8.0,6.8571,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,B-3,B-2,B-1
8.6667,7.4286,3,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
9.3333,8.0,3,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
10.0,8.5714,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
10.6667,9.1429,3,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
11.3333,9.7143,3,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
12.0,10.2857,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
12.6667,10.8572,4,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
13.3333,11.4285,4,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
14.0,12.0,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
14.6667,12.5715,4,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,G3,G2,G1
15.3333,13.1428,4,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,G3,G2,G1
16.0,13.7143,5,1.0,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
16.6667,14.2857,5,1.3333,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
17.3333,14.8571,5,1.6667,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
18.0,15.4286,5,2.0,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
18.6667,16.0,5,2.3333,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
19.0,16.2857,5,2.5,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
19.3333,16.5714,5,2.6667,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
20.0,17.1429,6,1.0,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
20.6667,17.7143,6,1.3333,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
21.0,18.0,6,1.5,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
21.3333,18.2857,6,1.6667,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
22.0,18.8571,6,2.0,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,E3,E2
22.6667,19.4286,6,2.3333,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
23.3333,20.0,6,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
