qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,B Horn 3 [NB: B natural],B Horn 4 [NB: B natural],B Trumpet 1 [NB: B natural],B Trumpet 2 [NB: B natural],Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,20.0,P3(Flute 2)&P8(Contrabass),P3(Flute 1)&P3(Contrabass),,,Main Part,,,,,,,,,,,,,,P8(Flute 1)&P3(Flute 2)
20.0,36.0,Main Part,,,,,,,,,,,,,,,,,,
36.0,47.0,,P8(Bassoon 1)&P5(Bassoon 2),U(Oboe 2),U(Oboe 1),,,P8(Flute 2)&P5(Bassoon 2),P5(Flute 2)&P5(Bassoon 1),,,,,,,Main Part,,,,
47.0,50.0,Main Part,,P8(Main)&U(Oboe 2),P8(Main)&U(Oboe 1),,,,,,,,,,,,,,,
50.0,55.0,,,U(Oboe 2)&P8(Bassoon 1),U(Oboe 1)&P8(Bassoon 1),,,P8(Oboe 1)&P8(Oboe 2),,Main Part,,,,,,,U(Main),,,
55.0,64.0,P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Contrabass),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Contrabass),Main Part,,P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bassoon 2)&P8(Contrabass),,P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Contrabass),,,,,,,,,,,P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)
64.0,72.0,Main Part,P8(Bb Clarinet 2),,,,P8(Flute 2),,,,,,,,,,,,,
72.0,74.0,Main Part,P8(Bb Clarinet 2)&P8(Bassoon 1),U(Oboe 2),U(Oboe 1),P8(Main),P8(Flute 2)&P8(Bassoon 1),P8(Flute 2)&P8(Bb Clarinet 2),,,,,,,,,,,,
74.0,76.0,P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),Main Part,,P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2)&P3(Bassoon 1),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bassoon 1),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),,,,,,,,,,,,
76.0,78.0,Main Part,P8(Bb Clarinet 2)&P8(Bassoon 1),,,P8(Main),P8(Flute 2)&P8(Bassoon 1),P8(Flute 2)&P8(Bb Clarinet 2),,,,,,,,,,,,
