score_qstamp,qstamp,measure,beat,736441_tstamp,729167_tstamp,711707_tstamp,723421_tstamp,RNS_tstamp,measure_fraction,label,part,part_num,instrument
72.2917,72.2917,26,1.1667,124.1817,114.8739,117.2739,120.2339,128.5017,0.0556,c,Vln 1,13,Vln
85.0,85.0,30,1.875,143.1086,134.1072,136.4886,140.1486,149.3086,0.2917,c,Fl 1,0,Fl
86.125,86.125,30,3.0,144.6757,135.6757,138.0957,141.7557,150.9557,0.6667,c,Vln 1,13,Vln
88.0,88.0,31,1.875,147.6143,138.6143,141.1943,144.8343,154.1743,0.2917,c,Fl 1,0,Fl
89.125,89.125,31,3.0,149.2014,140.2214,142.6214,146.4014,155.8014,0.6667,c,Vln 1,13,Vln
91.0,91.0,32,1.875,151.82,142.84,145.3333,149.14,158.82,0.2917,c,Fl 1,0,Fl
92.125,92.125,32,3.0,153.4671,144.5671,147.0471,151.1142,160.8271,0.6667,c,Vln 1,13,Vln
94.0,94.0,33,1.875,156.4057,147.4457,149.9257,153.7457,163.7457,0.2917,c,Fl 1,0,Fl
95.125,95.125,33,3.0,158.1329,149.1129,151.5329,155.9529,165.7929,0.6667,c,Vln 1,13,Vln
99.125,99.125,35,1.0,164.1613,154.8471,157.4284,162.1213,172.0342,0.0,d,Vla,15,Vla
111.125,111.125,38,1.0,168.2871,158.6071,161.5271,166.0271,175.7071,0.0,d,Vln 1,13,Vln
111.125,511.125,38,1.0,291.8454,257.4918,242.074,290.1639,305.7271,0.0,d,Vln 1,13,Vln
115.125,115.125,39,1.0,169.6671,160.0671,162.8471,167.4942,177.0071,0.0,d,Vla,15,Vla
115.125,515.125,39,1.0,291.8474,257.6071,242.2871,290.1652,307.0471,0.0,d,Vla,15,Vla
127.125,127.125,42,1.0,173.6271,163.7671,166.7871,171.5671,180.6471,0.0,d,Ob 1,2,Ob
127.125,527.125,42,1.0,291.8532,257.6267,242.6301,290.1691,310.7071,0.0,d,Ob 1,2,Ob
131.125,131.125,43,1.0,175.0742,165.0071,168.2271,173.1071,181.9671,0.0,d,Vla,15,Vla
131.125,531.125,43,1.0,291.8552,257.6289,242.661,290.1704,312.0471,0.0,d,Vla,15,Vla
135.125,135.125,44,1.0,176.3671,166.2071,169.4271,174.3871,183.1671,0.0,d,Ob 1,2,Ob
135.125,535.125,44,1.0,291.8571,257.6311,242.6828,290.1718,313.2471,0.0,d,Ob 1,2,Ob
151.125,151.125,48,1.0,181.8013,171.3271,174.8071,180.0871,188.2471,0.0,d,Vln 1,13,Vln
151.125,551.125,48,1.0,292.0825,257.6407,242.7014,290.177,318.4671,0.0,d,Vln 1,13,Vln
169.125,169.125,52,3.0,187.9768,176.9671,180.8942,186.3484,193.9671,0.5,d,Cl 1,4,Cl
169.125,569.125,52,3.0,292.1096,257.6863,242.7137,291.2247,324.2071,0.5,d,Cl 1,4,Cl
176.125,176.125,54,2.0,190.3271,179.1071,183.2071,188.6471,196.1671,0.25,d,Vln 1,13,Vln
176.125,576.125,54,2.0,292.1134,257.6889,242.7185,291.5579,326.4671,0.25,d,Vln 1,13,Vln
185.125,185.125,56,3.0,193.4213,181.8471,186.2142,191.7813,199.0542,0.5,d,Cl 1,4,Cl
185.125,585.125,56,3.0,292.1184,257.6922,243.6294,291.7875,329.3742,0.5,d,Cl 1,4,Cl
192.875,192.875,58,2.75,196.0921,184.2321,188.7521,194.3921,201.5521,0.4375,d,Vln 1,13,Vln
192.875,592.875,58,2.75,292.1354,257.695,243.6459,291.8643,331.8921,0.4375,d,Vln 1,13,Vln
194.125,194.125,58,4.0,196.4942,184.6671,189.1871,194.8071,201.9271,0.75,d,Bsn 1,6,Bsn
194.125,594.125,58,4.0,292.1394,257.6955,243.6472,291.8675,332.2671,0.75,d,Bsn 1,6,Bsn
200.875,200.875,60,2.75,198.8521,186.7721,191.3721,197.0921,204.1242,0.4375,d,Vln 1,13,Vln
200.875,600.875,60,2.75,292.4893,257.6979,243.6541,291.9027,334.5321,0.4375,d,Vln 1,13,Vln
202.125,202.125,60,4.0,199.2671,187.1471,191.7471,197.4871,204.5471,0.75,d,Bsn 1,6,Bsn
202.125,602.125,60,4.0,292.6071,257.6984,243.6553,291.9057,334.9071,0.75,d,Bsn 1,6,Bsn
207.125,207.125,62,1.0,200.9671,188.6671,193.5813,199.2271,206.1071,0.0,e,Vln 1,13,Vln
207.125,607.125,62,1.0,293.1871,257.8871,243.7871,291.9177,336.5071,0.0,e,Vln 1,13,Vln
215.625,215.625,64,1.5,203.8171,191.3771,196.4171,202.1171,208.9171,0.125,e,Fl 1,0,Fl
215.625,615.625,64,1.5,293.5,258.9479,244.3195,293.2438,339.2971,0.125,e,Fl 1,0,Fl
224.125,224.125,66,2.0,206.6271,194.0413,199.2071,205.0071,211.5871,0.25,e,Vln 1,13,Vln
224.125,624.125,66,2.0,295.6671,258.9624,244.3247,293.6471,341.9671,0.25,e,Vln 1,13,Vln
232.125,232.125,68,2.0,209.3671,196.5071,201.8471,207.8271,214.2071,0.25,e,Bsn 1,6,Bsn
232.125,632.125,68,2.0,295.8511,258.9759,244.3292,293.7947,344.6071,0.25,e,Bsn 1,6,Bsn
237.625,237.625,69,3.5,211.1971,198.3171,203.6571,209.7171,215.9971,0.625,e,Fl 1,0,Fl
237.625,637.625,69,3.5,296.2771,259.002,244.3323,294.4971,346.3771,0.625,e,Fl 1,0,Fl
