scene_start,focal_instrument
0.0,Orchestra
11.4625825881958,🤵‍ Conductor
44.1630973815918,Orchestra
54.3624725341797,🎺 Trumpets
64.7627716064453,🎻 Violins
72.9631958007813,Clarinet
82.0631790161133,🪈 Flute
90.0638809204102,🤵‍ Conductor
93.9738922119141,Orchestra
102.873428344727,Violas
113.073913574219,Cellos
128.873504638672,🎺 Trumpets
141.874160766602,Orchestra
146.8740234375,🤵‍ Conductor
155.473159790039,Trombones
166.273513793945,🎺 Trumpets
172.372848510742,Conductor
181.473236083984,Orchestra
196.845779418945,Contrabasses
208.645095825195,Clarinet
215.245590209961,Orchestra
234.844619750977,🎻 Violins
246.145599365234,🤵‍ Conductor
250.24560546875,Contrabasses
255.845596313477,Orchestra
268.64453125,Trombones
283.843963623047,Orchestra
292.745056152344,🤵‍ Conductor
299.845001220703,Flutes
307.14453125,🎺 Trumpets
317.244049072266,Orchestra
329.044464111328,🤵‍ Conductor
335.443542480469,🎻 Violins
365.665771484375,🤵‍ Conductor
373.465545654297,Cellos
382.065368652344,🎻 Violins
390.465240478516,Orchestra
397.265686035156,🎻 Violins
410.565826416016,🤵‍ Conductor
422.765380859375,Horns
430.76513671875,🤵‍ Conductor
437.164978027344,🎺 Trumpets
444.065032958984,🎻 Violins
457.064697265625,Orchestra
467.664459228516,Cellos
473.964447021484,Flutes
480.764678955078,🤵‍ Conductor
486.664123535156,🎺 Trumpets
493.965087890625,🤵‍ Conductor
505.614318847656,Orchestra
516.301195546767,🎻 Violins
528.513916015625,Horns
541.11328125,🤵‍ Conductor
546.713745117188,Orchestra
550.713134765625,Horns
554.713500976563,Orchestra
564.312927246094,Orchestra
571.5126953125,Orchestra
582.213439941406,👏 Seattle Symphony
