qstamp,tstamp,measure,beat,Violin solo,Tenor,Continuo
23.1667,21.0606,9,2.1667,G5,r,r
23.3333,21.2121,9,2.3333,G5,r,r
23.5,21.3636,9,2.5,G5,r,r
23.6667,21.5152,9,2.6667,A5,r,r
23.8333,21.6666,9,2.8333,A5,r,r
24.0,21.8182,9,3.0,C6,r,r
24.1667,21.9697,9,3.1667,B5,r,r
24.3333,22.1212,9,3.3333,B5,r,r
24.5,22.2727,9,3.5,G5,r,B2
24.6667,22.4243,9,3.6667,A5,r,B2
24.8333,22.5757,9,3.8333,A5,r,B2
25.0,22.7273,10,1.0,G5,r,E3
25.25,22.9545,10,1.25,E5,r,E3
25.5,23.1818,10,1.5,C#5,r,G3
25.75,23.4091,10,1.75,C#5,r,F#3
26.0,23.6364,10,2.0,C#5,r,E3
26.1667,23.7879,10,2.1667,D5,r,E3
26.3333,23.9394,10,2.3333,D5,r,E3
26.5,24.0909,10,2.5,F#5,r,D3
26.6667,24.2425,10,2.6667,G#5,r,D3
26.8333,24.3939,10,2.8333,G#5,r,D3
27.0,24.5455,10,3.0,B5,r,C#3
27.1667,24.697,10,3.1667,C#6,r,C#3
27.3333,24.8485,10,3.3333,C#6,r,C#3
27.5,25.0,10,3.5,E6,r,B2
27.75,25.2273,10,3.75,G5,r,B2
28.0,25.4545,11,1.0,F#5,r,B-2
28.25,25.6818,11,1.25,C#5,r,B-2
28.5,25.9091,11,1.5,B-4,r,F#3
28.75,26.1364,11,1.75,B-4,r,G3
29.0,26.3636,11,2.0,B-4,r,F#3
29.1667,26.5152,11,2.1667,C#5,r,F#3
29.3333,26.6666,11,2.3333,C#5,r,F#3
29.5,26.8182,11,2.5,G5,r,E3
29.6667,26.9697,11,2.6667,F#5,r,E3
29.8333,27.1212,11,2.8333,F#5,r,E3
30.0,27.2727,11,3.0,F#5,r,D3
30.1667,27.4243,11,3.1667,B-5,r,D3
30.3333,27.5757,11,3.3333,B-5,r,D3
30.5,27.7273,11,3.5,E6,r,C#3
30.6667,27.8788,11,3.6667,D6,r,C#3
30.8333,28.0303,11,3.8333,D6,r,C#3
31.0,28.1818,12,1.0,D6,r,B2
31.5,28.6364,12,1.5,D6,r,C#3
31.625,28.75,12,1.625,C#6,r,C#3
31.75,28.8636,12,1.75,B5,r,C#3
31.875,28.9773,12,1.875,B-5,r,C#3
32.0,29.0909,12,2.0,B5,r,D3
32.125,29.2045,12,2.125,A5,r,D3
32.25,29.3182,12,2.25,G5,r,D3
32.375,29.4318,12,2.375,F#5,r,D3
32.5,29.5455,12,2.5,G5,r,E3
32.75,29.7727,12,2.75,E5,r,E3
33.0,30.0,12,3.0,D5,r,F#3
33.25,30.2273,12,3.25,B5,r,F#3
33.5,30.4545,12,3.5,C#5,r,F#2
33.75,30.6818,12,3.75,B-5,r,F#2
34.0,30.9091,13,1.0,B5,r,r
34.5,31.3636,13,1.5,B5,r,B2
34.75,31.5909,13,1.75,F#5,r,B2
34.875,31.7045,13,1.875,E5,r,B2
35.0,31.8182,13,2.0,F#5,r,D3
35.1667,31.9697,13,2.1667,D5,r,D3
35.3333,32.1212,13,2.3333,D5,r,D3
35.5,32.2727,13,2.5,D5,r,F#3
35.6667,32.4243,13,2.6667,B4,r,F#3
35.8333,32.5757,13,2.8333,B4,r,F#3
36.0,32.7273,13,3.0,B4,D4,B3
36.25,32.9545,13,3.25,B4,C#4,B3
36.5,33.1818,13,3.5,r,B3,B3
36.75,33.4091,13,3.75,r,D4,B3
37.0,33.6364,14,1.0,r,C#4,B3
37.5,34.0909,14,1.5,C#6,F#3,B-3
37.75,34.3182,14,1.75,C#6,F#3,G#3
38.0,34.5455,14,2.0,C#6,E4,B-3
38.25,34.7727,14,2.25,G5,E4,B-3
38.375,34.8864,14,2.375,F#5,E4,B-3
38.5,35.0,14,2.5,E5,E4,B-3
38.75,35.2273,14,2.75,C#6,F#4,B-3
38.875,35.3409,14,2.875,C#6,G4,B-3
39.0,35.4545,14,3.0,D5,F#4,r
39.25,35.6818,14,3.25,B5,F#4,r
39.5,35.9091,14,3.5,C#5,E4,F#3
39.75,36.1364,14,3.75,B-5,E4,F#3
40.0,36.3636,15,1.0,B5,D4,B3
40.5,36.8182,15,1.5,r,E4,F#3
40.75,37.0455,15,1.75,r,C#4,F#3
41.0,37.2727,15,2.0,r,D4,B2
41.5,37.7273,15,2.5,r,D4,C#3
41.75,37.9545,15,2.75,r,E4,C#3
41.875,38.0682,15,2.875,r,F#4,C#3
