qstamp,tstamp,measure,beat,Violin solo,Tenor,Continuo
122.75,111.5909,42,2.75,D6,D4,B2
123.0,111.8182,42,3.0,F#6,C#4,B-2
123.25,112.0455,42,3.25,F#6,E4,B-2
123.5,112.2727,42,3.5,r,D4,B2
124.0,112.7273,43,1.0,r,C#4,F#2
124.25,112.9545,43,1.25,E5,C#4,F#2
124.5,113.1818,43,1.5,D5,B-3,F#2
124.75,113.4091,43,1.75,C#5,B-3,F#2
125.0,113.6364,43,2.0,D5,F#3,F#2
125.25,113.8636,43,2.25,C#5,F#3,F#2
125.5,114.0909,43,2.5,B4,D4,F#2
125.75,114.3182,43,2.75,B-4,D4,F#2
126.0,114.5455,43,3.0,C#5,E4,F#2
126.25,114.7727,43,3.25,B4,D4,F#2
126.5,115.0,43,3.5,B-4,C#4,F#2
126.75,115.2273,43,3.75,G#4,B3,F#2
127.0,115.4545,44,1.0,B-4,C#4,F#2
127.1667,115.6061,44,1.1667,B4,C#4,F#2
127.25,115.6818,44,1.25,B4,F4,F#2
127.3333,115.7575,44,1.3333,B4,F4,F#2
127.5,115.9091,44,1.5,D5,F#4,F#2
127.6667,116.0606,44,1.6667,C#5,F#4,F#2
127.8333,116.2121,44,1.8333,C#5,F#4,F#2
128.0,116.3636,44,2.0,C#5,F#3,r
128.1667,116.5152,44,2.1667,D5,F#3,r
128.3333,116.6666,44,2.3333,D5,F#3,r
128.5,116.8182,44,2.5,F#5,F#3,B-3
128.6667,116.9697,44,2.6667,E5,F#3,B-3
128.75,117.0455,44,2.75,E5,F#3,B3
128.8333,117.1212,44,2.8333,E5,F#3,B3
129.0,117.2727,44,3.0,E5,r,C#4
129.5,117.7273,44,3.5,r,B-3,E3
130.0,118.1818,45,1.0,r,B3,D3
130.25,118.4091,45,1.25,r,C#4,D3
130.5,118.6364,45,1.5,r,D4,C#3
130.75,118.8636,45,1.75,r,E4,C#3
131.0,119.0909,45,2.0,r,F#4,D3
131.25,119.3182,45,2.25,r,E4,D3
131.5,119.5455,45,2.5,r,G4,E3
131.75,119.7727,45,2.75,r,F#4,E3
132.0,120.0,45,3.0,r,E4,F#3
132.25,120.2273,45,3.25,r,D4,F#3
132.5,120.4545,45,3.5,r,C#4,F#2
132.75,120.6818,45,3.75,r,B3,F#2
133.0,120.9091,46,1.0,r,F4,G#2
133.5,121.3636,46,1.5,r,B3,G#2
134.0,121.8182,46,2.0,F5,B3,C#3
134.25,122.0455,46,2.25,F5,B-3,C#3
134.5,122.2727,46,2.5,F5,B3,C#3
135.0,122.7273,46,3.0,F5,B3,C#2
135.25,122.9545,46,3.25,F5,B-3,C#2
135.5,123.1818,46,3.5,F5,B3,C#2
136.0,123.6364,47,1.0,F#5,B3,F#2
136.1667,123.7879,47,1.1667,E5,B3,F#2
136.25,123.8636,47,1.25,E5,B-3,F#2
136.3333,123.9394,47,1.3333,E5,B-3,F#2
136.5,124.0909,47,1.5,C#5,E4,F#3
136.6667,124.2425,47,1.6667,D5,E4,F#3
136.8333,124.3939,47,1.8333,D5,E4,F#3
137.0,124.5455,47,2.0,D5,r,F#3
137.1667,124.697,47,2.1667,C#5,r,F#3
137.3333,124.8485,47,2.3333,C#5,r,F#3
137.5,125.0,47,2.5,B-4,G4,E3
137.6667,125.1515,47,2.6667,B4,G4,E3
137.8333,125.303,47,2.8333,B4,G4,E3
138.0,125.4545,47,3.0,F#4,F#4,D3
138.25,125.6818,47,3.25,F#4,E4,D3
138.5,125.9091,47,3.5,r,D4,B-2
138.75,126.1364,47,3.75,r,C#4,B-2
139.0,126.3636,48,1.0,r,D4,B2
139.25,126.5909,48,1.25,r,B3,B2
139.5,126.8182,48,1.5,r,B-3,D3
139.75,127.0455,48,1.75,r,B3,D3
140.0,127.2727,48,2.0,r,E3,G3
140.25,127.5,48,2.25,r,D4,G3
140.5,127.7273,48,2.5,r,C#4,E3
140.75,127.9545,48,2.75,r,B3,E3
141.0,128.1818,48,3.0,r,F#3,F#3
141.25,128.4091,48,3.25,r,B3,F#3
141.5,128.6364,48,3.5,r,C#4,F#2
141.75,128.8636,48,3.75,r,B-3,F#2
142.0,129.0909,49,1.0,r,B3,r
142.5,129.5455,49,1.5,r,B3,B2
143.0,130.0,49,2.0,r,r,D3
143.5,130.4545,49,2.5,r,r,F#3
144.0,130.9091,49,3.0,B4,r,B3
144.25,131.1364,49,3.25,F#5,r,B3
144.5,131.3636,49,3.5,B5,r,B3
144.75,131.5909,49,3.75,D6,r,B3
145.0,131.8182,50,1.0,C#6,r,B3
145.5,132.2727,50,1.5,E5,r,B-3
145.75,132.5,50,1.75,E5,r,G#3
146.0,132.7273,50,2.0,E5,r,B-3
146.5,133.1818,50,2.5,D5,r,B-3
147.0,133.6364,50,3.0,C#5,r,r
147.5,134.0909,50,3.5,C#5,r,F#3
147.75,134.3182,50,3.75,D5,r,F#3
147.875,134.4318,50,3.875,E5,r,F#3
148.0,134.5455,51,1.0,D5,r,B2
148.1667,134.697,51,1.1667,C#5,r,B2
148.3333,134.8485,51,1.3333,C#5,r,B2
148.5,135.0,51,1.5,F#4,r,B3
148.6667,135.1515,51,1.6667,B4,r,B3
148.8333,135.303,51,1.8333,B4,r,B3
149.0,135.4545,51,2.0,D5,r,B3
149.1667,135.6061,51,2.1667,C#5,r,B3
149.3333,135.7575,51,2.3333,C#5,r,B3
149.5,135.9091,51,2.5,C#5,r,A3
149.6667,136.0606,51,2.6667,D5,r,A3
149.8333,136.2121,51,2.8333,D5,r,A3
150.0,136.3636,51,3.0,F#5,r,A3
150.1667,136.5152,51,3.1667,E5,r,A3
150.3333,136.6666,51,3.3333,E5,r,A3
150.5,136.8182,51,3.5,E5,r,G3
150.6667,136.9697,51,3.6667,F#5,r,G3
150.8333,137.1212,51,3.8333,F#5,r,G3
151.0,137.2727,52,1.0,C#5,r,A2
151.1667,137.4243,52,1.1667,B4,r,A2
151.3333,137.5757,52,1.3333,B4,r,A2
151.5,137.7273,52,1.5,E4,r,A3
151.6667,137.8788,52,1.6667,A4,r,A3
151.8333,138.0303,52,1.8333,A4,r,A3
152.0,138.1818,52,2.0,C#5,r,A3
152.1667,138.3334,52,2.1667,B4,r,A3
152.3333,138.4848,52,2.3333,B4,r,A3
152.5,138.6364,52,2.5,B4,r,G3
152.6667,138.7879,52,2.6667,C#5,r,G3
152.8333,138.9394,52,2.8333,C#5,r,G3
153.0,139.0909,52,3.0,E5,r,G3
153.1667,139.2425,52,3.1667,D5,r,G3
153.3333,139.3939,52,3.3333,D5,r,G3
153.5,139.5455,52,3.5,D5,r,F#3
153.6667,139.697,52,3.6667,E5,r,F#3
153.8333,139.8485,52,3.8333,E5,r,F#3
154.0,140.0,53,1.0,B4,r,G2
154.1667,140.1515,53,1.1667,A4,r,G2
154.3333,140.303,53,1.3333,A4,r,G2
154.5,140.4545,53,1.5,D4,r,G3
154.6667,140.6061,53,1.6667,G4,r,G3
154.8333,140.7575,53,1.8333,G4,r,G3
155.0,140.9091,53,2.0,B4,r,G3
155.1667,141.0606,53,2.1667,A4,r,G3
155.3333,141.2121,53,2.3333,A4,r,G3
155.5,141.3636,53,2.5,A4,r,F#3
155.6667,141.5152,53,2.6667,B4,r,F#3
155.8333,141.6666,53,2.8333,B4,r,F#3
156.0,141.8182,53,3.0,D5,r,F#3
156.1667,141.9697,53,3.1667,C#5,r,F#3
156.3333,142.1212,53,3.3333,C#5,r,F#3
156.5,142.2727,53,3.5,C#5,r,E3
156.6667,142.4243,53,3.6667,E-5,r,E3
156.8333,142.5757,53,3.8333,E-5,r,E3
157.0,142.7273,54,1.0,F#5,r,E-3
157.1667,142.8788,54,1.1667,E5,r,E-3
157.3333,143.0303,54,1.3333,E5,r,E-3
157.5,143.1818,54,1.5,E5,r,r
157.6667,143.3334,54,1.6667,F#5,r,r
157.8333,143.4848,54,1.8333,F#5,r,r
158.0,143.6364,54,2.0,A5,r,r
158.1667,143.7879,54,2.1667,G5,r,r
158.3333,143.9394,54,2.3333,G5,r,r
158.5,144.0909,54,2.5,G5,r,r
158.6667,144.2425,54,2.6667,A5,r,r
158.8333,144.3939,54,2.8333,A5,r,r
159.0,144.5455,54,3.0,C6,r,r
159.1667,144.697,54,3.1667,B5,r,r
159.3333,144.8485,54,3.3333,B5,r,r
159.5,145.0,54,3.5,G5,r,B2
159.6667,145.1515,54,3.6667,A5,r,B2
159.8333,145.303,54,3.8333,A5,r,B2
160.0,145.4545,55,1.0,G5,r,E3
160.25,145.6818,55,1.25,E5,r,E3
160.5,145.9091,55,1.5,C#5,r,G3
160.75,146.1364,55,1.75,C#5,r,F#3
161.0,146.3636,55,2.0,C#5,r,E3
161.1667,146.5152,55,2.1667,D5,r,E3
161.3333,146.6666,55,2.3333,D5,r,E3
161.5,146.8182,55,2.5,F#5,r,D3
161.6667,146.9697,55,2.6667,G#5,r,D3
161.8333,147.1212,55,2.8333,G#5,r,D3
162.0,147.2727,55,3.0,B5,r,C#3
162.1667,147.4243,55,3.1667,C#6,r,C#3
162.3333,147.5757,55,3.3333,C#6,r,C#3
162.5,147.7273,55,3.5,E6,r,B2
162.75,147.9545,55,3.75,G5,r,B2
163.0,148.1818,56,1.0,F#5,r,B-2
163.25,148.4091,56,1.25,C#5,r,B-2
163.5,148.6364,56,1.5,B-4,r,F#3
163.75,148.8636,56,1.75,B-4,r,G3
164.0,149.0909,56,2.0,B-4,r,F#3
164.1667,149.2425,56,2.1667,C#5,r,F#3
164.3333,149.3939,56,2.3333,C#5,r,F#3
164.5,149.5455,56,2.5,G5,r,E3
164.6667,149.697,56,2.6667,F#5,r,E3
164.8333,149.8485,56,2.8333,F#5,r,E3
165.0,150.0,56,3.0,F#5,r,D3
165.1667,150.1515,56,3.1667,B-5,r,D3
165.3333,150.303,56,3.3333,B-5,r,D3
165.5,150.4545,56,3.5,E6,r,C#3
165.6667,150.6061,56,3.6667,D6,r,C#3
165.8333,150.7575,56,3.8333,D6,r,C#3
166.0,150.9091,57,1.0,D6,r,B2
166.5,151.3636,57,1.5,D6,r,C#3
166.625,151.4773,57,1.625,C#6,r,C#3
166.75,151.5909,57,1.75,B5,r,C#3
166.875,151.7045,57,1.875,B-5,r,C#3
167.0,151.8182,57,2.0,B5,r,D3
167.125,151.9318,57,2.125,A5,r,D3
167.25,152.0455,57,2.25,G5,r,D3
167.375,152.1591,57,2.375,F#5,r,D3
167.5,152.2727,57,2.5,G5,r,E3
167.75,152.5,57,2.75,E5,r,E3
168.0,152.7273,57,3.0,D5,r,F#3
168.25,152.9545,57,3.25,B5,r,F#3
168.5,153.1818,57,3.5,C#5,r,F#2
168.75,153.4091,57,3.75,B-5,r,F#2
169.0,153.6364,58,1.0,B4,r,B2
