qstamp_start,qstamp_end,Violin solo,Tenor,Continuo
0.0,6.0,Main Part,,
6.0,13.0,Main Part,,
13.0,19.0,Main Part,,
19.0,25.0,Main Part,,
25.0,36.0,Main Part,,
36.0,38.25,,Main Part,
38.25,40.0,Main Part,,
40.0,47.1667,,Main Part,
47.1667,48.5,Main Part,,
48.5,51.25,,Main Part,
51.25,52.0,Main Part,,
52.0,58.25,,Main Part,
58.25,60.5,Main Part,,
60.5,64.25,,Main Part,
64.25,65.5,Main Part,,
65.5,67.25,,Main Part,
67.25,68.5,Main Part,,
68.5,72.5,,Main Part,
72.5,75.0,,Main Part,
75.0,86.0,Main Part,,
86.0,93.5,Main Part,,
93.5,94.25,,Main Part,
94.25,95.5,Main Part,,
95.5,97.25,,Main Part,
97.25,98.5,Main Part,,
98.5,100.25,,Main Part,
100.25,101.5,Main Part,,
101.5,104.1667,,Main Part,
104.1667,105.5,Main Part,,
105.5,108.25,,Main Part,
108.25,110.25,Main Part,,
110.25,111.25,,Main Part,
111.25,113.5,Main Part,,
113.5,115.5,,Main Part,
115.5,117.5,Main Part,,
117.5,121.25,,Main Part,
121.25,122.5,Main Part,,
122.5,124.25,,Main Part,
124.25,129.5,Main Part,,
129.5,136.0,,Main Part,
136.0,137.5,Main Part,,
137.5,144.0,,Main Part,
144.0,148.0,Main Part,,
148.0,154.0,Main Part,,
154.0,160.0,Main Part,,
160.0,169.0,Main Part,,
