qstamp_start,qstamp_end,Oboe d’amore 1,Oboe d’amore 2,Violin 1,Violin 2,Viola,Soprano 1 solo,Alto solo,Continuo
0.0,1.0,U(Oboe d’amore 2)&U(Main),U(Oboe d’amore 1)&U(Main),Main Part,,,,,
1.0,3.0,U(Oboe d’amore 2)&U(Violin 1),U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 1)&U(Oboe d’amore 2),Main Part,,,,
3.0,4.0,U(Oboe d’amore 2)&U(Violin 1),U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 1)&U(Oboe d’amore 2),Main Part,,,,
4.0,6.5,U(Oboe d’amore 2)&U(Main),U(Oboe d’amore 1)&U(Main),Main Part,,,,,
6.5,8.5,U(Oboe d’amore 2)&U(Main),U(Oboe d’amore 1)&U(Main),Main Part,,,,,
8.5,10.5,U(Oboe d’amore 2)&U(Main),U(Oboe d’amore 1)&U(Main),Main Part,,,,,
10.5,16.0,U(Oboe d’amore 2)&U(Violin 1),U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 1)&U(Oboe d’amore 2),Main Part,,,,
16.0,22.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
22.5,24.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
24.5,32.0,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
32.0,33.0,P8(Oboe d’amore 2)&U(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Main),P8(Oboe d’amore 1)&P8(Violin 1)&U(Violin 2)&P3(Viola)&U(Main),U(Oboe d’amore 1)&P8(Oboe d’amore 2)&P8(Violin 2)&P3(Viola)&P8(Main),P8(Oboe d’amore 1)&U(Oboe d’amore 2)&P8(Violin 1)&P3(Viola)&U(Main),P3(Oboe d’amore 1)&P3(Oboe d’amore 2)&P3(Violin 1)&P3(Violin 2)&P3(Main),Main Part,,
33.0,34.0,,,,,,,Main Part,
34.0,35.0,,,,,,Main Part,,
35.0,36.0,,,,,,,Main Part,
36.0,38.5,,,P4(Viola),,P4(Violin 1),Main Part,,
38.5,40.5,,,,,,Main Part,,
40.5,42.5,,,,,,,Main Part,
42.5,44.5,,,,,,Main Part,,
44.5,46.5,,,,,,,Main Part,
46.5,52.0,P5(Oboe d’amore 2),P5(Oboe d’amore 1),,,,Main Part,,
52.0,58.5,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
58.5,60.5,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
60.5,64.25,,,,,,Main Part,,
64.25,68.25,,,Main Part,,P5(Alto solo),,P5(Viola),
68.25,72.25,,,,Main Part,,,,
72.25,74.25,,,Main Part,,,,,
74.25,76.25,,,,Main Part,,,,
76.25,78.25,,,Main Part,,,,,
78.25,80.0,,,,Main Part,,,,
80.0,84.0,,,,,,Main Part,,
84.0,86.5,,,,,,Main Part,,
86.5,91.0,,,,,,Main Part,,
91.0,92.0,,,P3(Alto solo),,,Main Part,P3(Violin 1),
92.0,95.0,,,,,,,Main Part,
95.0,96.0,,,,U(Alto solo),,Main Part,U(Violin 2),
96.0,97.0,,,,,,,Main Part,
97.0,98.25,,,,,,Main Part,,
98.25,100.25,,,,Main Part,,,,
100.25,102.25,,,Main Part,,,,,
102.25,104.0,,,,,Main Part,,,
104.0,108.0,U(Violin 1),,U(Oboe d’amore 1),,,Main Part,,
108.0,116.0,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,P8(Alto solo),P8(Soprano 1 solo),
116.0,122.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
122.5,124.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
124.5,126.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
126.5,132.0,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
132.0,133.0,P8(Oboe d’amore 2)&U(Violin 1)&P8(Violin 2)&P3(Viola)&P5(Main),P8(Oboe d’amore 1)&P8(Violin 1)&U(Violin 2)&P3(Viola)&P5(Main),U(Oboe d’amore 1)&P8(Oboe d’amore 2)&P8(Violin 2)&P3(Viola)&P5(Main),P8(Oboe d’amore 1)&U(Oboe d’amore 2)&P8(Violin 1)&P3(Viola)&P5(Main),P3(Oboe d’amore 1)&P3(Oboe d’amore 2)&P3(Violin 1)&P3(Violin 2)&P3(Main),Main Part,,
133.0,134.0,,,,,,,Main Part,
134.0,135.0,,,,,,Main Part,,
135.0,136.0,,,,,,,Main Part,
136.0,137.0,,,,,,Main Part,,
137.0,140.0,,,,,,,Main Part,
140.0,147.0,,,P5(Violin 2)&P8(Viola),P5(Violin 1)&P5(Viola),P8(Violin 1)&P5(Violin 2),Main Part,,
147.0,149.0,,,P6(Violin 2),P6(Violin 1),,Main Part,,
149.0,157.0,,,,,,,Main Part,
157.0,164.0,P6(Viola),,,,P6(Oboe d’amore 1),Main Part,,
164.0,172.0,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,P8(Alto solo),P8(Soprano 1 solo),
172.0,178.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
178.5,182.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
182.5,188.0,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
188.0,189.0,U(Oboe d’amore 2)&U(Violin 1)&U(Violin 2)&P6(Viola),U(Oboe d’amore 1)&U(Violin 1)&U(Violin 2)&P6(Viola),U(Oboe d’amore 1)&U(Oboe d’amore 2)&U(Violin 2)&P6(Viola),U(Oboe d’amore 1)&U(Oboe d’amore 2)&U(Violin 1)&P6(Viola),P6(Oboe d’amore 1)&P6(Oboe d’amore 2)&P6(Violin 1)&P6(Violin 2),,Main Part,
189.0,190.0,,,,,,Main Part,,
190.0,191.0,,,,,,,Main Part,
191.0,192.0,,,,,,Main Part,,
192.0,193.0,,,,,,,Main Part,
193.0,196.5,,,,,,Main Part,,
196.5,197.5,,,P4(Violin 2)&P8(Viola),P4(Violin 1)&P4(Viola),P8(Violin 1)&P4(Violin 2),,Main Part,
197.5,198.0,,,,,,Main Part,,
198.0,199.0,,,,,,,Main Part,
199.0,200.0,,,,,,Main Part,,
200.0,208.5,,,,,,,Main Part,
208.5,215.0,,,,,,Main Part,,
215.0,217.0,,,,,,,Main Part,
217.0,220.0,,,P3(Violin 2),P3(Violin 1),,Main Part,,
220.0,221.0,,,Main Part,P3(Main)&P3(Continuo),,,,P8(Main)&P3(Violin 2)
221.0,222.0,,,P3(Violin 2),P3(Violin 1),,Main Part,,
222.0,223.0,,,Main Part,P3(Main),,P3(Alto solo),P3(Soprano 1 solo),
223.0,224.0,,,P6(Violin 2)&P4(Continuo),P6(Violin 1)&P3(Continuo),,Main Part,P3(Main),P4(Violin 1)&P3(Violin 2)
224.0,225.0,,,Main Part,P6(Main)&P3(Continuo),,P6(Alto solo),P6(Soprano 1 solo),P4(Main)&P3(Violin 2)
225.0,226.0,,,P6(Violin 2),P6(Violin 1),,Main Part,P6(Main),
226.0,231.0,,,Main Part,,,,,
231.0,233.0,,,P5(Violin 2),P5(Violin 1),,Main Part,P3(Main),
233.0,238.5,,,Main Part,,,,,
238.5,248.0,,,,,,Main Part,,
248.0,249.0,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),P6(Continuo),,,P6(Viola)
249.0,250.0,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
250.0,251.0,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
251.0,252.0,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
252.0,254.5,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
254.5,256.5,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
256.5,258.5,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
258.5,260.5,U(Main),U(Violin 2),Main Part,U(Oboe d’amore 2),,,,
260.5,262.5,U(Violin 1),U(Violin 2),U(Oboe d’amore 1),U(Oboe d’amore 2),,,Main Part,
262.5,264.75,U(Violin 1),U(Violin 2),U(Oboe d’amore 1),U(Oboe d’amore 2),,Main Part,,
264.75,266.75,U(Violin 1),U(Violin 2),U(Oboe d’amore 1),U(Oboe d’amore 2),,,Main Part,
266.75,272.5,U(Violin 1),U(Violin 2),U(Oboe d’amore 1),U(Oboe d’amore 2),,Main Part,,
272.5,274.5,P3(Oboe d’amore 2)&U(Violin 1)&P3(Violin 2)&P4(Viola),P3(Oboe d’amore 1)&P3(Violin 1)&U(Violin 2)&P6(Viola),U(Oboe d’amore 1)&P3(Oboe d’amore 2)&P3(Violin 2)&P4(Viola),P3(Oboe d’amore 1)&U(Oboe d’amore 2)&P3(Violin 1)&P6(Viola),P4(Oboe d’amore 1)&P6(Oboe d’amore 2)&P4(Violin 1)&P6(Violin 2),,Main Part,
274.5,284.5,U(Violin 1),U(Violin 2),U(Oboe d’amore 1),U(Oboe d’amore 2),,Main Part,,
284.5,290.5,U(Violin 1),U(Violin 2),U(Oboe d’amore 1),U(Oboe d’amore 2),,,Main Part,
290.5,292.0,U(Main),,Main Part,,,,P3(Continuo),P3(Alto solo)
292.0,293.0,U(Violin 1),U(Violin 2)&U(Viola),U(Oboe d’amore 1),U(Oboe d’amore 2)&U(Viola),U(Oboe d’amore 2)&U(Violin 2),Main Part,,
293.0,303.0,U(Violin 1),U(Violin 2),U(Oboe d’amore 1),U(Oboe d’amore 2),,,Main Part,
303.0,316.0,U(Violin 1),U(Main),U(Oboe d’amore 1),Main Part,,,,
