qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
264.0,280.0,U(Flute 2),U(Flute 1),P3(Oboe 2),P3(Oboe 1),,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
280.0,288.0,U(Flute 2)&P8(F Horn 3),U(Flute 1)&P8(F Horn 3),,P3(A Clarinet 2)&P3(Bassoon 1),,P3(Oboe 2)&U(Bassoon 1),P3(Oboe 2)&U(A Clarinet 2),,,,P8(Flute 1)&P8(Flute 2),,,,,,,,,Main Part,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
288.0,296.0,,,,P3(A Clarinet 2)&P3(Bassoon 1),,P3(Oboe 2)&U(Bassoon 1),P3(Oboe 2)&U(A Clarinet 2),,,,,,,,,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
296.0,304.0,,,,,Main Part,,,U(Violoncello)&P8(Contrabass),,,,,,,,,,,,P8(Viola),,P8(Violin 1),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
304.0,328.0,,,P6(Oboe 2)&P3(Bassoon 2),P6(Oboe 1)&P4(Bassoon 2),,U(F Horn 3),,P3(Oboe 1)&P4(Oboe 2),Main Part,,U(A Clarinet 2),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
328.0,332.0,U(Flute 2),U(Flute 1),,,P8(Violin 2),U(Bassoon 1)&U(Main),U(A Clarinet 2)&U(Main),,P3(Violin 1)&P3(Violoncello)&P3(Contrabass),,Main Part,,,,,,,,,P3(F Horn 1),P8(A Clarinet 1),,P3(F Horn 1)&P8(Contrabass),P3(F Horn 1)&P8(Violoncello)
332.0,360.0,Main Part,U(Main),,,,,U(Viola),,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,,U(Bassoon 1),P8(Contrabass),P8(Violoncello)
360.0,362.0,U(Flute 2)&P8(Oboe 1),U(Flute 1)&P8(Oboe 1),P8(Flute 1)&P8(Flute 2),P3(F Horn 4),P6(A Clarinet 2),P6(A Clarinet 1),,Main Part,P8(Violin 1)&P8(Violin 2),,,P3(Oboe 2),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,P8(F Horn 1)&P8(Violin 2),P8(F Horn 1)&P8(Violin 1),,U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
362.0,364.0,U(Flute 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),U(Flute 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Oboe 2)&U(Main)&P8(Violin 2),P8(Oboe 1)&P8(Main)&U(Violin 2),,,U(F Horn 3),P3(Flute 1)&P3(Flute 2)&U(Violoncello)&P8(Contrabass),P3(F Horn 2)&P4(Viola),P3(F Horn 1),U(Bassoon 1),,,,,,,,,Main Part,P8(Oboe 1)&U(Oboe 2)&P8(Main),P4(F Horn 1),P3(Flute 1)&P3(Flute 2)&U(Bassoon 2)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P8(Bassoon 2)&P8(Violoncello)
364.0,366.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),,,P8(F Horn 4),Main Part,P3(F Horn 2),P3(F Horn 1),P8(Viola),P8(Bassoon 1),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,P8(Violin 2),P8(Violin 1),P8(F Horn 3),U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
366.0,368.0,U(Flute 2)&P3(Bassoon 2)&P3(F Horn 4)&P3(Violoncello)&P3(Contrabass),U(Flute 1)&P3(Bassoon 2)&P3(F Horn 4)&P3(Violoncello)&P3(Contrabass),P8(Oboe 2)&U(Main)&P8(Violin 2),P8(Oboe 1)&P8(Main)&U(Violin 2),,,,P3(Flute 1)&P3(Flute 2)&P3(F Horn 1)&U(Violoncello)&P8(Contrabass),P3(Bassoon 2)&P3(F Horn 4)&P3(Violoncello)&P3(Contrabass),,P3(F Horn 4)&P8(Viola),P3(Flute 1)&P3(Flute 2)&P3(F Horn 1)&P3(F Horn 3)&P3(Viola),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,Main Part,P8(Oboe 1)&U(Oboe 2)&P8(Main),P8(F Horn 3)&P3(F Horn 4),P3(Flute 1)&P3(Flute 2)&U(Bassoon 2)&P3(F Horn 1)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P8(Bassoon 2)&P3(F Horn 1)&P8(Violoncello)
368.0,370.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),P8(A Clarinet 2),P8(A Clarinet 1),P8(F Horn 3),P8(F Horn 4)&U(Violoncello)&P8(Contrabass),,,P8(Bassoon 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),U(Bassoon 2)&P8(F Horn 4)&P8(Contrabass),P8(Bassoon 2)&P8(F Horn 4)&P8(Violoncello)
370.0,372.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Horn 1),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(F Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(F Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(F Horn 1),Main Part,P8(Main)&P8(Violin 2)&U(Viola),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2),,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,U(Main)&P8(A Clarinet 2)&P8(Viola),P8(Main)&U(A Clarinet 2)&P8(Violin 2),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
372.0,374.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),P8(A Clarinet 2),P8(A Clarinet 1),P8(Bassoon 2)&U(F Horn 4)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(F Horn 4)&P8(Violoncello)&P8(Contrabass),,P6(F Horn 3),P6(F Horn 2),U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 4)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 4)&P8(Violoncello)
374.0,376.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),Main Part,P8(Main)&P8(Violin 2)&U(Viola),U(Violoncello)&P8(Contrabass),,P5(F Horn 2)&P2(F Horn 3)&P2(F Horn 4),P5(F Horn 1)&P6(F Horn 3)&P6(F Horn 4),P2(F Horn 1)&P6(F Horn 2)&P8(F Horn 4),P2(F Horn 1)&P6(F Horn 2)&P8(F Horn 3),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,U(Main)&P8(A Clarinet 2)&P8(Viola),P8(Main)&U(A Clarinet 2)&P8(Violin 2),U(Bassoon 1)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)
376.0,384.0,P8(Main)&P8(Violin 2),,U(A Clarinet 1),,U(Oboe 1),,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,Main Part,P8(Flute 1)&P8(Main),,P8(Contrabass),P8(Violoncello)
384.0,392.0,P8(Oboe 1)&P8(A Clarinet 1)&U(Main)&P8(Violin 2),,P8(Flute 1)&U(A Clarinet 1)&P8(Main)&U(Violin 2),,P8(Flute 1)&U(Oboe 1)&P8(Main)&U(Violin 2),,P8(Bassoon 2),P8(Bassoon 1),,,P4(Tenor Trombone 1)&P4(Viola),,,,P4(F Horn 3)&U(Viola),,,P8(Violoncello)&P8(Contrabass),,Main Part,P8(Flute 1)&U(Oboe 1)&U(A Clarinet 1)&P8(Main),P4(F Horn 3)&U(Tenor Trombone 1),P8(Tuba)&P8(Contrabass),P8(Tuba)&P8(Violoncello)
392.0,408.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,U(Viola),,,,,Main Part,P8(Main),U(Tenor Trombone 1),,
408.0,424.0,,,,,U(F Horn 2),U(F Horn 3),U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,U(A Clarinet 1),U(A Clarinet 2),,,,P3(Bass Trombone)&P3(Tuba),,P3(Tenor Trombone 1)&P8(Tuba),P3(Tenor Trombone 1)&P8(Bass Trombone),,Main Part,P8(Main),,U(Bassoon 1)&U(Bassoon 2),
424.0,440.0,,,,,,,U(Bassoon 2)&U(Viola)&U(Main),U(Bassoon 1)&U(Viola)&U(Main),P5(F Horn 2)&P2(F Horn 3),P5(F Horn 1)&P4(F Horn 3),P2(F Horn 1)&P4(F Horn 2),,,,,,,,,,,U(Bassoon 1)&U(Bassoon 2)&U(Main),Main Part,
440.0,456.0,,,,,,,U(Bassoon 2)&U(Viola)&U(Main),U(Bassoon 1)&U(Viola)&U(Main),,,,,,,,,,,,,,U(Bassoon 1)&U(Bassoon 2)&U(Main),Main Part,
456.0,472.0,,,,,,,U(Bassoon 2)&U(Viola)&U(Main),U(Bassoon 1)&U(Viola)&U(Main),,,,,,,,,,,,,,U(Bassoon 1)&U(Bassoon 2)&U(Main),Main Part,
472.0,488.0,P8(Flute 2)&P8(Oboe 1),P8(Flute 1)&U(Oboe 1),P8(Flute 1)&U(Flute 2),,U(A Clarinet 2),U(A Clarinet 1),U(Bassoon 2),U(Bassoon 1),U(Viola)&U(Main),,,P8(Contrabass),,,,,,,,,,U(F Horn 1)&U(Main),Main Part,P8(F Horn 4)
488.0,504.0,,,,,,,U(Bassoon 2)&U(Viola)&U(Main),U(Bassoon 1)&U(Viola)&U(Main),,,,,,,,,,,,,,U(Bassoon 1)&U(Bassoon 2)&U(Main),Main Part,
504.0,512.0,U(Flute 2),U(Flute 1),,,U(A Clarinet 2),U(A Clarinet 1),U(Bassoon 2),U(Bassoon 1),,,P4(F Horn 4),P4(F Horn 3),Main Part,,,,,,,,,,,
512.0,528.0,P8(Flute 2),P8(Flute 1),,,P8(A Clarinet 2),P8(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,P4(F Horn 3),P4(F Horn 2),,,,P2(Tenor Trombone 2),P2(Tenor Trombone 1),,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
528.0,552.0,,,U(Oboe 2),U(Oboe 1),,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,P8(Violoncello)&P8(Contrabass),,Main Part,P8(Main),,P8(Tuba)&P8(Contrabass),P8(Tuba)&P8(Violoncello)
552.0,584.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,P8(Tuba),P8(Bass Trombone),,Main Part,,,P8(Contrabass),P8(Violoncello)
584.0,606.0,,,,,U(Main),,P8(Bassoon 2),P8(Bassoon 1),P4(F Horn 2),P4(F Horn 1),P8(F Horn 4),P8(F Horn 3),,,U(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),U(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba),P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&U(Tuba),P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&U(Bass Trombone),,Main Part,,,P8(Contrabass),P8(Violoncello)
606.0,634.0,,,,U(A Clarinet 1),U(Oboe 2),,P8(Bassoon 2),P8(Bassoon 1),,,,,,,Main Part,U(Main)&P8(Bass Trombone)&P8(Tuba),P8(Main)&P8(Tenor Trombone 2)&U(Tuba),P8(Main)&P8(Tenor Trombone 2)&U(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
634.0,650.0,Main Part,U(Main),,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,P8(Tuba),P8(Bass Trombone),,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
650.0,658.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,P8(Tuba)&U(Violoncello)&P8(Contrabass),P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),,Main Part,,,U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bass Trombone)&U(Tuba)&P8(Violoncello)
658.0,660.0,P4(Flute 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P2(F Horn 3)&P4(F Horn 4)&P4(Tenor Trombone 1)&P2(Tenor Trombone 2)&P2(Bass Trombone)&P2(Tuba)&P2(Violoncello)&P2(Contrabass),P4(Flute 1)&P5(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 3)&P8(F Horn 4)&P8(Tenor Trombone 1)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),U(Main),,P2(Flute 1)&P5(Flute 2)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 3)&P5(F Horn 4)&P5(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P5(Flute 2)&P8(A Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 3)&P5(F Horn 4)&P5(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P4(Flute 1)&P8(Flute 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&U(Bassoon 2)&P5(F Horn 3)&U(F Horn 4)&P8(Tenor Trombone 1)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P4(Flute 1)&P8(Flute 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&U(Bassoon 1)&P5(F Horn 3)&U(F Horn 4)&P8(Tenor Trombone 1)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P5(F Horn 2),P5(F Horn 1),P2(Flute 1)&P5(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(F Horn 4)&P5(Tenor Trombone 1)&U(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P4(Flute 1)&P8(Flute 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P5(F Horn 3)&P8(Tenor Trombone 1)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P8(F Trumpet 2),P8(F Trumpet 1),P4(Flute 1)&P8(Flute 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 3)&P8(F Horn 4)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P5(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&U(F Horn 3)&P5(F Horn 4)&P5(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(F Horn 4)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Tuba)&P3(Viola)&U(Violoncello)&P8(Contrabass),P2(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(F Horn 4)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P3(Viola)&P8(Violoncello)&U(Contrabass),,Main Part,,P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(F Horn 4)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&U(Bass Trombone)&P8(Tuba)&P3(Viola)&P8(Contrabass),P2(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(F Horn 4)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&U(Tuba)&P3(Viola)&P8(Violoncello)
660.0,662.0,P2(Oboe 1)&P2(A Clarinet 1)&P2(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P2(F Horn 3)&P2(Tenor Trombone 2)&P2(Bass Trombone)&P2(Tuba)&P2(Violoncello)&P2(Contrabass),P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1),P2(Flute 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 3)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),,P2(Flute 1)&U(Oboe 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 3)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 3)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P4(Flute 1)&P5(Oboe 1)&P5(A Clarinet 1)&P5(A Clarinet 2)&U(Bassoon 2)&P5(F Horn 3)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P4(Flute 1)&P5(Oboe 1)&P5(A Clarinet 1)&P5(A Clarinet 2)&U(Bassoon 1)&P5(F Horn 3)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P5(F Horn 2),P5(F Horn 1),P2(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&U(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),,P8(Flute 2)&P8(F Trumpet 2)&P8(Tenor Trombone 1),P8(Flute 2)&P8(F Trumpet 1)&U(Tenor Trombone 1),P8(Flute 2)&P8(F Trumpet 1)&U(F Trumpet 2),P2(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&U(F Horn 3)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P3(Oboe 1)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(Tenor Trombone 2)&P8(Tuba)&P8(Violoncello)&P8(Contrabass),P2(Flute 1)&P3(Oboe 1)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Violoncello)&P8(Contrabass),,,Main Part,,P2(Flute 1)&P3(Oboe 1)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba)&P8(Contrabass),P2(Flute 1)&P3(Oboe 1)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba)&P8(Violoncello)
662.0,664.0,,P4(Oboe 1)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(Viola),P4(Flute 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Viola),,P4(Flute 2)&U(Oboe 1)&P8(A Clarinet 2)&P4(Viola),P4(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P4(Viola),U(Bassoon 2),U(Bassoon 1),P4(F Horn 2),P4(F Horn 1),P6(F Horn 4)&P4(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),P6(F Horn 3)&P3(Tenor Trombone 1)&P4(Bass Trombone)&P4(Tuba)&P6(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(F Trumpet 2),P8(F Trumpet 1),P4(F Horn 3)&P3(F Horn 4)&P2(Bass Trombone)&P2(Tuba)&P4(Violin 2)&P2(Violoncello)&P2(Contrabass),,P3(F Horn 3)&P4(F Horn 4)&P2(Tenor Trombone 1)&P8(Tuba)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(F Horn 3)&P4(F Horn 4)&P2(Tenor Trombone 1)&P8(Bass Trombone)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),,Main Part,P8(F Horn 3)&P6(F Horn 4)&P4(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P8(Flute 2)&P4(Oboe 1)&P4(A Clarinet 1)&P4(A Clarinet 2),P3(F Horn 3)&P4(F Horn 4)&P2(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P3(Violin 2)&P8(Contrabass),P3(F Horn 3)&P4(F Horn 4)&P2(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P3(Violin 2)&P8(Violoncello)
664.0,666.0,U(Flute 2)&P8(Main),U(Flute 1)&P8(Main),P4(Oboe 2)&U(A Clarinet 1)&U(A Clarinet 2)&P4(F Horn 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Timpani)&P3(Violin 1)&P4(Viola),P4(Oboe 1)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(F Horn 2)&P4(F Trumpet 1)&P4(F Trumpet 2)&P4(Tenor Trombone 1)&P6(Tenor Trombone 2)&P8(Timpani)&P6(Violin 1),U(Oboe 1)&P4(Oboe 2)&U(A Clarinet 2)&P4(F Horn 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Timpani)&P3(Violin 1)&P4(Viola),U(Oboe 1)&P4(Oboe 2)&U(A Clarinet 1)&P4(F Horn 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Timpani)&P3(Violin 1)&P4(Viola),,,,P4(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P4(F Trumpet 1)&P4(F Trumpet 2)&P4(Tenor Trombone 1)&P6(Tenor Trombone 2)&P8(Timpani)&P6(Violin 1),,,U(Oboe 1)&P4(Oboe 2)&U(A Clarinet 1)&U(A Clarinet 2)&P4(F Horn 2)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Timpani)&P3(Violin 1)&P4(Viola),P8(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P4(F Horn 2)&P8(F Trumpet 1)&U(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Timpani)&P3(Violin 1)&P4(Viola),P8(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P4(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2)&P3(Tenor Trombone 2)&P4(Timpani)&P3(Violin 1)&P4(Viola),P3(Oboe 1)&P6(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P6(F Horn 2)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P6(Timpani)&P8(Violin 1),P8(Tuba)&P8(Violoncello)&P8(Contrabass),P8(Bass Trombone)&P8(Violoncello)&P8(Contrabass),P4(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(F Horn 2)&P4(F Trumpet 1)&P4(F Trumpet 2)&P4(Tenor Trombone 1)&P6(Tenor Trombone 2)&P6(Violin 1),P3(Oboe 1)&P6(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P6(F Horn 2)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P8(Tenor Trombone 2)&P6(Timpani),Main Part,P4(Oboe 1)&P4(A Clarinet 1)&P4(A Clarinet 2)&P4(F Trumpet 1)&P4(F Trumpet 2)&P4(Tenor Trombone 1),P8(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bass Trombone)&P8(Tuba)&P8(Violoncello)
666.0,674.0,U(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(A Clarinet 1)&P8(A Clarinet 2),,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1),,,Main Part,,,,,,P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),P3(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba),P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Tuba),P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone),,,,U(Main),P8(Contrabass),P8(Violoncello)
674.0,683.5,Main Part,,U(A Clarinet 1),U(A Clarinet 2),U(Oboe 1),U(Oboe 2),U(Bassoon 2),U(Bassoon 1),,,,,,,P6(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),P6(Tenor Trombone 1)&P4(Bass Trombone)&P4(Tuba),P3(Tenor Trombone 1)&P4(Tenor Trombone 2)&P8(Tuba),P3(Tenor Trombone 1)&P4(Tenor Trombone 2)&P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
