measure,beat,label,partName,partNum
0,2.5,a,Vln,8
4,2.5,a,Vln,8
9,1,b,Vln,8
11,1,b,Vln,8
13,1,c,Vln,8
17,1,c,Vln,8
17,2,c,Ob,1
18,2.5,d,Vla,10
19,2.5,d,Cl,2
20,2.5,d,Ob,1
21,2.5,d,Fl,0
23,1,e,Ob,1
23,2,e,Fl,0
24,1,e,Ob,1
24,2,e,Fl,0
25,1,e,Ob,1
25,2,e,Fl,0
26,1,e,Ob,1
26,2,e,Fl,0
27,1,b,Vln,8
31,1,c,Vln,8
33,1.5,b,Vln,8
37,1.5,f,Fl,0
39,1.5,f,Vln,8
40,2.5,g,Vln,8
45,1.5,h,Vln,8
49,1.5,h,Vln,8
53,1,i,Ob,1
55,1,i',Ob,1
55,2.5,i',Vln,8
57,1,j,Vc,11
59,1,j,Vc,11
61,1,j,Vc,11
63,1,j,Fl,0
65,1,j,Vln,8
67,1,j,Vln,8
69,1,j,Vln,8
71,1,j,Vln,8
73,1,i,Hn,5
75,2.5,i,Hn,4
77,1,i,Hn,5
79,2.5,i,Vln,8
80,1.5,i,Fl,0
80,2.5,i,Vln,8
81,1.5,i,Fl,0
81,2.5,i,Vln,8
82,1.5,i,Fl,0
82,2.5,i,Vln,8
83,1.5,i,Fl,0
83,2.5,i,Vln,8
84,1.5,i,Fl,0
84,2.5,i,Vln,8
85,1.5,i,Fl,0
85,2.5,i,Vln,8
86,1.5,i,Fl,0
86,2.5,i,Vln,8
87,1.5,k,Fl,0
90,2.5,l,Vln,8
95,1,m,Hn,4
97,1,m,Hn,4
98,2,l,Ob,1
102,2,n,Hn,4
103,1,n,Fl,0
103,2,n,Hn,4
104,1,n,Fl,0
104,2,n,Hn,4
105,1,n,Fl,0
105,2,n,Hn,4
106,1,n,Fl,0
106,2,n,Hn,4
107,1.25,o,Vln,8
110,1.75,i,Hn,4
114,1.25,o,Vln,8
119,1.75,i,Vln,8
123,2,o',Fl,0
125,1.75,i,Vln,8
136,2.5,a,Fl,0
140,2.5,a,Fl,0
144,2.5,a,Vln,8
153,1,b,Vln,9
154,1,b,Vln,8
155,1,b,Vln,9
155,2.5,b,Vln,8
156,1.5,b,Vln,9
156,2.5,p,Fl,0
157,2.5,p,Fl,0
158,2.5,p,Fl,0
159,2.5,p,Fl,0
160,2.5,p,Ob,1
161,2.5,p,Fl,0
163,2.5,p,Ob,1
164,2.5,p,Fl,0
165,1,b,Cl,2
166,1,b,Fl,0
167,1,b,Ob,1
167,2.5,b,Vln,8
168,2.5,q,Vln,8
169,1.5,q,Vc,11
169,2.5,q,Vln,8
170,1.5,q,Vc,11
170,2.5,q,Vln,8
171,1.5,q,Vc,11
171,2.5,q,Vln,8
172,1.5,q,Vc,11
172,2.5,q,Vc,11
173,1.5,q,Vln,8
173,2.5,q,Vc,11
174,1.5,q,Vln,8
174,2.5,q,Vc,11
175,1.5,q,Vln,8
175,2.5,q,Vc,11
176,1.5,q,Vln,8
176,2.5,q,Fl,0
177,1.5,q,Vln,8
177,2.5,q,Fl,0
178,1.5,q,Vln,8
178,2.5,q,Vln,8
179,1.5,q,Fl,0
179,2.5,q,Vln,8
180,1.5,q,Fl,0
180,2.5,q,Vln,8
181,1.5,q,Fl,0
181,2.5,q,Vln,8
182,1.5,q,Fl,0
184,1.75,i,Vln,9
184,2.75,i,Vln,8
185,1.75,i,Vln,9
186,1.67,i,Vln,8
188,1.75,i,Fl,0
192,1.25,r,Vln,8
193,2,p,Ob,1
194,2.5,p,Fl,0
196,1.5,r,Vln,8
197,2.5,p,Ob,1
198,2.5,p,Fl,0
200,2.5,p,Hn,5
202,1.75,i,Cl,2
206,1.75,i,Vln,8
206,2.75,i,Hn,4
207,1.75,i,Vln,8
207,2.75,i,Hn,4
208,1.75,i,Vln,8
210,1.75,i,Ob,1
213,2.67,i,Vln,8
215,2.67,i,Fl,0
218,2,i,Cl,2
222,2.5,i,Ob,1
224,2.5,i,Cl,2
227,1,b,Fl,0
228,1,b,Vla,10
229,1,b,Vc,11
230,1,b,Vln,8
231,1,b,Fl,0
232,1,b,Vla,10
233,1,b,Vc,11
234,1,b,Vln,8
235,1,b,Cl,2
236,1,b,Vln,8
237,1,b,Cl,2
238,1,b,Vln,8
