qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (alto) Horn 1,Bb (alto) Horn 2,Eb Horn 1,Eb Horn 4,Bb Trumpet 1,Bb Trumpet 2,"F, Bb Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
371.0,378.5,Main Part,,P8(Main),,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Bb (alto) Horn 1),,P8(Bassoon 1),,,,,,,,,,P8(Contrabass),P8(Violoncello)
378.5,381.5,P8(Oboe 1)&P8(Eb Horn 4),,P8(Flute 1)&P8(Eb Horn 4),,Main Part,,,,,,,P8(Flute 1)&P8(Oboe 1),,,,,,,P8(Contrabass),P8(Violoncello)
381.5,408.5,Main Part,,P8(Main),,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
408.5,414.5,,U(Oboe 1),U(Flute 2),,Main Part,,,,U(Eb Horn 4),,,U(Bb (alto) Horn 1),,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
414.5,427.5,Main Part,,,,,,,,P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
427.5,432.5,P8(Oboe 1),,P8(Flute 1),,Main Part,,,,P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
432.5,438.5,Main Part,P8(Oboe 2),P8(Main)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Bb (alto) Horn 2),P8(Flute 2),,,P8(Main)&P8(Oboe 1)&P3(Bassoon 2)&P3(Bb (alto) Horn 2),P3(Main)&P3(Oboe 1)&P3(Bassoon 1)&P5(Bb (alto) Horn 2),,P3(Main)&P3(Oboe 1)&P3(Bassoon 1)&P5(Bassoon 2),,,,,,,,,P8(Contrabass),P8(Violoncello)
438.5,442.5,P3(Bassoon 2),Main Part,P8(Bassoon 1),P8(Main),P3(Bassoon 2)&U(Bb (alto) Horn 1),,P8(Oboe 1),P3(Flute 1)&P3(Bb Clarinet 1)&P3(Bb (alto) Horn 1),U(Bb Clarinet 1)&P3(Bassoon 2),,,,,,,,,,P8(Contrabass),P8(Violoncello)
442.5,449.5,Main Part,,P8(Main)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),,P8(Main)&U(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Main)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bassoon 1),P8(Main)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
449.5,458.0,Main Part,,P8(Bb Clarinet 2)&P8(Bassoon 2),,P8(Main)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Bb Clarinet 2),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
458.0,482.0,Main Part,,,,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(Bb Clarinet 1),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
482.0,487.5,Main Part,P8(Oboe 2)&P8(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 2)&P8(Eb Horn 1)&U(Bb Trumpet 1)&U(Bb Trumpet 2),P8(Main)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Bb Clarinet 2),P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),P8(Flute 2)&P8(Oboe 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,P8(Flute 2)&U(Oboe 2)&P8(Eb Horn 1)&U(Bb Trumpet 2),P8(Flute 2)&U(Oboe 2)&P8(Eb Horn 1)&U(Bb Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
487.5,498.0,Main Part,U(Main)&P8(Bb Clarinet 2)&P8(Violin 2),,P8(Bb Clarinet 1),P8(Oboe 2),P8(Main)&P8(Flute 2)&P8(Violin 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,P8(Eb Horn 4)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,P8(Bb (alto) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bb (alto) Horn 2)&P8(Eb Horn 4)&P8(Bb Trumpet 2),P8(Bb (alto) Horn 2)&P8(Eb Horn 4)&P8(Bb Trumpet 1),,,P8(Main)&P8(Flute 2)&P8(Bb Clarinet 2),,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
