qstamp,tstamp,measure,beat,Oboe d’amore 1,Oboe d’amore 2,Bass,Continuo
0.0,0.0,1,1.0,r,r,r,A3
0.25,0.125,1,1.1667,r,r,r,G#3
0.5,0.25,1,1.3333,r,r,r,A3
1.0,0.5,1,1.6667,r,r,r,E3
1.5,0.75,1,2.0,A4,E4,r,C#3
2.5,1.25,1,2.6667,B4,G#4,r,B2
3.0,1.5,2,1.0,C#5,A4,r,A2
3.5,1.75,2,1.3333,D5,B4,r,A2
4.0,2.0,2,1.6667,E5,C#5,r,A3
4.5,2.25,2,2.0,D5,B4,r,D3
5.0,2.5,2,2.3333,C#5,A4,r,D3
5.5,2.75,2,2.6667,B4,G#4,r,E3
6.0,3.0,3,1.0,C#5,A4,r,A2
6.5,3.25,3,1.3333,D5,B4,r,A2
7.0,3.5,3,1.6667,E5,C#5,r,A3
7.5,3.75,3,2.0,D5,B4,r,D3
8.0,4.0,3,2.3333,C#5,A4,r,D3
8.5,4.25,3,2.6667,B4,G#4,r,E3
9.0,4.5,4,1.0,C#5,A4,r,A2
9.5,4.75,4,1.3333,E5,C#5,r,A3
10.0,5.0,4,1.6667,A5,E4,r,C#4
10.5,5.25,4,2.0,D5,G#4,r,B3
11.0,5.5,4,2.3333,C#5,G#4,r,B3
11.25,5.625,4,2.5,B4,G#4,r,B3
11.5,5.75,4,2.6667,C#5,A4,r,A3
12.0,6.0,5,1.0,B4,G#4,r,E4
12.25,6.125,5,1.1667,B4,G#4,r,E-4
12.5,6.25,5,1.3333,B4,G#4,r,E4
13.0,6.5,5,1.6667,B4,G#4,r,B3
13.5,6.75,5,2.0,B4,G#4,r,E3
14.0,7.0,5,2.3333,C#5,G#4,r,E3
14.5,7.25,5,2.6667,E-5,G#4,r,E-3
15.0,7.5,6,1.0,E5,G#4,r,C#3
15.5,7.75,6,1.3333,G#4,B4,r,C#3
16.0,8.0,6,1.6667,A4,C#5,r,r
16.5,8.25,6,2.0,F#4,E-5,r,r
