qstamp,measure,beat,label,partName,partNum
0.0,1,3,a,Vln,13
24.0,10,3,b,Vln,13
36.0,14,3,b,Vln,13
48.0,18,3,b,Vln,13
75.0,27,3,b,Vln,13
105.0,37,3,c,Ob,2
117.0,41,3,c,Ob,2
133.0,47,1,a,Vln,13
156.0,54,3,a,Vln,13
196.0,68,1,d,Vln,13
220.0,76,1,d,Vln,13
238.0,82,1,e,Ob,2
253.0,88,1,e,Vln,13
263.0,91,1,e,Ob,2
277.0,96,1,e,Vln,13
289.0,100,1,e,Vln,13
299.0,103,2,e,Vln,13
310.0,107,1,e,Cl,4
319.0,110,2,e,Vln,13
323.0,112,1,e,Cl,4
331.0,114,2,e,Vln,13
352.0,121,2,e,Vln,13
365.0,126,1,e,Cl,4
413.0,142,1,a,Vln,13
438.0,151,1,b,Vln,13
449.0,154,3,b,Vln,13
461.0,158,3,b,Vln,13
488.0,167,3,b,Vln,13
519.0,177,3,c,Ob,2
546.0,187,1,a,Vln,13
569.0,194,3,a,Vln,13
587.0,200,3,a,Vln,13
609.0,208,1,d,Vln,13
