qstamp,tstamp,measure,beat,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
0.0,0.0,1,1.0,r,r,r,r,r,r,E2,E1,E2
1.0,1.2,1,2.0,B5,B5,B5,B5,G5,E4,E3,E2,E3
1.5,1.8,1,2.5,C6,C6,C6,C6,A5,E4,E3,E2,E3
2.0,2.4,1,3.0,B5,B5,B5,B5,G5,G4,E4,E3,E4
2.5,3.0,1,3.5,C6,C6,C6,C6,A5,G4,E4,E3,E4
3.0,3.6,2,1.0,A5,A5,A5,A5,F#5,C5,E4,E3,E4
3.5,4.2,2,1.5,G5,G5,G5,G5,E5,C5,E4,E3,E4
4.0,4.8,2,2.0,A5,A5,A5,A5,F#5,F#4,E-4,E-3,E-4
4.5,5.4,2,2.5,C6,C6,C6,C6,A5,F#4,E-4,E-3,E-4
5.0,6.0,2,3.0,B5,B5,B5,B5,G5,B4,E-4,E-3,E-4
5.5,6.6,2,3.5,A5,A5,A5,A5,F#5,B4,E-4,E-3,E-4
6.0,7.2,3,1.0,G5,G5,G5,G5,E5,B4,E4,E3,E4
7.0,8.4,3,2.0,E4,B5,B5,r,r,r,r,r,r
7.5,9.0,3,2.5,E4,C6,C6,r,r,r,r,r,r
8.0,9.6,3,3.0,E5,B5,B5,r,r,r,r,r,r
8.5,10.2,3,3.5,E5,C6,C6,r,r,r,r,r,r
9.0,10.8,4,1.0,E5,A5,F#5,r,r,r,r,r,r
9.5,11.4,4,1.5,E5,G5,E5,r,r,r,r,r,r
10.0,12.0,4,2.0,E-5,A5,F#5,r,r,r,r,r,r
10.5,12.6,4,2.5,E-5,C6,A5,r,r,r,r,r,r
11.0,13.2,4,3.0,E-5,B5,G5,r,r,r,r,r,r
11.5,13.8,4,3.5,E-5,A5,F#5,r,r,r,r,r,r
12.0,14.4,5,1.0,E5,G5,E5,r,r,r,r,r,r
13.0,15.6,5,2.0,G5,G5,B4,G5,B4,E4,E4,E3,E4
13.5,16.2,5,2.5,A5,A5,C5,A5,C5,E4,E4,E3,E4
14.0,16.8,5,3.0,G5,G5,B4,G5,B4,G4,E3,E2,E3
14.5,17.4,5,3.5,A5,A5,C5,A5,C5,G4,E3,E2,E3
15.0,18.0,6,1.0,F#5,F#5,A4,F#5,A4,C5,A3,A2,A3
15.5,18.6,6,1.5,D5,D5,G4,E5,G4,C5,A3,A2,A3
16.0,19.2,6,2.0,F#5,F#5,A4,F#5,A4,E-4,C4,C3,C4
16.5,19.8,6,2.5,G5,G5,B4,G5,B4,E-4,B3,B2,B3
