qstamp_start,qstamp_end,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
1.0,7.0,Main Part,U(Flute 2),U(Flute 1),,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
7.0,13.0,,Main Part,,P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Violone)&P5(Continuo),P3(Violin 1)&P5(Violin 2)&U(Violoncello)&P8(Violone)&U(Continuo),P3(Violin 1)&P5(Violin 2)&U(Viola)&P8(Violone)&U(Continuo),P3(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P3(Violin 1)&P5(Violin 2)&U(Viola)&U(Violoncello)&P8(Violone)
13.0,19.0,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
19.0,25.0,,Main Part,,P2(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Violone)&P4(Continuo),P2(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Violone)&P5(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Violoncello)&P8(Violone)&P8(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violone)&U(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Viola)&U(Violoncello)&P8(Violone)
25.0,28.0,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
28.0,31.0,,Main Part,,P3(Violin 2)&P3(Viola)&P4(Violoncello)&P4(Violone)&P4(Continuo),P3(Violin 1)&P5(Viola)&P6(Violoncello)&P6(Violone)&P6(Continuo),P3(Violin 1)&P5(Violin 2)&P2(Violoncello)&P2(Violone)&P2(Continuo),P4(Violin 1)&P6(Violin 2)&P2(Viola)&P8(Violone)&U(Continuo),P4(Violin 1)&P6(Violin 2)&P2(Viola)&P8(Violoncello)&P8(Continuo),P4(Violin 1)&P6(Violin 2)&P2(Viola)&U(Violoncello)&P8(Violone)
31.0,34.0,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
34.0,37.0,,Main Part,,P3(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Violin 1)&P3(Viola)&P8(Violoncello)&P8(Violone)&P8(Continuo),P8(Violin 1)&P3(Violin 2)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Violone)&U(Continuo),P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Continuo),P3(Violin 1)&P8(Violin 2)&P3(Viola)&U(Violoncello)&P8(Violone)
37.0,48.0,U(Flute 1)&U(Violin 1),U(Principal Violin)&U(Violin 1),Main Part,U(Principal Violin)&U(Flute 1),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
48.0,52.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
