qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,English Horn,F Horn 1,F Horn 2,F Horn 3,F Horn 4,Triangle,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,24.0,,,,,,,,,,,Main Part,,,,,,,,,,
24.0,72.0,,,,Main Part,,,,,,,,,,,,,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
72.0,84.0,,Main Part,,,,,,,,,,,,,,,,,,,
84.0,104.0,,,,Main Part,,,,,,,,,,,,,U(Violin 2)&P3(Viola),U(Violin 1)&P3(Viola),P3(Violin 1)&P3(Violin 2),P8(Contrabass),P8(Violoncello)
104.0,113.5,,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,Main Part,,,,
113.5,124.5,,,,,,,,,,,,,,,,,,Main Part,,,
124.5,132.5,,,,,,,,,,,,,,,,,Main Part,,,,
132.5,133.5,,Main Part,,,,P6(F Horn 2)&P4(F Horn 3)&P8(F Horn 4),,,,,,P6(Bb Clarinet 1)&P3(F Horn 3)&P6(F Horn 4),P4(Bb Clarinet 1)&P3(F Horn 2)&P4(F Horn 4),P8(Bb Clarinet 1)&P6(F Horn 2)&P4(F Horn 3),,,P8(Main),,,P8(Contrabass),P8(Violoncello)
133.5,134.5,,,,,,Main Part,,,,,,P3(F Horn 3)&P6(F Horn 4),P3(F Horn 2)&P4(F Horn 4),P6(F Horn 2)&P4(F Horn 3),,,,,,,
134.5,135.5,,P8(Bb Clarinet 1)&U(Violin 1),,,,P8(Flute 1)&P8(Violin 1),,Main Part,,,P6(F Horn 2)&P4(F Horn 3)&P8(F Horn 4),P6(F Horn 1)&P3(F Horn 3)&P6(F Horn 4),P4(F Horn 1)&P3(F Horn 2)&P4(F Horn 4),P8(F Horn 1)&P6(F Horn 2)&P4(F Horn 3),,,U(Flute 1)&P8(Bb Clarinet 1),,U(Main),,
135.5,136.5,,P8(Bb Clarinet 1)&U(Violin 1)&P6(Violin 2),,,,P8(Flute 1)&P8(Violin 1)&P6(Violin 2),,,Main Part,,P6(F Horn 2)&P4(F Horn 3),P6(F Horn 1)&P3(F Horn 3),P4(F Horn 1)&P3(F Horn 2),,,,U(Flute 1)&P8(Bb Clarinet 1)&P6(Violin 2),P6(Flute 1)&P6(Bb Clarinet 1)&P6(Violin 1),,,
136.5,146.75,,P8(Bb Clarinet 1),,,,P8(Flute 1),,,,,,,,,,,,Main Part,,,
146.75,156.5,,,,,,,,,,,,,,,,,Main Part,,,,
156.5,162.5,U(Main)&P8(Violin 2),,,,,,,,,,,,,,,,Main Part,P8(Piccolo)&P8(Main),,P8(Contrabass),P8(Violoncello)
162.5,177.75,Main Part,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
177.75,178.75,Main Part,,,,,,,,,,,,,,,U(Violoncello)&P8(Contrabass),,,,U(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello)
178.75,179.75,,,,,,,,,,,,,,,,P7(Viola)&U(Violoncello)&P8(Contrabass),Main Part,,P7(Timpani)&P7(Violoncello)&P7(Contrabass),U(Timpani)&P7(Viola)&P8(Contrabass),P8(Timpani)&P7(Viola)&P8(Violoncello)
179.75,186.75,,,,,,,,,,,,,,,,,Main Part,,,,
186.75,196.5,,,,,,,,,,,,,,,,,,Main Part,,,
196.5,202.5,U(Main)&P8(Violin 2),,,,,,,,,,,,,,,,Main Part,P8(Piccolo)&P8(Main),,P8(Contrabass),P8(Violoncello)
202.5,216.5,,,,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
216.5,217.75,,,,,,P3(Bb Clarinet 2)&U(Viola)&P5(Violoncello)&P5(Contrabass),P3(Bb Clarinet 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,,,,,,,Main Part,,U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Violoncello)&P5(Contrabass),P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Viola)&P8(Contrabass),P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Viola)&P8(Violoncello)
217.75,218.75,,,,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
218.75,220.0,,P3(Bb Clarinet 2),,,,,P3(Flute 1),,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
220.0,236.5,,Main Part,,,,,,,,,,,,,,,,,,,
236.5,240.5,,P8(Flute 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1),P8(Flute 1)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1),,,P5(Flute 1)&P5(Flute 2)&P3(Bb Clarinet 2)&P5(F Horn 1),P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1)&P3(F Horn 1),,,,P8(Flute 1)&P8(Flute 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2),,,,,,Main Part,,,,
240.5,252.5,,,,Main Part,,,,,,,,,,,,,,,,,
252.5,259.5,,U(Flute 2)&P2(Oboe 1)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(F Horn 1)&P2(F Horn 3)&P2(F Horn 4)&P2(Timpani),U(Flute 1)&P2(Oboe 1)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(F Horn 1)&P2(F Horn 3)&P2(F Horn 4)&P2(Timpani),P2(Flute 1)&P2(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P3(F Horn 3)&P8(F Horn 4)&P8(Timpani),,P2(Flute 1)&P2(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P3(F Horn 3)&P8(F Horn 4)&P8(Timpani),P2(Flute 1)&P2(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P3(F Horn 3)&P8(F Horn 4)&P8(Timpani),P2(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 1)&P3(F Horn 3)&U(F Horn 4)&P8(Timpani),P2(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(F Horn 1)&P3(F Horn 3)&P8(F Horn 4)&U(Timpani),,P2(Flute 1)&P2(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 3)&P8(F Horn 4)&P8(Timpani),,P2(Flute 1)&P2(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 4)&P3(Timpani),P2(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P3(F Horn 3)&P8(Timpani),,P2(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P3(F Horn 3)&P8(F Horn 4),Main Part,,,,
259.5,265.0,,,,P6(F Horn 3)&P6(F Horn 4),,,,,,,,,P6(Oboe 1)&P8(F Horn 4),P6(Oboe 1)&P8(F Horn 3),,U(Contrabass),,Main Part,,,U(Timpani)
265.0,267.0,,P3(Flute 2)&P6(Bassoon 1)&P6(Bassoon 2),P3(Flute 1)&P4(Bassoon 1)&P4(Bassoon 2),Main Part,,P3(Bb Clarinet 2),P3(Bb Clarinet 1),P6(Flute 1)&P4(Flute 2)&P8(Bassoon 2),P6(Flute 1)&P4(Flute 2)&P8(Bassoon 1),,,,P8(F Horn 4),P8(F Horn 3),,,,,,,
267.0,268.5,P8(Oboe 2),Main Part,P3(Main)&P3(Oboe 1),P8(Main)&P3(Flute 2),P8(Piccolo),,,P8(Bassoon 2)&P5(Triangle)&P4(Timpani),P8(Bassoon 1)&P5(Triangle)&P4(Timpani),,P3(F Horn 2),P3(F Horn 1),,,P5(Bassoon 1)&P5(Bassoon 2)&P2(Timpani),P4(Bassoon 1)&P4(Bassoon 2)&P2(Triangle),,,,,
268.5,283.5,,Main Part,,,,,,,,,,,,,,,,,,,
283.5,293.5,,,,,,,,,,,,,,,P5(Violin 1),,P5(Triangle),,Main Part,,
293.5,304.5,,,,,,,,,,,Main Part,,,,,,,,,,
304.5,312.0,,,,,,Main Part,,,,,,,,,,,,,,,
312.0,320.0,,U(Flute 2),U(Flute 1),Main Part,,,P8(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 2)&U(Bassoon 2),P8(Bb Clarinet 2)&U(Bassoon 1),,,,,,,,U(Main),,,,
320.0,327.5,,Main Part,U(Main),U(Violin 1),,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,U(Oboe 1),,,,
327.5,332.5,,,,,,,,,,Main Part,,,,,,,,,,,
332.5,336.5,,U(Flute 2)&P8(Bassoon 2)&U(Violin 1),U(Flute 1)&P8(Bassoon 2)&U(Violin 1),Main Part,,,,,P8(Flute 1)&P8(Flute 2)&P8(Violin 1),,,,,,,,U(Flute 1)&U(Flute 2)&P8(Bassoon 2),,,,
336.5,344.5,,,,,,,,,,,,,,,,,Main Part,,,,
344.5,353.5,,Main Part,,,P8(Main),,U(English Horn),,,U(Bb Clarinet 2),,,,,,,,,,,
353.5,365.5,Main Part,,,,,,,,,,,,,,,,,,,,
