qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,English Horn,F Horn 1,F Horn 2,F Horn 3,F Horn 4,Triangle,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
117.0,112.3636,24,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,B4,D4,r,r
117.5,112.5909,24,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,F5,G#4,C4,r
118.5,113.0455,25,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,r,r
119.0,113.2727,25,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,B-4,C#4,r,r
119.5,113.5,25,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,E-5,F#4,C4,r
120.5,113.9545,26,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,r,r
121.0,114.1818,26,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,D5,F4,B3,r
122.0,114.6364,26,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C#5,E4,B-3,r
122.5,114.8636,27,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C5,E-4,A3,r
123.0,115.0909,27,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,B4,D4,G#3,r
123.5,115.3182,27,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,B-4,C#4,G3,r
124.0,115.5455,27,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,A4,C4,F#3,r
124.5,115.7727,28,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#4,B3,F3,r
124.75,115.8864,28,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,B3,F3,r
125.0,116.0,28,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,G#3,G#2
125.25,116.1136,28,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,G#3,G#2
125.5,116.2273,28,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,G3,G2
125.75,116.3409,28,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,G3,G2
126.0,116.4545,28,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,F#3,F#2
126.25,116.5682,28,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,F#3,F#2
126.5,116.6818,29,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,G#3,F3,F2
126.75,116.7955,29,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,B3,G#3,F3,F2
127.0,116.9091,29,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,r,E3,E2
127.25,117.0227,29,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r,E3,E2
127.5,117.1364,29,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,B3,E-3,E-2
127.75,117.25,29,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,D4,B3,E-3,E-2
128.0,117.3636,29,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,r,r,D3,D2
128.25,117.4773,29,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,D3,D2
128.5,117.5909,30,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,E4,B-3,C#3,C#2
128.75,117.7045,30,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,B-3,C#3,C#2
129.0,117.8182,30,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,r,r,r
129.25,117.9318,30,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r,r
129.5,118.0455,30,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,G3,C3,C2
129.75,118.1591,30,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B-4,G3,C3,C2
130.0,118.2727,30,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
130.25,118.3864,30,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,r,r,r,r
130.5,118.5,31,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,A3,B2,B1
130.75,118.6136,31,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,A4,A3,B2,B1
131.0,118.7273,31,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r,r
131.25,118.8409,31,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,r,r,r,r
131.5,118.9545,31,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,D4,B-2,B-1
131.75,119.0682,31,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,D5,D4,B-2,B-1
132.0,119.1818,31,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
132.25,119.2955,31,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,r,r,r,r
132.5,119.4091,32,1.0,r,A5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,C#5,C#4,A2,A1
132.75,119.5227,32,1.25,r,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,C#5,C#4,A2,A1
133.0,119.6364,32,1.5,r,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,r,r,r,r
133.25,119.75,32,1.75,r,A5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
133.5,119.8636,32,2.0,r,A5,r,r,r,A4,r,r,r,r,r,C#4,E3,A2,r,r,A4,A4,C#4,r,r
133.75,119.9773,32,2.25,r,A5,r,r,r,B-4,r,r,r,r,r,C#4,E3,A2,r,r,A4,B-4,C#4,r,r
134.0,120.0909,32,2.5,r,A5,r,r,r,B-4,r,r,r,r,r,C#4,E3,A2,r,r,E5,B-4,r,E3,r
134.25,120.2045,32,2.75,r,A5,r,r,r,A4,r,r,r,r,r,C#4,E3,A2,r,r,E5,A4,r,E3,r
134.5,120.3182,33,1.0,r,A5,r,r,r,A4,r,A3,r,r,r,r,r,r,r,r,A5,C#5,A3,A2,r
134.75,120.4318,33,1.25,r,A5,r,r,r,A4,r,B-3,r,r,r,r,r,r,r,r,A5,C#5,B-3,A2,r
135.0,120.5455,33,1.5,r,E5,r,r,r,E4,r,B-3,r,r,A4,C#4,E3,A2,r,r,E5,E4,B-3,r,E2
135.25,120.6591,33,1.75,r,E5,r,r,r,E4,r,A3,r,r,A4,C#4,E3,A2,r,r,E5,E4,A3,r,E2
135.5,120.7727,33,2.0,r,A5,r,r,r,A4,r,E4,A3,r,r,r,r,r,r,r,A5,C#5,E4,A3,A1
135.75,120.8864,33,2.25,r,A5,r,r,r,A4,r,E4,B-3,r,r,r,r,r,r,r,A5,C#5,E4,B-3,A1
136.0,121.0,33,2.5,r,C#6,r,r,r,C#5,r,E4,B-3,r,A4,C#4,E3,A2,r,r,C#6,A5,C#5,B-3,r
136.25,121.1136,33,2.75,r,C#6,r,r,r,C#5,r,E4,A3,r,A4,C#4,E3,A2,r,r,C#6,A5,C#5,A3,r
136.5,121.2273,34,1.0,r,D6,r,r,r,D5,r,D4,B-3,r,B-4,D4,F3,G2,r,r,D6,B-5,D5,G3,r
136.75,121.3409,34,1.25,r,D6,r,r,r,D5,r,D4,A3,r,B-4,D4,F3,G2,r,r,D6,C6,D5,B-3,r
137.0,121.4545,34,1.5,r,D6,r,r,r,D5,r,D4,A3,r,B-4,D4,F3,G2,r,r,D6,C6,D4,B-3,G2
137.25,121.5682,34,1.75,r,D6,r,r,r,D5,r,D4,G3,r,B-4,D4,F3,G2,r,r,D6,B-5,D4,G3,G2
137.5,121.6818,34,2.0,r,D6,r,r,r,D5,r,D4,G3,r,B-4,D4,F3,G2,r,r,D6,C6,E5,G2,G1
137.75,121.7955,34,2.25,r,D6,r,r,r,D5,r,D4,G3,r,B-4,D4,F3,G2,r,r,D6,B-5,D5,G2,G1
138.0,121.9091,34,2.5,r,D6,r,r,r,D5,r,F3,G2,r,B-4,D4,F3,G2,r,r,D6,B-5,D5,D4,r
138.25,122.0227,34,2.75,r,D6,r,r,r,D5,r,F3,G2,r,B-4,D4,F3,G2,r,r,D6,A5,C5,D4,r
138.5,122.1364,35,1.0,r,E6,r,r,r,E5,r,E3,C3,r,A4,B-3,E3,C3,r,C3,E6,A5,C5,C4,r
138.75,122.25,35,1.25,r,E6,r,r,r,E5,r,E3,C3,r,A4,B-3,E3,C3,r,C3,E6,G5,B-4,C4,r
139.0,122.3636,35,1.5,r,E6,r,r,r,E5,r,E3,C3,r,G4,B-3,E3,C3,r,C3,E6,G5,B-4,C4,C3
139.25,122.4773,35,1.75,r,E6,r,r,r,E5,r,E3,C3,r,G4,B-3,E3,C3,r,C3,E6,B-5,D5,C4,C3
139.5,122.5909,35,2.0,r,E6,r,r,r,E5,r,C3,C2,r,G4,B-3,E3,C3,r,r,E6,B-5,D5,C3,C2
139.75,122.7045,35,2.25,r,E6,r,r,r,E5,r,C3,C2,r,G4,B-3,E3,C3,r,r,E6,A5,C5,C3,C2
140.0,122.8182,35,2.5,r,E6,r,r,r,E5,r,C3,C2,r,A4,B-3,E3,C3,r,C3,E6,A5,C5,C3,C2
140.25,122.9318,35,2.75,r,E6,r,r,r,E5,r,C3,C2,r,A4,B-3,E3,C3,r,C3,E6,G5,B-4,C3,C2
140.5,123.0455,36,1.0,r,F6,r,r,r,F5,r,C3,F2,r,F4,A3,F3,F2,r,G2,F6,F5,A4,r,F2
140.75,123.1591,36,1.25,r,F6,r,r,r,F5,r,C3,F2,r,F4,A3,F3,F2,r,G2,r,F4,A4,r,F2
141.0,123.2727,36,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C3,A3,r
141.25,123.3864,36,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C3,A3,r
141.5,123.5,36,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,D2
141.75,123.6136,36,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,D2
142.0,123.7273,36,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,G4,A3,D3,r
142.25,123.8409,36,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,A4,A3,D3,r
142.5,123.9545,37,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,B-1
142.75,124.0682,37,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,B-1
143.0,124.1818,37,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D5,G3,B-2,r
143.25,124.2955,37,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D5,G3,B-2,r
143.5,124.4091,37,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,C2
143.75,124.5227,37,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,r,r,C2
144.0,124.6364,37,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C5,G3,C3,r
144.25,124.75,37,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-4,G3,C3,r
144.5,124.8636,38,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,F2
144.6667,124.9394,38,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,r,F2
144.8333,125.0151,38,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,r,F2
145.0,125.0909,38,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,A3,C3,r
145.25,125.2045,38,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,A4,A3,C3,r
145.5,125.3182,38,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,C2
145.6667,125.394,38,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,C2
145.8333,125.4697,38,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,C2
146.0,125.5455,38,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,B-3,C3,r
146.25,125.6591,38,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G4,B-3,C3,r
146.5,125.7727,39,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,A3,C3,F2
146.75,125.8864,39,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,A3,C3,F2
147.0,126.0,39,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C3,A3,r
147.25,126.1136,39,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C4,C3,A3,r
147.5,126.2273,39,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,C5,E4,C4,C2
147.75,126.3409,39,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C5,E4,C4,C2
148.0,126.4545,39,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,E4,B-3,C2
148.25,126.5682,39,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,E4,B-3,C2
148.5,126.6818,40,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,F4,A3,F2
148.75,126.7955,40,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F4,F4,A3,F2
149.0,126.9091,40,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,A4,C4,r,r
149.25,127.0227,40,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,A4,C4,r,r
149.5,127.1364,40,2.0,r,r,r,r,r,F4,C4,A3,C3,r,r,r,r,r,r,r,G5,A4,F4,C4,C3
149.75,127.25,40,2.25,r,r,r,r,r,F4,C4,A3,C3,r,r,r,r,r,r,r,F5,A4,F4,C4,C3
150.0,127.3636,40,2.5,r,r,r,r,r,F4,C4,A3,C3,r,r,r,r,r,r,r,G5,A4,C4,r,r
150.25,127.4773,40,2.75,r,r,r,r,r,F4,C4,A3,C3,r,r,r,r,r,r,r,A5,A4,C4,r,r
150.5,127.5909,41,1.0,r,r,r,r,r,F4,D4,A3,B2,r,r,r,r,r,r,r,D6,r,r,B3,B2
150.75,127.7045,41,1.25,r,r,r,r,r,F4,D4,A3,B2,r,r,r,r,r,r,r,F5,r,r,B3,B2
151.0,127.8182,41,1.5,r,r,r,r,r,F4,D4,A3,B2,r,r,r,r,r,r,r,D6,F5,A4,r,r
151.25,127.9318,41,1.75,r,r,r,r,r,F4,D4,A3,B2,r,r,r,r,r,r,r,D6,F5,A4,r,r
151.5,128.0455,41,2.0,r,r,r,r,r,E4,D4,G#3,E3,r,r,r,r,r,r,r,C6,E5,G#4,E3,E2
151.75,128.1591,41,2.25,r,r,r,r,r,E4,D4,G#3,E3,r,r,r,r,r,r,r,C6,E5,G#4,E3,E2
152.0,128.2727,41,2.5,r,r,r,r,r,E4,D4,G#3,E3,r,r,r,r,r,r,r,B5,D5,G#4,r,r
152.25,128.3864,41,2.75,r,r,r,r,r,E4,D4,G#3,E3,r,r,r,r,r,r,r,B5,D5,G#4,r,r
152.5,128.5,42,1.0,r,r,r,r,r,E4,C4,A3,A2,r,r,r,r,r,r,r,A5,C5,A4,A3,A2
152.75,128.6136,42,1.25,r,r,r,r,r,E4,C4,A3,A2,r,r,r,r,r,r,r,B5,C5,A4,A3,A2
153.0,128.7273,42,1.5,r,E5,C5,r,r,E4,C4,A3,A2,r,r,r,r,r,r,r,B5,A4,C4,r,r
153.25,128.8409,42,1.75,r,E5,C5,r,r,E4,C4,A3,A2,r,r,r,r,r,r,r,A5,A4,C4,r,r
153.5,128.9545,42,2.0,r,A5,E5,r,r,r,r,r,r,r,A4,E4,C4,E3,r,r,B5,r,r,E4,E3
153.75,129.0682,42,2.25,r,A5,E5,r,r,r,r,r,r,r,A4,E4,C4,E3,r,r,A5,r,r,E4,E3
154.0,129.1818,42,2.5,r,E5,C5,r,r,r,r,r,r,r,A4,E4,C4,E3,r,r,B5,A4,C4,r,r
154.25,129.2955,42,2.75,r,E5,C5,r,r,r,r,r,r,r,A4,E4,C4,E3,r,r,C6,A4,C4,r,r
154.5,129.4091,43,1.0,r,C6,F5,r,r,r,r,r,r,r,A4,F4,C4,D3,r,C3,F6,r,r,D4,D3
155.0,129.6364,43,1.5,r,A5,F5,r,r,r,r,r,r,r,A4,F4,C4,D3,r,G2,F6,A5,C5,r,r
155.5,129.8636,43,2.0,r,E6,G5,r,r,r,r,r,r,r,G4,F4,B3,G3,r,C3,E6,G5,B4,G3,G2
156.0,130.0909,43,2.5,r,D6,F5,r,r,r,r,r,r,r,G4,F4,B3,G3,r,G2,D6,F5,G4,r,r
156.5,130.3182,44,1.0,A6,F6,D6,r,r,F5,D5,F4,D4,r,G4,F4,G3,C3,r,r,A6,A5,F4,C3,C2
156.75,130.4318,44,1.25,B6,F6,D6,r,r,F5,D5,F4,D4,r,G4,F4,G3,C3,r,r,B6,B5,F4,C3,C2
157.0,130.5455,44,1.5,B6,D6,G5,r,r,D5,G4,D4,G3,r,G4,F4,G3,C3,r,r,B6,B5,D4,G3,G2
157.25,130.6591,44,1.75,G6,D6,G5,r,r,D5,G4,D4,G3,r,G4,F4,G3,C3,r,r,G6,G5,D4,G3,G2
157.5,130.7727,44,2.0,A6,F6,D6,r,r,F5,D5,F4,D4,r,G4,F4,G3,C3,r,r,A6,A5,F4,C3,C2
157.75,130.8864,44,2.25,B6,F6,D6,r,r,F5,D5,F4,D4,r,G4,F4,G3,C3,r,r,B6,B5,F4,C3,C2
158.0,131.0,44,2.5,B6,D6,G5,r,r,D5,G4,D4,G3,r,G4,F4,G3,C3,r,r,B6,B5,D4,G3,G2
158.25,131.1136,44,2.75,G6,D6,G5,r,r,D5,G4,D4,G3,r,G4,F4,G3,C3,r,r,G6,G5,D4,G3,G2
158.5,131.2273,45,1.0,C7,G6,E6,r,r,G5,E5,G4,E4,r,G4,E4,G3,C3,r,C3,C7,C6,G4,C3,C2
159.0,131.4545,45,1.5,C7,G6,E6,r,r,G5,E5,E4,C4,r,A4,E4,G3,C3,r,G2,C7,C6,E4,G3,G2
159.5,131.6818,45,2.0,B6,G6,E6,r,r,G5,E5,E4,C4,r,G4,E4,G3,C3,r,C3,B6,B5,G4,C3,C2
159.75,131.7955,45,2.25,C7,G6,E6,r,r,G5,E5,E4,C4,r,G4,E4,G3,C3,r,C3,C7,C6,G4,C3,C2
160.0,131.9091,45,2.5,B6,G6,E6,r,r,G5,E5,G4,E4,r,E4,C4,G3,C3,r,G2,B6,B5,E4,G3,G2
160.25,132.0227,45,2.75,C7,G6,E6,r,r,G5,E5,G4,E4,r,E4,C4,G3,C3,r,G2,C7,C6,E4,G3,G2
160.5,132.1364,46,1.0,A6,E6,C6,r,r,E5,C5,E4,G3,r,r,r,r,r,r,C3,A6,A5,E4,C3,C2
160.6667,132.2121,46,1.1667,B6,E6,C6,r,r,E5,C5,E4,G3,r,r,r,r,r,r,C3,B6,B5,E4,C3,C2
160.8333,132.2879,46,1.3333,B6,E6,C6,r,r,E5,C5,E4,G3,r,r,r,r,r,r,C3,B6,B5,E4,C3,C2
161.0,132.3636,46,1.5,G6,E6,C6,r,r,E5,C5,r,r,r,E4,C4,G3,C3,r,r,G6,G5,E4,G3,G2
161.25,132.4773,46,1.75,E6,E6,C6,r,r,E5,C5,r,r,r,E4,C4,G3,C3,r,r,E6,E5,E4,G3,G2
161.5,132.5909,46,2.0,E6,C6,E5,r,r,E5,C5,E4,G3,r,r,r,r,r,r,C3,E6,E5,E4,C3,C2
161.75,132.7045,46,2.25,F6,D6,F5,r,r,F5,D5,E4,G3,r,r,r,r,r,r,C3,F6,F5,E4,C3,C2
162.0,132.8182,46,2.5,F6,D6,F5,r,r,F5,D5,r,r,r,E4,C4,G3,C3,r,r,F6,F5,E4,G3,G2
162.25,132.9318,46,2.75,G6,E6,G5,r,r,G5,E5,r,r,r,E4,C4,G3,C3,r,r,G6,G5,E4,G3,G2
162.5,133.0455,47,1.0,A6,F6,A5,r,r,A5,F5,E4,A3,r,F4,C4,A3,C3,r,C3,A6,A5,F4,C3,C2
162.75,133.1591,47,1.25,A6,F6,A5,r,r,A5,F5,E4,A3,r,F4,C4,A3,C3,r,C3,D6,D5,F4,C3,C2
163.0,133.2727,47,1.5,A6,A5,A5,r,r,A5,F5,r,r,r,F4,D4,A3,C3,r,r,E6,E5,F4,G3,G2
163.25,133.3864,47,1.75,A6,A5,A5,r,r,A5,F5,r,r,r,F4,D4,A3,C3,r,r,F6,F5,F4,G3,G2
163.5,133.5,47,2.0,A6,A5,F5,r,r,A4,F4,D4,G3,r,r,r,r,r,r,C3,A5,A4,F4,C3,C2
163.75,133.6136,47,2.25,A6,A5,F5,r,r,A4,F4,D4,G3,r,r,r,r,r,r,C3,E6,E5,F4,C3,C2
164.0,133.7273,47,2.5,r,B5,F5,r,r,B4,F4,D4,G3,r,F4,D4,G3,C3,r,G2,E6,E5,F4,G3,G2
164.25,133.8409,47,2.75,r,B5,F5,r,r,B4,F4,D4,G3,r,F4,D4,G3,C3,r,G2,B5,B4,F4,G3,G2
164.5,133.9545,48,1.0,r,C6,E5,r,r,C5,E4,E4,G3,r,E4,C4,G3,C3,r,C3,C6,C5,E4,C3,C2
164.6667,134.0303,48,1.1667,r,D6,E5,r,r,C5,E4,E4,G3,r,E4,C4,G3,C3,r,C3,D6,C5,E4,C3,C2
164.8333,134.106,48,1.3333,r,D6,E5,r,r,C5,E4,E4,G3,r,E4,C4,G3,C3,r,C3,D6,C5,E4,C3,C2
165.0,134.1818,48,1.5,r,B5,r,r,r,C5,E4,r,r,r,r,r,r,r,r,r,B5,r,E4,r,r
165.25,134.2955,48,1.75,r,C6,r,r,r,C5,E4,r,r,r,r,r,r,r,r,r,C6,r,E4,r,r
165.5,134.4091,48,2.0,r,G5,r,G5,r,r,r,r,r,r,E-4,C#4,G3,E-3,r,r,G5,C5,r,E-3,E-2
165.75,134.5227,48,2.25,r,G5,r,G5,r,r,r,r,r,r,E-4,C#4,G3,E-3,r,r,C6,G4,r,E-3,E-2
166.0,134.6364,48,2.5,r,r,r,G5,r,r,r,r,r,r,E-4,C#4,G3,E-3,r,r,C6,G4,E-4,r,r
166.25,134.75,48,2.75,r,r,r,G5,r,r,r,r,r,r,E-4,C#4,G3,E-3,r,r,G5,C5,E-4,r,r
166.5,134.8636,49,1.0,r,G#5,r,G#5,r,r,r,r,r,r,E-4,C4,G#3,G#2,r,r,G#5,G#4,r,G#2,G#1
166.6667,134.9394,49,1.1667,r,B-5,r,G#5,r,r,r,r,r,r,E-4,C4,G#3,G#2,r,r,B-5,G#4,r,G#2,G#1
166.8333,135.0151,49,1.3333,r,B-5,r,G#5,r,r,r,r,r,r,E-4,C4,G#3,G#2,r,r,B-5,G#4,r,G#2,G#1
167.0,135.0909,49,1.5,r,G5,r,r,r,r,r,r,r,r,G#4,C4,G#3,G#2,r,r,G5,r,C4,r,r
167.25,135.2045,49,1.75,r,G#5,r,r,r,r,r,r,r,r,G#4,C4,G#3,G#2,r,r,G#5,r,C4,r,r
167.5,135.3182,49,2.0,r,B4,r,B4,r,r,r,r,r,r,G#4,B3,F3,G2,r,r,B4,G#4,r,G2,G1
167.75,135.4318,49,2.25,r,B4,r,B4,r,r,r,r,r,r,G#4,B3,F3,G2,r,r,E5,F4,r,G2,G1
168.0,135.5455,49,2.5,r,r,r,B4,r,r,r,r,r,r,G4,B3,F3,G2,r,r,E5,F4,B-3,r,r
168.25,135.6591,49,2.75,r,r,r,B4,r,r,r,r,r,r,G4,B3,F3,G2,r,r,B4,G4,B-3,r,r
168.5,135.7727,50,1.0,r,C5,r,C5,r,r,r,r,r,r,G4,C4,E3,C3,r,r,C5,E4,r,C3,C2
168.75,135.8864,50,1.25,r,C#5,r,r,r,r,r,r,r,r,G4,C4,E3,C3,r,r,C#5,E4,r,C3,C2
169.0,136.0,50,1.5,r,C#5,r,r,r,G4,E4,G3,C3,r,r,r,r,r,r,r,C#5,r,E4,r,r
169.25,136.1136,50,1.75,r,C5,r,r,r,G4,E4,G3,C3,r,r,r,r,r,r,r,C5,r,E4,r,r
169.5,136.2273,50,2.0,r,C5,r,G#4,r,G#4,E-4,G#3,G#2,r,r,r,r,r,r,r,C5,E-4,r,G#2,G#1
169.75,136.3409,50,2.25,r,r,r,G#4,r,G#4,F4,G#3,G#2,r,r,r,r,r,r,r,C#5,F4,r,G#2,G#1
170.0,136.4545,50,2.5,r,r,r,G#4,r,G#4,G#4,A3,G#2,r,r,r,r,r,r,r,C5,G#4,G#3,r,r
170.25,136.5682,50,2.75,r,r,r,G#4,r,G#4,G4,A3,G#2,r,r,r,r,r,r,r,F5,F#4,G#3,r,r
170.5,136.6818,51,1.0,r,C#5,r,F4,r,G#4,F4,G#3,C#3,r,r,r,r,r,r,r,C#5,F4,r,C#3,C#2
170.6667,136.7576,51,1.1667,r,E-5,r,F4,r,G#4,F4,G#3,C#3,r,r,r,r,r,r,r,C#5,F4,r,C#3,C#2
170.75,136.7955,51,1.25,r,E-5,r,F4,r,G#4,F4,G#3,C#3,r,r,r,r,r,r,r,F4,F4,r,C#3,C#2
170.8333,136.8333,51,1.3333,r,E-5,r,F4,r,G#4,F4,G#3,C#3,r,r,r,r,r,r,r,F4,F4,r,C#3,C#2
171.0,136.9091,51,1.5,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,C#4,r,r
171.25,137.0227,51,1.75,r,G#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,C#4,r,r
171.5,137.1364,51,2.0,r,G#4,r,r,r,G#3,F3,r,r,r,r,r,r,r,r,r,B3,G#3,F3,G2,G1
171.75,137.25,51,2.25,r,G#4,r,r,r,G#3,F3,r,r,r,r,r,r,r,r,r,E4,G#3,F3,G2,G1
172.0,137.3636,51,2.5,r,G4,r,r,r,G3,F3,r,r,r,r,r,r,r,r,r,E4,G3,F3,r,r
172.25,137.4773,51,2.75,r,G4,r,r,r,G3,F3,r,r,r,r,r,r,r,r,r,B3,G3,F3,r,r
172.5,137.5909,52,1.0,r,G4,r,r,r,G3,E3,r,r,r,r,r,r,r,r,r,C4,C4,E3,C3,C2
172.6667,137.6667,52,1.1667,r,G4,r,r,r,G3,E3,r,r,r,r,r,r,r,r,r,D4,C4,E3,C3,C2
172.8333,137.7424,52,1.3333,r,G4,r,r,r,G3,E3,r,r,r,r,r,r,r,r,r,D4,r,E3,C3,C2
173.0,137.8182,52,1.5,r,r,r,r,r,r,r,G3,E3,r,r,r,r,r,r,C3,B3,r,G3,r,r
