qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,15.0,Main Part,U(Main)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(Violin 2),,P8(Main)&P8(Flute 1)&U(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&U(C Trumpet 1)&P8(Violin 2),U(C Clarinet 2)&P8(C Horn 2)&U(C Trumpet 2),P8(Main)&P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&P8(C Horn 1)&U(C Trumpet 1)&P8(Violin 2),U(Oboe 2)&P8(C Horn 2)&U(C Trumpet 2),P8(Main)&P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(Violin 2),,P8(Violoncello)&U(Contrabass),P8(Main)&P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Trumpet 1)&P8(Violin 2),P8(Oboe 2)&P8(C Clarinet 2)&P8(C Trumpet 2),P8(Main)&P8(Flute 1)&U(Oboe 1)&U(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&P8(Violin 2),U(Oboe 2)&U(C Clarinet 2)&P8(C Horn 2),,,,,,P8(Main)&P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Trumpet 1),,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
15.0,30.5,Main Part,P8(Main)&P8(Oboe 1)&P8(Violin 1),,P8(Main)&P8(Flute 1)&U(Violin 1),,,P8(C Horn 2)&P8(C Trumpet 2),,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Clarinet 2)&P8(C Trumpet 2),P8(C Horn 1),P8(C Clarinet 2)&P8(C Horn 2),,,,,P8(Main)&P8(Flute 1)&U(Oboe 1),,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
30.5,38.5,Main Part,P8(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Violin 1),,"P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)",P3(Bassoon 2)&U(Viola),P3(Bassoon 1)&P3(Viola),P8(Violoncello)&U(Contrabass),"P8(C Clarinet 2)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(C, G Timpani)","P8(C Clarinet 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(C, G Timpani)","U(C Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Clarinet 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C, G Timpani)",,,,P8(C Clarinet 2)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Main)&U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2),,U(Bassoon 1)&P3(Bassoon 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
38.5,47.0,Main Part,P8(Main)&U(Flute 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Violin 1),,,,,P3(Bassoon 2)&U(Viola),P3(Bassoon 1)&P3(Viola),P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),"P8(C Trumpet 2)&U(C, G Timpani)",P8(C Horn 1),"P8(C Horn 2)&P8(C, G Timpani)",,,,U(C Horn 2)&P8(C Trumpet 2),P8(Main)&U(Flute 1)&U(Flute 2),,U(Bassoon 1)&P3(Bassoon 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
47.0,55.0,Main Part,P8(Main)&U(Flute 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Violin 1),,,,,,,P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),,,P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),,P8(Main)&U(Flute 1)&U(Flute 2),,,P8(Contrabassoon)&U(Bass Trombone)&P8(Contrabass),U(Contrabassoon)&P8(Bass Trombone)&P8(Violoncello)
55.0,63.0,Main Part,P8(Main)&U(Flute 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Violin 1),,,,,P8(Violin 2),P8(Viola),P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),,,P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),,P8(Main)&U(Flute 1)&U(Flute 2),P8(Bassoon 1),P8(Bassoon 2),P8(Contrabassoon)&U(Bass Trombone)&P8(Contrabass),U(Contrabassoon)&P8(Bass Trombone)&P8(Violoncello)
63.0,68.0,Main Part,P8(Main)&U(Flute 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Violin 1),,,U(Alto Trombone),P8(Bassoon 1)&U(Tenor Trombone)&U(Violin 2),P8(C Clarinet 2)&P8(Tenor Trombone)&P8(Violin 2),,P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),"P8(C Trumpet 2)&U(C, G Timpani)",P8(C Horn 1),"P8(C Horn 2)&P8(C, G Timpani)",U(C Clarinet 1),U(C Clarinet 2)&P8(Bassoon 1)&U(Violin 2),P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),U(C Horn 2)&P8(C Trumpet 2),P8(Main)&U(Flute 1)&U(Flute 2),U(C Clarinet 2)&P8(Bassoon 1)&U(Tenor Trombone),,P8(Contrabassoon)&P8(Bass Trombone)&P8(Contrabass),U(Contrabassoon)&P8(Bass Trombone)&P8(Violoncello)
68.0,76.0,Main Part,P8(Main)&U(Flute 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Violin 1),,,,,,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1)&U(Violin 2),P8(C Trumpet 2),P8(C Horn 1)&P8(Violin 2),P8(C Horn 2),P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),,P8(Main)&U(Flute 1)&U(Flute 2),U(C Horn 1)&P8(C Trumpet 1),,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
76.0,84.5,Main Part,P8(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2),P8(Main)&U(Flute 1)&U(Oboe 1)&U(Oboe 2),P8(Main)&U(Flute 1)&U(Flute 2)&U(Oboe 2),P8(Main)&U(Flute 1)&U(Flute 2)&U(Oboe 1),P8(Bassoon 1),P8(Bassoon 2),P8(C Clarinet 1),P8(C Clarinet 2),P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
84.5,100.0,Main Part,U(Flute 2),U(Flute 1),,,,,,,U(Contrabass),P3(C Horn 2),P3(C Horn 1),,,P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),,U(Violin 2)&P8(Viola),U(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),,U(Contrabassoon)
