qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
28.0,11.2,4,3.0,r,r,r,r,C#5,C#5,G4,r,C#5,G4,A3,C#5,G4,A3,r,A3
29.0,11.6,4,3.5,r,r,r,r,A4,A4,G4,r,A4,G4,A3,A4,G4,A3,r,A3
30.0,12.0,4,4.0,r,r,r,r,D5,D5,F#4,r,D5,F#4,A3,D5,F#4,A3,r,A3
31.0,12.4,4,4.5,r,r,r,r,D5,D5,F#4,r,D5,F#4,A3,D5,F#4,A3,r,A3
32.0,12.8,5,1.0,r,r,r,r,D5,D5,E4,r,D5,E4,r,D5,E4,r,r,E4
34.0,13.6,5,2.0,r,r,r,r,C#5,C#5,E4,A3,C#5,E4,r,C#5,E4,r,A3,A3
35.0,14.0,5,2.5,r,r,r,r,C#5,C#5,E4,A3,C#5,E4,r,C#5,E4,r,A3,A3
36.0,14.4,5,3.0,r,r,r,r,B4,B4,D4,A3,B4,D4,r,B4,D4,r,A3,A3
37.0,14.8,5,3.5,r,r,r,r,B4,B4,D4,A3,B4,D4,r,B4,D4,r,A3,A3
38.0,15.2,5,4.0,r,r,r,r,B4,B4,D4,G#3,B4,D4,D4,B4,D4,D4,G#3,G#3
39.0,15.6,5,4.5,r,r,r,r,B4,B4,D4,G#3,B4,D4,D4,B4,D4,D4,G#3,G#3
40.0,16.0,6,1.0,r,r,r,r,A4,A4,r,A3,A4,r,D4,A4,r,D4,A3,A3
41.0,16.4,6,1.5,r,r,r,r,A4,A4,r,G3,A4,r,D4,A4,r,D4,G3,G3
41.5,16.6,6,1.75,r,r,r,r,A4,A4,r,F#3,A4,r,D4,A4,r,D4,F#3,F#3
42.0,16.8,6,2.0,r,r,r,r,A4,A4,r,E3,A4,r,C#4,A4,r,C#4,E3,E3
42.5,17.0,6,2.25,r,r,r,r,A4,A4,r,F#3,A4,r,C#4,A4,r,C#4,F#3,F#3
43.0,17.2,6,2.5,r,r,r,r,A4,A4,r,D3,A4,r,C#4,A4,r,C#4,D3,D3
43.5,17.4,6,2.75,r,r,r,r,A4,A4,r,E3,A4,r,C#4,A4,r,C#4,E3,E3
44.0,17.6,6,3.0,r,r,r,r,r,r,r,F#3,r,r,D4,r,r,D4,F#3,F#3
44.5,17.8,6,3.25,r,r,r,r,r,r,r,E3,r,r,D4,r,r,D4,E3,E3
45.0,18.0,6,3.5,r,r,r,r,r,r,r,F#3,r,r,C#4,r,r,C#4,F#3,F#3
45.5,18.2,6,3.75,r,r,r,r,r,r,r,G3,r,r,B3,r,r,B3,G3,G3
46.0,18.4,6,4.0,r,r,r,r,r,r,A4,F#3,r,A4,A3,r,A4,A3,F#3,F#3
46.5,18.6,6,4.25,r,r,r,r,r,r,A4,G3,r,A4,B3,r,A4,B3,G3,G3
47.0,18.8,6,4.5,r,r,r,r,r,r,A4,F#3,r,A4,G3,r,A4,G3,F#3,F#3
47.5,19.0,6,4.75,r,r,r,r,r,r,A4,E3,r,A4,A3,r,A4,A3,E3,E3
48.0,19.2,7,1.0,r,r,r,r,r,r,A4,D3,r,A4,B3,r,A4,B3,D3,D3
48.5,19.4,7,1.25,r,r,r,r,r,r,A4,D3,r,A4,A3,r,A4,A3,D3,D3
49.0,19.6,7,1.5,r,r,r,r,r,r,A4,C#3,r,A4,B3,r,A4,B3,C#3,C#3
49.5,19.8,7,1.75,r,r,r,r,r,r,A4,B2,r,A4,C#4,r,A4,C#4,B2,B2
50.0,20.0,7,2.0,r,r,r,r,D5,D5,G#4,E3,D5,G#4,B3,D5,G#4,B3,E3,E3
50.5,20.2,7,2.25,r,r,r,r,D5,D5,G#4,E3,D5,G#4,D4,D5,G#4,D4,E3,E3
51.0,20.4,7,2.5,r,r,r,r,D5,D5,G#4,E3,D5,G#4,C#4,D5,G#4,C#4,E3,E3
51.5,20.6,7,2.75,r,r,r,r,D5,D5,G#4,E3,D5,G#4,B3,D5,G#4,B3,E3,E3
52.0,20.8,7,3.0,r,r,r,r,D5,D5,A4,A2,D5,A4,A3,D5,A4,A3,A2,A2
53.0,21.2,7,3.5,r,r,r,r,D5,D5,G4,A2,D5,G4,E3,D5,G4,E3,A2,A2
53.5,21.4,7,3.75,r,r,r,r,D5,D5,F#4,A2,D5,F#4,E3,D5,F#4,E3,A2,A2
54.0,21.6,7,4.0,r,r,r,r,C#5,C#5,E4,A2,C#5,E4,A3,C#5,E4,A3,A2,A3
54.5,21.8,7,4.25,r,r,r,r,C#5,C#5,F#4,A2,C#5,F#4,A3,C#5,F#4,A3,A2,A3
55.0,22.0,7,4.5,r,r,r,r,C#5,C#5,D4,A2,C#5,D4,A3,C#5,D4,A3,A2,A3
55.5,22.2,7,4.75,r,r,r,r,C#5,C#5,E4,A2,C#5,E4,A3,C#5,E4,A3,A2,A3
56.0,22.4,8,1.0,r,r,r,r,D5,D5,F#4,r,D5,F#4,D3,D5,F#4,D3,r,D4
56.5,22.6,8,1.25,r,r,r,r,D5,D5,E4,r,D5,E4,D3,D5,E4,D3,r,D4
57.0,22.8,8,1.5,r,r,r,r,C#5,C#5,F#4,r,C#5,F#4,D3,C#5,F#4,D3,r,D4
57.5,23.0,8,1.75,r,r,r,r,B4,B4,G4,r,B4,G4,D3,B4,G4,D3,r,D4
58.0,23.2,8,2.0,r,r,r,r,A4,A4,F#4,r,A4,F#4,D3,A4,F#4,D3,r,D3
58.5,23.4,8,2.25,r,r,r,r,B4,B4,G4,r,B4,G4,D3,B4,G4,D3,r,D3
59.0,23.6,8,2.5,r,r,r,r,G4,G4,F#4,r,G4,F#4,D3,G4,F#4,D3,r,D3
59.5,23.8,8,2.75,r,r,r,r,A4,A4,E4,r,A4,E4,D3,A4,E4,D3,r,D3
60.0,24.0,8,3.0,r,r,r,r,B4,B4,D4,r,B4,D4,r,B4,D4,r,r,G3
60.5,24.2,8,3.25,r,r,r,r,A4,A4,E4,r,A4,D4,r,A4,D4,r,r,G3
61.0,24.4,8,3.5,r,r,r,r,B4,B4,D4,r,B4,C#4,r,B4,C#4,r,r,G3
61.5,24.6,8,3.75,r,r,r,r,C5,C5,E4,r,C5,B3,r,C5,B3,r,r,G3
62.0,24.8,8,4.0,r,r,r,r,B4,B4,F#4,D3,B4,F#4,r,B4,F#4,r,D3,D3
62.5,25.0,8,4.25,r,r,r,r,C5,C5,F#4,D3,C5,F#4,r,C5,F#4,r,D3,D3
63.0,25.2,8,4.5,r,r,r,r,B4,B4,F#4,D3,B4,F#4,r,B4,F#4,r,D3,D3
63.5,25.4,8,4.75,r,r,r,r,A4,A4,F#4,D3,A4,F#4,r,A4,F#4,r,D3,D3
64.0,25.6,9,1.0,r,r,r,r,G4,G4,E4,E3,G4,B3,r,G4,B3,r,E3,E3
65.0,26.0,9,1.5,r,r,r,r,F#4,F#4,r,E3,F#4,B3,r,F#4,B3,r,E3,E3
65.5,26.2,9,1.75,r,r,r,r,E4,E4,r,E3,E4,B3,r,E4,B3,r,E3,E3
66.0,26.4,9,2.0,r,r,r,r,A4,A4,r,F#3,A4,r,A3,A4,r,A3,F#3,F#3
68.0,27.2,9,3.0,r,r,r,r,D4,D4,r,G3,D4,r,B3,D4,r,B3,G3,G3
70.0,28.0,9,4.0,r,r,r,r,r,r,r,F#3,r,r,C#4,r,r,C#4,F#3,F#3
71.0,28.4,9,4.5,r,r,r,r,r,r,r,E3,r,r,C#4,r,r,C#4,E3,E3
72.0,28.8,10,1.0,r,r,r,r,r,r,r,F#3,r,r,D4,r,r,D4,F#3,F#3
73.0,29.2,10,1.5,r,r,r,r,r,r,r,B2,r,r,D4,r,r,D4,B2,B2
74.0,29.6,10,2.0,r,r,r,r,r,r,D4,B3,r,D4,C#4,r,D4,C#4,B3,B3
75.0,30.0,10,2.5,r,r,r,r,r,r,D4,B3,r,D4,B3,r,D4,B3,B3,B3
76.0,30.4,10,3.0,r,r,r,r,r,r,E4,B3,r,E4,C#4,r,E4,C#4,B3,B3
77.0,30.8,10,3.5,r,r,r,r,r,r,E4,A3,r,E4,F#3,r,E4,F#3,A3,A3
78.0,31.2,10,4.0,r,r,r,r,A4,A4,F#4,A3,A4,F#4,F#4,A4,F#4,F#4,A3,A3
79.0,31.6,10,4.5,r,r,r,r,A4,A4,F#4,D4,A4,F#4,F#4,A4,F#4,F#4,D4,D4
80.0,32.0,11,1.0,r,r,r,r,B4,B4,G4,G3,B4,G4,F#4,B4,G4,F#4,G3,G3
81.0,32.4,11,1.5,r,r,r,r,B4,B4,G4,B3,B4,G4,E4,B4,G4,E4,B3,B3
82.0,32.8,11,2.0,r,r,r,r,C#5,C#5,F#4,A3,C#5,F#4,E4,C#5,F#4,E4,A3,A3
83.0,33.2,11,2.5,r,r,r,r,C#5,C#5,E4,G3,C#5,E4,A4,C#5,E4,A4,G3,G3
84.0,33.6,11,3.0,r,r,r,r,D5,D5,F#4,F#3,D5,F#4,D4,D5,F#4,D4,F#3,F#3
85.0,34.0,11,3.5,r,r,r,r,D5,D5,F#4,F#3,D5,B3,F#4,D5,B3,F#4,F#3,F#3
86.0,34.4,11,4.0,r,r,r,r,C#5,C#5,B4,F#3,C#5,B4,E4,C#5,B4,E4,F#3,F#3
87.0,34.8,11,4.5,r,r,r,r,B4,B4,B4,F#3,B4,B4,D4,B4,B4,D4,F#3,F#3
88.0,35.2,12,1.0,r,r,r,r,C#5,C#5,B4,r,C#5,B4,C#4,C#5,B4,C#4,r,F#3
88.5,35.4,12,1.25,r,r,r,r,C#5,C#5,B4,r,C#5,B4,C#4,C#5,B4,C#4,r,E3
89.0,35.6,12,1.5,r,r,r,r,F#4,F#4,A4,r,F#4,A4,C#4,F#4,A4,C#4,r,F#3
89.5,35.8,12,1.75,r,r,r,r,F#4,F#4,A4,r,F#4,A4,C#4,F#4,A4,C#4,r,G3
90.0,36.0,12,2.0,r,r,r,r,F#5,F#5,A4,r,F#5,A4,C#4,F#5,A4,C#4,r,F#3
90.5,36.2,12,2.25,r,r,r,r,F#5,F#5,A4,r,F#5,A4,C#4,F#5,A4,C#4,r,E3
91.0,36.4,12,2.5,r,r,r,r,F#5,F#5,D5,r,F#5,D5,C#4,F#5,D5,C#4,r,D3
91.5,36.6,12,2.75,r,r,r,r,F#5,F#5,D5,r,F#5,D5,C#4,F#5,D5,C#4,r,C#3
92.0,36.8,12,3.0,r,r,r,r,F#5,F#5,G4,r,F#5,G4,r,F#5,G4,r,r,B2
93.0,37.2,12,3.5,r,r,r,r,B4,B4,B4,r,B4,B4,r,B4,B4,r,r,B2
94.0,37.6,12,4.0,r,r,r,r,E5,E5,A4,r,E5,A4,r,E5,A4,r,r,C#3
95.0,38.0,12,4.5,r,r,r,r,E5,E5,G4,r,E5,G4,r,E5,G4,r,r,C#3
96.0,38.4,13,1.0,r,r,r,r,E5,E5,F#4,r,E5,F#4,D4,E5,F#4,D4,r,D3
97.0,38.8,13,1.5,r,r,r,r,D5,D5,F#4,r,D5,F#4,D4,D5,F#4,D4,r,F#3
98.0,39.2,13,2.0,r,r,r,r,D5,D5,F#4,B3,D5,F#4,D4,D5,F#4,D4,B3,B3
99.0,39.6,13,2.5,r,r,r,r,G5,G5,F#4,B3,G5,F#4,D4,G5,F#4,D4,B3,B3
100.0,40.0,13,3.0,r,r,r,r,C#5,C#5,r,B3,C#5,r,E4,C#5,r,E4,B3,B3
101.0,40.4,13,3.5,r,r,r,r,E5,E5,r,B3,E5,r,E4,E5,r,E4,B3,B3
102.0,40.8,13,4.0,r,r,r,r,D5,D5,r,B-3,D5,r,F#4,D5,r,F#4,B-3,B-3
103.0,41.2,13,4.5,r,r,r,r,C#5,C#5,r,B-3,C#5,r,F#4,C#5,r,F#4,B-3,B-3
104.0,41.6,14,1.0,r,r,r,r,B4,B4,r,B3,B4,r,G4,B4,r,G4,B3,B3
104.5,41.8,14,1.25,r,r,r,r,B4,B4,r,C#4,B4,r,G4,B4,r,G4,C#4,C#4
105.0,42.0,14,1.5,r,r,r,r,B4,B4,r,A3,B4,r,G4,B4,r,G4,A3,A3
105.5,42.2,14,1.75,r,r,r,r,B4,B4,r,B3,B4,r,G4,B4,r,G4,B3,B3
106.0,42.4,14,2.0,r,r,r,r,B4,B4,r,C#4,B4,r,F#4,B4,r,F#4,C#4,C#4
106.5,42.6,14,2.25,r,r,r,r,B4,B4,r,D4,B4,r,F#4,B4,r,F#4,D4,D4
107.0,42.8,14,2.5,r,r,r,r,B4,B4,r,B3,B4,r,E4,B4,r,E4,B3,B3
107.5,43.0,14,2.75,r,r,r,r,B4,B4,r,C#4,B4,r,E4,B4,r,E4,C#4,C#4
108.0,43.2,14,3.0,r,r,r,r,r,r,A4,D4,r,A4,F#4,r,A4,F#4,D4,D4
108.5,43.4,14,3.25,r,r,r,r,r,r,A4,C#4,r,A4,F#4,r,A4,F#4,C#4,C#4
109.0,43.6,14,3.5,r,r,r,r,r,r,A4,D4,r,A4,D4,r,A4,D4,D4,D4
109.5,43.8,14,3.75,r,r,r,r,r,r,A4,E4,r,A4,D4,r,A4,D4,E4,E4
110.0,44.0,14,4.0,r,r,r,r,r,r,A4,D4,r,A4,A4,r,A4,A4,D4,D4
110.5,44.2,14,4.25,r,r,r,r,r,r,A4,E4,r,A4,A4,r,A4,A4,E4,E4
111.0,44.4,14,4.5,r,r,r,r,r,r,A4,D4,r,A4,A4,r,A4,A4,D4,D4
111.5,44.6,14,4.75,r,r,r,r,r,r,A4,C#4,r,A4,A4,r,A4,A4,C#4,C#4
112.0,44.8,15,1.0,r,r,r,r,r,r,B4,B3,r,B4,A4,r,B4,A4,B3,B3
114.0,45.6,15,2.0,r,r,r,r,r,r,C#5,B3,r,C#5,G4,r,C#5,G4,B3,B3
115.0,46.0,15,2.5,r,r,r,r,r,r,C#5,B3,r,C#5,G4,r,C#5,G4,B3,B3
116.0,46.4,15,3.0,D5,r,r,r,D5,D5,D5,B3,D5,D5,F#4,D5,D5,F#4,B3,B3
117.0,46.8,15,3.5,D5,r,r,r,D5,D5,D5,C#4,D5,D5,F#4,D5,D5,F#4,C#4,C#4
118.0,47.2,15,4.0,D5,r,r,r,D5,D5,C#5,D4,D5,C#5,F#4,D5,C#5,F#4,D4,D4
119.0,47.6,15,4.5,D5,r,r,r,D5,D5,B4,D4,D5,B4,F#4,D5,B4,F#4,D4,D4
120.0,48.0,16,1.0,E5,r,r,r,E5,E5,C#5,A3,E5,C#5,E4,E5,C#5,E4,A3,A3
121.0,48.4,16,1.5,E5,r,r,r,E5,E5,A4,A3,E5,A4,E4,E5,A4,E4,A3,A3
122.0,48.8,16,2.0,F#5,r,r,r,F#5,F#5,D5,G3,F#5,D5,A3,F#5,D5,A3,G3,G3
123.0,49.2,16,2.5,F#5,r,r,r,F#5,F#5,D5,F#3,F#5,D5,A3,F#5,D5,A3,F#3,F#3
124.0,49.6,16,3.0,G5,r,r,r,G5,G5,D5,E3,G5,D5,B3,G5,D5,B3,E3,E3
126.0,50.4,16,4.0,F#5,r,r,r,F#5,F#5,C#5,A3,F#5,C#5,C#4,F#5,C#5,C#4,A3,A3
127.0,50.8,16,4.5,E5,r,r,r,E5,E5,C#5,A3,E5,C#5,C#4,E5,C#5,C#4,A3,A3
128.0,51.2,17,1.0,F#5,r,r,r,F#5,F#5,B4,D3,F#5,B4,D4,F#5,B4,D4,D3,D3
129.0,51.6,17,1.5,D5,r,r,r,D5,D5,B4,D3,D5,B4,D4,D5,B4,D4,D3,D3
130.0,52.0,17,2.0,G5,r,r,r,G5,G5,B4,E3,G5,B4,C#4,G5,B4,C#4,E3,E3
131.0,52.4,17,2.5,G5,r,r,r,G5,G5,B4,E3,G5,B4,B3,G5,B4,B3,E3,E3
132.0,52.8,17,3.0,G5,r,r,r,G5,G5,A4,A2,G5,A4,C#4,G5,A4,C#4,A2,A2
133.0,53.2,17,3.5,G5,r,r,r,G5,G5,A4,A2,G5,A4,A3,G5,A4,A3,A2,A2
134.0,53.6,17,4.0,F#5,r,r,r,F#5,F#5,D4,A2,F#5,D4,D4,F#5,D4,D4,A2,A2
135.0,54.0,17,4.5,F#5,r,r,r,F#5,F#5,D4,A2,F#5,D4,D4,F#5,D4,D4,A2,A2
136.0,54.4,18,1.0,E5,r,r,r,E5,E5,E4,A2,E5,E4,D4,E5,E4,D4,A2,A2
138.0,55.2,18,2.0,E5,r,r,r,E5,E5,F#4,B-2,E5,F#4,C#4,E5,F#4,C#4,B-2,B-2
139.0,55.6,18,2.5,E5,r,r,r,E5,E5,F#4,B-2,E5,F#4,C#4,E5,F#4,C#4,B-2,B-2
140.0,56.0,18,3.0,D5,r,r,r,D5,D5,G4,B2,D5,G4,B3,D5,G4,B3,B2,B2
142.0,56.8,18,4.0,D5,r,r,r,D5,D5,F#4,C#3,D5,F#4,B3,D5,F#4,B3,C#3,C#3
143.0,57.2,18,4.5,D5,r,r,r,D5,D5,E4,C#3,D5,E4,B3,D5,E4,B3,C#3,C#3
144.0,57.6,19,1.0,r,r,r,r,r,r,F#4,D3,r,F#4,A3,r,F#4,A3,D3,D3
145.0,58.0,19,1.5,r,r,r,r,r,r,D4,D3,r,D4,A3,r,D4,A3,D3,D3
146.0,58.4,19,2.0,r,r,r,r,r,r,A4,C3,r,A4,E4,r,A4,E4,C3,C3
147.0,58.8,19,2.5,r,r,r,r,r,r,A4,C3,r,A4,E4,r,A4,E4,C3,C3
148.0,59.2,19,3.0,r,r,r,r,r,r,A4,B2,r,A4,E-4,r,A4,E-4,B2,B2
150.0,60.0,19,4.0,r,r,r,r,E5,E5,G4,E3,E5,G4,B3,E5,G4,B3,E3,E3
151.0,60.4,19,4.5,r,r,r,r,E5,E5,G4,E3,E5,G4,B3,E5,G4,B3,E3,E3
152.0,60.8,20,1.0,r,r,r,r,E5,E5,F#4,A2,E5,F#4,C4,E5,F#4,C4,A2,A2
153.0,61.2,20,1.5,r,r,r,r,E5,E5,F#4,A2,E5,F#4,C4,E5,F#4,C4,A2,A2
154.0,61.6,20,2.0,r,r,r,r,E-5,E-5,F#4,B2,E-5,F#4,B3,E-5,F#4,B3,B2,B2
155.0,62.0,20,2.5,r,r,r,r,E-5,E-5,F#4,B2,E-5,F#4,B3,E-5,F#4,B3,B2,B2
156.0,62.4,20,3.0,r,r,r,r,E5,E5,E4,E2,E5,E4,G3,E5,E4,G3,E3,E2
157.0,62.8,20,3.5,r,r,r,r,D5,D5,E4,E2,D5,E4,G3,D5,E4,G3,E3,E2
157.5,63.0,20,3.75,r,r,r,r,C5,C5,E4,E2,C5,E4,G3,C5,E4,G3,E3,E2
158.0,63.2,20,4.0,r,r,r,r,B4,B4,G4,r,B4,G4,r,B4,G4,r,r,G4
158.5,63.4,20,4.25,r,r,r,r,C5,C5,G4,r,C5,G4,r,C5,G4,r,r,G4
159.0,63.6,20,4.5,r,r,r,r,A4,A4,G4,r,A4,G4,r,A4,G4,r,r,G4
159.5,63.8,20,4.75,r,r,r,r,B4,B4,G4,r,B4,G4,r,B4,G4,r,r,G4
160.0,64.0,21,1.0,r,r,r,r,C5,C5,G4,r,C5,G4,r,C5,G4,r,r,G4
160.5,64.2,21,1.25,r,r,r,r,B4,B4,G4,r,B4,G4,r,B4,G4,r,r,G4
161.0,64.4,21,1.5,r,r,r,r,C5,C5,G4,r,C5,G4,r,C5,G4,r,r,G4
161.5,64.6,21,1.75,r,r,r,r,D5,D5,G4,r,D5,G4,r,D5,G4,r,r,G4
162.0,64.8,21,2.0,r,r,r,r,C5,C5,F#4,r,C5,F#4,r,C5,F#4,r,r,F#4
162.5,65.0,21,2.25,r,r,r,r,E5,E5,F#4,r,E5,F#4,r,E5,F#4,r,r,F#4
163.0,65.2,21,2.5,r,r,r,r,D5,D5,F#4,r,D5,F#4,r,D5,F#4,r,r,F#4
163.5,65.4,21,2.75,r,r,r,r,C5,C5,F#4,r,C5,F#4,r,C5,F#4,r,r,F#4
164.0,65.6,21,3.0,r,r,r,r,B4,B4,G4,r,B4,G4,r,B4,G4,r,r,G4
165.0,66.0,21,3.5,r,r,r,r,C#5,C#5,F#4,r,C#5,F#4,r,C#5,F#4,r,r,F#4
165.5,66.2,21,3.75,r,r,r,r,C#5,C#5,E4,r,C#5,E4,r,C#5,E4,r,r,E4
166.0,66.4,21,4.0,r,r,r,r,D5,D5,D4,r,D5,D4,B3,D5,D4,B3,r,B3
166.5,66.6,21,4.25,r,r,r,r,D5,D5,E4,r,D5,E4,B3,D5,E4,B3,r,B3
167.0,66.8,21,4.5,r,r,r,r,D5,D5,F#4,r,D5,C#4,B3,D5,C#4,B3,r,B3
167.5,67.0,21,4.75,r,r,r,r,D5,D5,D4,r,D5,D4,B3,D5,D4,B3,r,B3
168.0,67.2,22,1.0,r,r,r,r,G4,G4,E4,r,G4,E4,B3,G4,E4,B3,r,B3
168.5,67.4,22,1.25,r,r,r,r,G4,G4,D4,r,G4,D4,B3,G4,D4,B3,r,B3
169.0,67.6,22,1.5,r,r,r,r,E4,E4,E4,r,E4,E4,B3,r,E4,B3,r,B3
169.5,67.8,22,1.75,r,r,r,r,E4,E4,F#4,r,E4,F#4,B3,r,F#4,B3,r,B3
170.0,68.0,22,2.0,r,r,r,r,C#5,C#5,E4,r,C#5,E4,B-3,C#5,E4,B-3,r,B-3
170.5,68.2,22,2.25,r,r,r,r,C#5,C#5,G4,r,C#5,G4,B-3,C#5,G4,B-3,r,B-3
171.0,68.4,22,2.5,r,r,r,r,C#5,C#5,F#4,r,C#5,F#4,B-3,C#5,F#4,B-3,r,B-3
171.5,68.6,22,2.75,r,r,r,r,C#5,C#5,E4,r,C#5,E4,B-3,C#5,E4,B-3,r,B-3
172.0,68.8,22,3.0,r,r,r,r,C#5,C#5,D4,r,C#5,D4,B3,C#5,D4,B3,r,B3
173.0,69.2,22,3.5,r,r,r,r,C#5,C#5,E4,r,C#5,E4,A3,C#5,E4,A3,r,A3
173.5,69.4,22,3.75,r,r,r,r,C#5,C#5,E4,r,C#5,E4,G3,C#5,E4,G3,r,G3
174.0,69.6,22,4.0,r,r,r,r,B4,B4,F#4,D3,B4,F#4,F#3,B4,F#4,F#3,D3,D3
174.5,69.8,22,4.25,r,r,r,r,B4,B4,F#4,D3,B4,F#4,G3,B4,F#4,G3,D3,D3
175.0,70.0,22,4.5,r,r,r,r,B4,B4,F#4,D3,B4,F#4,E3,B4,F#4,E3,D3,D3
175.5,70.2,22,4.75,r,r,r,r,B4,B4,F#4,D3,B4,F#4,F#3,B4,F#4,F#3,D3,D3
176.0,70.4,23,1.0,r,r,r,r,E5,E5,E4,D3,E5,B3,G3,E5,B3,G3,D3,D3
176.5,70.6,23,1.25,r,r,r,r,E5,E5,E4,D3,E5,B3,F#3,E5,B3,F#3,D3,D3
177.0,70.8,23,1.5,r,r,r,r,E5,E5,E4,D3,E5,B3,G3,E5,r,G3,D3,D3
177.5,71.0,23,1.75,r,r,r,r,E5,E5,E4,D3,E5,B3,A3,E5,r,A3,D3,D3
178.0,71.2,23,2.0,r,r,r,r,A4,A4,E4,C#3,A4,E4,G3,A4,E4,G3,C#3,C#3
178.5,71.4,23,2.25,r,r,r,r,A4,A4,E4,C#3,A4,E4,B3,A4,E4,B3,C#3,C#3
179.0,71.6,23,2.5,r,r,r,r,A4,A4,E4,C#3,A4,E4,A3,A4,E4,A3,C#3,C#3
179.5,71.8,23,2.75,r,r,r,r,A4,A4,E4,C#3,A4,E4,G3,A4,E4,G3,C#3,C#3
180.0,72.0,23,3.0,r,r,r,r,A4,A4,E4,D3,A4,E4,F#3,A4,E4,F#3,D3,D3
181.0,72.4,23,3.5,r,r,r,r,A4,A4,D4,C#3,A4,D4,G3,r,D4,G3,C#3,C#3
181.5,72.6,23,3.75,r,r,r,r,A4,A4,D4,B2,A4,D4,G3,r,D4,G3,B2,B2
182.0,72.8,23,4.0,r,r,r,r,F#5,F#5,E4,A2,F#5,C#4,A3,F#5,C#4,A3,A2,A2
182.5,73.0,23,4.25,r,r,r,r,F#5,F#5,E4,B2,F#5,C#4,A3,F#5,C#4,A3,B2,B2
183.0,73.2,23,4.5,r,r,r,r,F#5,F#5,A4,G#2,F#5,A4,A3,F#5,A4,A3,G#2,G#2
183.5,73.4,23,4.75,r,r,r,r,F#5,F#5,A4,A2,F#5,A4,A3,F#5,A4,A3,A2,A2
184.0,73.6,24,1.0,r,r,r,r,F#5,F#5,G#4,B2,F#5,G#4,D3,F#5,G#4,D3,B2,B2
184.5,73.8,24,1.25,r,r,r,r,F#5,F#5,G#4,A2,F#5,G#4,D3,F#5,G#4,D3,A2,A2
185.0,74.0,24,1.5,r,r,r,r,F#5,F#5,G#4,B2,F#5,G#4,D4,F#5,G#4,D4,B2,B2
185.5,74.2,24,1.75,r,r,r,r,F#5,F#5,G#4,C#3,F#5,G#4,D4,F#5,G#4,D4,C#3,C#3
186.0,74.4,24,2.0,r,r,r,r,F5,F5,G#4,B2,F5,G#4,C#4,F5,G#4,C#4,B2,B2
186.5,74.6,24,2.25,r,r,r,r,F5,F5,G#4,D3,F5,G#4,C#4,F5,G#4,C#4,D3,D3
