qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
2.0,0.8,1,2.0,r,r,r,r,r,r,r,D3,r,r,r,r,r,r,D3,D3
4.0,1.6,1,3.0,r,r,r,r,r,r,r,E3,r,r,r,r,r,r,E3,E3
6.0,2.4,1,4.0,r,r,r,r,r,r,r,F#3,r,r,A3,r,r,A3,F#3,F#3
8.0,3.2,2,1.0,r,r,r,r,r,r,r,G3,r,r,B3,r,r,B3,G3,G3
10.0,4.0,2,2.0,r,r,r,r,r,r,r,F#3,r,r,C#4,r,r,C#4,F#3,F#3
11.0,4.4,2,2.5,r,r,r,r,r,r,r,E3,r,r,C#4,r,r,C#4,E3,E3
12.0,4.8,2,3.0,r,r,r,r,r,r,r,F#3,r,r,D4,r,r,D4,F#3,F#3
13.0,5.2,2,3.5,r,r,r,r,r,r,r,D3,r,r,D4,r,r,D4,D3,D3
14.0,5.6,2,4.0,r,r,r,r,r,r,D4,G3,r,D4,C#4,r,D4,C#4,G3,G3
15.0,6.0,2,4.5,r,r,r,r,r,r,D4,G3,r,D4,B3,r,D4,B3,G3,G3
16.0,6.4,3,1.0,r,r,r,r,r,r,E4,G3,r,E4,C#4,r,E4,C#4,G3,G3
17.0,6.8,3,1.5,r,r,r,r,r,r,E4,G3,r,E4,A3,r,E4,A3,G3,G3
18.0,7.2,3,2.0,r,r,r,r,A4,A4,F#4,F#3,A4,F#4,D4,A4,F#4,D4,F#3,F#3
19.0,7.6,3,2.5,r,r,r,r,A4,A4,F#4,F#3,A4,F#4,D4,A4,F#4,D4,F#3,F#3
20.0,8.0,3,3.0,r,r,r,r,B4,B4,G4,E3,B4,G4,D4,B4,G4,D4,E3,E3
22.0,8.8,3,4.0,r,r,r,r,C#5,C#5,F#4,E3,C#5,F#4,C#4,C#5,F#4,C#4,E3,E3
23.0,9.2,3,4.5,r,r,r,r,C#5,C#5,E4,E3,C#5,E4,C#4,C#5,E4,C#4,E3,E3
24.0,9.6,4,1.0,r,r,r,r,D5,D5,F#4,D3,D5,F#4,B3,D5,F#4,B3,D3,D3
25.0,10.0,4,1.5,r,r,r,r,D5,D5,D4,D3,D5,D4,B3,D5,D4,B3,D3,D3
26.0,10.4,4,2.0,r,r,r,r,C#5,C#5,G4,D3,C#5,G4,B3,C#5,G4,B3,D3,D3
27.0,10.8,4,2.5,r,r,r,r,B4,B4,G4,D3,B4,G4,B3,B4,G4,B3,D3,D3
