qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
74.0,78.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
78.0,91.0,,,,,U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso)&U(Violin 1)&U(Main),,U(Bass),U(Traverso)&U(Oboe 1)&U(Main),U(Alto),U(Tenor),Main Part,U(Violin 2),U(Viola),U(Bassoon),
91.0,96.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),,U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),,
96.0,98.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&P3(Viola)&U(Alto)&P3(Main),U(Bass),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&P3(Viola)&U(Alto)&P3(Main),P3(Oboe 2)&P3(Violin 2)&P3(Alto)&U(Main),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2)&P3(Viola)&P3(Main),Main Part,U(Bassoon),
98.0,112.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),Main Part,U(Bassoon)&U(Main)
112.0,116.0,U(Traverso)&U(Oboe 1)&U(Violin 1)&U(Soprano),,,,U(Tromba 1)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Tromba 1)&U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
116.0,122.0,Main Part,,,,U(Main)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Main)&U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Main)&U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Main)&U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
122.0,134.0,U(Traverso)&U(Oboe 1)&U(Violin 1)&U(Soprano),,,,U(Tromba 1)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Tromba 1)&U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Main),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),Main Part,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
134.0,138.0,U(Traverso)&U(Oboe 1)&U(Violin 1)&U(Soprano),,,,U(Tromba 1)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Tromba 1)&U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
138.0,150.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),Main Part,U(Bassoon)&U(Main)
150.0,158.0,,,,,U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),P8(Bass),U(Traverso)&U(Oboe 1)&U(Main),U(Oboe 2)&U(Alto),U(Tenor),Main Part,U(Oboe 2)&U(Violin 2),U(Viola),P8(Bassoon),
158.0,166.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),,U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),,
166.0,174.0,,,,,U(Oboe 1)&U(Violin 1),U(Traverso)&U(Violin 1),,U(Bass),U(Traverso)&U(Oboe 1),U(Alto),U(Main),,U(Violin 2),Main Part,U(Bassoon),
174.0,182.0,,,,,U(Oboe 1)&U(Violin 1),U(Traverso)&U(Violin 1),,U(Main)&U(Continuo),U(Traverso)&U(Oboe 1),,U(Tenor),,,U(Viola),Main Part,U(Bassoon)&U(Main)
182.0,194.0,,,,,U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso)&U(Violin 1)&U(Main),,U(Bass),U(Traverso)&U(Oboe 1)&U(Main),U(Alto),U(Tenor),Main Part,U(Violin 2),U(Viola),U(Bassoon),
194.0,198.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
198.0,206.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Main),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),Main Part,U(Bassoon),
206.0,220.0,Main Part,,,,U(Main)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Main)&U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass),U(Main)&U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor)&U(Continuo),U(Main)&U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola)&U(Continuo),U(Bassoon),U(Viola)&U(Tenor)
