qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,13.0,,,,,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,P2(Violin 2)&P4(Viola),P2(Violin 1)&P3(Viola),P4(Violin 1)&P3(Violin 2),Main Part,P8(Main)
13.0,24.0,,,,,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
24.0,37.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
37.0,43.0,P8(Violin 1)&P2(Violin 2)&P4(Viola),,,,,,,,,,,,,P8(Flute 1)&P2(Violin 2)&P4(Viola),P2(Flute 1)&P2(Violin 1)&P3(Viola),P4(Flute 1)&P4(Violin 1)&P3(Violin 2),Main Part,P8(Main)
43.0,55.0,Main Part,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),U(Eb Horn 2),U(Eb Horn 1),,,,P8(Main),,,P8(Contrabass),P8(Violoncello)
55.0,67.0,,,,,,,,,Main Part,U(Main),,,,,,,P8(Contrabass),P8(Violoncello)
67.0,79.0,U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),Main Part,,,,,,,,P8(Contrabass),P8(Violoncello)
79.0,91.0,U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main),U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2)&P8(Main),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(Main),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Main),U(Eb Horn 2)&P8(Violin 2),U(Eb Horn 1)&P8(Violin 2),,,,Main Part,P8(Eb Horn 1)&P8(Eb Horn 2),,P8(Contrabass),P8(Violoncello)
91.0,103.0,U(Oboe 1)&P8(Bb Clarinet 1)&U(Main)&P8(Viola),P8(Oboe 2),U(Flute 1)&P8(Bb Clarinet 1)&U(Main)&P8(Viola),P8(Flute 2),P8(Flute 1)&P8(Oboe 1)&P8(Main)&U(Viola),,P8(Bassoon 2),P8(Bassoon 1),U(Eb Horn 2),U(Eb Horn 1),,,,Main Part,,P8(Flute 1)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Main),P8(Contrabass),P8(Violoncello)
103.0,114.0,U(Oboe 1)&U(Main)&P8(Viola),U(Oboe 2)&U(Violin 2),U(Flute 1)&U(Main)&P8(Viola),U(Flute 2)&U(Violin 2),,,U(Bassoon 2),U(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,U(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P8(Main),P8(Contrabass),P8(Violoncello)
114.0,117.0,U(Oboe 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Violin 1)&P8(Viola),U(Oboe 2)&U(Violin 2),U(Flute 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Violin 1)&P8(Viola),U(Flute 2)&U(Violin 2),Main Part,P4(Flute 1)&P4(Oboe 1)&U(Main)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Violin 1)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Main)&P8(Bb Clarinet 2)&U(Bassoon 2)&P4(Violin 1)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Main)&P8(Bb Clarinet 2)&U(Bassoon 1)&P4(Violin 1)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Eb Horn 2)&P4(Violin 1)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Eb Horn 1)&P4(Violin 1)&P4(Viola),,,,U(Flute 1)&U(Oboe 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P8(Viola),U(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P8(Violin 1),P8(Contrabass),P8(Violoncello)
117.0,120.0,U(Oboe 1)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Main)&P8(Viola),U(Oboe 2)&U(Violin 2),U(Flute 1)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Main)&P8(Viola),U(Flute 2)&U(Violin 2),P4(Flute 1)&P4(Oboe 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Main)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Main)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P4(Main)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P4(Main)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Eb Horn 2)&P4(Main)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Eb Horn 1)&P4(Main)&P4(Viola),,,,Main Part,U(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P8(Main),P8(Contrabass),P8(Violoncello)
120.0,123.0,U(Oboe 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Violin 1)&P8(Viola),U(Oboe 2)&U(Violin 2),U(Flute 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Violin 1)&P8(Viola),U(Flute 2)&U(Violin 2),Main Part,P4(Flute 1)&P4(Oboe 1)&U(Main)&P4(Violin 1)&P4(Viola),,,P4(Flute 1)&P4(Oboe 1)&P8(Eb Horn 2)&P4(Violin 1)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Eb Horn 1)&P4(Violin 1)&P4(Viola),,,,U(Flute 1)&U(Oboe 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P8(Viola),U(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P4(Main)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P8(Violin 1),P8(Contrabass),P8(Violoncello)
123.0,134.0,U(Oboe 1)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Main)&P8(Viola),U(Oboe 2)&U(Violin 2),U(Flute 1)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&U(Main)&P8(Viola),U(Flute 2)&U(Violin 2),P4(Flute 1)&P4(Oboe 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P4(Main)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Bb Clarinet 1)&P8(Eb Horn 1)&P8(Eb Horn 2)&P4(Main)&P4(Viola),,,P4(Flute 1)&P4(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 2)&P4(Main)&P4(Viola),P4(Flute 1)&P4(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P4(Main)&P4(Viola),,,,Main Part,U(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P8(Main),P8(Contrabass),P8(Violoncello)
134.0,145.0,,,,,,,,,,,,,,P2(Violin 2)&P4(Viola),P2(Violin 1)&P3(Viola),P4(Violin 1)&P3(Violin 2),Main Part,P8(Main)
145.0,156.0,,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
156.0,168.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
168.0,182.0,,,P8(Eb Horn 1)&P8(Eb Horn 2),,,,,,P8(Oboe 1)&P8(Eb Horn 2),P8(Oboe 1)&P8(Eb Horn 1),,,,P8(Violin 2),P8(Violin 1),Main Part,U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
182.0,186.0,,,P8(Eb Horn 1)&P8(Eb Horn 2),,,,,,P8(Oboe 1)&P8(Eb Horn 2),P8(Oboe 1)&P8(Eb Horn 1),,,,Main Part,P8(Main),U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
186.0,188.0,,,P8(Eb Horn 1)&P8(Eb Horn 2),,,,,,P8(Oboe 1)&P8(Eb Horn 2),P8(Oboe 1)&P8(Eb Horn 1),,,,P8(Violin 2),P8(Violin 1),Main Part,U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
188.0,191.0,,,P8(Eb Horn 1)&P8(Eb Horn 2),,,,,,P8(Oboe 1)&P8(Eb Horn 2),P8(Oboe 1)&P8(Eb Horn 1),,,,Main Part,P8(Main),U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
191.0,202.0,,,P8(Eb Horn 1)&P8(Eb Horn 2),,,,,,P8(Oboe 1)&P8(Eb Horn 2),P8(Oboe 1)&P8(Eb Horn 1),,,,P8(Violin 2),P8(Violin 1),Main Part,U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
