score_qstamp,qstamp,measure,beat,728535_tstamp,726649_tstamp
0.0,0.0,1,3.0,3.8,3.36
1.0,1.0,2,1.0,4.2883,3.5683
2.0,2.0,2,2.0,4.4967,3.7767
3.0,3.0,2,3.0,4.705,3.985
4.0,4.0,3,1.0,5.0466,4.2997
6.0,6.0,3,3.0,5.47,4.8
7.0,7.0,4,1.0,5.7149,5.0383
9.0,9.0,4,3.0,6.17,5.455
10.0,10.0,5,1.0,6.493,5.7965
13.0,13.0,6,1.0,7.4683,7.0283
15.0,15.0,6,3.0,7.885,7.445
16.0,16.0,7,1.0,8.0933,7.7996
18.0,18.0,7,3.0,8.57,8.88
19.0,19.0,8,1.0,8.7783,9.2783
21.0,21.0,8,3.0,9.21,10.295
22.0,22.0,9,1.0,9.9033,11.2833
24.0,24.0,9,3.0,11.2233,13.0633
25.0,25.0,10,1.0,12.0433,14.6033
26.0,26.0,10,2.0,12.3033,14.9233
27.0,27.0,10,3.0,12.6633,15.1233
28.0,28.0,11,1.0,13.0833,15.4233
30.0,30.0,11,3.0,13.2633,15.8833
31.0,31.0,12,1.0,13.5233,16.1033
33.0,33.0,12,3.0,14.0633,16.6433
34.0,34.0,13,1.0,14.2033,17.0233
36.0,36.0,13,3.0,14.7433,17.4633
37.0,37.0,14,1.0,15.0033,17.8033
40.0,40.0,15,1.0,15.4033,18.9033
42.0,42.0,15,3.0,16.3233,19.4033
43.0,43.0,16,1.0,16.5233,19.7633
45.0,45.0,16,3.0,16.8616,20.2619
46.0,46.0,17,1.0,17.3433,20.5732
48.0,48.0,17,3.0,17.7433,21.6233
49.0,49.0,18,1.0,18.1433,22.1233
51.0,51.0,18,3.0,18.8233,23.1233
52.0,52.0,19,1.0,19.3233,23.9033
55.0,55.0,20,1.0,20.7033,25.4033
56.0,56.0,20,2.0,21.0296,25.7016
57.0,57.0,20,3.0,21.1068,26.0651
58.0,58.0,21,1.0,21.1209,26.2216
61.0,61.0,22,1.0,21.3833,28.0433
62.0,62.0,22,2.0,21.5233,28.5433
63.0,63.0,22,3.0,21.7833,28.6324
64.0,64.0,23,1.0,22.2833,28.8833
67.0,67.0,24,1.0,23.7866,29.6033
68.0,68.0,24,2.0,24.3033,30.0233
69.0,69.0,24,3.0,24.8033,30.1033
70.0,70.0,25,1.0,24.9833,30.3633
72.0,72.0,25,3.0,25.5833,30.9896
73.0,73.0,26,1.0,25.9033,31.1033
74.0,74.0,26,2.0,26.0881,31.5809
75.0,75.0,26,3.0,26.1233,31.6033
76.0,76.0,27,1.0,26.3633,31.8433
79.0,79.0,28,1.0,27.0003,32.3804
80.0,80.0,28,2.0,27.0611,32.6033
81.0,81.0,28,3.0,27.2433,33.0633
82.0,82.0,29,1.0,27.7433,33.3033
85.0,85.0,30,1.0,28.3833,34.0633
86.0,86.0,30,2.0,28.8833,34.2529
87.0,87.0,30,3.0,28.9504,34.5033
88.0,88.0,31,1.0,29.1033,34.8233
91.0,91.0,32,1.0,29.7833,35.5433
92.0,92.0,32,2.0,30.0846,35.8657
93.0,93.0,32,3.0,30.096,35.9233
94.0,94.0,33,1.0,30.4233,36.2033
96.0,96.0,33,3.0,30.9386,36.7233
