score_qstamp,qstamp,measure,beat,83284_tstamp
0.0,0.0,1,4.5,1.1
0.25,0.25,1,4.75,1.25
0.5,0.5,2,1.0,1.4
1.0,1.0,2,1.5,1.7
1.25,1.25,2,1.75,1.85
1.5,1.5,2,2.0,2.0
2.0,2.0,2,2.5,2.28
2.25,2.25,2,2.75,2.43
2.5,2.5,2,3.0,2.56
3.0,3.0,2,3.5,2.82
3.25,3.25,2,3.75,2.97
3.5,3.5,2,4.0,3.12
4.0,4.0,2,4.5,3.4
4.25,4.25,2,4.75,3.53
4.5,4.5,3,1.0,3.68
5.0,5.0,3,1.5,3.98
5.25,5.25,3,1.75,4.13
5.5,5.5,3,2.0,4.28
5.75,5.75,3,2.25,4.39
6.0,6.0,3,2.5,4.48
6.25,6.25,3,2.75,4.63
6.5,6.5,3,3.0,4.78
6.75,6.75,3,3.25,4.93
7.0,7.0,3,3.5,5.08
7.25,7.25,3,3.75,5.23
7.5,7.5,3,4.0,5.34
7.75,7.75,3,4.25,5.49
8.0,8.0,3,4.5,5.6
8.25,8.25,3,4.75,5.75
8.5,8.5,4,1.0,5.9
8.75,8.75,4,1.25,6.05
9.0,9.0,4,1.5,6.2
9.25,9.25,4,1.75,6.33
9.5,9.5,4,2.0,6.46
9.75,9.75,4,2.25,6.61
10.0,10.0,4,2.5,6.74
10.25,10.25,4,2.75,6.89
10.5,10.5,4,3.0,7.04
10.75,10.75,4,3.25,7.19
11.0,11.0,4,3.5,7.34
11.25,11.25,4,3.75,7.47
11.5,11.5,4,4.0,7.58
11.75,11.75,4,4.25,7.73
12.0,12.0,4,4.5,7.88
12.25,12.25,4,4.75,8.03
12.5,12.5,5,1.0,8.12
13.0,13.0,5,1.5,8.42
13.25,13.25,5,1.75,8.55
13.5,13.5,5,2.0,8.7
14.0,14.0,5,2.5,8.98
14.25,14.25,5,2.75,9.07
14.5,14.5,5,3.0,9.22
15.0,15.0,5,3.5,9.54
15.25,15.25,5,3.75,9.69
15.5,15.5,5,4.0,9.82
15.75,15.75,5,4.25,9.965
16.0,16.0,5,4.5,10.08
16.25,16.25,5,4.75,10.23
16.5,16.5,6,1.0,10.38
17.0,17.0,6,1.5,10.64
17.25,17.25,6,1.75,10.79
17.5,17.5,6,2.0,10.94
17.75,17.75,6,2.25,11.09
18.0,18.0,6,2.5,11.18
18.25,18.25,6,2.75,11.315
18.5,18.5,6,3.0,11.46
19.0,19.0,6,3.5,11.76
19.25,19.25,6,3.75,11.91
19.5,19.5,6,4.0,12.06
19.75,19.75,6,4.25,12.138
20.0,20.0,6,4.5,12.28
20.25,20.25,6,4.75,12.43
20.5,20.5,7,1.0,12.58
20.75,20.75,7,1.25,12.73
21.0,21.0,7,1.5,12.88
21.25,21.25,7,1.75,13.03
21.5,21.5,7,2.0,13.14
21.75,21.75,7,2.25,13.29
22.0,22.0,7,2.5,13.38
22.25,22.25,7,2.75,13.53
22.5,22.5,7,3.0,13.68
22.75,22.75,7,3.25,13.83
23.0,23.0,7,3.5,13.98
23.25,23.25,7,3.75,14.07
23.5,23.5,7,4.0,14.22
23.75,23.75,7,4.25,14.37
24.0,24.0,7,4.5,14.52
24.25,24.25,7,4.75,14.665
24.5,24.5,8,1.0,14.78
25.0,25.0,8,1.5,15.08
25.25,25.25,8,1.75,15.21
25.5,25.5,8,2.0,15.34
26.0,26.0,8,2.5,15.58
26.5,26.5,8,3.0,15.88
27.0,27.0,8,3.5,16.18
27.25,27.25,8,3.75,16.31
27.5,27.5,8,4.0,16.44
27.75,27.75,8,4.25,16.59
28.0,28.0,8,4.5,16.74
28.25,28.25,8,4.75,16.87
28.5,28.5,9,1.0,17.02
29.0,29.0,9,1.5,17.26
29.25,29.25,9,1.75,17.41
29.5,29.5,9,2.0,17.54
30.0,30.0,9,2.5,17.86
30.5,30.5,9,3.0,18.12
31.0,31.0,9,3.5,18.42
31.5,31.5,9,4.0,18.72
32.0,32.0,9,4.5,18.94
32.25,32.25,9,4.75,19.09
32.5,32.5,10,1.0,19.24
33.0,33.0,10,1.5,19.5
33.25,33.25,10,1.75,19.63
33.5,33.5,10,2.0,19.78
34.0,34.0,10,2.5,20.06
34.25,34.25,10,2.75,20.21
34.5,34.5,10,3.0,20.36
35.0,35.0,10,3.5,20.66
35.25,35.25,10,3.75,20.77
35.5,35.5,10,4.0,20.9
36.0,36.0,10,4.5,21.2
36.25,36.25,10,4.75,21.35
36.5,36.5,11,1.0,21.5
36.75,36.75,11,1.25,21.65
37.0,37.0,11,1.5,21.74
37.25,37.25,11,1.75,21.89
37.5,37.5,11,2.0,22.04
37.75,37.75,11,2.25,22.19
38.0,38.0,11,2.5,22.32
38.25,38.25,11,2.75,22.45
38.5,38.5,11,3.0,22.6
38.75,38.75,11,3.25,22.75
39.0,39.0,11,3.5,22.9
39.25,39.25,11,3.75,23.03
