qstamp,tstamp,measure,beat,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
0.0,0.0,1,4.5,G4,G4,G4,G3,G3,G3,G2,G2,G2,G1,G2
0.25,0.15,1,4.75,F#4,F#4,F#4,G3,G3,G3,G2,G2,G2,G1,G2
0.5,0.3,2,1.0,G4,G4,G4,B3,B3,B3,G2,G2,G2,G1,G2
1.0,0.6,2,1.5,D4,D4,D4,D4,D4,D4,G3,G3,G3,G2,G3
1.25,0.75,2,1.75,C4,C4,C4,D4,D4,D4,G3,G3,G3,G2,G3
1.5,0.9,2,2.0,D4,D4,D4,B3,B3,B3,G3,G3,G3,G2,G3
2.0,1.2,2,2.5,G4,G4,G4,G3,G3,G3,G2,G2,G2,G1,G2
2.25,1.35,2,2.75,F#4,F#4,F#4,G3,G3,G3,G2,G2,G2,G1,G2
2.5,1.5,2,3.0,G4,G4,G4,B3,B3,B3,G2,G2,G2,G1,G2
3.0,1.8,2,3.5,B3,B3,B3,D4,D4,D4,G3,G3,G3,G2,G3
3.25,1.95,2,3.75,A3,A3,A3,D4,D4,D4,G3,G3,G3,G2,G3
3.5,2.1,2,4.0,B3,B3,B3,B3,B3,B3,G3,G3,G3,G2,G3
4.0,2.4,2,4.5,G4,G4,G4,G3,G3,G3,G2,G2,G2,G1,G2
4.25,2.55,2,4.75,F#4,F#4,F#4,G3,G3,G3,G2,G2,G2,G1,G2
4.5,2.7,3,1.0,G4,G4,G4,B3,B3,B3,G2,G2,G2,G1,G2
5.0,3.0,3,1.5,G3,G3,G3,D4,D4,D4,G3,G3,G3,G2,G3
5.25,3.15,3,1.75,A3,A3,A3,D4,D4,D4,F#3,F#3,F#3,F#2,F#3
5.5,3.3,3,2.0,B3,B3,B3,G4,G4,G4,E3,E3,E3,E2,E3
5.75,3.45,3,2.25,B3,B3,B3,B4,B4,B4,E3,E3,E3,E2,E3
6.0,3.6,3,2.5,C#4,C#4,C#4,A4,A4,A4,A3,A3,A3,A2,A3
6.25,3.75,3,2.75,C#4,C#4,C#4,G4,G4,G4,A3,A3,A3,A2,A3
6.5,3.9,3,3.0,D4,D4,D4,F#4,F#4,F#4,D3,D3,D3,D2,D3
6.75,4.05,3,3.25,C#4,C#4,C#4,F#4,F#4,F#4,D3,D3,D3,D2,D3
7.0,4.2,3,3.5,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D4
7.25,4.35,3,3.75,E4,E4,E4,D4,D4,D4,C#4,C#4,C#4,C#3,C#4
7.5,4.5,3,4.0,D4,D4,D4,r,r,r,D4,D4,D4,D3,D4
7.75,4.65,3,4.25,F#4,F#4,F#4,r,r,r,D4,D4,D4,D3,D4
8.0,4.8,3,4.5,D4,D4,D4,B4,B4,B4,D3,D3,D3,D2,D3
8.25,4.95,3,4.75,G4,G4,G4,B4,B4,B4,D3,D3,D3,D2,D3
8.5,5.1,4,1.0,D4,D4,D4,F#4,F#4,F#4,D3,D3,D3,D2,D3
8.75,5.25,4,1.25,C#4,C#4,C#4,F#4,F#4,F#4,D3,D3,D3,D2,D3
9.0,5.4,4,1.5,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D4
9.25,5.55,4,1.75,E4,E4,E4,D4,D4,D4,C#4,C#4,C#4,C#3,C#4
9.5,5.7,4,2.0,D4,D4,D4,r,r,r,D4,D4,D4,D3,D4
9.75,5.85,4,2.25,A4,A4,A4,r,r,r,D4,D4,D4,D3,D4
10.0,6.0,4,2.5,D4,D4,D4,G4,G4,G4,D3,D3,D3,D2,D3
10.25,6.15,4,2.75,B4,B4,B4,G4,G4,G4,D3,D3,D3,D2,D3
10.5,6.3,4,3.0,D4,D4,D4,F#4,F#4,F#4,D3,D3,D3,D2,D3
10.75,6.45,4,3.25,C#4,C#4,C#4,F#4,F#4,F#4,D3,D3,D3,D2,D3
11.0,6.6,4,3.5,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D4
11.25,6.75,4,3.75,E4,E4,E4,D4,D4,D4,C#4,C#4,C#4,C#3,C#4
11.5,6.9,4,4.0,D4,D4,D4,r,r,r,D4,D4,D4,D3,D4
11.75,7.05,4,4.25,C5,C5,C5,r,r,r,D4,D4,D4,D3,D4
12.0,7.2,4,4.5,D4,D4,D4,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
12.25,7.35,4,4.75,D5,D5,D5,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
12.5,7.5,5,1.0,B4,B4,B4,D4,D4,D4,G3,G3,G3,G2,G3
13.0,7.8,5,1.5,A4,A4,A4,C4,C4,C4,E3,E3,E3,E2,E3
13.25,7.95,5,1.75,G4,G4,G4,B3,B3,B3,E3,E3,E3,E2,E3
13.5,8.1,5,2.0,A4,A4,A4,C4,C4,C4,C3,C3,C3,C2,C3
14.0,8.4,5,2.5,G4,G4,G4,B3,B3,B3,D3,D3,D3,D2,D3
14.25,8.55,5,2.75,F#4,F#4,F#4,A3,A3,A3,D3,D3,D3,D2,D3
14.5,8.7,5,3.0,G4,G4,G4,G3,G3,G3,E3,E3,E3,E2,E3
15.0,9.0,5,3.5,F#4,F#4,F#4,G4,G4,G4,D3,D3,D3,D2,D3
15.25,9.15,5,3.75,E4,E4,E4,G4,G4,G4,C3,C3,C3,C2,C3
15.5,9.3,5,4.0,D4,D4,D4,G4,G4,G4,B2,B2,B2,B1,B2
15.75,9.45,5,4.25,G4,G4,G4,G4,G4,G4,B2,B2,B2,B1,B2
16.0,9.6,5,4.5,D4,D4,D4,G3,G3,G3,A2,A2,A2,A1,A2
16.25,9.75,5,4.75,G4,G4,G4,G3,G3,G3,G2,G2,G2,G1,G2
16.5,9.9,6,1.0,E4,E4,E4,G3,G3,G3,C3,C3,C3,C2,C3
17.0,10.2,6,1.5,D4,D4,D4,G4,G4,G4,B2,B2,B2,B1,B2
17.25,10.35,6,1.75,C4,C4,C4,G4,G4,G4,A2,A2,A2,A1,A2
17.5,10.5,6,2.0,B3,B3,B3,G4,G4,G4,G2,G2,G2,G1,G2
17.75,10.65,6,2.25,G4,G4,G4,G4,G4,G4,G2,G2,G2,G1,G2
18.0,10.8,6,2.5,B3,B3,B3,G3,G3,G3,G3,G3,G3,G2,G3
18.25,10.95,6,2.75,G4,G4,G4,G3,G3,G3,F#3,F#3,F#3,F#2,F#3
18.5,11.1,6,3.0,C4,C4,C4,G3,G3,G3,E3,E3,E3,E2,E3
19.0,11.4,6,3.5,B3,B3,B3,G4,G4,G4,D3,D3,D3,D2,D3
19.25,11.55,6,3.75,A3,A3,A3,G4,G4,G4,C3,C3,C3,C2,C3
19.5,11.7,6,4.0,G3,G3,G3,G4,G4,G4,B2,B2,B2,B1,B2
19.75,11.85,6,4.25,G4,G4,G4,G4,G4,G4,B2,B2,B2,B1,B2
20.0,12.0,6,4.5,A3,A3,A3,G3,G3,G3,C#3,C#3,C#3,C#2,C#3
20.25,12.15,6,4.75,G4,G4,G4,G3,G3,G3,C#3,C#3,C#3,C#2,C#3
20.5,12.3,7,1.0,B3,B3,B3,G3,G3,G3,D3,D3,D3,D2,D3
20.75,12.45,7,1.25,G4,G4,G4,G3,G3,G3,D3,D3,D3,D2,D3
21.0,12.6,7,1.5,C#4,C#4,C#4,G4,G4,G4,D2,D2,D2,D1,D2
21.25,12.75,7,1.75,G4,G4,G4,G4,G4,G4,D2,D2,D2,D1,D2
21.5,12.9,7,2.0,D4,D4,D4,F#4,F#4,F#4,D2,D2,D2,D1,D2
21.75,13.05,7,2.25,F#4,F#4,F#4,F#4,F#4,F#4,D2,D2,D2,D1,D2
22.0,13.2,7,2.5,D4,D4,D4,G4,G4,G4,D3,D3,D3,D2,D3
22.25,13.35,7,2.75,G4,G4,G4,G4,G4,G4,E3,E3,E3,E2,E3
22.5,13.5,7,3.0,D4,D4,D4,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
22.75,13.65,7,3.25,A4,A4,A4,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
23.0,13.8,7,3.5,D4,D4,D4,B4,B4,B4,G3,G3,G3,G2,G3
23.25,13.95,7,3.75,B4,B4,B4,B4,B4,B4,G3,G3,G3,G2,G3
23.5,14.1,7,4.0,D4,D4,D4,C5,C5,C5,A3,A3,A3,A2,A3
23.75,14.25,7,4.25,C5,C5,C5,C5,C5,C5,A3,A3,A3,A2,A3
24.0,14.4,7,4.5,D4,D4,D4,D5,D5,D5,F#3,F#3,F#3,F#2,F#3
24.25,14.55,7,4.75,D5,D5,D5,D5,D5,D5,F#3,F#3,F#3,F#2,F#3
24.5,14.7,8,1.0,B4,B4,B4,B4,B4,B4,G3,G3,G3,G2,G3
25.0,15.0,8,1.5,A4,A4,A4,A4,A4,A4,C4,C4,C4,C3,C4
25.25,15.15,8,1.75,G4,G4,G4,G4,G4,G4,C4,C4,C4,C3,C4
25.5,15.3,8,2.0,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D4
26.0,15.6,8,2.5,F#4,F#4,F#4,F#4,F#4,F#4,D3,D3,D3,D2,D3
26.5,15.9,8,3.0,G4,G4,G4,G4,G4,G4,G3,G3,G3,G2,G3
27.0,16.2,8,3.5,F#4,F#4,F#4,F#4,F#4,F#4,F#3,F#3,F#3,F#2,F#3
27.25,16.35,8,3.75,E4,E4,E4,E4,E4,E4,E3,E3,E3,E2,E3
27.5,16.5,8,4.0,D4,D4,D4,D4,D4,D4,D3,D3,D3,D2,D3
27.75,16.65,8,4.25,C4,C4,C4,C4,C4,C4,C3,C3,C3,C2,C3
28.0,16.8,8,4.5,B3,B3,B3,B3,B3,B3,B2,B2,B2,B1,B2
28.25,16.95,8,4.75,A3,A3,A3,A3,A3,A3,A2,A2,A2,A1,A2
28.5,17.1,9,1.0,B3,B3,B3,B3,B3,B3,B2,B2,B2,B1,B2
29.0,17.4,9,1.5,A3,A3,A3,A3,A3,A3,A2,A2,A2,A1,A2
29.25,17.55,9,1.75,G3,G3,G3,G3,G3,G3,G2,G2,G2,G1,G2
29.5,17.7,9,2.0,D4,D4,D4,D4,D4,D4,D3,D3,D3,D2,D3
30.0,18.0,9,2.5,D4,D4,D4,D3,D3,D3,D2,D2,D2,D1,D2
30.5,18.3,9,3.0,G3,G3,G3,G3,G3,G3,G2,G2,G2,G1,G2
31.0,18.6,9,3.5,G3,G3,G3,D4,D4,D4,G2,G2,G2,G1,G2
31.5,18.9,9,4.0,r,r,r,G4,G4,G4,r,r,r,r,r
32.0,19.2,9,4.5,G5,D5,B4,G4,G4,G4,D3,D3,D3,D2,D3
32.25,19.35,9,4.75,F#5,C5,A4,G4,G4,G4,D3,D3,D3,D2,D3
32.5,19.5,10,1.0,G5,D5,B4,r,r,r,G2,G2,G2,G1,G2
33.0,19.8,10,1.5,D5,B4,G4,r,r,r,G2,G2,G2,G1,G2
33.25,19.95,10,1.75,C5,A4,F#4,r,r,r,G2,G2,G2,G1,G2
33.5,20.1,10,2.0,D5,B4,G4,r,r,r,r,r,r,r,r
34.0,20.4,10,2.5,r,r,r,B4,G4,D4,r,r,r,r,r
34.25,20.55,10,2.75,r,r,r,A4,F#4,C4,r,r,r,r,r
34.5,20.7,10,3.0,r,r,r,B4,G4,D4,r,r,r,r,r
35.0,21.0,10,3.5,r,r,r,G4,D4,B3,r,r,r,r,r
35.25,21.15,10,3.75,r,r,r,F#4,C4,A3,r,r,r,r,r
35.5,21.3,10,4.0,r,r,r,G4,D4,B3,r,r,r,r,r
36.0,21.6,10,4.5,r,r,r,r,r,r,D4,B3,G3,r,r
36.25,21.75,10,4.75,r,r,r,r,r,r,C4,A3,F#3,r,r
36.5,21.9,11,1.0,r,r,r,r,r,r,B3,G3,G3,r,r
36.75,22.05,11,1.25,r,r,r,r,r,r,C4,G3,G3,r,r
37.0,22.2,11,1.5,D5,D5,D5,B3,B3,B3,B3,D3,G2,G1,G2
37.25,22.35,11,1.75,D5,D5,D5,C4,C4,C4,A3,D3,A2,A1,A2
37.5,22.5,11,2.0,G5,G5,G5,D4,D4,D4,G3,B2,B2,B1,B2
37.75,22.65,11,2.25,B5,B5,B5,D4,D4,D4,G3,B2,B2,B1,B2
38.0,22.8,11,2.5,A5,A5,A5,E4,E4,E4,C#3,C#3,C#3,C#2,C#3
38.25,22.95,11,2.75,G5,G5,G5,E4,E4,E4,C#3,C#3,C#3,C#2,C#3
38.5,23.1,11,3.0,F#5,F#5,F#5,A3,A3,A3,D3,D3,D3,D2,D3
38.75,23.25,11,3.25,A5,F#5,F#5,A3,A3,A3,D3,D3,D3,D2,D3
39.0,23.4,11,3.5,D5,F#5,F#5,D5,A4,F#4,D3,D3,D3,D2,D3
39.25,23.55,11,3.75,E5,F#5,F#5,C#5,G4,E4,D3,D3,D3,D2,D3
39.5,23.7,11,4.0,F#5,r,r,D5,A4,D4,r,r,r,r,r
39.75,23.85,11,4.25,G5,r,r,D5,A4,D4,r,r,r,r,r
40.0,24.0,11,4.5,A5,E5,C#5,r,r,r,A3,A3,A3,A2,A3
40.25,24.15,11,4.75,G5,E5,C#5,r,r,r,A3,A3,A3,A2,A3
