Symphony number,Opus,Movement number,Movement type (where different),Movement name/tempo,Symphony key,Movement key
,45,1,,"Selig sind, die la Leid tragen",,
1,68,1,,Un poco sostenuto - Allegro,c minor,c minor
1,68,2,,Andante sostenuto,c minor,Eb
1,68,3,,Un poco allegretto e grazioso,c minor,Ab
1,68,4,,Adagio - Allegro non troppo, ma con brio,c minor,C
2,73,1,,Allegro non troppo,D,D
2,73,2,,Adagio non troppo,D,B
2,73,3,,Allegretto grazioso (quasi andantino) - Presto ma non assai,D,G
2,73,4,,Allegro con spirito,D,D
3,90,1,,Allegro con brio,F,F
3,90,2,,Andante,F,C
3,90,3,,Poco allegretto,F,c minor
3,90,4,,Allegro,F,F
4,98,1,,Allegro non troppo,e minor,e minor
4,98,2,,Andante moderato,e minor,E
4,98,3,,Allegro giocoso,e minor,C
4,98,4,,Allegro energico e passionato,e minor,e minor
