qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,8.0,P8(A Clarinet 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1),P8(Bassoon 1),Main Part,,P8(Flute 1)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&U(Violin 1),,P8(Flute 2),P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(A Clarinet 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1),P8(Flute 1)&P8(A Clarinet 1)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1),P8(Flute 1)&U(A Clarinet 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani)&U(Violin 1),P8(Flute 1)&P8(A Clarinet 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani)&P8(Violin 1),P8(Flute 1)&P8(A Clarinet 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1),P8(Flute 1)&U(A Clarinet 1)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
8.0,16.0,P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),,,,Main Part,U(Main),,P3(Flute 1)&P8(Violoncello)&P8(Contrabass),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani)&U(Violin 1),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani)&P8(Violin 1),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,,P3(Flute 1)&P8(Bassoon 2)&P8(Contrabass),P3(Flute 1)&P8(Bassoon 2)&P8(Violoncello)
16.0,24.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),Main Part,U(Main),P8(D Trumpet 2)&P8(Timpani)&U(Violin 1),P8(D Trumpet 1)&P8(Timpani)&P8(Violin 1),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1),U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,,P8(Contrabass),P8(Violoncello)
24.0,36.25,,P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(A Clarinet 1),,P8(Oboe 1),,Main Part,,P8(A Horn 2),P8(A Horn 1),P5(Flute 2)&P8(D Trumpet 2)&P8(Timpani),P5(Flute 2)&P8(D Trumpet 1)&P8(Timpani),P5(Flute 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
36.25,40.0,P8(Oboe 1)&P8(Oboe 2)&P8(A Horn 1)&P8(A Horn 2),,P8(Flute 1)&U(Oboe 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&U(Oboe 1)&P8(A Horn 1)&P8(A Horn 2),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(A Horn 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(A Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
40.0,44.25,,,,,Main Part,P8(Bassoon 2),P8(Main),P8(A Clarinet 2),,,,,,P3(Violoncello)&P3(Contrabass),,,P3(Violin 1)&P8(Contrabass),P3(Violin 1)&P8(Violoncello)
44.25,48.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
48.0,52.0,,,,,Main Part,,,,,,,,,P2(Violoncello)&P2(Contrabass),P5(Viola),P5(Violin 2),P2(Violin 1)&P8(Contrabass),P2(Violin 1)&P8(Violoncello)
52.0,88.0,Main Part,,,,,,,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
88.0,96.0,U(Flute 2)&P3(Violoncello)&P3(Contrabass),U(Flute 1)&P3(Violoncello)&P3(Contrabass),Main Part,P8(Bassoon 1),,,P8(Oboe 2),,,,,,,P8(Violin 2),P8(Violin 1),,P3(Flute 1)&P3(Flute 2)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P8(Violoncello)
96.0,104.0,,,Main Part,P8(Bassoon 1),,,P8(Oboe 2),,,,,,,P8(Violin 2),P8(Violin 1),,,
104.0,112.0,,,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
112.0,120.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
120.0,132.0,,P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Bassoon 1),P8(A Clarinet 2),P3(Bassoon 2),P8(Oboe 2),P8(Oboe 1),P3(A Clarinet 1),P5(Flute 2)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P5(Flute 2)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P5(Flute 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P5(Flute 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P5(Flute 2)&P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
132.0,140.0,,,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2),P8(Oboe 1)&P8(A Clarinet 1),,P8(A Horn 2)&P8(Main)&P8(D Trumpet 2),P8(A Horn 1)&P8(Main)&P8(D Trumpet 2),Main Part,P8(A Horn 1)&P8(A Horn 2)&U(Main),,,,,P8(Contrabass),P8(Violoncello)
140.0,164.0,,,,P8(Bassoon 2),,,,P8(Oboe 2),P8(A Horn 2),P8(A Horn 1),Main Part,,,,,,P8(Contrabass),P8(Violoncello)
164.0,172.0,Main Part,,,P8(Bassoon 1)&P8(Bassoon 2),P3(A Clarinet 2),P3(A Clarinet 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 2)&P8(Bassoon 1),P8(A Horn 2),P8(A Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
172.0,180.0,Main Part,,P8(A Clarinet 2),,,P8(Oboe 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
180.0,188.0,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
