qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
39.75,34.5652,10,4.75,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,D5,B4,E3,E2
40.0,34.7826,11,1.0,r,r,r,r,C#5,A4,C#4,A3,r,r,r,r,r,C#6,C#5,A4,E3,E2
42.0,36.5217,11,3.0,r,r,r,r,A4,E4,A3,E3,r,r,r,r,r,r,r,r,r,r
44.0,38.2609,12,1.0,r,r,r,r,E4,C#4,E3,C#3,r,r,r,r,r,C#4,A3,E3,E3,E2
44.25,38.4783,12,1.25,r,r,r,r,E4,C#4,E3,C#3,r,r,r,r,r,C#4,A3,E3,E3,E2
44.5,38.6957,12,1.5,r,r,r,r,E4,C#4,E3,C#3,r,r,r,r,r,D4,B3,E3,E3,E2
44.75,38.913,12,1.75,r,r,r,r,E4,C#4,E3,C#3,r,r,r,r,r,E4,C#4,E3,E3,E2
45.0,39.1304,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,r,E3,E2
45.25,39.3478,12,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,r,E3,E2
45.5,39.5652,12,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,r,E3,E2
45.75,39.7826,12,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,r,E3,E2
46.0,40.0,12,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,E4,E3,E2
46.25,40.2174,12,3.25,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F#4,E3,E2
46.5,40.4348,12,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,G#4,E3,E2
46.75,40.6522,12,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,A4,E3,E2
47.0,40.8696,12,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,D5,B4,E3,E2
47.25,41.087,12,4.25,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,C#5,E3,E2
47.5,41.3043,12,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E5,D5,E3,E2
47.75,41.5217,12,4.75,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,E5,C#5,E3,E2
48.0,41.7391,13,1.0,r,r,r,r,D5,B4,D4,B3,r,r,r,r,r,D6,E5,B4,E3,E2
