score_qstamp,qstamp,measure,beat,246972_tstamp,831985_tstamp,728903_tstamp,728916_tstamp,728893_tstamp,728898_tstamp,729161_tstamp,728923_tstamp,736748_tstamp,728931_tstamp,728940_tstamp,728935_tstamp,728927_tstamp,728907_tstamp,728911_tstamp,728944_tstamp,728958_tstamp,728961_tstamp
0.0,0.0,1,3.0,0.66,0.66,2.36,3.02,0.38,0.68,1.96,3.1,2.62,0.16,0.2239,2.94,0.22,2.4,2.12,0.96,0.7,1.5
1.0,1.0,2,1.0,0.8225,0.8225,2.5448,3.1924,0.3814,0.8124,2.1324,3.2724,2.7924,0.1618,0.2247,3.1524,0.3924,2.5724,2.3524,1.0618,0.8724,1.6724
2.0,2.0,2,2.0,0.9248,0.9248,2.7248,3.3648,0.3827,0.9848,2.3048,3.4448,2.9648,0.1636,0.2256,3.3248,0.5648,2.7448,2.5248,1.1248,1.0448,1.8448
3.0,3.0,2,3.0,1.0972,1.0972,2.8972,3.5372,0.3841,1.6468,2.4772,3.6172,3.1372,0.1654,0.2264,3.4972,0.6772,2.9172,2.6972,1.2572,1.2172,2.0172
4.0,4.0,3,1.0,1.2697,1.2697,3.0697,3.6897,0.3854,1.8697,2.6497,3.7897,3.3097,0.1672,0.2273,3.6697,0.8497,3.0897,2.9097,1.4297,1.3897,2.1897
5.0,5.0,3,2.0,1.4421,1.4421,3.2421,3.8221,0.3868,2.8821,2.8221,3.9621,3.4821,0.169,0.2281,3.8421,1.0221,3.2421,3.0821,1.6021,1.5621,2.3621
6.0,6.0,3,3.0,1.6145,1.6145,3.4145,3.9945,0.3881,3.0545,2.9945,4.1345,3.6545,0.1708,0.229,4.0145,1.1945,3.4145,3.2545,1.7745,1.7345,2.5345
7.0,7.0,4,1.0,1.7669,1.7669,3.5869,4.1669,0.3895,7.0069,3.1669,4.3069,3.8269,0.1726,0.2298,4.1869,1.2229,3.5869,3.4269,1.9269,1.8869,2.7069
8.0,8.0,4,2.0,1.9193,1.9193,3.7593,4.3393,0.3909,7.1793,3.3393,4.4793,3.9993,0.1744,0.2307,4.3193,1.2264,3.7593,3.5993,2.0593,2.0593,2.8793
9.0,9.0,4,3.0,2.0117,2.0117,3.9317,4.5117,0.3922,7.3985,3.5117,4.6317,4.1717,0.1762,0.2315,4.4917,1.2298,3.8917,3.7717,2.1717,2.1917,3.0517
10.0,10.0,5,1.0,2.0382,2.0382,4.1041,4.6841,0.3936,7.6323,3.6841,4.8041,4.3441,0.178,0.2324,4.6241,1.2333,4.0641,3.9441,2.3441,2.3641,3.2241
11.0,11.0,5,2.0,2.1166,2.1166,4.2766,4.8566,0.3949,9.7954,3.8566,4.9366,4.5166,0.1798,0.2333,4.7966,1.2367,4.2166,4.1166,2.5166,2.5366,3.3366
