qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,E-3,r
1.0,0.1724,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,E-3,r
2.0,0.3448,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,E-3,r
3.0,0.5172,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,E-3,r
4.0,0.6897,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,E-3,r
5.0,0.8621,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,E-3,r
6.0,1.0345,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,E-3,r
7.0,1.2069,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,E-3,r
8.0,1.3793,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,E-3,r
9.0,1.5517,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,E-3,r
10.0,1.7241,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,E-3,r
11.0,1.8966,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,E-3,r
12.0,2.069,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G#3,F3,E-3,r
13.0,2.2414,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,B-3,G3,E-3,r
14.0,2.4138,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,B-3,E-4,E-3,r
15.0,2.5862,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,B-3,D4,D3,r
16.0,2.7586,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,E-4,E-3,r
17.0,2.931,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,D4,D3,r
18.0,3.1034,7,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,C3,r
19.0,3.2759,8,1.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D4,B-3,B-2,r
20.0,3.4483,8,2.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,F4,D4,D4,r
21.0,3.6207,8,3.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,E-4,C4,C4,r
22.0,3.7931,9,1.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D4,B-3,B-3,r
23.0,3.9655,9,2.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,F4,D4,D4,r
24.0,4.1379,9,3.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,E-4,C4,C4,r
25.0,4.3103,10,1.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D4,B-3,B-3,r
26.0,4.4828,10,2.0,r,r,C6,r,r,r,r,r,r,r,r,r,r,r,C5,D4,B-3,B-3,r
26.5,4.569,10,2.5,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D4,B-3,B-3,r
27.0,4.6552,10,3.0,r,r,A5,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,C4,r
27.5,4.7414,10,3.5,r,r,G5,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,C4,C4,r
28.0,4.8276,11,1.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,F4,D4,D4,r
29.0,5.0,11,2.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,C4,A3,A3,r
30.0,5.1724,11,3.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,D4,B3,B3,r
31.0,5.3448,12,1.0,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,C4,C4,r
32.0,5.5172,12,2.0,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,E-4,B-4,G3,G3,r
33.0,5.6897,12,3.0,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,E-4,C5,A3,A3,r
34.0,5.8621,13,1.0,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,D4,D5,B-3,B-3,r
35.0,6.0345,13,2.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,A4,F3,F3,r
36.0,6.2069,13,3.0,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,D4,B-4,G3,G3,r
37.0,6.3793,14,1.0,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,C4,G4,E-3,E-3,r
38.0,6.5517,14,2.0,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,E-4,G4,C3,C3,r
39.0,6.7241,14,3.0,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,C4,E-4,A3,F3,r
40.0,6.8966,15,1.0,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,B-3,D4,B-3,B-2,r
41.0,7.069,15,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
42.0,7.2414,15,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,B-2,B-1
43.0,7.4138,16,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,B-2,B-1
44.0,7.5862,16,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,B-2,B-1
45.0,7.7586,16,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,B-2,B-1
46.0,7.931,17,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,B-2,B-1
47.0,8.1034,17,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,B-2,B-1
48.0,8.2759,17,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,B-2,B-1
49.0,8.4483,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,B-2,B-1
50.0,8.6207,18,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,B-2,B-1
51.0,8.7931,18,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,B-2,B-1
52.0,8.9655,19,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,E-3,B-2,B-1
53.0,9.1379,19,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G3,E-3,B-2,B-1
54.0,9.3103,19,3.0,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,D4,B-3,F3,G#3,G#2
55.0,9.4828,20,1.0,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,E-4,B-3,G3,G3,G2
56.0,9.6552,20,2.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,B-3,G#3,D3,D2
57.0,9.8276,20,3.0,r,r,F#5,r,r,r,r,r,r,r,r,r,r,r,F#4,B-3,D3,D3,D2
58.0,10.0,21,1.0,r,r,G5,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,E-3,E-3,E-2
59.0,10.1724,21,2.0,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,B-3,D3,D2
60.0,10.3448,21,3.0,r,r,A5,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,C3,C2
61.0,10.5172,22,1.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D4,D4,B-2,B-1
62.0,10.6897,22,2.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,F5,F4,D4,D3
63.0,10.8621,22,3.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,E-5,E-4,C4,C3
64.0,11.0345,23,1.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D5,D4,B-3,B-2
65.0,11.2069,23,2.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,F5,F4,D4,D3
66.0,11.3793,23,3.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,E-5,E-4,C4,C3
67.0,11.5517,24,1.0,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D5,D4,B-3,B-2
68.0,11.7241,24,2.0,r,r,C6,r,r,r,r,r,r,r,r,r,r,r,C5,D5,D4,B-3,B-2
68.5,11.8103,24,2.5,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,B-4,D5,D4,B-3,B-2
69.0,11.8966,24,3.0,r,r,A5,r,r,r,r,r,r,r,r,r,r,r,A4,E-5,E-4,C4,C3
69.5,11.9828,24,3.5,r,r,G5,r,r,r,r,r,r,r,r,r,r,r,G4,E-5,E-4,C4,C3
70.0,12.069,25,1.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,F5,F4,D4,D3
71.0,12.2414,25,2.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,C5,C4,A3,A2
72.0,12.4138,25,3.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,F4,D5,D4,B3,B2
73.0,12.5862,26,1.0,E-6,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,E-4,E-5,E-4,C4,C3
74.0,12.7586,26,2.0,E-6,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,E-4,B-4,B-3,G3,G2
75.0,12.931,26,3.0,E-6,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,E-4,C5,C4,A3,A2
76.0,13.1034,27,1.0,D6,r,D5,r,r,r,D4,r,r,r,r,r,r,r,D4,D5,D4,B-3,B-2
77.0,13.2759,27,2.0,F6,r,F5,r,r,r,F4,r,r,r,r,r,r,r,F4,A4,A3,F3,F2
78.0,13.4483,27,3.0,D6,r,D5,r,r,r,D4,r,r,r,r,r,r,r,D4,B-4,B-3,G3,G2
79.0,13.6207,28,1.0,C6,r,C5,r,r,r,C4,r,r,r,r,r,r,r,C4,G4,G3,E-3,E-2
80.0,13.7931,28,2.0,E-6,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,E-4,G4,G3,C3,C2
81.0,13.9655,28,3.0,C6,r,C5,r,r,r,C4,r,r,r,r,r,r,r,C4,E-4,A3,F3,F2
82.0,14.1379,29,1.0,B-5,r,B-4,r,r,r,B-3,r,r,r,r,r,r,r,B-3,D4,B-3,B-2,B-1
83.0,14.3103,29,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
84.0,14.4828,29,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,r,r,B-2,B-1
85.0,14.6552,30,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,r,r,B-2,B-1
86.0,14.8276,30,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#4,r,B2,B1
87.0,15.0,30,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,E-4,r,B-2,B-1
