qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,E Horn 1,E Horn 2,E Trumpet 1,E Trumpet 2,Timpani,Violin 1 solo,Violin 1 tutti,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,G#3,G#3,r,r,r,r,r,r,r,G#4,B3,E4,E3,G#1
1.0,0.6522,1,2.0,r,r,r,r,r,r,A3,A3,r,r,r,r,r,r,r,A4,A3,E4,C#3,C#2
2.0,1.3043,1,3.0,r,r,r,r,r,r,C#4,C#4,r,r,r,r,r,r,r,C#5,A4,E4,A2,A1
3.0,1.9565,2,1.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,r,B4,F#4,B3,E-3,E-2
3.75,2.4457,2,1.75,r,r,r,r,r,r,A3,A3,r,r,r,r,r,r,r,A4,F#4,B3,E-3,E-2
4.0,2.6087,2,2.0,r,r,r,r,r,r,G#3,G#3,r,r,r,r,r,r,r,G#4,E4,B3,E3,E2
4.5,2.9348,2,2.5,r,r,r,r,r,r,G#3,G#3,r,B3,B2,r,r,r,r,G#4,E4,B3,E3,E2
5.0,3.2609,2,3.0,r,r,r,r,r,r,r,r,r,B3,B2,r,r,r,r,r,r,r,r,r
5.5,3.587,2,3.5,r,r,r,r,r,r,r,r,r,B3,B2,r,r,r,r,r,r,r,r,r
6.0,3.913,3,1.0,r,r,r,r,r,r,E3,E3,r,B-3,B-2,r,r,r,r,F#4,E4,E3,C#3,C#2
7.0,4.5652,3,2.0,r,r,r,r,r,r,F#3,F#3,r,B-3,B-2,r,r,r,r,F#4,E4,E3,C#3,C#2
7.5,4.8913,3,2.5,r,r,r,r,r,r,F#3,F#3,r,B-3,B-2,r,r,r,r,F#4,E4,E3,C#3,C#2
8.0,5.2174,3,3.0,r,r,r,r,r,r,G#3,G#3,r,B-3,B-2,r,r,r,r,G#4,E4,E3,C3,C2
8.75,5.7065,3,3.75,r,r,r,r,r,r,E3,E3,r,B-3,B-2,r,r,r,r,E4,G3,G3,C3,C2
9.0,5.8696,4,1.0,r,r,r,r,r,r,G3,G3,r,B3,B2,r,r,r,r,E4,B3,G3,B2,B1
10.0,6.5217,4,2.0,r,r,r,r,r,r,F#3,F#3,r,B3,B2,r,r,r,r,E-4,B3,F#3,B2,B1
11.0,7.1739,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,E-4,r,r
12.0,7.8261,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,E-4,r,r
13.0,8.4783,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,r,r
14.0,9.1304,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,E4,C4,r,r
