score_qstamp,qstamp,measure,beat,831992_tstamp,718690_tstamp
0.0,0.0,1,1.0,0.32,1.0
1.0,1.0,1,2.0,1.1288,2.2372
2.0,2.0,1,3.0,2.1582,3.4309
3.0,3.0,2,1.0,3.9565,5.2165
3.75,3.75,2,1.75,5.2057,6.6857
4.0,4.0,2,2.0,5.6087,6.8487
4.5,4.5,2,2.5,5.9548,7.5548
5.0,5.0,2,3.0,6.2881,8.2018
5.5,5.5,2,3.5,7.117,9.077
6.0,6.0,3,1.0,8.353,9.693
7.0,7.0,3,2.0,9.0052,10.3452
7.5,7.5,3,2.5,10.7513,10.6913
8.0,8.0,3,3.0,11.3374,12.8174
8.75,8.75,3,3.75,11.8265,13.3065
9.0,9.0,4,1.0,12.9096,14.0152
10.0,10.0,4,2.0,14.5217,15.6417
11.0,11.0,4,3.0,16.0868,17.4139
12.0,12.0,5,1.0,17.2261,18.0661
13.0,13.0,5,2.0,18.3196,19.0677
14.0,14.0,5,3.0,19.5608,20.0576
15.0,15.0,6,1.0,21.0232,21.485
15.75,15.75,6,1.75,22.2717,22.4117
16.0,16.0,6,2.0,22.4348,22.5748
16.3333,16.3333,6,2.3333,22.6522,22.9722
16.6667,16.6667,6,2.6667,23.0888,23.3272
17.0,17.0,6,3.0,23.476,23.722
17.3333,17.3333,6,3.3333,23.983,24.2901
17.5,17.5,6,3.5,24.293,24.533
17.6667,17.6667,6,3.6667,24.4054,24.6762
18.0,18.0,7,1.0,24.8591,25.0791
18.75,18.75,7,1.75,25.8283,26.4283
19.0,19.0,7,2.0,25.9913,26.5913
19.3333,19.3333,7,2.3333,26.2957,26.8087
19.6667,19.6667,7,2.6667,26.7298,27.0322
20.0,20.0,7,3.0,27.3705,27.316
20.3333,20.3333,7,3.3333,27.7056,27.9632
20.5,20.5,7,3.5,28.048,28.188
20.6667,20.6667,7,3.6667,28.1983,28.3583
20.75,20.75,7,3.75,28.4126,28.663
21.0,21.0,8,1.0,28.7157,28.9114
21.3333,21.3333,8,1.3333,29.413,29.573
21.5,21.5,8,1.5,29.5217,29.6817
21.6667,21.6667,8,1.6667,29.6305,29.8105
21.75,21.75,8,1.75,29.6848,29.8648
22.0,22.0,8,2.0,29.9146,30.0946
22.3333,22.3333,8,2.3333,30.6052,30.4652
22.5,22.5,8,2.5,30.7139,30.5939
22.6667,22.6667,8,2.6667,30.8226,30.873
22.75,22.75,8,2.75,30.877,30.997
23.0,23.0,8,3.0,31.1,31.26
23.3333,23.3333,8,3.3333,31.7374,32.0974
23.5,23.5,8,3.5,31.9844,32.2183
23.6667,23.6667,8,3.6667,32.1348,32.3548
23.75,23.75,8,3.75,32.2164,32.4491
24.0,24.0,9,1.0,32.5922,32.6122
24.3333,24.3333,9,1.3333,33.8295,33.7295
24.6667,24.6667,9,1.6667,34.067,33.947
25.0,25.0,9,2.0,34.2843,34.1643
25.5,25.5,9,2.5,34.6208,34.4904
26.0,26.0,9,3.0,35.1295,34.9365
26.5,26.5,9,3.5,35.773,35.5478
27.0,27.0,10,1.0,36.4687,36.2722
27.3333,27.3333,10,1.3333,37.7661,37.1661
27.6667,27.6667,10,1.6667,37.9835,37.3835
28.0,28.0,10,2.0,38.2009,37.6609
28.5,28.5,10,2.5,38.527,37.987
29.0,29.0,10,3.0,39.113,38.546
29.5,29.5,10,3.5,39.7692,39.2191
30.0,30.0,11,1.0,40.5468,39.8408
30.3333,30.3333,11,1.3333,40.8852,40.1026
30.6667,30.6667,11,1.6667,41.14,40.64
31.0,31.0,11,2.0,42.1574,41.1374
31.5,31.5,11,2.5,42.4835,41.554
32.0,32.0,11,3.0,43.1184,42.1288
32.5,32.5,11,3.5,43.7557,42.7714
33.0,33.0,12,1.0,44.5302,43.5285
34.0,34.0,12,2.0,46.0139,44.8139
34.5,34.5,12,2.5,46.34,45.14
35.0,35.0,12,3.0,47.3261,45.9261
35.5,35.5,12,3.5,47.6722,46.2922
36.0,36.0,13,1.0,48.4383,46.8583
37.0,37.0,13,2.0,49.7408,47.8928
38.0,38.0,13,3.0,51.2652,49.066
39.0,39.0,14,1.0,52.4948,50.0748
40.0,40.0,14,2.0,53.847,51.128
41.0,41.0,14,3.0,54.8791,52.2182
42.0,42.0,15,1.0,56.1113,53.3113
42.5,42.5,15,1.5,56.6174,53.7974
43.0,43.0,15,2.0,56.9435,54.1235
43.5,43.5,15,2.5,58.1296,55.0256
44.0,44.0,15,3.0,58.6157,55.7557
44.75,44.75,15,3.75,59.3448,56.2448
45.0,45.0,16,1.0,59.8666,56.4078
46.0,46.0,16,2.0,61.84,58.5
46.5,46.5,16,2.5,62.6061,59.1661
47.0,47.0,16,3.0,63.4888,59.9966
47.75,47.75,16,3.75,64.7252,60.7439
48.0,48.0,17,1.0,64.9443,61.1288
49.0,49.0,17,2.0,66.7765,63.0565
49.5,49.5,17,2.5,67.1626,63.6026
50.0,50.0,17,3.0,67.7487,63.9487
50.5,50.5,17,3.5,68.4688,64.6096
51.0,51.0,18,1.0,69.2036,65.3054
52.0,52.0,18,2.0,70.513,66.293
52.5,52.5,18,2.5,70.9391,67.0265
53.0,53.0,18,3.0,71.6852,67.6052
53.75,53.75,18,3.75,72.6143,68.5143
54.0,54.0,19,1.0,73.1174,69.1036
54.5,54.5,19,1.5,73.5435,69.4635
55.0,55.0,19,2.0,73.8992,69.828
55.5,55.5,19,2.5,74.4957,70.6254
56.0,56.0,19,3.0,75.6017,71.3617
56.5,56.5,19,3.5,76.1956,71.9956
57.0,57.0,20,1.0,76.8956,72.6339
58.0,58.0,20,2.0,77.6583,73.6661
58.5,58.5,20,2.5,78.6522,74.2518
59.0,59.0,20,3.0,79.3383,74.9213
59.75,59.75,20,3.75,80.0228,75.9274
60.0,60.0,21,1.0,80.7504,76.3512
60.5,60.5,21,1.5,81.4765,76.7165
61.0,61.0,21,2.0,81.8426,77.5426
61.5,61.5,21,2.5,82.1887,78.3896
62.0,62.0,21,3.0,82.5548,78.7948
62.5,62.5,21,3.5,83.9879,79.5526
63.0,63.0,22,1.0,84.887,80.307
63.5,63.5,22,1.5,85.453,80.733
64.0,64.0,22,2.0,85.8791,81.8191
64.5,64.5,22,2.5,86.9852,82.2452
65.0,65.0,22,3.0,87.3113,82.6913
65.5,65.5,22,3.5,88.1574,83.2774
66.0,66.0,23,1.0,88.6115,84.0375
66.5,66.5,23,1.5,89.5696,84.9096
66.75,66.75,23,1.75,89.7326,85.0726
67.0,67.0,23,2.0,90.1114,85.5213
67.5,67.5,23,2.5,90.7817,86.3417
68.0,68.0,23,3.0,91.6678,87.0078
68.5,68.5,23,3.5,91.9939,87.3539
69.0,69.0,24,1.0,92.34,87.68
70.0,70.0,24,2.0,93.1122,89.5522
70.5,70.5,24,2.5,94.2583,89.9149
71.0,71.0,24,3.0,95.4443,91.0615
71.75,71.75,24,3.75,97.2545,92.2735
72.5,72.5,25,1.5,97.7826,93.1626
73.0,73.0,25,2.0,98.2827,93.6366
73.5,73.5,25,2.5,99.3748,94.9148
74.0,74.0,25,3.0,100.0409,95.4218
74.5,74.5,25,3.5,100.697,96.067
75.0,75.0,26,1.0,101.153,96.633
76.0,76.0,26,2.0,101.9808,98.3052
76.5,76.5,26,2.5,102.3713,98.7513
77.0,77.0,26,3.0,103.907,99.0774
