qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Eb Trumpet 1,Eb Trumpet 2,Alto Trombone,Tenor Trombone,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
2.0,0.75,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
4.0,1.5,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
6.0,2.25,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
8.0,3.0,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
8.5,3.1875,3,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,C#3,C#2
9.0,3.375,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,r,r
9.5,3.5625,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,r,r
10.0,3.75,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,r,r,r
10.5,3.9375,3,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r
11.0,4.125,3,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r
11.5,4.3125,3,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,r,r
12.0,4.5,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,r
12.5,4.6875,4,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,r,r
13.0,4.875,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r
13.5,5.0625,4,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r
14.0,5.25,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,r,r,r
14.5,5.4375,4,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,r,r
15.0,5.625,4,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,r,r,r
15.5,5.8125,4,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r
16.0,6.0,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r
16.5,6.1875,5,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r
17.0,6.375,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,r,r,r
17.5,6.5625,5,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C#4,r,r,r
18.0,6.75,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C4,r,r,r
18.5,6.9375,5,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,E-4,r,r,r
19.0,7.125,5,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C#4,r,r,r
19.5,7.3125,5,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,r,r,r
20.0,7.5,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r
20.5,7.6875,6,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r
21.0,7.875,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,r,r,r
21.5,8.0625,6,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C#4,r,r,r
22.0,8.25,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C4,r,r,r
22.5,8.4375,6,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,E-4,r,r,r
23.0,8.625,6,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C#4,r,r,r
23.5,8.8125,6,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,r,r,r
24.0,9.0,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r,r
24.5,9.1875,7,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,r,r
25.0,9.375,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,B4,r,r,r
25.5,9.5625,7,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,B-4,r,r,r
