score_qstamp,qstamp,measure,beat,735487_tstamp
0.0,0.0,1,1.0,6.52
2.0,2.0,1,3.0,7.27
4.0,4.0,2,1.0,8.02
6.0,6.0,2,3.0,8.77
8.0,8.0,3,1.0,9.52
8.5,8.5,3,1.5,9.7075
9.0,9.0,3,2.0,9.895
9.5,9.5,3,2.5,10.0825
10.0,10.0,3,3.0,10.27
10.5,10.5,3,3.5,10.755
11.0,11.0,3,4.0,10.945
11.5,11.5,3,4.5,11.1325
12.0,12.0,4,1.0,11.32
12.5,12.5,4,1.5,11.5075
13.0,13.0,4,2.0,11.715
13.5,13.5,4,2.5,11.9025
14.0,14.0,4,3.0,12.09
14.5,14.5,4,3.5,12.2175
15.0,15.0,4,4.0,12.405
15.5,15.5,4,4.5,12.5925
16.0,16.0,5,1.0,12.8
16.5,16.5,5,1.5,12.9875
17.0,17.0,5,2.0,13.19
17.5,17.5,5,2.5,13.3825
18.0,18.0,5,3.0,13.58
18.5,18.5,5,3.5,13.7775
19.0,19.0,5,4.0,13.965
19.5,19.5,5,4.5,14.3125
20.0,20.0,6,1.0,14.74
20.5,20.5,6,1.5,14.9275
21.0,21.0,6,2.0,15.185
21.5,21.5,6,2.5,15.3825
22.0,22.0,6,3.0,15.57
22.5,22.5,6,3.5,15.7575
23.0,23.0,6,4.0,15.945
23.5,23.5,6,4.5,16.1325
24.0,24.0,7,1.0,16.32
24.5,24.5,7,1.5,16.555
25.0,25.0,7,2.0,16.755
25.5,25.5,7,2.5,16.9825
26.0,26.0,7,3.0,17.17
26.5,26.5,7,3.5,17.3775
27.0,27.0,7,4.0,17.565
27.5,27.5,7,4.5,17.7525
28.0,28.0,8,1.0,17.94
28.5,28.5,8,1.5,18.1275
29.0,29.0,8,2.0,18.315
29.5,29.5,8,2.5,18.5025
30.0,30.0,8,3.0,18.69
30.5,30.5,8,3.5,18.8775
31.0,31.0,8,4.0,19.805
31.5,31.5,8,4.5,19.9925
32.0,32.0,9,1.0,20.18
34.0,34.0,9,3.0,20.93
36.0,36.0,10,1.0,21.68
38.0,38.0,10,3.0,22.43
40.0,40.0,11,1.0,23.18
42.0,42.0,11,3.0,23.93
44.0,44.0,12,1.0,24.68
46.0,46.0,12,3.0,24.9464
48.0,48.0,13,1.0,24.9563
48.5,48.5,13,1.5,24.9588
49.0,49.0,13,2.0,25.055
49.5,49.5,13,2.5,25.2425
50.0,50.0,13,3.0,25.43
50.5,50.5,13,3.5,25.6175
51.0,51.0,13,4.0,25.7007
51.5,51.5,13,4.5,25.7725
52.0,52.0,14,1.0,25.96
52.5,52.5,14,1.5,26.1475
53.0,53.0,14,2.0,26.335
53.5,53.5,14,2.5,26.4025
54.0,54.0,14,3.0,26.59
54.5,54.5,14,3.5,26.6032
55.0,55.0,14,4.0,26.6066
55.5,55.5,14,4.5,26.61
56.0,56.0,15,1.0,26.6135
56.5,56.5,15,1.5,26.6169
57.0,57.0,15,2.0,26.635
57.5,57.5,15,2.5,26.8225
58.0,58.0,15,3.0,27.01
58.5,58.5,15,3.5,27.1375
59.0,59.0,15,4.0,27.325
59.5,59.5,15,4.5,27.4125
60.0,60.0,16,1.0,27.6
60.5,60.5,16,1.5,27.6368
61.0,61.0,16,2.0,27.795
61.5,61.5,16,2.5,27.9825
62.0,62.0,16,3.0,28.17
62.5,62.5,16,3.5,28.3575
63.0,63.0,16,4.0,28.545
63.5,63.5,16,4.5,28.7325
64.0,64.0,17,1.0,28.92
64.5,64.5,17,1.5,29.1075
65.0,65.0,17,2.0,29.295
