score_qstamp,qstamp,measure,beat,723380_tstamp,729188_tstamp,723372_tstamp,730987_tstamp,736445_tstamp,723384_tstamp,723402_tstamp,723413_tstamp,723409_tstamp,723393_tstamp,728529_tstamp,736450_tstamp,723376_tstamp,711680_tstamp
0.0,0.0,1,1.0,1.4,3.16,2.6,0.58,4.7,2.54,2.56,1.34,1.76,1.08,3.2,1.48,1.9,3.34
2.0,2.0,1,3.0,4.8791,5.4591,4.7391,2.3191,7.1191,4.6791,4.7991,4.4591,3.5191,2.9591,5.7991,3.6191,4.0391,6.6991
4.0,4.0,2,1.0,7.1596,7.2983,6.7383,4.0183,9.2098,7.3128,6.6783,6.6345,5.2983,4.8932,8.383,5.3583,6.3447,9.2532
6.0,6.0,2,3.0,8.9974,9.0374,8.8374,5.6774,11.3774,9.0974,8.4774,8.3974,7.0374,6.6974,10.4774,7.0394,8.4974,11.5974
8.0,8.0,3,1.0,11.3815,10.699,10.9005,7.4165,13.7545,11.4425,10.2295,10.219,8.7765,8.586,12.8055,8.6765,10.7395,13.638
10.0,10.0,3,3.0,13.7957,12.3557,12.9957,9.2157,16.0957,13.7357,12.1557,12.3357,10.6557,10.5557,15.1757,10.6357,13.0757,15.9757
12.0,12.0,4,1.0,15.7192,13.7948,14.7348,10.7748,18.2492,15.4748,13.8948,14.1148,12.3948,12.4148,17.3992,12.3548,15.0844,18.2088
13.0,13.0,4,2.0,16.7643,14.6643,16.1643,11.5843,19.4643,16.3843,14.7643,14.9843,13.2643,13.2843,18.3043,13.0217,16.2243,19.1443
13.5,13.5,4,2.5,17.2946,15.0991,16.7791,12.0191,20.2791,16.9791,15.1991,15.4391,13.6991,13.9991,18.8191,13.2191,16.9591,19.6591
14.0,14.0,4,3.0,17.8339,15.5339,17.4139,12.3939,20.7139,17.4678,15.7139,15.9939,14.1339,14.4339,19.3939,13.6539,17.5739,20.2339
15.0,15.0,4,4.0,18.9835,16.4635,18.4435,13.2435,21.754,18.641,16.6435,17.0035,15.0035,15.3575,20.5235,14.5235,18.5035,21.3635
15.5,15.5,4,4.5,19.5749,16.8983,19.0149,13.6983,22.4983,19.2583,17.0983,17.5183,15.4383,15.9783,21.2996,14.9583,19.0583,22.1413
16.0,16.0,5,1.0,20.126,17.437,19.453,14.198,23.052,20.072,17.559,18.135,15.99,16.465,21.898,15.484,19.61,22.723
18.0,18.0,5,3.0,22.6722,19.2522,22.0122,15.9522,25.6522,22.1322,19.4122,20.1322,17.8322,18.4522,24.3722,17.3722,21.9122,25.2122
20.0,20.0,6,1.0,24.4913,20.6513,23.7513,17.4113,27.6226,23.8713,20.9713,21.8513,19.4713,20.0913,26.1226,18.7313,23.7513,27.0113
20.5,20.5,6,1.5,25.0061,21.0861,24.1461,17.8461,28.2261,24.3722,21.3661,22.2861,19.8861,20.5261,26.6261,18.9861,24.2461,27.4461
21.0,21.0,6,2.0,25.5809,21.5209,24.5809,18.1609,28.7609,24.8409,21.7609,22.7609,20.3209,20.9609,27.2009,19.4209,24.8009,28.0409
21.5,21.5,6,2.5,26.0314,21.9557,25.0157,18.5957,29.2828,25.2957,22.1957,23.2157,20.7557,21.3957,27.7314,19.8557,25.2357,28.5757
22.0,22.0,6,3.0,26.5904,22.3304,25.4704,19.0304,29.9104,25.7304,22.5904,23.6504,21.1904,21.8304,28.3104,20.2904,25.7304,29.1104
22.5,22.5,6,3.5,27.1452,22.7652,25.9452,19.4252,30.4052,26.2852,23.0252,24.1252,21.6252,22.2652,28.7452,20.7252,26.1852,29.6052
23.0,23.0,6,4.0,27.7,23.2,26.46,19.86,30.94,26.72,23.46,24.72,22.06,22.7,29.3,21.16,26.68,30.12
23.5,23.5,6,4.5,28.4548,23.7948,27.1748,20.3148,31.8748,27.474,23.9348,25.2148,22.5948,23.2748,29.9548,21.5948,27.1148,30.9748
24.0,24.0,7,1.0,28.9896,24.2296,27.6792,20.7496,32.3096,28.1496,24.4096,25.6496,23.1096,23.7096,30.7296,22.0296,27.8496,31.4696
25.0,25.0,7,2.0,30.4991,25.4191,29.0991,21.7791,34.2991,29.5191,25.3191,27.2191,24.2991,24.6191,31.7791,22.9791,29.4991,32.6791
26.0,26.0,7,3.0,31.5087,26.1087,30.0348,22.4687,35.2035,30.3974,26.1974,28.0887,24.9687,25.5844,32.6487,23.7687,30.3948,33.6287
27.0,27.0,7,4.0,32.7383,26.9783,31.4183,23.3983,36.4183,31.3383,27.0783,28.9783,25.8583,26.9383,33.5183,24.2983,31.2983,34.5583
28.0,28.0,8,1.0,33.6278,27.8478,32.3478,24.2878,37.4678,32.4234,28.0278,29.8478,26.7478,27.9278,34.3878,25.1678,32.2678,35.8078
30.0,30.0,8,3.0,35.847,29.567,34.087,26.067,39.727,34.607,29.767,31.607,28.407,29.827,34.987,25.527,34.207,38.027
31.0,31.0,8,4.0,37.3365,30.5565,34.9965,26.9765,40.8565,35.7365,30.8765,32.4765,29.2765,30.6965,35.5365,26.3965,35.2765,39.4565
32.0,32.0,9,1.0,38.4261,31.4861,36.2661,27.9661,42.2861,37.2461,31.8661,33.9661,30.4261,31.5661,36.1261,27.0061,36.1461,40.4061
33.0,33.0,9,2.0,39.6557,32.3757,37.1357,29.4757,44.1428,38.7357,32.8757,35.3757,31.5357,32.8957,36.3799,27.8757,37.4957,41.4985
35.0,35.0,9,4.0,42.0548,34.2948,40.1548,31.2148,45.9148,41.1148,34.9148,37.1548,33.2748,34.6548,37.8148,29.6049,39.5148,44.1148
35.25,35.25,9,4.25,42.2722,34.5244,40.3722,31.4522,46.1322,41.3322,35.1322,37.4088,33.4922,34.8722,37.9122,29.7922,39.7322,44.3322
35.5,35.5,9,4.5,42.4896,34.7496,40.5896,31.6696,46.3496,41.5496,35.3496,37.7096,33.7096,35.0896,38.0093,30.0096,39.9496,44.5496
35.75,35.75,9,4.75,42.707,35.007,40.807,31.887,46.5445,41.767,35.567,37.927,33.927,35.367,38.087,30.2039,40.167,44.767
36.0,36.0,10,1.0,42.9243,35.2243,41.0243,32.1043,46.6843,41.9843,35.8043,38.3443,34.1443,35.5843,38.3043,30.3243,40.4443,44.9843
36.25,36.25,10,1.25,43.1417,35.4408,41.3417,32.4817,46.9817,42.2017,36.0417,38.6417,34.3617,35.8617,38.5217,30.5308,40.7017,45.2017
36.5,36.5,10,1.5,43.3591,35.6391,41.5591,32.6991,47.1991,42.5537,36.2591,38.8591,34.5791,36.0791,38.7391,30.6199,40.9191,45.4191
36.75,36.75,10,1.75,43.5765,35.8565,41.7765,32.9165,47.4165,42.7965,36.4765,39.0765,34.7965,36.2965,38.9165,30.6776,41.1765,45.6365
37.0,37.0,10,2.0,43.8539,36.0739,41.9939,33.1339,47.6339,43.0695,36.6939,39.2939,35.0278,36.5139,39.1339,30.7939,41.4339,45.9512
37.25,37.25,10,2.25,44.0713,36.2913,42.2113,33.3313,47.9313,43.3113,36.9113,39.5513,35.2626,36.6713,39.3513,30.8192,41.6513,46.2113
37.5,37.5,10,2.5,44.2887,36.5087,42.4287,33.5487,48.1487,43.5287,37.1287,39.8087,35.4887,36.8887,39.5687,31.0287,41.9287,46.4287
37.75,37.75,10,2.75,44.5261,36.7261,42.6861,33.7861,48.3861,43.8461,37.3461,40.0261,35.7061,37.1061,39.7061,31.2261,42.1461,46.7061
38.0,38.0,10,3.0,44.7435,36.9435,42.9305,34.0105,48.6635,44.0635,37.5635,40.2435,35.9235,37.3235,39.7979,31.3035,42.3635,46.9435
38.25,38.25,10,3.25,44.9809,37.1609,43.1809,34.3009,48.9209,44.3409,37.8009,40.4609,36.1409,37.5409,39.8609,31.4009,42.7209,47.1609
38.5,38.5,10,3.5,45.2383,37.3783,43.4532,34.5732,49.1383,44.5783,38.0183,40.7149,36.3583,37.7583,39.9198,31.6183,42.9383,47.3966
38.75,38.75,10,3.75,45.4557,37.5957,43.6914,34.8271,49.3871,44.7957,38.2357,40.9557,36.5757,37.9757,40.1357,31.8357,43.2228,47.6357
39.0,39.0,10,4.0,45.673,37.853,43.952,35.106,49.646,45.112,38.453,41.226,36.793,38.206,40.353,32.013,43.453,47.873
39.25,39.25,10,4.25,45.9216,38.0808,44.2208,35.3512,49.8808,45.3816,38.6704,41.4712,37.0104,38.4304,40.5704,32.1304,43.7504,48.0904
39.5,39.5,10,4.5,46.2078,38.3156,44.5078,35.6112,50.1478,45.6278,38.9356,41.7478,37.2278,38.6478,40.7878,32.1771,43.999,48.379
39.75,39.75,10,4.75,46.4304,38.5652,44.7808,35.8852,50.3652,45.9052,39.1652,41.9904,37.4452,38.8652,40.8323,32.3652,44.2756,48.6452
40.0,40.0,11,1.0,46.7226,38.8626,45.0826,36.2026,50.6826,46.2826,39.4226,42.3026,37.6826,39.1226,40.9426,32.5626,44.6426,48.9826
42.0,42.0,11,3.0,48.9417,40.7234,47.7017,38.3217,53.0885,48.5017,41.4817,44.4817,39.5417,40.9817,42.5217,33.4217,47.1417,51.0617
44.0,44.0,12,1.0,51.1009,42.4809,49.7809,40.3609,55.3809,50.8409,43.2209,46.7409,41.3409,42.9409,43.2609,34.8409,48.8809,52.9409
44.25,44.25,12,1.25,51.3183,42.6983,49.9983,40.5783,55.5983,51.0583,43.4383,46.9583,41.5583,43.1583,43.4783,35.0583,49.0983,53.1583
44.5,44.5,12,1.5,51.5357,42.9157,50.2157,40.7957,55.8157,51.3557,43.6557,47.1757,41.7757,43.3757,43.6957,35.2757,49.3157,53.3757
44.75,44.75,12,1.75,51.899,43.166,50.433,41.117,56.131,51.573,43.964,47.393,41.993,43.593,43.913,35.493,49.693,53.711
45.0,45.0,12,2.0,52.1304,43.4424,50.764,41.4008,56.3904,51.7904,44.2304,47.7008,42.2208,43.8104,44.1304,35.6304,49.9104,53.9704
45.25,45.25,12,2.25,52.3478,43.7078,51.0678,41.6278,56.6078,52.0078,44.4478,47.9278,42.4478,44.0278,44.3478,35.7678,50.1278,54.1878
45.5,45.5,12,2.5,52.5852,43.9252,51.3252,41.8808,56.8652,52.3852,44.6652,48.1504,42.6652,44.4452,44.5652,35.9852,50.3452,54.4252
45.75,45.75,12,2.75,52.8078,44.1426,51.553,42.1826,57.0826,52.6026,44.8826,48.4026,42.8826,44.6626,44.8426,36.2026,50.5704,54.6478
46.0,46.0,12,3.0,53.06,44.36,51.84,42.4,57.36,52.94,45.12,48.62,43.1,44.88,45.06,36.4,50.86,54.92
46.25,46.25,12,3.25,53.2974,44.5774,52.0922,42.687,57.6122,53.1922,45.3374,48.8896,43.3174,45.0974,45.2774,36.6174,51.1574,55.1548
46.5,46.5,12,3.5,53.5148,44.7948,52.3148,42.9444,57.8348,53.4148,45.5548,49.1444,43.5348,45.3148,45.5244,36.7748,51.3748,55.3748
46.75,46.75,12,3.75,53.7444,45.0244,52.5922,43.1966,58.0644,53.6932,45.7966,49.3722,43.7322,45.5322,45.7644,36.9522,51.6322,55.6366
47.0,47.0,12,4.0,53.9696,45.2496,52.8096,43.4488,58.3096,53.9592,46.0296,49.6096,43.9496,45.7496,45.9896,37.1096,51.8696,55.8696
47.25,47.25,12,4.25,54.214,45.507,53.107,43.694,58.567,54.267,46.247,49.827,44.167,45.967,46.207,37.327,52.187,56.087
47.5,47.5,12,4.5,54.4443,45.7243,53.3643,43.9286,58.7886,54.4929,46.4643,50.1443,44.3843,46.1843,46.4243,37.4828,52.4086,56.3043
47.75,47.75,12,4.75,54.7217,45.9617,53.6417,44.2817,59.0617,54.8217,46.6817,50.3617,44.6017,46.4417,46.6417,37.4922,52.7017,56.5817
48.0,48.0,13,1.0,54.9391,46.2555,53.9573,44.6528,59.3173,55.0391,46.8991,50.5791,44.8573,46.6591,46.8591,37.5391,52.9191,56.8573
50.0,50.0,13,3.0,57.2349,48.1383,56.3783,46.9383,61.6366,57.5583,49.1183,52.8583,46.7183,48.6583,48.5983,38.3183,55.0383,58.8183
52.0,52.0,14,1.0,59.3774,50.0574,58.5322,48.887,63.8496,59.6174,50.8574,54.9444,48.5174,50.5122,49.2774,39.4174,56.9574,60.7722
52.25,52.25,14,1.25,59.5948,50.2748,58.7548,49.1348,64.0748,59.9148,51.0748,55.1748,48.7548,50.7348,49.4948,39.6348,57.2784,61.1148
52.5,52.5,14,1.5,59.8122,50.4922,59.0322,49.3722,64.3722,60.1844,51.2922,55.3922,48.9722,50.9522,49.7122,39.8522,57.6722,61.3322
52.75,52.75,14,1.75,60.0296,50.7096,59.2592,49.5896,64.5896,60.4096,51.5096,55.6192,49.1896,51.1696,49.9296,39.9748,57.8896,61.5496
53.0,53.0,14,2.0,60.267,50.927,59.527,49.874,64.847,60.707,51.727,55.921,49.407,51.387,50.167,40.187,58.167,61.821
53.25,53.25,14,2.25,60.4929,51.1443,59.7615,50.1043,65.0643,60.9286,51.9443,56.1643,49.6243,51.6043,50.3843,40.3443,58.4043,62.0643
53.5,53.5,14,2.5,60.7417,51.4017,60.0417,50.3502,65.3234,61.2051,52.1817,56.3817,49.8417,51.8217,50.6017,40.5617,58.6217,62.2817
53.75,53.75,14,2.75,60.9591,51.6191,60.2791,50.6591,65.5791,61.4591,52.3991,56.6191,50.0591,52.0391,50.8191,40.7191,58.8991,62.4991
54.0,54.0,14,3.0,61.1765,51.8365,60.513,50.8965,65.8165,61.6965,52.6365,56.8565,50.2765,52.2565,51.0365,40.9165,59.1965,62.7165
54.25,54.25,14,3.25,61.4139,52.0739,60.8139,51.1539,66.0739,61.9939,52.8539,57.0939,50.4939,52.4739,51.2739,41.1139,59.4139,62.9339
54.5,54.5,14,3.5,61.6513,52.2913,61.0313,51.4313,66.3313,62.2113,53.0713,57.3113,50.7113,52.6913,51.4913,41.2713,59.6626,63.1713
54.75,54.75,14,3.75,61.8974,52.5087,61.3087,51.6687,66.5887,62.5087,53.2887,57.5487,50.9287,52.9087,51.7087,41.4687,59.9087,63.3887
55.0,55.0,14,4.0,62.1261,52.7461,61.5566,51.9461,66.8261,62.7505,53.5122,57.8261,51.1461,53.1261,51.9522,41.6461,60.1661,63.6461
