qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,3.0,,,U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),,,Main Part,U(Main),,,,,,,,
3.0,10.5,U(Flute 2),U(Flute 1),Main Part,U(Main),P3(A Clarinet 2),P3(A Clarinet 1),,,,,U(C Horn 4),U(C Horn 3),,,,,,,,
10.5,17.5,,,U(Oboe 2),U(Oboe 1),Main Part,,,,,,U(C Horn 4),U(C Horn 3),,,,,,,,
17.5,23.5,P3(Flute 2),P3(Flute 1),,,Main Part,,,,,,,,,,,,,,,
23.5,36.0,,,,,Main Part,,,,P3(E Horn 2),P3(E Horn 1),,,,,,,,,,
36.0,42.0,U(Flute 2),U(Flute 1),,,,,,,Main Part,,,,,,,,,,P8(Contrabass),P8(Violoncello)
42.0,48.0,U(Flute 2),U(Flute 1),,,Main Part,U(Main),,,P8(E Horn 2),P8(E Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
48.0,54.0,U(Flute 2)&P8(E Horn 1)&P8(E Horn 2),U(Flute 1)&P8(E Horn 1)&P8(E Horn 2),,,Main Part,U(Main),,,P8(Flute 1)&P8(Flute 2)&U(E Horn 2),P8(Flute 1)&P8(Flute 2)&U(E Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
54.0,56.5,U(Flute 2)&P8(Main),U(Flute 1)&P8(Main),,,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
56.5,63.0,U(Flute 2)&P8(Oboe 1),U(Flute 1)&P8(Oboe 1),P8(Flute 1)&P8(Flute 2),,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
63.0,66.0,,,,,,,,,,,,,,,,Main Part,,,,
66.0,67.5,,,,,P5(Bassoon 1),P8(Bassoon 2),P5(A Clarinet 1),P8(A Clarinet 2),U(E Horn 2),U(E Horn 1),,,,,,Main Part,,,,
67.5,70.5,,,,,Main Part,U(Main),,,U(E Horn 2),U(E Horn 1),,,,,,,,,,
70.5,73.5,,,,,U(A Clarinet 2),U(A Clarinet 1),P3(Bassoon 2),P3(Bassoon 1),P5(E Horn 2),P5(E Horn 1),,,,,,Main Part,,,,
73.5,87.0,,,,,Main Part,,,,,,,,P8(E Trumpet 2),P8(E Trumpet 1),,,,,,
87.0,93.0,,,,,,,,,P8(E Horn 2)&P8(E Trumpet 1)&U(E Trumpet 2),P8(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),,,P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 2),U(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1),,Main Part,,,,
93.0,106.5,,,,,,,,,P8(E Horn 2),P8(E Horn 1),,,P8(E Trumpet 2),P8(E Trumpet 1),,Main Part,,,,
