qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r
0.5,0.75,1,1.3333,r,r,r,r,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r
1.0,1.5,1,1.6667,r,r,r,r,r,r,r,r,r,r,F4,F4,r,r,r,r,r,r,r,r
1.375,2.0625,1,1.9167,r,r,r,r,r,r,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r
1.5,2.25,1,2.0,r,r,r,r,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r
2.0,3.0,1,2.3333,r,r,r,r,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r
2.5,3.75,1,2.6667,r,r,r,r,r,r,r,r,r,r,D4,D4,r,r,r,r,r,r,r,r
2.875,4.3125,1,2.9167,r,r,r,r,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,r,r
3.0,4.5,2,1.0,r,r,E5,E5,r,r,E4,E4,r,r,E4,E4,r,r,r,r,r,r,r,r
3.5,5.25,2,1.3333,r,r,E5,E5,r,r,E4,E4,r,r,E4,E4,r,r,r,r,r,r,r,r
4.0,6.0,2,1.6667,r,r,F5,F5,r,r,F4,F4,r,r,F4,F4,r,r,r,r,r,r,r,r
4.375,6.5625,2,1.9167,r,r,G5,G5,r,r,G4,G4,r,r,G4,G4,r,r,r,r,r,r,r,r
4.5,6.75,2,2.0,E6,E6,E5,E5,r,r,E4,E4,r,r,E4,E4,r,r,r,r,r,r,r,r
5.0,7.5,2,2.3333,E6,E6,E5,E5,r,r,E4,E4,r,r,E4,E4,r,r,r,r,r,r,r,r
