qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Trumpet 1,F Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
167.0,171.0,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),,,P8(Flute 1)&P8(Oboe 1),,P8(Flute 2)&P8(Oboe 2)&P8(F Horn 2)&P3(Violin 2),P8(Flute 2)&P8(Oboe 2)&P8(F Horn 1)&P3(Violin 2),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),Main Part,P3(Flute 2)&P3(Oboe 2)&P3(F Horn 1)&P3(F Horn 2),P8(Main),P8(Contrabass),P8(Violoncello)
171.0,180.0,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2),,,P8(Flute 1)&P8(Oboe 1),,P8(F Horn 2),P8(F Horn 1),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
180.0,195.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
195.0,210.0,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
210.0,218.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,,,P8(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2),P8(F Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 2),U(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1),U(Violoncello)&P8(Contrabass),,,,U(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello)
218.0,240.0,Main Part,,,,,,,,,,P8(F Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Trumpet 1)&P8(Timpani)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,,P8(F Trumpet 1)&U(F Trumpet 2)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(F Trumpet 1)&P8(F Trumpet 2)&U(Timpani)&P8(Viola)&P8(Contrabass),P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)
240.0,248.0,P8(Oboe 1)&P8(Violin 1),P8(Oboe 2),P8(Flute 1)&U(Violin 1),P8(Flute 2),,,,,P8(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2),P8(F Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 2),U(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1),P8(Contrabass),P8(Flute 1)&U(Oboe 1),,,Main Part,P8(Timpani)
248.0,254.0,,,,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),U(Viola)&U(Main),P8(F Horn 1)&P8(F Horn 2),P8(Bassoon 2)&U(F Horn 2),P8(Bassoon 2)&U(F Horn 1),,,,,,U(Bassoon 1)&U(Main),Main Part,
254.0,257.0,P8(Oboe 1),,P8(Flute 1),,P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Viola)&P3(Violoncello),P8(Bb Clarinet 1)&P3(Bassoon 1)&P3(Viola)&P3(Violoncello),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Viola)&U(Violoncello),P8(F Horn 1)&P8(F Horn 2),P8(Bassoon 2)&U(F Horn 2),P8(Bassoon 2)&U(F Horn 1),,,,Main Part,,P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&U(Violoncello),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&U(Viola),
257.0,271.0,,,,,,,,,,,,,,Main Part,,U(Violoncello),U(Viola),
