qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,2.5,0.0,a,Ob,0
1.75,2,1.67,0.333,a,Vln,1
3.0,2,2.5,0.75,a,Ob,0
4.75,3,1.67,0.333,a,Vln,1
6.0,3,2.5,0.75,a,Ob,0
11.25,5,2,0.5,a,Vln,1
12.0,5,2.5,0.75,a,Ob,0
13.75,6,1.67,0.333,a,Vln,1
15.0,6,2.5,0.75,a,Ob,0
16.75,7,1.67,0.333,a,Vln,1
18.0,7,2.5,0.75,a,Ob,0
21.75,9,1,0.0,a,Ob,0
28.25,11,1.33,0.167,a,Vln,1
30.0,11,2.5,0.75,a,Ob,0
36.75,14,1,0.0,a,Vln,1
38.5,14,2.17,0.583,a,Ob,0
47.25,17,2,0.5,a,Vln,1
48.0,17,2.5,0.75,a,Ob,0
54.0,19,2.5,0.75,a,A,4
55.5,20,1.5,0.25,a,Ob,0
57.0,20,2.5,0.75,a,A,4
58.5,21,1.5,0.25,a,Ob,0
60.0,21,2.5,0.75,a,A,4
65.25,23,2,0.5,a,Vln,1
66.0,23,2.5,0.75,a,A,4
67.5,24,1.5,0.25,a,Ob,0
69.0,24,2.5,0.75,a,A,4
70.5,25,1.5,0.25,a,Ob,0
72.0,25,2.5,0.75,a,A,4
74.5,26,2.17,0.583,a,Ob,0
77.25,27,2,0.5,a,Vln,1
78.0,27,2.5,0.75,a,A,4
79.5,28,1.5,0.25,a,Ob,0
81.0,28,2.5,0.75,a,A,4
82.5,29,1.5,0.25,a,Ob,0
84.0,29,2.5,0.75,a,A,4
90.0,31,2.5,0.75,a,Ob,0
91.75,32,1.67,0.333,a,Vln,1
93.0,32,2.5,0.75,a,Ob,0
94.75,33,1.67,0.333,a,Vln,1
96.0,33,2.5,0.75,a,Ob,0
101.25,35,2,0.5,a,Vln,1
102.0,35,2.5,0.75,a,Ob,0
103.75,36,1.67,0.333,a,Vln,1
105.0,36,2.5,0.75,a,Ob,0
106.75,37,1.67,0.333,a,Vln,1
108.0,37,2.5,0.75,a,Ob,0
111.75,39,1,0.0,a,Ob,0
118.25,41,1.33,0.167,a,Vln,1
120.0,41,2.5,0.75,a,Ob,0
129.25,44,2.67,0.833,a,A,4
131.75,45,2.33,0.667,a,Ob,0
133.0,46,1.17,0.083,a,A,4
134.75,46,2.33,0.667,a,Ob,0
135.5,46,2.83,0.917,a,A,4
140.25,48,2,0.5,a,Vln,1
141.25,48,2.67,0.833,a,A,4
149.75,51,2.33,0.667,a,Ob,0
151.25,52,1.33,0.167,a,A,4
161.25,55,2,0.5,a,Vln,1
162.25,55,2.67,0.833,a,A,4
166.25,57,1.33,0.167,a,Vln,1
168.0,57,2.5,0.75,a,Ob,0
169.75,58,1.67,0.333,a,Vln,1
171.0,58,2.5,0.75,a,Ob,0
172.75,59,1.67,0.333,a,Vln,1
174.0,59,2.5,0.75,a,Ob,0
179.25,61,2,0.5,a,Vln,1
180.0,61,2.5,0.75,a,Ob,0
181.75,62,1.67,0.333,a,Vln,1
183.0,62,2.5,0.75,a,Ob,0
184.75,63,1.67,0.333,a,Vln,1
186.0,63,2.5,0.75,a,Ob,0
192.25,65,2.67,0.833,a,A,4
204.0,69,2.5,0.75,a,A,4
205.5,70,1.5,0.25,a,Ob,0
207.0,70,2.5,0.75,a,A,4
208.5,71,1.5,0.25,a,Ob,0
210.0,71,2.5,0.75,a,A,4
215.25,73,2,0.5,a,Vln,1
216.25,73,2.67,0.833,a,A,4
222.25,75,2.67,0.833,a,A,4
225.75,77,1,0.0,a,Vln,1
229.0,78,1.17,0.083,a,A,4
239.75,81,2.33,0.667,a,Ob,0
240.25,81,2.67,0.833,a,A,4
242.25,82,2,0.5,a,Ob,0
244.25,83,1.33,0.167,a,A,4
246.0,83,2.5,0.75,a,Ob,0
247.25,84,1.33,0.167,a,Vln,1
249.0,84,2.5,0.75,a,Ob,0
