qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,2.5,0.0,a,Vln 1,15,Vln
16.0,5,2.5,0.75,a,Vln 1,15,Vln
33.0,10,1.0,0.0,b,Vln 1,15,Vln
41.0,12,1.0,0.0,b,Vln 1,15,Vln
49.0,14,1.0,0.0,c,Vln 1,15,Vln
65.0,18,1.0,0.0,c,Vln 1,15,Vln
67.0,18,2.0,0.5,c,Ob 1,2,Ob
72.0,19,2.5,0.75,d,Vla,17,Vla
76.0,20,2.5,0.75,d,Cl 1,4,Cl
80.0,21,2.5,0.75,d,Ob 1,2,Ob
84.0,22,2.5,0.75,d,Fl 1,0,Fl
89.0,24,1.0,0.0,e,Ob 1,2,Ob
91.0,24,2.0,0.5,e,Fl 1,0,Fl
93.0,25,1.0,0.0,e,Ob 1,2,Ob
95.0,25,2.0,0.5,e,Fl 1,0,Fl
97.0,26,1.0,0.0,e,Ob 1,2,Ob
99.0,26,2.0,0.5,e,Fl 1,0,Fl
101.0,27,1.0,0.0,e,Ob 1,2,Ob
103.0,27,2.0,0.5,e,Fl 1,0,Fl
105.0,28,1.0,0.0,b,Vln 1,15,Vln
121.0,32,1.0,0.0,c,Vln 1,15,Vln
130.0,34,1.5,0.25,b,Vln 1,15,Vln
146.0,38,1.5,0.25,f,Fl 1,0,Fl
154.0,40,1.5,0.25,f,Vln 1,15,Vln
160.0,41,2.5,0.75,g,Vln 1,15,Vln
178.0,46,1.5,0.25,h,Vln 1,15,Vln
194.0,50,1.5,0.25,h,Vln 1,15,Vln
209.0,54,1.0,0.0,i,Ob 1,2,Ob
217.0,56,1.0,0.0,i,Ob 1,2,Ob
220.0,56,2.5,0.75,i,Vln 1,15,Vln
225.0,58,1.0,0.0,j,Vc,18,Vc
233.0,60,1.0,0.0,j,Vc,18,Vc
241.0,62,1.0,0.0,j,Vc,18,Vc
249.0,64,1.0,0.0,j,Fl 1,0,Fl
257.0,66,1.0,0.0,j,Vln 1,15,Vln
265.0,68,1.0,0.0,j,Vln 1,15,Vln
273.0,70,1.0,0.0,j,Vln 1,15,Vln
281.0,72,1.0,0.0,j,Vln 1,15,Vln
289.0,74,1.0,0.0,i,Hn 3,10,Hn
300.0,76,2.5,0.75,i,Hn 1,8,Hn
305.0,78,1.0,0.0,i,Hn 3,10,Hn
316.0,80,2.5,0.75,i,Vln 1,15,Vln
318.0,81,1.5,0.25,i,Fl 1,0,Fl
320.0,81,2.5,0.75,i,Vln 1,15,Vln
322.0,82,1.5,0.25,i,Fl 1,0,Fl
324.0,82,2.5,0.75,i,Vln 1,15,Vln
326.0,83,1.5,0.25,i,Fl 1,0,Fl
328.0,83,2.5,0.75,i,Vln 1,15,Vln
330.0,84,1.5,0.25,i,Fl 1,0,Fl
332.0,84,2.5,0.75,i,Vln 1,15,Vln
334.0,85,1.5,0.25,i,Fl 1,0,Fl
336.0,85,2.5,0.75,i,Vln 1,15,Vln
338.0,86,1.5,0.25,i,Fl 1,0,Fl
340.0,86,2.5,0.75,i,Vln 1,15,Vln
342.0,87,1.5,0.25,i,Fl 1,0,Fl
344.0,87,2.5,0.75,i,Vln 1,15,Vln
346.0,88,1.5,0.25,k,Fl 1,0,Fl
360.0,91,2.5,0.75,l,Vln 1,15,Vln
377.0,96,1.0,0.0,m,Hn 1,8,Hn
385.0,98,1.0,0.0,m,Hn 1,8,Hn
391.0,99,2.0,0.5,l,Ob 1,2,Ob
407.0,103,2.0,0.5,n,Hn 1,8,Hn
409.0,104,1.0,0.0,n,Fl 1,0,Fl
411.0,104,2.0,0.5,n,Hn 1,8,Hn
413.0,105,1.0,0.0,n,Fl 1,0,Fl
415.0,105,2.0,0.5,n,Hn 1,8,Hn
417.0,106,1.0,0.0,n,Fl 1,0,Fl
419.0,106,2.0,0.5,n,Hn 1,8,Hn
421.0,107,1.0,0.0,n,Fl 1,0,Fl
423.0,107,2.0,0.5,n,Hn 1,8,Hn
425.5,108,1.25,0.125,o,Vln 1,15,Vln
453.5,115,1.25,0.125,o,Vln 1,15,Vln
474.5,120,1.75,0.375,i,Vln 1,15,Vln
482.5,122,1.75,0.375,i,Vln 1,15,Vln
498.5,126,1.75,0.375,i,Vln 1,15,Vln
506.5,128,1.75,0.375,i,Vln 1,15,Vln
544.0,137,2.5,0.75,a,Fl 1,0,Fl
560.0,141,2.5,0.75,a,Fl 1,0,Fl
576.0,145,2.5,0.75,a,Vln 1,15,Vln
592.0,149,2.5,0.75,a,Vln 1,15,Vln
609.0,154,1.0,0.0,b,Vln 2,16,Vln
613.0,155,1.0,0.0,b,Vln 1,15,Vln
617.0,156,1.0,0.0,b,Vln 2,16,Vln
620.0,156,2.5,0.75,b,Vln 1,15,Vln
622.0,157,1.5,0.25,b,Vln 2,16,Vln
624.0,157,2.5,0.75,p,Fl 1,0,Fl
628.0,158,2.5,0.75,p,Fl 1,0,Fl
632.0,159,2.5,0.75,p,Fl 1,0,Fl
636.0,160,2.5,0.75,p,Fl 1,0,Fl
640.0,161,2.5,0.75,p,Ob 1,2,Ob
644.0,162,2.5,0.75,p,Fl 1,0,Fl
652.0,164,2.5,0.75,p,Ob 1,2,Ob
656.0,165,2.5,0.75,p,Fl 1,0,Fl
657.0,166,1.0,0.0,b,Cl 1,4,Cl
661.0,167,1.0,0.0,b,Fl 1,0,Fl
665.0,168,1.0,0.0,b,Ob 1,2,Ob
668.0,168,2.5,0.75,b,Vln 1,15,Vln
672.0,169,2.5,0.75,q,Vln 1,15,Vln
674.0,170,1.5,0.25,q,Vc,18,Vc
676.0,170,2.5,0.75,q,Vln 1,15,Vln
678.0,171,1.5,0.25,q,Vc,18,Vc
680.0,171,2.5,0.75,q,Vln 1,15,Vln
682.0,172,1.5,0.25,q,Vc,18,Vc
684.0,172,2.5,0.75,q,Vln 1,15,Vln
686.0,173,1.5,0.25,q,Vc,18,Vc
688.0,173,2.5,0.75,q,Vc,18,Vc
690.0,174,1.5,0.25,q,Vln 1,15,Vln
692.0,174,2.5,0.75,q,Vc,18,Vc
