qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
57.0,10.5556,20,3.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G3,r,r
58.0,10.7407,21,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,r,r
59.0,10.9259,21,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F3,r,r
60.0,11.1111,21,3.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G3,G3,r
61.0,11.2963,22,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A3,r
62.0,11.4815,22,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,r
63.0,11.6667,22,3.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,r
64.0,11.8519,23,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,r
65.0,12.037,23,2.0,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,r
66.0,12.2222,23,3.0,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,E3,E2
67.0,12.4074,24,1.0,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
68.0,12.5926,24,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
69.0,12.7778,24,3.0,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
70.0,12.963,25,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
72.0,13.3333,25,3.0,A4,r,r,r,r,r,A3,A2,r,r,r,r,A4,A3,A3,A2,A1
73.0,13.5185,26,1.0,D5,r,r,r,r,r,D4,D3,r,r,r,r,D5,D4,D3,D3,D2
75.0,13.8889,26,3.0,F#5,r,r,r,r,r,D4,D3,r,r,r,r,F#5,F#4,F#3,r,r
76.0,14.0741,27,1.0,A5,r,r,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
77.0,14.2593,27,2.0,F#5,r,r,r,r,r,D4,D3,r,r,r,r,F#5,F#4,F#3,r,r
78.0,14.4444,27,3.0,F#5,r,r,r,r,r,D4,D3,r,r,r,r,F#5,F#4,F#3,r,r
79.0,14.6296,28,1.0,A5,r,r,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
80.0,14.8148,28,2.0,C#6,r,r,r,r,r,D4,D3,r,r,r,r,C#6,C#5,C#4,r,r
81.0,15.0,28,3.0,D6,r,r,r,r,r,D4,D3,r,r,r,r,D6,D5,D4,r,r
81.5,15.0926,28,3.5,B5,r,r,r,r,r,D4,D3,r,r,r,r,B5,B4,B3,r,r
82.0,15.1852,29,1.0,A5,r,r,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
84.0,15.5556,29,3.0,C#6,r,r,r,r,r,D4,D3,r,r,r,r,C#6,C#5,C#4,r,r
85.0,15.7407,30,1.0,D6,r,r,r,r,r,D4,D3,r,r,r,r,D6,D5,D4,D3,D2
86.0,15.9259,30,2.0,A5,r,F#5,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,r,r
87.0,16.1111,30,3.0,B5,r,G5,r,r,r,D4,D3,r,r,r,r,B5,B4,B3,r,r
88.0,16.2963,31,1.0,A5,r,F#5,r,r,r,D4,D3,r,r,r,r,A5,A4,A3,D3,D2
89.0,16.4815,31,2.0,F#5,r,D5,r,r,r,D4,D3,r,r,r,r,F#5,F#4,A4,r,r
90.0,16.6667,31,3.0,G5,r,D5,r,r,r,D4,D3,r,r,r,r,G5,G4,B4,r,r
91.0,16.8519,32,1.0,F#5,r,D5,r,r,r,D4,D3,r,r,r,r,F#5,F#4,A4,D3,D2
92.0,17.037,32,2.0,D5,r,D5,r,r,r,D4,D3,r,r,r,r,D5,D4,F#4,r,r
93.0,17.2222,32,3.0,F#5,r,C#5,r,r,r,C#4,A2,r,r,r,r,F#5,F#4,G4,A2,A1
93.5,17.3148,32,3.5,E5,r,C#5,r,r,r,C#4,A2,r,r,r,r,E5,E4,G4,A2,A1
94.0,17.4074,33,1.0,D5,r,D5,r,r,r,D4,D3,r,r,r,r,D5,D4,F#4,D3,D2
96.0,17.7778,33,3.0,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,r
97.0,17.963,34,1.0,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,r,r,r
98.0,18.1481,34,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,r
99.0,18.3333,34,3.0,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,r,r,r
100.0,18.5185,35,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,r
101.0,18.7037,35,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,r,r,r
102.0,18.8889,35,3.0,r,r,G5,r,r,r,G4,r,r,r,r,r,G5,G4,r,r,r
103.0,19.0741,36,1.0,r,r,F#5,r,r,r,F#4,r,r,r,r,r,F#5,F#4,r,r,r
104.0,19.2593,36,2.0,r,r,D5,r,r,r,D4,r,r,r,r,r,D5,D4,r,r,r
105.0,19.4444,36,3.0,r,r,E5,r,r,r,E4,r,r,r,r,r,E5,E4,r,r,r
106.0,19.6296,37,1.0,r,r,F#5,r,r,r,F#4,r,r,r,r,r,F#5,F#4,r,r,r
107.0,19.8148,37,2.0,r,r,D5,r,r,r,D4,r,r,r,r,r,D5,D4,r,r,r
108.0,20.0,37,3.0,r,r,r,r,D5,D4,r,r,r,r,r,r,D5,D4,D4,r,r
109.0,20.1852,38,1.0,r,r,r,r,G5,G4,r,r,r,r,r,r,G5,G4,G4,r,r
110.0,20.3704,38,2.0,r,r,r,r,D5,D4,r,r,r,r,r,r,D5,D4,D4,r,r
111.0,20.5556,38,3.0,r,r,r,r,E5,E4,r,r,r,r,r,r,E5,E4,D4,r,r
112.0,20.7407,39,1.0,r,r,r,r,D5,D4,r,r,r,r,r,r,D5,D4,D4,r,r
113.0,20.9259,39,2.0,r,r,r,r,B4,B3,r,r,r,r,r,r,B4,B3,B3,r,r
