qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
1055.0,1065.0,,,P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P4(Oboe 1)&U(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(F Horn 1)&P4(F Horn 2)&P4(Violin 1)&P4(Violin 2)&P4(Viola),P4(Oboe 1)&U(Oboe  2)&P6(Bb Clarinet 2)&P4(F Horn 1)&P4(F Horn 2)&P4(Violin 1)&P4(Violin 2)&P4(Viola),P3(Oboe 1)&P6(Oboe  2)&P6(Bb Clarinet 1)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola),,,P8(Oboe 1)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 2)&U(Violin 1)&U(Violin 2)&P8(Viola),P8(Oboe 1)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P8(Violin 1)&P8(Violin 2)&U(Viola),Main Part,,P8(Oboe 1)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 1)&P8(F Horn 2)&U(Violin 2)&P8(Viola),P8(Oboe 1)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 1)&P8(F Horn 2)&U(Violin 1)&P8(Viola),P8(Oboe 1)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&U(F Horn 2)&P8(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
1065.0,1081.0,,,P8(F Horn 1)&P8(F Horn 2),P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),,P6(Oboe  2)&P6(Bassoon 1)&P8(Bassoon 2),P8(Oboe  2)&P6(Bb Clarinet 2)&P6(Bassoon 2),P6(Oboe  2)&P8(Bb Clarinet 2)&P6(Bassoon 1),P8(Oboe 1)&P8(F Horn 2),P8(Oboe 1)&P8(F Horn 1),Main Part,,U(Violin 2),U(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
1081.0,1097.0,,,P8(F Horn 1)&P8(F Horn 2),Main Part,,P6(Main),,,P8(Oboe 1)&P8(F Horn 2),P8(Oboe 1)&P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
1097.0,1101.0,P3(Flute 2)&P3(Oboe 1)&P8(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&U(Oboe 1)&P3(Main)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&U(Flute 2)&P3(Main)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),Main Part,P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Main)&P3(Bb Clarinet 2)&U(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Main)&P3(Bb Clarinet 1)&P3(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Main)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Main)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(F Horn 1)&P8(Violoncello)&P8(Contrabass),P8(C Trumpet 2),P8(C Trumpet 1),,,U(Bassoon 1)&U(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)
1101.0,1105.0,P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),,P3(Flute 1)&P3(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P8(Oboe 1)&P3(Oboe  2)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,P8(C Trumpet 2),P8(C Trumpet 1),Main Part,,U(Bassoon 1)&U(Bassoon 2),P8(Contrabass),P8(Violoncello)
1105.0,1109.0,P3(Flute 2)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&U(Oboe 1)&P3(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&U(Flute 2)&P3(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe  2)&P3(Bb Clarinet 2)&U(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1)&P3(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe  2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(F Horn 1)&P8(Violoncello)&P8(Contrabass),P8(C Trumpet 2),P8(C Trumpet 1),Main Part,,U(Bassoon 1)&U(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)
1109.0,1113.0,,,P3(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Oboe 1)&P3(Oboe  2)&P3(Bb Clarinet 2),P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 1),U(Viola),,,,P8(C Trumpet 2),P8(C Trumpet 1),Main Part,,U(Bassoon 1),P8(Contrabass),P8(Violoncello)
1113.0,1124.5,,,U(Main),,,,,,P8(C Trumpet 1)&P8(C Trumpet 2),,P8(F Horn 1)&P8(C Trumpet 2),P8(F Horn 1)&P8(C Trumpet 1),Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
1124.5,1129.0,P8(Oboe 1)&P8(Main),,P8(Flute 1)&U(Main),,,,,,P8(C Trumpet 1)&P8(C Trumpet 2),,P8(F Horn 1)&P8(C Trumpet 2),P8(F Horn 1)&P8(C Trumpet 1),Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
1129.0,1144.0,P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),,,P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1),,,P8(F Horn 2)&U(C Trumpet 2),P8(F Horn 1)&P8(C Trumpet 2),,U(F Horn 1)&P8(F Horn 2),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1144.0,1168.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),,
1168.0,1201.0,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1201.0,1225.0,Main Part,,,,,,,,P8(F Horn 2),P8(F Horn 1),,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1225.0,1237.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe  2)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe  2)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe  2)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Bassoon 2),P8(F Horn 1)&P8(F Horn 2),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe  2),P8(Bb Clarinet 1)&P8(F Horn 2),P8(Bb Clarinet 1)&P8(F Horn 1),,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1237.0,1256.0,P8(Flute 2)&P8(Oboe 1)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Oboe 1)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,P8(Bb Clarinet 2),P8(Bb Clarinet 1),,,,,,,Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1256.0,1282.0,P8(Main),U(Oboe 1),U(Flute 2),,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,,,Main Part,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
1282.0,1304.0,,,,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),,,,,Main Part,,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
1304.0,1327.0,P3(Oboe 1)&P8(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,P3(Flute 1)&P3(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Oboe 1)&P3(Oboe  2)&P3(Bb Clarinet 1),Main Part,P8(F Horn 2),P8(Main),P8(Bassoon 2),,,,,,P8(Contrabass),P8(Violoncello)
