qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
223.0,259.0,P3(Oboe 1)&P8(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,P3(Flute 1)&P3(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Oboe 1)&P8(Oboe  2)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Oboe 1)&P3(Oboe  2)&P3(Bb Clarinet 1),P8(F Horn 1),P8(F Horn 2),P8(Bassoon 1),P8(Bassoon 2),,,Main Part,,,P8(Contrabass),P8(Violoncello)
259.0,272.0,,,,,,,,,,,,,Main Part,,,,
272.0,296.0,,,,,,,,,,,,,Main Part,,,,
296.0,320.0,,,,,,,,,,,,,Main Part,,,,
320.0,340.0,,,,,,,,,,,,,Main Part,,,,
340.0,344.0,,,,,,,,,,,,,Main Part,,,,
344.0,364.0,,,,,,,,,,,,,Main Part,,,,
364.0,397.0,,,,,,,,,,,,,Main Part,,,,
397.0,422.0,,,,,P3(Bassoon 1)&U(F Horn 2)&P8(Violoncello),,P3(Bb Clarinet 1)&P3(F Horn 2)&P3(Violoncello),,,U(Bb Clarinet 1)&P3(Bassoon 1)&P8(Violoncello),,,Main Part,,P8(Main),P8(Bb Clarinet 1)&P3(Bassoon 1)&P8(F Horn 2),
422.0,428.0,,,,,,,,,,,,,Main Part,,P8(Main),,
428.0,434.0,,,,,,,Main Part,,,,,,,,,,
434.0,446.0,,,P3(Bb Clarinet 1),,P3(Oboe 1),,Main Part,,,,,,,,,,
446.0,457.0,,,P8(F Horn 1),,,,,P8(Contrabass),P8(Oboe 1),,,,Main Part,,,,P8(Bassoon 2)
457.0,483.0,,,P8(F Horn 1),,,,,P8(Contrabass),P8(Oboe 1),,,,Main Part,P8(Main),,,P8(Bassoon 2)
