score_qstamp,qstamp,measure,beat,735486_tstamp
0.0,0.0,1,3.0,0.68
1.0,1.0,2,1.0,0.9652
2.0,2.0,2,2.0,1.1712
3.0,3.0,2,3.0,1.5024
4.0,4.0,3,1.0,1.7014
5.0,5.0,3,2.0,1.9459
6.0,6.0,3,3.0,2.2177
7.0,7.0,4,1.0,2.4726
8.0,8.0,4,2.0,2.7215
9.0,9.0,4,3.0,2.9067
10.0,10.0,5,1.0,3.1438
11.0,11.0,5,2.0,3.485
12.0,12.0,5,3.0,3.7022
13.0,13.0,6,1.0,3.9874
14.0,14.0,6,2.0,4.1852
15.0,15.0,6,3.0,4.449
16.0,16.0,7,1.0,4.643
17.0,17.0,7,2.0,4.8881
18.0,18.0,7,3.0,5.1333
19.0,19.0,8,1.0,5.4125
20.0,20.0,8,2.0,5.6074
21.0,21.0,8,3.0,6.1489
22.0,22.0,9,1.0,6.3482
24.0,24.0,9,3.0,6.7508
25.0,25.0,10,1.0,7.0488
27.0,27.0,10,3.0,7.58
28.0,28.0,11,1.0,7.8452
29.0,29.0,11,2.0,8.1104
30.0,30.0,11,3.0,8.3356
31.0,31.0,12,1.0,8.6428
32.0,32.0,12,2.0,8.9059
33.0,33.0,12,3.0,9.1511
33.5,33.5,12,3.5,9.2911
34.0,34.0,13,1.0,9.4563
36.0,36.0,13,3.0,9.9934
37.0,37.0,14,1.0,10.2519
38.0,38.0,14,2.0,10.557
39.0,39.0,14,3.0,10.811
40.0,40.0,15,1.0,11.0874
41.0,41.0,15,2.0,11.3052
42.0,42.0,15,3.0,11.5756
43.0,43.0,16,1.0,11.849
44.0,44.0,16,2.0,12.1367
45.0,45.0,16,3.0,12.3933
45.5,45.5,16,3.5,12.5059
46.0,46.0,17,1.0,12.657
48.0,48.0,17,3.0,13.3089
49.0,49.0,18,1.0,13.5541
50.0,50.0,18,2.0,13.7393
51.0,51.0,18,3.0,13.9908
52.0,52.0,19,1.0,14.2896
53.0,53.0,19,2.0,14.614
54.0,54.0,19,3.0,14.84
55.0,55.0,20,1.0,15.0704
56.0,56.0,20,2.0,15.3816
57.0,57.0,20,3.0,15.5956
58.0,58.0,21,1.0,15.8021
59.0,59.0,21,2.0,16.1059
60.0,60.0,21,3.0,16.3244
61.0,61.0,22,1.0,16.5926
62.0,62.0,22,2.0,16.8245
63.0,63.0,22,3.0,17.0867
64.0,64.0,23,1.0,17.3552
65.0,65.0,23,2.0,17.614
66.0,66.0,23,3.0,17.8622
67.0,67.0,24,1.0,18.1074
68.0,68.0,24,2.0,18.3252
69.0,69.0,24,3.0,18.5178
70.0,70.0,25,1.0,18.703
72.0,72.0,25,3.0,19.4594
73.0,73.0,26,1.0,19.7585
75.0,75.0,26,3.0,20.3534
76.0,76.0,27,1.0,20.5941
77.0,77.0,27,2.0,20.8593
78.0,78.0,27,3.0,21.2044
79.0,79.0,28,1.0,21.3896
80.0,80.0,28,2.0,21.6148
81.0,81.0,28,3.0,21.88
81.5,81.5,28,3.5,22.0126
82.0,82.0,29,1.0,22.1852
