qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,E-6,B-5,G5,E-5,E-5,G4,E-4,E-3,E-4,G3,E-4,E-5,E-4,E-3,G5,E-5,E-4,E-3,E-2
3.0,1.0,2,1.0,E-6,B-5,G5,E-5,E-5,G4,E-4,E-3,E-4,G3,E-4,E-5,E-4,E-3,G5,E-5,E-4,E-3,E-2
6.0,2.0,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,E-3,r
8.0,2.6667,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,G3,r
9.0,3.0,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,E-3,r
11.0,3.6667,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,B-2,r
12.0,4.0,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,E-3,r
13.0,4.3333,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,G3,r
14.0,4.6667,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,B-3,r
15.0,5.0,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,E-3,r
17.0,5.6667,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,D3,r
18.0,6.0,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B-3,C#3,r
18.5,6.1667,7,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,C#3,r
19.5,6.5,7,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,C#3,r
20.5,6.8333,7,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,C#3,r
21.0,7.0,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,C#3,r
21.5,7.1667,8,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,C#3,r
22.5,7.5,8,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,C#3,r
23.5,7.8333,8,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,C#3,r
24.0,8.0,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B-3,D3,r
24.5,8.1667,9,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B-3,B-3,D3,r
25.0,8.3333,9,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,r,D3,r
25.5,8.5,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B-3,r,D3,r
26.0,8.6667,9,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,r,D3,r
26.5,8.8333,9,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B-3,r,D3,r
27.0,9.0,10,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F4,G#4,D3,r
27.5,9.1667,10,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,B-3,G#4,D3,r
28.0,9.3333,10,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F4,G#4,D3,r
28.5,9.5,10,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,B-3,G#4,D3,r
29.0,9.6667,10,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F4,G#4,D3,r
29.5,9.8333,10,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,B-3,G#4,D3,r
30.0,10.0,11,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E-4,G#4,E-3,r
30.5,10.1667,11,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,B-3,G#4,E-3,r
31.0,10.3333,11,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,B-4,G#4,E-3,r
32.0,10.6667,11,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E-4,G4,E-3,r
32.5,10.8333,11,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B-3,G4,E-3,r
33.0,11.0,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C4,F4,G#2,r
33.5,11.1667,12,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,E-4,F4,G#2,r
34.0,11.3333,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B-3,G4,B-2,r
34.5,11.5,12,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E-4,G4,B-2,r
35.0,11.6667,12,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,G#3,G#4,C3,r
35.5,11.8333,12,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E-4,G#4,C3,r
36.0,12.0,13,1.0,r,r,G5,E-5,r,r,r,r,G4,E-4,r,r,r,r,G5,B-3,G4,B-2,r
36.5,12.1667,13,1.5,r,r,G5,E-5,r,r,r,r,G4,E-4,r,r,r,r,B-5,E-4,B-4,B-2,r
37.0,12.3333,13,2.0,r,r,G5,E-5,r,r,r,r,G4,E-4,r,r,r,r,G#5,G3,G#4,B-2,r
37.5,12.5,13,2.5,r,r,G5,E-5,r,r,r,r,G4,E-4,r,r,r,r,G5,B-3,G4,B-2,r
