qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,Bb Horn 1,Bb Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,B-5,D5,B-4,B-3,B-3,r,r,r,r,r,r,r
4.0,1.6667,2,1.0,D5,D5,B-4,G4,G4,r,r,r,r,r,r,r
8.0,3.3333,3,1.0,G5,C5,B-4,E-4,E-4,r,r,r,r,r,r,r
9.0,3.75,3,1.5,G5,C5,B-4,E-4,E-4,r,r,E-5,r,r,r,r
9.5,3.9583,3,1.75,G5,C5,B-4,E-4,E-4,r,r,F5,r,r,r,r
10.0,4.1667,3,2.0,G5,C5,B-4,E-4,E-4,r,r,G5,r,r,r,r
10.5,4.375,3,2.25,G5,C5,B-4,E-4,E-4,r,r,F5,r,r,r,r
11.0,4.5833,3,2.5,G5,C5,B-4,E-4,E-4,r,r,E-5,r,r,r,r
11.5,4.7917,3,2.75,G5,C5,B-4,E-4,E-4,r,r,D5,r,r,r,r
12.0,5.0,4,1.0,F5,C5,A4,F4,F4,r,r,C5,r,r,r,r
12.5,5.2083,4,1.25,F5,C5,A4,F4,F4,r,r,B-4,r,r,r,r
13.0,5.4167,4,1.5,F5,C5,A4,F4,F4,r,r,A4,r,r,r,r
13.5,5.625,4,1.75,F5,C5,A4,F4,F4,r,r,G4,r,r,r,r
14.0,5.8333,4,2.0,E-5,C5,A4,F4,F4,r,r,F4,r,r,r,r
14.5,6.0417,4,2.25,E-5,C5,A4,F4,F4,r,r,E-4,r,r,r,r
15.0,6.25,4,2.5,E-5,C5,A4,F4,F4,r,r,D4,r,r,r,r
15.5,6.4583,4,2.75,E-5,C5,A4,F4,F4,r,r,C4,r,r,r,r
16.0,6.6667,5,1.0,D5,B-4,B-4,B-3,B-3,r,r,B-4,F4,B-3,B-2,B-1
16.5,6.875,5,1.25,D5,B-4,B-4,B-3,B-3,r,r,B-4,F4,B-3,B-2,B-1
17.0,7.0833,5,1.5,r,r,r,r,r,r,r,B-4,F4,B-3,r,r
17.5,7.2917,5,1.75,r,r,r,r,r,r,r,D5,F4,B-3,r,r
18.0,7.5,5,2.0,r,r,r,r,r,r,r,F5,F4,B-3,r,r
19.0,7.9167,5,2.5,r,r,r,r,r,r,r,F5,F4,B-3,r,r
20.0,8.3333,6,1.0,r,r,r,r,r,r,r,F5,F4,B-3,B-2,B-1
21.5,8.9583,6,1.75,r,r,r,r,r,r,r,F5,F4,B-3,D3,D2
22.0,9.1667,6,2.0,r,r,r,r,r,r,r,r,F4,B-3,F3,F2
23.0,9.5833,6,2.5,r,r,r,r,r,r,r,r,F4,B-3,F3,F2
24.0,10.0,7,1.0,r,r,r,r,r,r,r,A4,F4,A3,F3,F2
25.5,10.625,7,1.75,r,r,r,r,r,r,r,C5,F4,A3,F3,F2
26.0,10.8333,7,2.0,r,r,r,r,r,r,r,F5,F4,A3,r,r
27.0,11.25,7,2.5,r,r,r,r,r,r,r,F5,F4,A3,r,r
28.0,11.6667,8,1.0,r,r,r,r,r,r,r,F5,F4,A3,A2,A1
29.5,12.2917,8,1.75,r,r,r,r,r,r,r,F5,F4,A3,C3,C2
30.0,12.5,8,2.0,r,r,r,r,r,r,r,r,F4,A3,F3,F2
31.0,12.9167,8,2.5,r,r,r,r,r,r,r,r,F4,A3,F3,F2
32.0,13.3333,9,1.0,r,r,r,r,r,r,r,E-5,E-4,G3,G2,G1
33.5,13.9583,9,1.75,r,r,r,r,r,r,r,G5,E-4,G3,G2,G1
34.0,14.1667,9,2.0,r,r,r,r,r,r,r,B-5,E-4,G3,r,r
35.0,14.5833,9,2.5,r,r,r,r,r,r,r,B-5,E-4,G3,r,r
36.0,15.0,10,1.0,r,r,r,r,r,r,r,B-5,E-4,G3,G2,G1
37.5,15.625,10,1.75,r,r,r,r,r,r,r,B-5,E-4,G3,B-2,B-1
38.0,15.8333,10,2.0,r,r,r,r,r,r,r,A5,E-4,G3,E-3,E-2
38.5,16.0417,10,2.25,r,r,r,r,r,r,r,G5,E-4,G3,E-3,E-2
39.0,16.25,10,2.5,r,r,r,r,r,r,r,F5,E-4,G3,E-3,E-2
39.5,16.4583,10,2.75,r,r,r,r,r,r,r,E-5,E-4,G3,E-3,E-2
40.0,16.6667,11,1.0,r,r,r,r,r,r,r,D5,D4,F3,F2,F1
41.5,17.2917,11,1.75,r,r,r,r,r,r,r,F5,D4,F3,F2,F1
42.0,17.5,11,2.0,r,r,r,r,r,r,r,B-5,D4,F3,r,r
43.0,17.9167,11,2.5,r,r,r,r,r,r,r,B-5,D4,F3,r,r
44.0,18.3333,12,1.0,r,r,r,r,r,r,r,B-5,D4,F3,F2,F1
45.5,18.9583,12,1.75,r,r,r,r,r,r,r,A5,D4,F3,B-2,B-1
46.0,19.1667,12,2.0,r,r,r,r,r,r,r,G5,D4,F3,D3,D2
46.5,19.375,12,2.25,r,r,r,r,r,r,r,F5,D4,F3,D3,D2
47.0,19.5833,12,2.5,r,r,r,r,r,r,r,E-5,D4,F3,D3,D2
47.5,19.7917,12,2.75,r,r,r,r,r,r,r,D5,D4,F3,D3,D2
48.0,20.0,13,1.0,r,r,r,r,r,r,r,C5,C4,A3,E-3,E-2
49.5,20.625,13,1.75,r,r,r,r,r,r,r,E-5,C4,A3,E-3,E-2
50.0,20.8333,13,2.0,r,r,r,r,r,r,r,G5,C4,A3,E-3,E-2
51.0,21.25,13,2.5,r,r,r,r,r,r,r,G5,C4,A3,E-3,E-2
52.0,21.6667,14,1.0,r,r,r,r,r,r,r,F5,F4,B-3,D3,D2
54.0,22.5,14,2.0,r,r,r,r,r,r,r,E-5,F4,B-3,D3,D2
54.5,22.7083,14,2.25,r,r,r,r,r,r,r,D5,F4,B-3,D3,D2
55.0,22.9167,14,2.5,r,r,r,r,r,r,r,C5,F4,B-3,D3,D2
55.5,23.125,14,2.75,r,r,r,r,r,r,r,B-4,F4,B-3,D3,D2
56.0,23.3333,15,1.0,r,r,r,r,r,r,r,C5,C4,A3,E-3,E-2
57.5,23.9583,15,1.75,r,r,r,r,r,r,r,E-5,C4,A3,E-3,E-2
58.0,24.1667,15,2.0,r,r,r,r,r,r,r,G5,C4,A3,E-3,E-2
59.0,24.5833,15,2.5,r,r,r,r,r,r,r,G5,C4,A3,E-3,E-2
60.0,25.0,16,1.0,r,r,r,r,r,r,r,F5,F4,B-3,D3,D2
62.0,25.8333,16,2.0,r,r,r,r,r,r,r,E-5,F4,B-3,D3,D2
62.5,26.0417,16,2.25,r,r,r,r,r,r,r,D5,F4,B-3,D3,D2
63.0,26.25,16,2.5,r,r,r,r,r,r,r,C5,F4,B-3,D3,D2
63.5,26.4583,16,2.75,r,r,r,r,r,r,r,B-4,F4,B-3,D3,D2
64.0,26.6667,17,1.0,r,r,r,r,r,r,r,F5,B-4,E-4,G3,G2
65.0,27.0833,17,1.5,r,r,r,r,r,r,r,E-5,B-4,E-4,G3,G2
66.0,27.5,17,2.0,r,B-5,B-4,r,r,r,r,E-5,B-4,F4,F3,F2
67.0,27.9167,17,2.5,r,B-5,B-4,r,r,r,r,D5,B-4,F4,F3,F2
68.0,28.3333,18,1.0,r,B-5,B-4,r,r,r,r,D5,B-4,G4,E-3,E-2
69.0,28.75,18,1.5,r,B-5,B-4,r,r,r,r,C5,B-4,G4,E-3,E-2
70.0,29.1667,18,2.0,r,B-5,B-4,r,r,r,r,C5,B-4,G4,E3,E2
71.0,29.5833,18,2.5,r,C#5,B-4,r,r,r,r,C#5,B-4,G4,E3,E2
72.0,30.0,19,1.0,C6,C5,A4,r,r,F3,F2,C5,A4,C4,F3,F2
73.5,30.625,19,1.75,A5,C5,A4,r,r,F3,F2,C5,A4,C4,F3,F2
74.0,30.8333,19,2.0,F5,F5,A4,C4,F3,F3,F2,r,A4,C4,F3,F2
75.0,31.25,19,2.5,F5,F5,A4,C4,F3,F3,F2,r,A4,C4,F3,F2
76.0,31.6667,20,1.0,E5,E5,B-4,C#4,F3,F3,F2,C#6,B-4,C#4,F2,F1
77.5,32.2917,20,1.75,E5,E5,B-4,C#4,F3,F3,F2,B-5,B-4,C#4,F2,F1
78.0,32.5,20,2.0,r,E5,B-4,C#4,F3,F3,F2,E5,B-4,C#4,F2,F1
79.0,32.9167,20,2.5,r,E5,B-4,C#4,F3,F3,F2,E5,B-4,C#4,F2,F1
80.0,33.3333,21,1.0,C6,F5,A4,C4,F3,F3,F2,F5,A4,C4,F3,F2
81.5,33.9583,21,1.75,A5,F5,A4,C4,F3,F3,F2,F5,A4,C4,F3,F2
82.0,34.1667,21,2.0,F5,F5,A4,C4,F3,F3,F2,r,A4,C4,F3,F2
83.0,34.5833,21,2.5,F5,F5,A4,C4,F3,F3,F2,r,A4,C4,F3,F2
84.0,35.0,22,1.0,E5,E5,B-4,C#4,F3,F3,F2,C#6,B-4,C#4,F2,F1
85.5,35.625,22,1.75,E5,E5,B-4,C#4,F3,F3,F2,B-5,B-4,C#4,F2,F1
86.0,35.8333,22,2.0,r,E5,B-4,C#4,F3,F3,F2,E5,B-4,C#4,F2,F1
87.0,36.25,22,2.5,r,E5,B-4,C#4,F3,F3,F2,E5,B-4,C#4,F2,F1
88.0,36.6667,23,1.0,r,F5,A4,C4,F3,F3,F2,F5,A4,C4,F3,F2
90.0,37.5,23,2.0,r,G5,E-5,G4,E-4,F3,F2,r,G4,E-4,r,r
92.0,38.3333,24,1.0,r,F5,D5,F4,D4,F3,F2,r,F4,D4,r,r
94.0,39.1667,24,2.0,r,A5,E-5,E-4,C4,F3,F2,r,E-4,C4,r,r
96.0,40.0,25,1.0,r,B-5,D5,D4,B-3,B-2,B-2,B-4,B-3,D4,B-2,B-1
97.5,40.625,25,1.75,r,B-5,D5,D4,B-3,B-2,B-2,D5,D4,D4,B-2,B-1
98.0,40.8333,25,2.0,r,r,r,r,r,r,r,F5,F4,D4,r,r
99.0,41.25,25,2.5,r,r,r,r,r,r,r,F5,F4,D4,r,r
100.0,41.6667,26,1.0,D6,D5,F4,B-3,B-3,r,r,F5,F4,D4,B-2,B-1
101.5,42.2917,26,1.75,D6,D5,F4,B-3,B-3,r,r,F5,F4,D4,D3,D2
102.0,42.5,26,2.0,C6,D5,F4,B-3,B-3,r,r,r,r,D4,F3,F2
102.5,42.7083,26,2.25,B-5,D5,F4,B-3,B-3,r,r,r,r,D4,F3,F2
103.0,42.9167,26,2.5,A5,D5,F4,B-3,B-3,r,r,r,r,D4,F3,F2
103.5,43.125,26,2.75,G5,D5,F4,B-3,B-3,r,r,r,r,D4,F3,F2
104.0,43.3333,27,1.0,F5,C5,F4,A3,A3,r,r,A4,A3,F4,F3,F2
105.5,43.9583,27,1.75,F5,C5,F4,A3,A3,r,r,C5,C4,F4,F3,F2
106.0,44.1667,27,2.0,r,C5,F4,A3,A3,r,r,F5,F4,F4,r,r
107.0,44.5833,27,2.5,r,C5,F4,A3,A3,r,r,F5,F4,F4,r,r
108.0,45.0,28,1.0,C6,C5,F4,A3,A3,r,r,F5,F4,F4,A2,A1
109.5,45.625,28,1.75,C6,C5,F4,A3,A3,r,r,F5,F4,F4,C3,C2
110.0,45.8333,28,2.0,B-5,C5,F4,A3,A3,r,r,r,r,F4,F3,F2
110.5,46.0417,28,2.25,A5,C5,F4,A3,A3,r,r,r,r,F4,F3,F2
111.0,46.25,28,2.5,G5,C5,F4,A3,A3,r,r,r,r,F4,F3,F2
111.5,46.4583,28,2.75,F5,C5,F4,A3,A3,r,r,r,r,F4,F3,F2
112.0,46.6667,29,1.0,E-5,E-5,B-4,G3,G3,r,r,E-5,E-4,E-4,G2,G1
113.5,47.2917,29,1.75,E-5,E-5,B-4,G3,G3,r,r,G5,G4,E-4,G2,G1
114.0,47.5,29,2.0,r,E-5,B-4,G3,G3,r,r,B-5,B-4,E-4,r,r
115.0,47.9167,29,2.5,r,E-5,B-4,G3,G3,r,r,B-5,B-4,E-4,r,r
116.0,48.3333,30,1.0,B-5,E-5,B-4,G3,G3,r,r,B-5,B-4,E-4,G2,G1
117.5,48.9583,30,1.75,B-5,E-5,B-4,G3,G3,r,r,B-5,B-4,E-4,B-2,B-1
