qstamp_start,qstamp_end,Traverso 1,Violin 1,Violin 2,Viola,Soprano 1 solo,Tenor solo,Continuo
0.0,4.0,Main Part,P4(Violin 2)&P4(Viola),P4(Violin 1)&P8(Viola),P4(Violin 1)&P8(Violin 2),,,
4.0,8.0,,Main Part,,,,,
8.0,13.0,Main Part,,,,,,
13.0,16.25,Main Part,,U(Viola),U(Violin 2),,,
16.25,17.25,,,U(Viola),U(Violin 2),,,Main Part
17.25,21.25,Main Part,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,
21.25,24.0,Main Part,,U(Viola),U(Violin 2),,,
24.0,36.0,Main Part,,,,,,
36.0,44.0,Main Part,,,,,,
44.0,52.0,Main Part,,,,,,
52.0,64.0,Main Part,,,,,,
64.0,66.0,,,,,,Main Part,
66.0,68.0,,,,,Main Part,,
68.0,72.0,,Main Part,,,,,
72.0,76.5,Main Part,,,,,,
76.5,80.0,,,,,Main Part,,
80.0,87.25,,,,,Main Part,,
87.25,96.0,Main Part,,,,,,
96.0,98.0,,,P3(Viola),P3(Violin 2),Main Part,,
98.0,102.0,,,,,,Main Part,
102.0,104.0,,,U(Viola),U(Violin 2),Main Part,,
104.0,108.0,,P8(Main)&P8(Viola),Main Part,P8(Violin 1)&U(Main),,,
108.0,118.0,Main Part,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,
118.0,120.0,Main Part,,,,,,
120.0,121.0,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),Main Part,,
121.0,122.0,,Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),,,
122.0,124.0,Main Part,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,
124.0,125.0,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),P3(Continuo),Main Part,P3(Soprano 1 solo)
125.0,126.0,,Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),,,
126.0,136.0,,,U(Viola),U(Violin 2),Main Part,,
136.0,137.0,P8(Viola),,,P8(Traverso 1),,Main Part,
137.0,138.0,,Main Part,U(Main),U(Tenor solo),,U(Viola),
138.0,140.0,Main Part,U(Violin 2)&P8(Viola),U(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),,,
140.0,141.0,,U(Violin 2)&P8(Viola),U(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),Main Part,,
141.0,142.0,,Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),,,
142.0,145.0,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,Main Part,
145.0,150.0,,,U(Viola),U(Violin 2),Main Part,,
150.0,151.5,,,Main Part,U(Main),P3(Tenor solo),P3(Soprano 1 solo),
151.5,152.0,Main Part,,U(Viola)&P3(Soprano 1 solo),U(Violin 2)&P3(Soprano 1 solo),P3(Violin 2)&P3(Viola)&P3(Tenor solo)&P3(Continuo),P3(Soprano 1 solo)&P8(Continuo),P3(Soprano 1 solo)&P8(Tenor solo)
152.0,154.0,,,U(Viola),U(Violin 2),Main Part,,
154.0,155.5,,Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),P3(Tenor solo),P3(Soprano 1 solo),
155.5,156.0,P3(Continuo),,,,Main Part,,P3(Traverso 1)
156.0,157.5,Main Part,,,,,,
157.5,159.0,,,,,Main Part,,
159.0,161.25,,,,,Main Part,,
161.25,162.25,,,,,,Main Part,
162.25,163.25,,,,,Main Part,,
163.25,164.25,,,,,,Main Part,
164.25,166.0,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),Main Part,,
166.0,167.0,,Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),,,
167.0,169.25,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,Main Part,
169.25,170.25,,,,,Main Part,,
170.25,171.25,,,,,,Main Part,
171.25,172.25,,,,,Main Part,,
172.25,174.0,,,,,,Main Part,
174.0,185.0,U(Violin 1)&P3(Violin 2)&P4(Viola),U(Traverso 1)&P3(Violin 2)&P4(Viola),P3(Traverso 1)&P3(Violin 1)&P6(Viola),P4(Traverso 1)&P4(Violin 1)&P6(Violin 2),Main Part,,
185.0,188.5,Main Part,,,,P3(Tenor solo),P3(Soprano 1 solo),
188.5,191.0,,,,,Main Part,P3(Main),
191.0,194.0,Main Part,,,,,,
194.0,195.0,,,,,Main Part,,
195.0,199.0,,,,,,Main Part,
199.0,201.0,,P3(Violin 2)&P3(Viola),P3(Violin 1)&P5(Viola),P3(Violin 1)&P5(Violin 2),,Main Part,
201.0,206.0,,,,,Main Part,,
206.0,209.0,,,,,,Main Part,
209.0,214.0,,,,,Main Part,,
214.0,216.0,,,,,Main Part,,
216.0,218.5,,,,,,Main Part,
218.5,220.5,,,,,Main Part,,
220.5,223.25,,,,,,Main Part,
223.25,225.0,Main Part,,,,,,
225.0,236.0,,,,,Main Part,,
236.0,240.0,Main Part,P4(Violin 2)&P4(Viola),P4(Violin 1)&P8(Viola),P4(Violin 1)&P8(Violin 2),P8(Tenor solo),P8(Soprano 1 solo),
240.0,244.0,,Main Part,,,,,
244.0,249.0,Main Part,,,,,,
249.0,252.25,Main Part,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,
252.25,253.25,,Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),,,
253.25,256.0,Main Part,,U(Viola),U(Violin 2),,,
256.0,264.0,Main Part,,,,,,
264.0,276.0,Main Part,,,,,,
276.0,284.0,Main Part,,,,,,
284.0,292.0,Main Part,,,,,,
292.0,296.0,Main Part,,,,P3(Tenor solo),P3(Soprano 1 solo),
296.0,304.0,,,,,Main Part,,
304.0,309.0,,,,,,Main Part,
309.0,319.25,,,,,Main Part,,
319.25,336.0,Main Part,,,,P3(Tenor solo),P3(Soprano 1 solo),
336.0,344.0,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),Main Part,,
344.0,359.25,,,,,Main Part,,
359.25,361.0,Main Part,P4(Violin 2)&P8(Viola)&P4(Soprano 1 solo)&P4(Tenor solo),P4(Violin 1)&P4(Viola)&U(Soprano 1 solo)&P7(Tenor solo),P8(Violin 1)&P4(Violin 2)&P4(Soprano 1 solo)&P4(Tenor solo),P4(Violin 1)&U(Violin 2)&P4(Viola)&P7(Tenor solo),P4(Violin 1)&P7(Violin 2)&P4(Viola)&P7(Soprano 1 solo),
361.0,378.0,,,,,Main Part,,
