qstamp,tstamp,measure,beat,Traverso 1,Violin 1,Violin 2,Viola,Soprano 1 solo,Tenor solo,Continuo
10.25,8.0921,3,3.25,C5,G4,D5,G3,r,r,B2
10.5,8.2895,3,3.5,E5,r,r,r,r,r,G3
10.75,8.4868,3,3.75,D5,r,r,r,r,r,G3
11.0,8.6842,3,4.0,C5,C4,F#5,A3,r,r,A2
11.25,8.8816,3,4.25,B4,C4,F#5,A3,r,r,A2
11.5,9.0789,3,4.5,D5,r,r,r,r,r,F#3
11.75,9.2763,3,4.75,C5,r,r,r,r,r,F#3
12.0,9.4737,4,1.0,C5,r,r,r,r,r,G2
12.25,9.6711,4,1.25,C5,D4,D4,D4,r,r,G2
12.5,9.8684,4,1.5,B4,E4,E4,E4,r,r,G2
12.75,10.0658,4,1.75,B4,F#4,F#4,F#4,r,r,G2
13.0,10.2632,4,2.0,B5,G4,G4,G4,r,r,r
13.25,10.4605,4,2.25,A5,G4,G4,G4,r,r,r
13.5,10.6579,4,2.5,C6,E5,r,r,r,r,r
13.75,10.8553,4,2.75,B5,E5,r,r,r,r,r
14.0,11.0526,4,3.0,A5,F#4,F#4,F#4,r,r,r
14.25,11.25,4,3.25,G5,F#4,F#4,F#4,r,r,r
14.5,11.4474,4,3.5,B5,D5,r,r,r,r,r
14.75,11.6447,4,3.75,A5,D5,r,r,r,r,r
15.0,11.8421,4,4.0,G5,E4,E4,E4,r,r,r
15.25,12.0395,4,4.25,F#5,E4,E4,E4,r,r,r
15.5,12.2368,4,4.5,A5,C#5,r,r,r,r,r
15.75,12.4342,4,4.75,G5,C#5,r,r,r,r,r
16.0,12.6316,5,1.0,G5,D5,D4,D4,r,r,r
16.25,12.8289,5,1.25,G5,D5,D4,D4,r,r,A2
16.5,13.0263,5,1.5,G5,D4,r,r,r,r,B2
16.75,13.2237,5,1.75,G5,D4,r,r,r,r,C#3
17.0,13.4211,5,2.0,F#5,r,r,r,r,r,D3
17.25,13.6184,5,2.25,E5,r,r,r,r,r,D3
17.5,13.8158,5,2.5,G5,r,r,r,r,r,B3
17.75,14.0132,5,2.75,F#5,r,r,r,r,r,B3
18.0,14.2105,5,3.0,E5,r,r,r,r,r,C#3
18.25,14.4079,5,3.25,D5,r,r,r,r,r,C#3
18.5,14.6053,5,3.5,F#5,r,r,r,r,r,A3
18.75,14.8026,5,3.75,E5,r,r,r,r,r,A3
19.0,15.0,5,4.0,D5,r,r,r,r,r,B2
19.25,15.1974,5,4.25,C#5,r,r,r,r,r,B2
19.5,15.3947,5,4.5,E5,r,r,r,r,r,G3
19.75,15.5921,5,4.75,D5,r,r,r,r,r,G3
20.0,15.7895,6,1.0,D5,r,r,r,r,r,A3
20.25,15.9868,6,1.25,D5,E4,E4,E4,r,r,A3
20.5,16.1842,6,1.5,D5,F#4,F#4,F#4,r,r,A3
20.75,16.3816,6,1.75,D5,G4,G4,G4,r,r,A3
21.0,16.5789,6,2.0,C#5,A4,A4,A4,r,r,A3
21.25,16.7763,6,2.25,B4,A4,A4,A4,r,r,A3
21.5,16.9737,6,2.5,D5,F#5,r,r,r,r,A3
21.75,17.1711,6,2.75,C#5,F#5,r,r,r,r,A3
22.0,17.3684,6,3.0,B4,G4,G4,G4,r,r,A3
22.25,17.5658,6,3.25,A4,G4,G4,G4,r,r,A3
22.5,17.7632,6,3.5,C#5,E5,r,r,r,r,A3
22.75,17.9605,6,3.75,B4,E5,r,r,r,r,A3
23.0,18.1579,6,4.0,A4,F#4,F#4,F#4,r,r,A3
23.25,18.3553,6,4.25,G4,F#4,F#4,F#4,r,r,A3
23.5,18.5526,6,4.5,B4,D5,r,r,r,r,A3
23.75,18.75,6,4.75,A4,D5,r,r,r,r,A3
24.0,18.9474,7,1.0,A4,C#5,E4,E4,r,r,A3
24.5,19.3421,7,1.5,A4,A4,E4,C#4,r,r,A2
25.0,19.7368,7,2.0,G4,C#5,A4,E4,r,r,r
25.25,19.9342,7,2.25,E5,C#5,A4,E4,r,r,r
25.5,20.1316,7,2.5,C#5,E5,C#5,G4,r,r,r
25.75,20.3289,7,2.75,A4,E5,C#5,G4,r,r,r
26.0,20.5263,7,3.0,A4,E5,C#5,G4,r,r,r
26.5,20.9211,7,3.5,A4,A4,E4,C#4,r,r,r
27.0,21.3158,7,4.0,G4,C#5,A4,E4,r,r,r
27.25,21.5132,7,4.25,E5,C#5,A4,E4,r,r,r
27.5,21.7105,7,4.5,C#5,E5,C#5,G4,r,r,r
27.75,21.9079,7,4.75,A4,E5,C#5,G4,r,r,r
28.0,22.1053,8,1.0,G4,E5,C#5,G4,r,r,A3
28.25,22.3026,8,1.25,E5,E5,C#5,G4,r,r,A3
28.5,22.5,8,1.5,C#5,A4,E4,C#4,r,r,A2
28.75,22.6974,8,1.75,A4,A4,E4,C#4,r,r,A2
29.0,22.8947,8,2.0,G4,C#5,A4,E4,r,r,r
29.25,23.0921,8,2.25,E5,C#5,A4,E4,r,r,r
29.5,23.2895,8,2.5,C#5,E5,C#5,G4,r,r,r
29.75,23.4868,8,2.75,A4,E5,C#5,G4,r,r,r
30.0,23.6842,8,3.0,G4,E5,C#5,D4,r,r,r
30.5,24.0789,8,3.5,G4,D5,A4,F#4,r,r,A2
31.0,24.4737,8,4.0,F#4,r,r,r,r,r,D3
31.25,24.6711,8,4.25,A4,r,r,r,r,r,D3
31.5,24.8684,8,4.5,D5,r,r,r,r,r,F#3
31.75,25.0658,8,4.75,B4,r,r,r,r,r,F#3
32.0,25.2632,9,1.0,G#4,D5,F4,B4,r,r,A3
32.5,25.6579,9,1.5,G#4,C#5,E4,A4,r,r,A2
33.0,26.0526,9,2.0,A4,r,r,r,r,r,r
33.25,26.25,9,2.25,C#5,r,r,r,r,r,r
33.5,26.4474,9,2.5,F#5,r,r,r,r,r,r
33.75,26.6447,9,2.75,D5,r,r,r,r,r,r
34.0,26.8421,9,3.0,G#4,F5,D5,G#4,r,r,r
34.5,27.2368,9,3.5,G#4,E5,C#5,A4,r,r,A2
35.0,27.6316,9,4.0,A4,r,r,r,r,r,C#3
35.25,27.8289,9,4.25,E5,r,r,r,r,r,C#3
35.5,28.0263,9,4.5,A5,r,r,r,r,r,E3
35.75,28.2237,9,4.75,F#5,r,r,r,r,r,E3
36.0,28.4211,10,1.0,F#5,A5,D5,F#4,r,r,A3
36.5,28.8158,10,1.5,F#5,G5,C#5,E4,r,r,A2
37.0,29.2105,10,2.0,G5,r,r,r,r,r,r
37.25,29.4079,10,2.25,A4,r,r,r,r,r,r
37.5,29.6053,10,2.5,C#5,E4,r,r,r,r,r
37.75,29.8026,10,2.75,B4,E4,r,r,r,r,r
38.0,30.0,10,3.0,D5,F#4,r,r,r,r,r
38.25,30.1974,10,3.25,C#5,F#4,r,r,r,r,r
38.5,30.3947,10,3.5,E5,G4,r,r,r,r,r
38.75,30.5921,10,3.75,D5,G4,r,r,r,r,r
39.0,30.7895,10,4.0,F#5,A4,r,r,r,r,r
39.25,30.9868,10,4.25,E5,A4,r,r,r,r,r
39.5,31.1842,10,4.5,G5,B4,r,r,r,r,r
39.75,31.3816,10,4.75,E5,B4,r,r,r,r,r
