qstamp,tstamp,measure,beat,Traverso 1,Violin 1,Violin 2,Viola,Soprano 1 solo,Tenor solo,Continuo
116.75,92.1711,30,1.75,A4,r,r,r,B4,D4,A2
117.0,92.3684,30,2.0,G4,r,r,r,B4,D4,B2
117.5,92.7632,30,2.5,r,r,r,r,A4,C4,C3
118.0,93.1579,30,3.0,D6,r,r,r,G4,B3,D3
118.5,93.5526,30,3.5,D6,r,r,r,G4,B3,D2
119.0,93.9474,30,4.0,D6,r,r,r,F#4,A3,F#2
119.5,94.3421,30,4.5,C#6,r,r,r,F#4,A3,A2
119.75,94.5395,30,4.75,B5,r,r,r,F#4,A3,A2
120.0,94.7368,31,1.0,A5,r,r,r,D5,r,D3
120.5,95.1316,31,1.5,A5,r,r,r,C#5,r,E3
120.75,95.3289,31,1.75,A5,r,r,r,B4,r,E3
121.0,95.5263,31,2.0,A5,D5,D5,D5,A4,r,F#3
121.5,95.9211,31,2.5,A4,C#5,C#5,C#5,A4,r,G3
121.75,96.1184,31,2.75,A4,B4,B4,B4,A4,r,G3
122.0,96.3158,31,3.0,D5,A4,A4,A4,A4,r,F#3
122.25,96.5132,31,3.25,E5,A4,A4,A4,A4,r,F#3
122.5,96.7105,31,3.5,C#5,A4,A4,A4,G4,r,D4
122.75,96.9079,31,3.75,D5,A4,A4,A4,G4,r,D4
123.0,97.1053,31,4.0,E5,A4,A4,A4,G4,r,E3
123.25,97.3026,31,4.25,F#5,A4,A4,A4,G4,r,E3
123.5,97.5,31,4.5,D5,A4,A4,A4,F#4,r,C#4
123.75,97.6974,31,4.75,E5,A4,A4,A4,F#4,r,C#4
124.0,97.8947,32,1.0,F#5,A4,A4,A4,F#4,D4,D3
124.5,98.2895,32,1.5,E5,A4,A4,A4,G4,C#4,E3
124.75,98.4868,32,1.75,E5,A4,A4,A4,G4,B3,E3
125.0,98.6842,32,2.0,D5,D4,D4,D4,A4,A3,F#3
125.5,99.0789,32,2.5,E5,C#4,C#4,C#4,C#4,A3,G3
125.75,99.2763,32,2.75,E5,B3,B3,B3,C#4,A3,G3
126.0,99.4737,32,3.0,F#5,A3,A3,A3,D4,A3,F#3
126.25,99.6711,32,3.25,G5,A3,A3,A3,E4,A3,F#3
126.5,99.8684,32,3.5,E5,A3,A3,A3,C#4,G3,D4
126.75,100.0658,32,3.75,F#5,A3,A3,A3,D4,G3,D4
127.0,100.2632,32,4.0,G5,A3,A3,A3,E4,G3,E3
127.25,100.4605,32,4.25,A5,A3,A3,A3,F#4,G3,E3
127.5,100.6579,32,4.5,F#5,A3,A3,A3,D4,F#3,C#4
127.75,100.8553,32,4.75,G5,A3,A3,A3,E4,F#3,C#4
128.0,101.0526,33,1.0,A5,A3,A3,A3,F#4,F#3,D3
128.5,101.4474,33,1.5,B5,r,r,r,F#4,E3,D4
128.75,101.6447,33,1.75,C6,r,r,r,F#4,E3,D4
129.0,101.8421,33,2.0,D6,r,r,r,F#4,D3,C3
129.25,102.0395,33,2.25,D6,r,r,r,G4,E3,C3
129.5,102.2368,33,2.5,D6,r,r,r,E4,C3,A3
129.75,102.4342,33,2.75,D6,r,r,r,F#4,D3,A3
130.0,102.6316,33,3.0,D6,r,r,r,G4,E3,B2
130.25,102.8289,33,3.25,C6,r,r,r,A4,F#3,B2
130.5,103.0263,33,3.5,E6,r,r,r,F#4,D3,G3
130.75,103.2237,33,3.75,D6,r,r,r,G4,E3,G3
131.0,103.4211,33,4.0,C6,r,r,r,A4,F#3,A2
131.25,103.6184,33,4.25,B5,r,r,r,B4,G3,A2
131.5,103.8158,33,4.5,D6,D5,r,r,G4,E3,F#3
131.75,104.0132,33,4.75,C6,D5,r,r,A4,F#3,F#3
132.0,104.2105,34,1.0,B5,D5,r,r,B4,G3,G2
132.25,104.4079,34,1.25,A5,C5,r,r,C5,A3,G2
132.5,104.6053,34,1.5,C6,E5,r,r,A4,F#3,E3
132.75,104.8026,34,1.75,B5,D5,r,r,B4,G3,E3
133.0,105.0,34,2.0,A5,C5,r,r,C5,A3,F#2
133.25,105.1974,34,2.25,G5,B4,r,r,C5,A3,F#2
133.5,105.3947,34,2.5,B5,D5,r,r,A4,F#3,D3
133.75,105.5921,34,2.75,A5,C5,r,r,A4,F#3,D3
134.0,105.7895,34,3.0,G5,B4,G4,G4,B4,G3,G3
134.25,105.9868,34,3.25,G5,B4,G4,G4,C5,A3,G3
134.5,106.1842,34,3.5,G5,r,F#4,F#4,D5,B3,D3
134.75,106.3816,34,3.75,G5,r,E4,E4,D5,B3,D3
135.0,106.5789,34,4.0,G5,r,D4,D4,D5,B3,B2
135.5,106.9737,34,4.5,F#5,r,D4,D4,D5,B3,D3
135.75,107.1711,34,4.75,E5,r,D4,D4,D5,B3,D3
136.0,107.3684,35,1.0,D5,r,D4,D4,r,G4,G2
136.5,107.7632,35,1.5,D5,r,D4,D4,r,F#4,A2
136.75,107.9605,35,1.75,D5,r,D4,D4,r,E4,A2
137.0,108.1579,35,2.0,D5,G5,G5,D4,r,D4,B2
137.5,108.5526,35,2.5,D4,F#5,F#5,D4,r,D4,C3
137.75,108.75,35,2.75,D4,E5,E5,D4,r,D4,C3
138.0,108.9474,35,3.0,G4,D5,D5,D4,r,D4,B2
138.25,109.1447,35,3.25,A4,D5,D5,D4,r,D4,B2
138.5,109.3421,35,3.5,F#4,D5,D5,D4,r,C4,G3
138.75,109.5395,35,3.75,G4,D5,D5,D4,r,C4,G3
139.0,109.7368,35,4.0,A4,D5,D5,D4,r,C4,A2
139.25,109.9342,35,4.25,B4,D5,D5,D4,r,C4,A2
139.5,110.1316,35,4.5,G4,D5,D5,D4,r,B3,F#3
139.75,110.3289,35,4.75,A4,D5,D5,D4,r,B3,F#3
140.0,110.5263,36,1.0,B4,D5,D5,D4,G5,B3,G2
140.5,110.9211,36,1.5,A4,D5,D5,D4,F#5,C4,A2
140.75,111.1184,36,1.75,A4,D5,D5,D4,E5,C4,A2
141.0,111.3158,36,2.0,G4,G4,G4,G4,D5,D4,B2
141.5,111.7105,36,2.5,A4,F#4,F#4,F#4,D5,F#3,C3
141.75,111.9079,36,2.75,A4,E4,E4,E4,D5,F#3,C3
142.0,112.1053,36,3.0,B4,D4,D4,D4,D5,G3,B2
142.25,112.3026,36,3.25,C5,D4,D4,D4,D5,A3,B2
142.5,112.5,36,3.5,A4,D4,D4,D4,C5,F#3,G3
142.75,112.6974,36,3.75,B4,D4,D4,D4,C5,G3,G3
143.0,112.8947,36,4.0,C5,D4,D4,D4,C5,A3,A2
143.25,113.0921,36,4.25,D5,D4,D4,D4,C5,B3,A2
143.5,113.2895,36,4.5,B4,D4,D4,D4,B4,G3,F#3
143.75,113.4868,36,4.75,C5,D4,D4,D4,B4,A3,F#3
144.0,113.6842,37,1.0,D5,D4,D4,D4,B4,B3,G2
144.5,114.0789,37,1.5,E5,r,r,r,A4,B3,G3
144.75,114.2763,37,1.75,F#5,r,r,r,A4,B3,G3
145.0,114.4737,37,2.0,G5,r,r,r,G4,B3,F2
145.25,114.6711,37,2.25,G5,r,r,r,A4,C4,F2
145.5,114.8684,37,2.5,G5,r,r,r,F#4,A3,D3
145.75,115.0658,37,2.75,G5,r,r,r,G4,B3,D3
146.0,115.2632,37,3.0,G5,r,r,r,A4,C4,E2
146.25,115.4605,37,3.25,F5,r,r,r,B4,D4,E2
146.5,115.6579,37,3.5,A5,r,r,r,G4,B3,C3
146.75,115.8553,37,3.75,G5,r,r,r,A4,C4,C3
147.0,116.0526,37,4.0,F5,r,r,r,B4,D4,D2
147.25,116.25,37,4.25,E5,r,r,r,C5,E4,D2
147.5,116.4474,37,4.5,G5,G4,r,r,A4,C4,B2
147.75,116.6447,37,4.75,F5,G4,r,r,B4,D4,B2
148.0,116.8421,38,1.0,E5,G4,r,r,C5,E4,C3
148.25,117.0395,38,1.25,D5,F4,r,r,D5,F4,C3
148.5,117.2368,38,1.5,F5,A4,r,r,B4,D4,A3
148.75,117.4342,38,1.75,E5,G4,r,r,C5,E4,A3
149.0,117.6316,38,2.0,D5,F4,r,r,D5,F4,B2
149.25,117.8289,38,2.25,C5,E4,r,r,D5,F4,B2
149.5,118.0263,38,2.5,E5,G4,r,r,B4,D4,G3
149.75,118.2237,38,2.75,D5,F4,r,r,B4,D4,G3
150.0,118.4211,38,3.0,C5,E4,C4,C4,C5,E4,C4
150.25,118.6184,38,3.25,C5,E4,C4,C4,D5,F4,C4
150.5,118.8158,38,3.5,C5,r,B3,B3,E5,G4,G3
150.75,119.0132,38,3.75,C5,r,A3,A3,E5,G4,G3
151.0,119.2105,38,4.0,C5,r,G3,G3,E5,G4,E3
151.5,119.6053,38,4.5,B4,r,G3,G3,E5,G4,G3
151.75,119.8026,38,4.75,A4,r,G3,G3,E5,G4,G3
152.0,120.0,39,1.0,G4,r,G3,G3,E5,C4,C4
152.5,120.3947,39,1.5,r,r,r,r,D5,B3,r
153.0,120.7895,39,2.0,r,r,r,r,D5,B3,C3
153.5,121.1842,39,2.5,r,r,r,r,C5,A3,r
154.0,121.5789,39,3.0,r,D4,D4,D4,B4,G3,D3
154.5,121.9737,39,3.5,r,C4,C4,C4,A4,F#3,r
154.75,122.1711,39,3.75,r,B3,B3,B3,A4,F#3,r
155.0,122.3684,39,4.0,r,A3,A3,A3,A4,F#3,C3
155.5,122.7632,39,4.5,r,r,r,r,B4,G3,r
155.75,122.9605,39,4.75,r,r,r,r,C5,A3,r
156.0,123.1579,40,1.0,G5,r,r,r,D5,B3,B2
156.5,123.5526,40,1.5,F#5,r,r,r,C5,A3,r
156.75,123.75,40,1.75,E5,r,r,r,C5,A3,r
157.0,123.9474,40,2.0,D5,r,r,r,C5,A3,B3
157.5,124.3421,40,2.5,r,r,r,r,B4,G3,r
158.0,124.7368,40,3.0,r,r,r,r,A4,F#3,C4
158.5,125.1316,40,3.5,r,r,r,r,G4,E3,C3
158.75,125.3289,40,3.75,r,r,r,r,G4,E3,B2
159.0,125.5263,40,4.0,r,r,r,r,C5,r,A2
159.5,125.9211,40,4.5,r,r,r,r,C5,r,G2
160.0,126.3158,41,1.0,r,r,r,r,C5,D4,F#2
160.25,126.5132,41,1.25,r,r,r,r,B4,D4,F#2
160.5,126.7105,41,1.5,r,r,r,r,D5,D4,D3
160.75,126.9079,41,1.75,r,r,r,r,C5,D4,D3
161.0,127.1053,41,2.0,r,r,r,r,B4,D4,G2
161.25,127.3026,41,2.25,r,r,r,r,B4,C4,G2
161.5,127.5,41,2.5,r,r,r,r,B4,E4,E3
161.75,127.6974,41,2.75,r,r,r,r,B4,D4,E3
162.0,127.8947,41,3.0,r,r,r,r,B4,C4,E2
162.25,128.0921,41,3.25,r,r,r,r,A4,C4,E2
162.5,128.2895,41,3.5,r,r,r,r,C5,C4,C3
162.75,128.4868,41,3.75,r,r,r,r,B4,C4,C3
163.0,128.6842,41,4.0,r,r,r,r,A4,C4,F#2
163.25,128.8816,41,4.25,r,r,r,r,A4,B3,F#2
163.5,129.0789,41,4.5,r,r,r,r,A4,D4,D3
163.75,129.2763,41,4.75,r,r,r,r,A4,C4,D3
164.0,129.4737,42,1.0,r,r,r,r,A4,B3,G2
164.25,129.6711,42,1.25,r,r,r,r,G4,B3,G2
164.5,129.8684,42,1.5,r,r,r,r,B4,B3,G3
164.75,130.0658,42,1.75,r,r,r,r,A4,B3,G3
165.0,130.2632,42,2.0,r,r,r,r,G4,B3,E3
165.25,130.4605,42,2.25,r,r,r,r,F#4,A3,E3
165.5,130.6579,42,2.5,r,r,r,r,A4,C4,C3
166.0,131.0526,42,3.0,r,D5,D5,D5,G4,A3,D3
166.25,131.25,42,3.25,r,C5,C5,C5,G4,A3,D3
166.5,131.4474,42,3.5,r,B4,B4,B4,F#4,D3,F#3
166.75,131.6447,42,3.75,r,A4,A4,A4,F#4,D3,F#3
167.0,131.8421,42,4.0,r,G4,G4,G4,r,D4,B2
167.25,132.0395,42,4.25,r,F#4,F#4,F#4,r,D4,B2
167.5,132.2368,42,4.5,r,E4,E4,E4,r,D4,G3
167.75,132.4342,42,4.75,r,D4,D4,D4,r,D4,G3
168.0,132.6316,43,1.0,r,E4,E4,E4,E5,D4,C3
168.25,132.8289,43,1.25,r,E4,E4,E4,E5,C4,C3
168.5,133.0263,43,1.5,r,r,r,r,E5,E4,G3
168.75,133.2237,43,1.75,r,r,r,r,E5,D4,G3
169.0,133.4211,43,2.0,r,r,r,r,E5,C4,A2
169.25,133.6184,43,2.25,r,r,r,r,D5,C4,A2
169.5,133.8158,43,2.5,r,r,r,r,F#5,C4,F#3
169.75,134.0132,43,2.75,r,r,r,r,E5,C4,F#3
170.0,134.2105,43,3.0,r,r,r,r,D5,C4,B2
170.25,134.4079,43,3.25,r,r,r,r,D5,B3,B2
170.5,134.6053,43,3.5,r,r,r,r,D5,D4,F#3
170.75,134.8026,43,3.75,r,r,r,r,D5,C4,F#3
171.0,135.0,43,4.0,r,r,r,r,D5,B3,G2
171.25,135.1974,43,4.25,r,r,r,r,C5,B3,G2
171.5,135.3947,43,4.5,r,r,r,r,E5,B3,E3
171.75,135.5921,43,4.75,r,r,r,r,D5,B3,E3
172.0,135.7895,44,1.0,r,r,r,r,C5,B3,A2
172.25,135.9868,44,1.25,r,r,r,r,C5,A3,A2
172.5,136.1842,44,1.5,r,r,r,r,C5,C4,E3
172.75,136.3816,44,1.75,r,r,r,r,C5,B3,E3
173.0,136.5789,44,2.0,r,r,r,r,C5,A3,F#2
173.25,136.7763,44,2.25,r,r,r,r,B4,G3,F#2
173.5,136.9737,44,2.5,r,r,r,r,D5,B3,D3
174.0,137.3684,44,3.0,r,r,r,r,B4,G3,G2
174.5,137.7632,44,3.5,r,r,r,r,A4,F#3,r
175.0,138.1579,44,4.0,r,r,r,r,A4,F#3,C3
175.5,138.5526,44,4.5,r,r,r,r,G4,E3,r
176.0,138.9474,45,1.0,r,r,r,r,C5,A3,A2
176.5,139.3421,45,1.5,r,r,r,r,B4,G3,r
177.0,139.7368,45,2.0,r,r,r,r,B4,G3,D3
177.5,140.1316,45,2.5,r,r,r,r,A4,F#3,r
178.0,140.5263,45,3.0,r,r,r,r,D5,B3,B2
178.5,140.9211,45,3.5,r,r,r,r,C5,A3,E3
178.75,141.1184,45,3.75,r,r,r,r,B4,G3,E3
179.0,141.3158,45,4.0,r,r,r,r,C5,A3,C3
179.5,141.7105,45,4.5,r,r,r,r,A4,F#3,D3
180.0,142.1053,46,1.0,r,r,r,r,B4,G3,B2
180.5,142.5,46,1.5,r,r,r,r,C5,A3,G2
180.75,142.6974,46,1.75,r,r,r,r,D5,B3,G2
181.0,142.8947,46,2.0,r,r,r,r,B4,D3,D3
181.5,143.2895,46,2.5,r,r,r,r,A4,F#3,D2
181.75,143.4868,46,2.75,r,r,r,r,G4,F#3,D2
182.0,143.6842,46,3.0,r,r,r,r,G4,G3,G2
182.5,144.0789,46,3.5,r,r,r,r,D5,B3,r
183.0,144.4737,46,4.0,r,r,r,r,C5,A3,C3
183.5,144.8684,46,4.5,r,r,r,r,B4,G3,r
184.0,145.2632,47,1.0,r,r,r,r,B4,G3,D3
184.5,145.6579,47,1.5,r,r,r,r,A4,F#3,D2
185.0,146.0526,47,2.0,G5,G5,B4,D4,r,r,r
185.25,146.25,47,2.25,F#5,G5,B4,D4,r,r,r
185.5,146.4474,47,2.5,A5,F#5,r,r,r,r,r
185.75,146.6447,47,2.75,G5,F#5,r,r,r,r,r
186.0,146.8421,47,3.0,F#5,F#5,A4,D4,r,r,r
186.25,147.0395,47,3.25,E5,F#5,A4,D4,r,r,r
186.5,147.2368,47,3.5,G5,E5,r,r,r,r,r
186.75,147.4342,47,3.75,F#5,E5,r,r,r,r,r
187.0,147.6316,47,4.0,E5,E5,G4,D4,r,r,r
187.25,147.8289,47,4.25,D5,E5,G4,D4,r,r,r
187.5,148.0263,47,4.5,F#5,D5,r,r,r,r,r
187.75,148.2237,47,4.75,E5,D5,r,r,r,r,r
188.0,148.4211,48,1.0,E5,A5,F#4,D4,r,r,D3
188.5,148.8158,48,1.5,E5,r,r,r,B4,G4,D2
189.0,149.2105,48,2.0,D5,D5,D4,B3,A4,F#4,r
189.25,149.4079,48,2.25,C5,D5,D4,B3,A4,F#4,r
189.5,149.6053,48,2.5,E5,C5,r,r,G4,E4,r
189.75,149.8026,48,2.75,D5,C5,r,r,G4,E4,r
190.0,150.0,48,3.0,C5,C5,A4,A3,G4,E4,r
190.25,150.1974,48,3.25,B4,C5,A4,A3,G4,E4,r
190.5,150.3947,48,3.5,D5,B4,r,r,F#4,D4,r
190.75,150.5921,48,3.75,C5,B4,r,r,F#4,D4,r
191.0,150.7895,48,4.0,B4,B4,D4,G3,r,r,r
191.25,150.9868,48,4.25,A4,B4,D4,G3,r,r,r
191.5,151.1842,48,4.5,C5,A4,r,r,r,r,r
191.75,151.3816,48,4.75,B4,A4,r,r,r,r,r
192.0,151.5789,49,1.0,B4,D5,F#4,D3,r,r,D3
192.5,151.9737,49,1.5,B4,D4,A3,F#3,r,r,D2
193.0,152.3684,49,2.0,A4,F#4,D4,A3,r,r,r
193.25,152.5658,49,2.25,A5,F#4,D4,A3,r,r,r
193.5,152.7632,49,2.5,F#5,A4,F#4,C4,r,r,r
193.75,152.9605,49,2.75,D5,A4,F#4,C4,r,r,r
194.0,153.1579,49,3.0,D5,A4,F#4,C4,D5,r,r
194.5,153.5526,49,3.5,D5,D4,A3,F#3,C5,r,r
194.75,153.75,49,3.75,D5,D4,A3,F#3,B4,r,r
195.0,153.9474,49,4.0,C5,F#4,D4,A3,A4,D4,r
195.25,154.1447,49,4.25,A5,F#4,D4,A3,A4,D4,r
195.5,154.3421,49,4.5,F#5,A4,F#4,C4,A4,C4,r
195.75,154.5395,49,4.75,D5,A4,F#4,C4,A4,B3,r
196.0,154.7368,50,1.0,C5,A4,F#4,C4,A4,A3,D3
196.25,154.9342,50,1.25,A5,A4,F#4,C4,A4,A3,D3
196.5,155.1316,50,1.5,F#5,D4,A3,F#3,C5,A3,D2
196.75,155.3289,50,1.75,D5,D4,A3,F#3,B4,G3,D2
197.0,155.5263,50,2.0,C5,F#4,D4,A3,C5,A3,r
197.25,155.7237,50,2.25,A5,F#4,D4,A3,C5,A3,r
197.5,155.9211,50,2.5,F#5,A4,F#4,D4,C5,A3,r
197.75,156.1184,50,2.75,D5,A4,F#4,D4,C5,A3,r
198.0,156.3158,50,3.0,C5,A4,D4,G3,C5,A3,r
198.25,156.5132,50,3.25,C5,A4,D4,G3,C5,F#3,r
198.5,156.7105,50,3.5,C5,D4,G4,B3,B4,G3,D2
199.0,157.1053,50,4.0,B4,r,r,r,r,G4,G2
199.25,157.3026,50,4.25,D5,r,r,r,r,G4,G2
199.5,157.5,50,4.5,G5,r,r,r,r,G4,B2
199.75,157.6974,50,4.75,E5,r,r,r,r,G4,B2
200.0,157.8947,51,1.0,C#5,G4,B-3,E4,r,G4,D3
200.5,158.2895,51,1.5,C#5,F#4,A3,D4,r,F#4,D2
201.0,158.6842,51,2.0,D5,r,r,r,G4,F#4,r
201.25,158.8816,51,2.25,F#5,r,r,r,G4,F#4,r
201.5,159.0789,51,2.5,B5,r,r,r,G4,E4,r
201.75,159.2763,51,2.75,G5,r,r,r,G4,E4,r
202.0,159.4737,51,3.0,C#5,B-4,G4,C#4,G4,E4,r
202.5,159.8684,51,3.5,C#5,A4,F#4,F#4,F#4,A3,D2
203.0,160.2632,51,4.0,D5,r,r,r,F#4,A3,F#2
203.25,160.4605,51,4.25,A5,r,r,r,F#4,A3,F#2
203.5,160.6579,51,4.5,D6,r,r,r,E4,A3,A2
203.75,160.8553,51,4.75,B5,r,r,r,E4,A3,A2
204.0,161.0526,52,1.0,B5,D5,G4,B3,D4,G4,D3
204.5,161.4474,52,1.5,B5,C5,F#4,A3,D4,F#4,D2
205.0,161.8421,52,2.0,C6,r,r,r,D4,A4,r
205.25,162.0395,52,2.25,D5,r,r,r,D4,A4,r
205.5,162.2368,52,2.5,F#5,r,r,r,D4,C4,r
205.75,162.4342,52,2.75,E5,r,r,r,D4,C4,r
206.0,162.6316,52,3.0,G5,r,r,r,D5,B3,r
206.25,162.8289,52,3.25,F#5,r,r,r,B4,B3,r
206.5,163.0263,52,3.5,A5,r,r,r,G4,C4,r
206.75,163.2237,52,3.75,G5,r,r,r,G4,C4,r
207.0,163.4211,52,4.0,B5,r,r,r,r,D4,r
207.25,163.6184,52,4.25,A5,r,r,r,r,D4,r
207.5,163.8158,52,4.5,C6,r,r,r,r,E4,r
207.75,164.0132,52,4.75,A5,r,r,r,r,E4,r
208.0,164.2105,53,1.0,A5,r,r,r,r,G3,D3
208.25,164.4079,53,1.25,A5,r,r,r,r,E3,D3
208.5,164.6053,53,1.5,A5,r,r,r,r,F#3,D2
209.0,165.0,53,2.0,B-5,r,r,r,G5,r,r
209.25,165.1974,53,2.25,C5,r,r,r,G5,r,r
209.5,165.3947,53,2.5,E-5,r,r,r,G4,C4,r
209.75,165.5921,53,2.75,D5,r,r,r,G4,C4,r
210.0,165.7895,53,3.0,F#5,r,r,r,A4,C4,r
210.25,165.9868,53,3.25,E5,r,r,r,A4,C4,r
210.5,166.1842,53,3.5,G5,r,r,r,B-4,D4,r
210.75,166.3816,53,3.75,F#5,r,r,r,B-4,D4,r
211.0,166.5789,53,4.0,A5,r,r,r,C5,E-4,r
211.25,166.7763,53,4.25,G5,r,r,r,C5,E-4,r
211.5,166.9737,53,4.5,B-5,r,r,r,E4,C4,r
211.75,167.1711,53,4.75,A5,r,r,r,F#4,C4,r
212.0,167.3684,54,1.0,C#6,r,r,r,G4,B-3,r
212.25,167.5658,54,1.25,C#6,r,r,r,E4,B-3,r
212.5,167.7632,54,1.5,C#6,r,r,r,F#4,A3,D4
213.0,168.1579,54,2.0,D6,r,r,r,r,r,A3
213.25,168.3553,54,2.25,D4,r,r,r,r,r,A3
213.5,168.5526,54,2.5,F#4,r,r,r,r,r,D4
213.75,168.75,54,2.75,A4,r,r,r,r,r,D4
214.0,168.9474,54,3.0,D5,r,r,r,D5,r,F#3
214.25,169.1447,54,3.25,A4,r,r,r,D5,r,F#3
214.5,169.3421,54,3.5,F#4,r,r,r,C5,r,A3
214.75,169.5395,54,3.75,D4,r,r,r,C5,r,A3
215.0,169.7368,54,4.0,F#4,r,r,r,C5,r,D3
215.25,169.9342,54,4.25,A4,r,r,r,C5,r,D3
215.5,170.1316,54,4.5,D5,r,r,r,B4,r,F#3
215.75,170.3289,54,4.75,A4,r,r,r,B4,r,F#3
216.0,170.5263,55,1.0,G5,r,r,r,B4,D4,C3
216.5,170.9211,55,1.5,G5,r,r,r,A4,C4,D4
217.0,171.3158,55,2.0,F#5,r,r,r,r,C4,A3
217.25,171.5132,55,2.25,D5,r,r,r,r,C4,A3
217.5,171.7105,55,2.5,F#5,r,r,r,r,B3,C4
217.75,171.9079,55,2.75,A5,r,r,r,r,B3,C4
218.0,172.1053,55,3.0,D6,r,r,r,r,B3,F#3
218.25,172.3026,55,3.25,A5,r,r,r,r,B3,F#3
218.5,172.5,55,3.5,F#5,r,r,r,C5,A3,A3
218.75,172.6974,55,3.75,D5,r,r,r,C5,A3,A3
219.0,172.8947,55,4.0,F#5,r,r,r,B4,r,D3
219.25,173.0921,55,4.25,A5,r,r,r,B4,r,D3
219.5,173.2895,55,4.5,D6,r,r,r,A4,r,F#3
219.75,173.4868,55,4.75,A5,r,r,r,A4,r,F#3
220.0,173.6842,56,1.0,F#6,r,r,r,D5,r,B2
220.5,174.0789,56,1.5,F#6,r,r,r,B4,D3,D4
221.0,174.4737,56,2.0,G6,r,r,r,G4,D4,B3
221.25,174.6711,56,2.25,G5,r,r,r,G4,D4,B3
221.5,174.8684,56,2.5,B5,r,r,r,G4,C4,D4
221.75,175.0658,56,2.75,D6,r,r,r,G4,C4,D4
222.0,175.2632,56,3.0,F5,r,r,r,r,B3,G3
222.5,175.6579,56,3.5,F5,r,r,r,r,B3,B3
222.75,175.8553,56,3.75,F5,r,r,r,r,C4,B3
222.875,175.9539,56,3.875,F5,r,r,r,r,D4,B3
223.0,176.0526,56,4.0,E5,r,r,r,r,G3,E3
223.25,176.25,56,4.25,G5,r,r,r,r,G3,E3
223.5,176.4474,56,4.5,B5,r,r,r,r,r,G3
223.75,176.6447,56,4.75,D6,r,r,r,r,r,G3
224.0,176.8421,57,1.0,D6,r,r,r,r,r,A2
224.5,177.2368,57,1.5,D6,r,r,r,r,r,C4
225.0,177.6316,57,2.0,C6,r,r,r,C5,A3,A3
225.25,177.8289,57,2.25,E5,r,r,r,C5,A3,A3
225.5,178.0263,57,2.5,A5,r,r,r,C5,A3,C4
225.75,178.2237,57,2.75,C6,r,r,r,C5,A3,C4
226.0,178.4211,57,3.0,E5,r,r,r,C5,A3,F#3
226.5,178.8158,57,3.5,E5,r,r,r,A4,F#3,A3
227.0,179.2105,57,4.0,D5,r,r,r,A4,F#3,D3
227.25,179.4079,57,4.25,F#5,r,r,r,A4,F#3,D3
227.5,179.6053,57,4.5,A5,r,r,r,D5,G3,F#3
227.75,179.8026,57,4.75,C6,r,r,r,D5,A3,F#3
228.0,180.0,58,1.0,B5,r,r,r,D5,B3,G2
228.5,180.3947,58,1.5,r,r,r,r,C5,A3,B2
228.75,180.5921,58,1.75,r,r,r,r,B4,G3,B2
229.0,180.7895,58,2.0,r,r,r,r,C5,A3,D3
229.5,181.1842,58,2.5,r,r,r,r,A4,F#3,D2
230.0,181.5789,58,3.0,r,r,r,r,G4,G3,E2
230.25,181.7763,58,3.25,r,r,r,r,G4,G3,D2
230.5,181.9737,58,3.5,r,r,r,r,C5,G3,F#2
230.75,182.1711,58,3.75,r,r,r,r,C5,G3,E2
231.0,182.3684,58,4.0,r,r,r,r,B4,r,G2
231.25,182.5658,58,4.25,r,r,r,r,B4,r,F#2
231.5,182.7632,58,4.5,r,r,r,r,A4,C4,A2
231.75,182.9605,58,4.75,r,r,r,r,A4,C4,G2
232.0,183.1579,59,1.0,r,r,r,r,D5,B3,B2
232.5,183.5526,59,1.5,r,r,r,r,D4,A3,r
233.0,183.9474,59,2.0,r,r,r,r,E4,G3,C3
233.5,184.3421,59,2.5,r,r,r,r,A4,C4,r
233.75,184.5395,59,2.75,r,r,r,r,A4,A3,r
234.0,184.7368,59,3.0,r,r,r,r,F#4,B3,D3
235.0,185.5263,59,4.0,r,r,r,r,F#4,A3,D2
235.25,185.7237,59,4.25,r,r,r,r,F#4,G3,D2
235.5,185.9211,59,4.5,r,r,r,r,G4,A3,r
236.0,186.3158,60,1.0,G5,r,r,r,G4,G3,G2
236.5,186.7105,60,1.5,F#5,r,r,r,G4,G3,A2
236.75,186.9079,60,1.75,E5,r,r,r,G4,G3,A2
237.0,187.1053,60,2.0,D5,r,r,r,r,r,B2
237.5,187.5,60,2.5,D5,r,r,r,r,r,C3
238.0,187.8947,60,3.0,D5,r,r,r,r,r,B2
238.25,188.0921,60,3.25,C5,r,r,r,r,r,B2
238.5,188.2895,60,3.5,E5,r,r,r,r,r,G3
238.75,188.4868,60,3.75,D5,r,r,r,r,r,G3
239.0,188.6842,60,4.0,C5,r,r,r,r,r,A2
239.25,188.8816,60,4.25,B4,r,r,r,r,r,A2
239.5,189.0789,60,4.5,D5,r,r,r,r,r,F#3
239.75,189.2763,60,4.75,C5,r,r,r,r,r,F#3
240.0,189.4737,61,1.0,C5,G5,D5,D4,r,r,G2
240.5,189.8684,61,1.5,C5,F#5,D5,C4,r,r,A2
240.75,190.0658,61,1.75,C5,E5,D5,C4,r,r,A2
241.0,190.2632,61,2.0,B4,D5,D5,D4,r,r,B2
241.25,190.4605,61,2.25,B4,D5,C5,D4,r,r,B2
241.5,190.6579,61,2.5,B4,D5,B4,E4,r,r,C3
241.75,190.8553,61,2.75,B4,D5,A4,F#4,r,r,C3
