qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
249.5,250.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 2),Main Part,U(Traverso 1)&U(Violin 1)&U(Soprano 2),U(Main)&U(Violin 2)&U(Soprano 1),P4(Alto)&U(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 2),U(Main)&U(Oboe d’amore 2)&U(Soprano 1),,U(Main)&U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),P4(Bassoon)&P4(Bass)&P4(Continuo),,U(Bassoon)&P4(Alto)&P8(Continuo),P8(Bassoon)&P4(Alto)&P8(Bass)
250.5,251.5,Main Part,U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Main)&U(Violin 1)&U(Soprano 2),U(Traverso 2)&U(Violin 2)&U(Soprano 1),P5(Viola)&U(Bass)&P8(Continuo),U(Main)&U(Oboe d’amore 1)&U(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),P5(Bassoon)&P5(Bass)&P5(Continuo),U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),U(Main)&U(Oboe d’amore 1)&U(Violin 1),,,U(Bassoon)&P5(Viola)&P8(Continuo),P8(Bassoon)&P5(Viola)&P8(Bass)
251.5,252.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 2),Main Part,U(Traverso 1)&U(Violin 1)&U(Soprano 2),U(Main)&U(Violin 2)&U(Soprano 1),U(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 2),U(Main)&U(Oboe d’amore 2)&U(Soprano 1),,U(Main)&U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
252.5,256.5,U(Oboe d’amore 1)&U(Violin 1)&P8(Soprano 2),,U(Traverso 1)&U(Violin 1)&P8(Soprano 2),U(Violin 2)&U(Main),P8(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&P8(Soprano 2),U(Oboe d’amore 2)&U(Main),,Main Part,P8(Traverso 1)&P8(Oboe d’amore 1)&P8(Violin 1),,,P8(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
256.5,264.5,U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2)&U(Soprano 1),U(Main)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),,,,Main Part,P8(Bassoon)&P8(Main)
264.5,266.5,U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2)&U(Main),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2)&U(Main),U(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Main),,Main Part,,,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
266.5,268.5,U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Traverso 1)&U(Violin 1)&U(Main),U(Traverso 2)&U(Violin 2)&U(Soprano 1),U(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),Main Part,,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
268.5,270.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 2),U(Oboe d’amore 2)&U(Violin 2)&U(Main),U(Traverso 1)&U(Violin 1)&U(Soprano 2),U(Traverso 2)&U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2)&U(Main),,Main Part,U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
270.5,272.5,U(Oboe d’amore 1)&U(Violin 1)&U(Main),,U(Traverso 1)&U(Violin 1)&U(Main),U(Violin 2)&U(Soprano 1),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Soprano 1),,U(Oboe d’amore 2)&U(Violin 2),Main Part,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
272.5,274.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 2),,U(Traverso 1)&U(Violin 1)&U(Soprano 2),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 2),U(Oboe d’amore 2)&U(Main),,Main Part,U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
