qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
452.5,456.5,U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2),,P4(Tenor),,Main Part,P4(Soprano 1),,U(Bassoon)
456.5,458.5,Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Bass)&U(Continuo),U(Main)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2),,,,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
458.5,460.5,Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Main)&U(Violin 1)&P8(Soprano 2),U(Traverso 2)&U(Violin 2),P8(Bass)&U(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2),,,P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
460.5,462.5,Main Part,U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Main)&U(Violin 1)&P8(Soprano 2),U(Traverso 2)&U(Violin 2)&U(Soprano 1),P8(Bass)&U(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
462.5,464.5,Main Part,U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Main)&U(Violin 1)&P8(Soprano 2),U(Traverso 2)&U(Violin 2)&U(Soprano 1),U(Bass)&P8(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
464.5,466.5,Main Part,U(Oboe d’amore 2)&U(Violin 2)&P8(Soprano 1),U(Main)&U(Violin 1)&P8(Soprano 2),U(Traverso 2)&U(Violin 2)&P8(Soprano 1),U(Bass)&P8(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2)&P8(Soprano 1),,P8(Traverso 2)&P8(Oboe d’amore 2)&P8(Violin 2),P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
466.5,468.5,Main Part,,U(Main)&U(Violin 1)&P8(Soprano 2),U(Violin 2)&P8(Soprano 1),U(Bass)&P8(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),U(Oboe d’amore 2)&P8(Soprano 1),,P8(Oboe d’amore 2)&P8(Violin 2),P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
468.5,472.5,Main Part,U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Main)&U(Violin 1)&P8(Soprano 2),U(Traverso 2)&U(Violin 2)&U(Soprano 1),P8(Bass)&P8(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,P8(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
472.5,481.0,U(Oboe d’amore 1)&U(Violin 1)&P8(Soprano 2),U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Violin 1)&P8(Soprano 2),U(Traverso 2)&U(Violin 2),U(Main)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2),,,P8(Traverso 1)&P8(Oboe d’amore 1)&P8(Violin 1),,,Main Part,U(Bassoon)&U(Main)
481.0,483.0,Main Part,U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Main)&U(Violin 1)&P8(Soprano 2),U(Traverso 2)&U(Violin 2)&U(Soprano 1),U(Bass)&U(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
483.0,485.0,U(Oboe d’amore 1)&U(Violin 1)&P8(Soprano 2),Main Part,U(Traverso 1)&U(Violin 1)&P8(Soprano 2),U(Main)&U(Violin 2)&U(Soprano 1),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&P8(Soprano 2),U(Main)&U(Oboe d’amore 2)&U(Soprano 1),,U(Main)&U(Oboe d’amore 2)&U(Violin 2),P8(Traverso 1)&P8(Oboe d’amore 1)&P8(Violin 1),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
485.0,487.0,Main Part,P8(Oboe d’amore 2)&P8(Violin 2)&P8(Soprano 1),U(Main)&U(Violin 1)&P8(Soprano 2),P8(Traverso 2)&U(Violin 2)&U(Soprano 1),U(Bass)&U(Continuo),U(Main)&U(Oboe d’amore 1)&P8(Soprano 2),P8(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,P8(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),P8(Main)&P8(Oboe d’amore 1)&P8(Violin 1),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
487.0,489.0,U(Oboe d’amore 1)&U(Violin 1)&P8(Soprano 2),Main Part,U(Traverso 1)&U(Violin 1)&P8(Soprano 2),U(Main)&U(Violin 2)&U(Soprano 1),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&P8(Soprano 2),U(Main)&U(Oboe d’amore 2)&U(Soprano 1),,U(Main)&U(Oboe d’amore 2)&U(Violin 2),P8(Traverso 1)&P8(Oboe d’amore 1)&P8(Violin 1),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
489.0,490.5,Main Part,U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 1),U(Main)&P3(Bassoon)&U(Violin 1)&U(Soprano 2)&P3(Bass)&P3(Continuo),U(Traverso 2)&U(Violin 2)&U(Soprano 1),P3(Main)&P3(Oboe d’amore 1)&P3(Violin 1)&P3(Soprano 2)&U(Bass)&U(Continuo),U(Main)&U(Oboe d’amore 1)&P3(Bassoon)&U(Soprano 2)&P3(Bass)&P3(Continuo),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),U(Main)&U(Oboe d’amore 1)&P3(Bassoon)&U(Violin 1)&P3(Bass)&P3(Continuo),,,P3(Main)&P3(Oboe d’amore 1)&U(Bassoon)&P3(Violin 1)&P3(Soprano 2)&U(Continuo),P3(Main)&P3(Oboe d’amore 1)&U(Bassoon)&P3(Violin 1)&P3(Soprano 2)&U(Bass)
490.5,502.0,U(Oboe d’amore 1)&U(Violin 1),,U(Traverso 1)&U(Violin 1),,U(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1),,,Main Part,,,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
