qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,0.0,1,1.0,D5,B4,D5,B4,B2,D6,F#5,B4,D5,B4,F#4,B3,B2,B2
1.5,2.1429,1,2.5,D5,B4,D5,B4,B2,D6,F#5,B4,D5,B4,F#4,A3,B2,B2
2.0,2.8571,1,3.0,E5,B4,E5,B4,C#3,C#6,E5,G4,E5,B4,E4,G3,C#3,C#3
2.5,3.5714,1,3.5,E5,B-4,E5,B-4,C#3,C#6,E5,G4,E5,B-4,E4,G3,C#3,C#3
3.0,4.2857,1,4.0,r,r,r,r,r,r,r,r,r,C#5,r,r,r,r
3.5,5.0,1,4.5,r,r,r,r,r,r,r,r,r,E5,r,r,r,r
4.0,5.7143,2,1.0,F#5,A4,F#5,A4,E-3,F#5,A4,E-4,F#5,A4,r,F#3,E-3,E-3
4.5,6.4286,2,1.5,F#5,C5,F#5,C5,E-3,F#5,A4,E-4,F#5,C5,A4,A3,E-3,E-3
5.0,7.1429,2,2.0,F#5,C5,F#5,C5,E-3,F#5,A4,E-4,F#5,C5,F#4,E-4,E-3,E-3
5.5,7.8571,2,2.5,F#5,B4,F#5,B4,E-3,B5,F#5,B3,F#5,B4,E-4,F#4,E-3,E-3
6.0,8.5714,2,3.0,F#5,G4,F#5,G4,E3,B5,G5,B4,F#5,G4,B3,G4,E3,E3
6.5,9.2857,2,3.5,E5,G4,E5,G4,E3,B5,G5,B4,B4,G4,B3,G4,E3,E3
7.0,10.0,2,4.0,r,r,r,r,r,r,r,r,E5,r,r,r,r,r
7.5,10.7143,2,4.5,r,r,r,r,r,r,r,r,G5,r,r,r,r,r
8.0,11.4286,3,1.0,G5,C#5,G5,C#5,B-3,C#6,C#5,E4,G5,r,C#5,E4,B-3,B-3
8.5,12.1429,3,1.5,F#5,C#5,F#5,C#5,B-3,C#6,F#5,C#4,F#5,F#4,C#5,C#4,B-3,B-3
9.0,12.8571,3,2.0,F#5,C#5,F#5,C#5,B-3,C#6,F#5,C#4,F#5,B-4,C#5,C#4,B-3,B-3
9.5,13.5714,3,2.5,E5,C#5,E5,C#5,B-3,C#6,F#5,C#5,E5,C#5,F#4,B-3,B-3,B-3
10.0,14.2857,3,3.0,D5,B4,D5,B4,B3,D6,F#5,F#4,D5,D5,F#4,F#3,B3,B3
10.5,15.0,3,3.5,E5,B4,E5,B4,B3,D6,F#5,F#4,E5,C#5,G4,F#3,B3,B3
10.75,15.3571,3,3.75,E5,B4,E5,B4,B3,D6,F#5,F#4,E5,B4,G4,F#3,B3,B3
11.0,15.7143,3,4.0,F#5,r,F#5,r,r,r,r,r,F#5,C#5,A4,r,r,r
11.5,16.4286,3,4.5,F#5,C#5,F#5,C#5,A3,F#5,A4,F#4,F#5,F#5,A4,C#4,A3,A3
12.0,17.1429,4,1.0,F#5,B4,F#5,B4,G3,B5,D5,G4,F#5,B4,D4,D4,G3,G3
12.25,17.5,4,1.25,F#5,B4,F#5,B4,G3,A5,D5,F#4,F#5,B4,D4,D4,G3,G3
12.5,17.8571,4,1.5,E5,B-4,E5,B-4,G3,G5,E5,G4,E5,B4,G4,C#4,G3,G3
12.75,18.2143,4,1.75,D5,B-4,D5,B-4,G3,F#5,F#5,G4,D5,B4,G4,C#4,G3,G3
13.0,18.5714,4,2.0,E5,B4,E5,B4,G3,E5,G5,B3,E5,B4,G4,B3,G3,G3
13.25,18.9286,4,2.25,E5,B4,E5,B4,G3,D5,G5,B3,E5,B4,F#4,B3,G3,G3
13.5,19.2857,4,2.5,E5,C#5,E5,C#5,G3,C#5,E5,G4,E5,C#5,G4,B3,G3,G3
13.75,19.6429,4,2.75,E5,C#5,E5,C#5,G3,B4,E5,G4,E5,C#5,G4,B3,G3,G3
14.0,20.0,4,3.0,F#5,B-4,F#5,B-4,F#3,C#5,B-4,C#4,F#5,B-4,C#4,F#4,F#3,F#3
16.0,22.8571,5,1.0,B4,r,B4,r,B2,B4,D5,F#4,r,r,r,r,r,B2
16.75,23.6607,5,1.75,B4,r,B4,r,B2,B4,D5,F#4,r,r,r,r,r,B2
17.0,23.9286,5,2.0,B4,r,B4,r,D3,B5,D5,F#4,r,r,r,r,r,D3
17.5,24.4643,5,2.5,B4,r,B4,r,D3,B5,D5,F#4,r,r,r,r,r,D3
18.0,25.0,5,3.0,C#5,r,C#5,r,E3,B5,C#5,G4,r,r,r,r,r,E3
18.5,25.5357,5,3.5,G4,r,G4,r,E3,B5,D5,G4,r,r,r,r,r,E3
19.0,26.0714,5,4.0,F#4,r,F#4,r,F#3,B-5,E5,C#4,r,r,r,r,r,F#3
19.5,26.6071,5,4.5,C#5,r,C#5,r,F#3,B-5,E5,F#4,r,r,r,r,r,F#3
20.0,27.1429,6,1.0,D5,r,D5,r,B2,B5,D5,F#4,r,r,r,r,r,B2
20.5,27.6786,6,1.5,G4,r,G4,r,B2,B5,E5,E4,r,r,r,r,r,B2
21.0,28.2143,6,2.0,F#4,r,F#4,r,A3,B5,F#5,E-4,r,r,r,r,r,A3
21.5,28.75,6,2.5,E-5,r,E-5,r,A3,B5,F#5,F#4,r,r,r,r,r,A3
22.0,29.2857,6,3.0,E5,r,E5,r,G3,B5,E5,B3,r,r,r,r,r,G3
22.25,29.5536,6,3.25,D5,r,D5,r,G3,B5,E5,B3,r,r,r,r,r,G3
22.5,29.8214,6,3.5,C5,r,C5,r,E3,B5,G4,E4,r,r,r,r,r,E3
23.0,30.3571,6,4.0,C5,r,C5,r,F#3,E5,G4,E4,r,r,r,r,r,F#3
23.25,30.625,6,4.25,B4,r,B4,r,F#3,E5,G4,D4,r,r,r,r,r,F#3
23.5,30.8929,6,4.5,B-4,r,B-4,r,G3,E5,F#4,C#4,r,r,r,r,r,G3
23.75,31.1607,6,4.75,B4,r,B4,r,G3,E5,E4,B3,r,r,r,r,r,G3
24.0,31.4286,7,1.0,B-4,r,B-4,r,F#3,E5,C#5,F#4,r,r,r,r,r,F#3
24.5,31.9643,7,1.5,G5,r,G5,r,E3,B-4,C#4,F#4,r,r,r,r,r,E3
25.0,32.5,7,2.0,F#5,r,F#5,r,D3,B4,D4,r,r,r,r,r,r,D3
25.5,33.0357,7,2.5,E5,r,E5,r,C#3,C#5,E4,B-4,r,r,r,r,r,C#3
26.0,33.5714,7,3.0,D5,F#4,D5,F#4,B2,D5,F#4,B4,r,r,r,r,r,B2
26.5,34.1071,7,3.5,C#5,F#4,C#5,F#4,B2,D5,G#4,B4,r,r,r,r,r,B2
26.75,34.375,7,3.75,B4,F#4,B4,F#4,B2,D5,G#4,B4,r,r,r,r,r,B2
27.0,34.6429,7,4.0,F#5,F#4,F#5,F#4,A2,C#5,A4,C#5,r,r,r,r,r,A2
27.5,35.1786,7,4.5,F#5,F#4,F#5,F#4,A2,C#5,F#4,C#5,r,r,r,r,r,A2
28.0,35.7143,8,1.0,F#5,G#4,F#5,G#4,B2,B4,D5,G#4,r,r,r,r,r,B2
28.5,36.25,8,1.5,F#5,r,F#5,D4,B2,B4,B4,G#4,r,r,r,r,r,B2
