qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,D5,D5,D5,D5,D5,D4,D3,D3,D4,D3,D5,D4,D3,D4,D4,D4,D3,D2
1.0,0.2,1,2.0,D5,D5,D5,D5,D5,D4,E3,E3,D4,D3,D5,D4,r,D4,D4,E4,E3,E2
2.0,0.4,1,3.0,D5,D5,D5,D5,D5,D4,F#3,F#3,D4,D3,D5,D4,r,D4,D4,F#4,F#3,F#2
3.0,0.6,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,r,r,r,r
4.0,0.8,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
5.0,1.0,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
6.0,1.2,3,1.0,E5,D5,E5,D5,D5,D4,G3,G3,D4,D3,D5,D4,D3,E4,D4,G3,G3,G2
7.0,1.4,3,2.0,E5,D5,E5,D5,D5,D4,A3,A3,D4,D3,D5,D4,r,E4,D4,A3,A3,A2
8.0,1.6,3,3.0,E5,D5,E5,D5,D5,D4,B3,B3,D4,D3,D5,D4,r,E4,D4,B3,B3,B2
9.0,1.8,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
10.0,2.0,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
11.0,2.2,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,r,r
12.0,2.4,5,1.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,r,r
13.0,2.6,5,2.0,r,r,r,r,r,r,r,r,F#4,D4,r,r,r,r,r,r,r,r
14.0,2.8,5,3.0,r,r,r,r,r,r,r,r,G4,E4,r,r,r,r,r,r,r,r
15.0,3.0,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,r,r,r
16.0,3.2,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,r,r,r
17.0,3.4,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,r,r,r
18.0,3.6,7,1.0,r,r,F#5,D5,r,r,r,r,F#4,D4,r,r,r,r,r,r,r,r
19.0,3.8,7,2.0,r,r,E5,A4,r,r,r,r,E4,A3,r,r,r,r,r,r,r,r
20.0,4.0,7,3.0,r,r,D5,F#4,r,r,r,r,D4,F#3,r,r,r,r,r,r,r,r
21.0,4.2,8,1.0,D6,F#5,r,r,D5,F#4,D4,D3,r,r,D5,D4,D3,D6,F#5,D4,D3,D2
22.0,4.4,8,2.0,C#6,G5,r,r,E5,G4,A3,A2,r,r,A4,A3,A2,C#6,G5,A3,A2,A1
23.0,4.6,8,3.0,D6,F#5,r,r,D5,F#4,D4,D3,r,r,D5,D4,D3,D6,F#5,D4,D3,D2
24.0,4.8,9,1.0,D5,D5,D5,D5,D5,D4,D3,D3,D4,D3,D5,D4,D3,D4,D4,D4,D3,D2
25.0,5.0,9,2.0,D5,D5,D5,D5,D5,D4,E3,E3,D4,D3,D5,D4,r,D4,D4,E4,E3,E2
26.0,5.2,9,3.0,D5,D5,D5,D5,D5,D4,F#3,F#3,D4,D3,D5,D4,r,D4,D4,F#4,F#3,F#2
27.0,5.4,10,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,r,r,r,r
28.0,5.6,10,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
29.0,5.8,10,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
30.0,6.0,11,1.0,E5,D5,D5,D5,D5,D4,G#3,G#3,D4,D3,D5,D4,D3,E4,D4,G#3,G#3,G#2
31.0,6.2,11,2.0,E5,D5,D5,D5,D5,D4,A3,A3,D4,D3,D5,D4,r,E4,D4,A3,A3,A2
32.0,6.4,11,3.0,E5,D5,D5,D5,D5,D4,B3,B3,D4,D3,D5,D4,r,E4,D4,B3,B3,B2
33.0,6.6,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,r,r
34.0,6.8,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,r,r,r,r
35.0,7.0,12,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,r,r,r,r
36.0,7.2,13,1.0,r,r,C#5,A4,r,r,r,r,r,r,r,r,r,r,C#4,A3,r,r
37.0,7.4,13,2.0,r,r,D5,B4,r,r,r,r,r,r,r,r,r,r,D4,B3,r,r
38.0,7.6,13,3.0,r,r,E5,C#5,r,r,r,r,r,r,r,r,r,r,E4,C#4,r,r
39.0,7.8,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E5,r,r,r
40.0,8.0,14,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,A5,r,r,r
41.0,8.2,14,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,B5,r,r,r
42.0,8.4,15,1.0,C#6,r,A5,C#5,r,r,A3,A3,E4,E4,r,r,r,r,r,r,r,r
43.0,8.6,15,2.0,B5,r,G#5,B4,r,r,E3,E3,E4,E4,r,r,r,r,r,r,r,r
44.0,8.8,15,3.0,A5,r,A5,C#5,r,r,A3,A3,E4,E4,r,r,r,r,r,r,r,r
45.0,9.0,16,1.0,E6,C#6,r,r,C#5,A4,A3,A2,E4,E4,E5,E5,A2,A5,C#5,A4,A3,A2
46.0,9.2,16,2.0,E6,B5,r,r,B4,G#4,E3,E2,E4,E4,E5,E5,A2,G#5,D5,E4,E3,E2
47.0,9.4,16,3.0,E6,C#6,r,r,C#5,A4,A3,A2,E4,E4,E5,E5,A2,A5,C#5,A4,A3,A2
48.0,9.6,1,1.0,D5,D5,D5,D5,D5,D4,D3,D3,D4,D3,D5,D4,D3,D4,D4,D4,D3,D2
49.0,9.8,1,2.0,D5,D5,D5,D5,D5,D4,E3,E3,D4,D3,D5,D4,r,D4,D4,E4,E3,E2
50.0,10.0,1,3.0,D5,D5,D5,D5,D5,D4,F#3,F#3,D4,D3,D5,D4,r,D4,D4,F#4,F#3,F#2
51.0,10.2,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,r,r,r,r
52.0,10.4,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
53.0,10.6,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
54.0,10.8,3,1.0,E5,D5,E5,D5,D5,D4,G3,G3,D4,D3,D5,D4,D3,E4,D4,G3,G3,G2
55.0,11.0,3,2.0,E5,D5,E5,D5,D5,D4,A3,A3,D4,D3,D5,D4,r,E4,D4,A3,A3,A2
56.0,11.2,3,3.0,E5,D5,E5,D5,D5,D4,B3,B3,D4,D3,D5,D4,r,E4,D4,B3,B3,B2
57.0,11.4,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
58.0,11.6,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
59.0,11.8,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,r,r
60.0,12.0,5,1.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,r,r
61.0,12.2,5,2.0,r,r,r,r,r,r,r,r,F#4,D4,r,r,r,r,r,r,r,r
62.0,12.4,5,3.0,r,r,r,r,r,r,r,r,G4,E4,r,r,r,r,r,r,r,r
63.0,12.6,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,r,r,r
64.0,12.8,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,r,r,r
65.0,13.0,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,r,r,r
66.0,13.2,7,1.0,r,r,F#5,D5,r,r,r,r,F#4,D4,r,r,r,r,r,r,r,r
67.0,13.4,7,2.0,r,r,E5,A4,r,r,r,r,E4,A3,r,r,r,r,r,r,r,r
68.0,13.6,7,3.0,r,r,D5,F#4,r,r,r,r,D4,F#3,r,r,r,r,r,r,r,r
69.0,13.8,8,1.0,D6,F#5,r,r,D5,F#4,D4,D3,r,r,D5,D4,D3,D6,F#5,D4,D3,D2
