qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,49.0,P8(A Clarinet 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(A Clarinet 1),,,,,,,,,,,,,Main Part,,P8(Main),,
49.0,72.0,Main Part,,U(Oboe 2),U(Oboe 1),P8(Main)&P8(Bassoon 1),,P8(Main)&P8(A Clarinet 1),,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
72.0,88.5,,,,,,,U(Bassoon 2)&P6(Timpani),U(Bassoon 1)&P6(Timpani),,,,,,,,,,,P6(Bassoon 1)&P6(Bassoon 2),Main Part,,P3(Main),P8(Contrabass),P8(Violoncello)
88.5,124.0,,,,,,,U(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1),P8(D Trumpet 2),,,P8(D Horn 1),P8(D Horn 2),,,,,,Main Part,P8(Main),,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
124.0,148.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,,P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(D Horn 2)&P8(D Trumpet 1)&P8(Timpani),,,,,P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Main),,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
148.0,173.0,,,,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,P8(D Trumpet 2)&P8(Timpani),,,,P8(D Horn 2)&P8(Timpani),,,,,P8(D Horn 2)&P8(D Trumpet 2),Main Part,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
173.0,238.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,,,,
238.0,260.0,,,P4(D Horn 1)&P8(E Horn 3)&P4(D Trumpet 1)&P4(D Trumpet 2),,Main Part,,,,P4(Oboe 1)&P4(E Horn 3)&U(D Trumpet 1)&P8(D Trumpet 2),,P8(Oboe 1)&P4(D Horn 1)&P4(D Trumpet 1)&P4(D Trumpet 2),,P4(Oboe 1)&U(D Horn 1)&P4(E Horn 3)&P8(D Trumpet 2),P4(Oboe 1)&P8(D Horn 1)&P4(E Horn 3)&P8(D Trumpet 1),,,,,,,,,,
260.0,276.0,,,Main Part,P8(D Horn 2)&P6(Violin 1),P8(A Clarinet 2),P8(A Clarinet 1),,,,P8(Oboe 2)&P6(Violin 1),,,P8(D Trumpet 2)&P8(Violoncello),P8(D Trumpet 1)&P8(Violoncello),,,,,,P6(Oboe 2)&P6(D Horn 2),,,P8(D Trumpet 1)&P8(D Trumpet 2),
276.0,292.0,P6(Flute 2)&P3(E Horn 3)&P3(E Horn 4),P6(Flute 1)&P4(E Horn 3)&P4(E Horn 4),Main Part,U(Main),P8(Bassoon 1),,P8(A Clarinet 1),,,,P3(Flute 1)&P4(Flute 2)&P8(E Horn 4),P3(Flute 1)&P4(Flute 2)&P8(E Horn 3),,,,,,,,,,,,
292.0,308.0,Main Part,P8(A Clarinet 2),,,P8(Main),P8(Flute 2),,,,,,,,,,,,,,,,,,
308.0,340.0,P8(A Clarinet 1),P8(A Clarinet 2),P6(Oboe 2)&P3(D Horn 1)&P6(D Horn 2)&P3(E Horn 3)&P3(E Horn 4),P6(Oboe 1)&P4(D Horn 1)&P8(D Horn 2)&P4(E Horn 3)&P4(E Horn 4),P8(Flute 1),P8(Flute 2),,,P3(Oboe 1)&P4(Oboe 2)&P4(D Horn 2)&P8(E Horn 3)&P8(E Horn 4),P6(Oboe 1)&P8(Oboe 2)&P4(D Horn 1)&P4(E Horn 3)&P4(E Horn 4),P3(Oboe 1)&P4(Oboe 2)&P8(D Horn 1)&P4(D Horn 2)&U(E Horn 4),P3(Oboe 1)&P4(Oboe 2)&P8(D Horn 1)&P4(D Horn 2)&U(E Horn 3),,,,,,,,Main Part,,,,
340.0,373.0,Main Part,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,P3(E Horn 4),P3(E Horn 3),,,,,,,,,,,,
373.0,403.5,Main Part,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(D Horn 2),P8(D Horn 1),,,,,,,,,,,,,,
403.5,411.5,Main Part,U(Main)&U(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2),U(Main)&U(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&U(A Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,P8(E Horn 4),P8(E Horn 3),,,,,,,,P8(Violin 2),P8(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
411.5,435.0,P8(A Clarinet 1),,,,P8(Flute 1),,,,P8(D Horn 2),P8(D Horn 1),,,,,,,,,,Main Part,,,,
435.0,452.0,Main Part,,,,,,,,,,P8(E Horn 4),P8(E Horn 3),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),,,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
452.0,486.0,Main Part,,,,,,U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,P8(D Trumpet 2),P8(E Horn 4),P8(E Horn 3),,P8(D Horn 2),,,,,,,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
486.0,516.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,
516.0,536.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),Main Part,,,,,,,,,,,,,,,P8(Viola),,P8(Violin 1),,
536.0,549.0,U(Flute 2),U(Flute 1),,P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2),P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1),,,,,,,,,,,,Main Part,,,P8(Main),
549.0,565.0,,,,,,,P8(Bassoon 2)&U(Violoncello),P8(Bassoon 1)&P8(Violoncello),P8(D Horn 2),P8(D Horn 1),,,,,,,,,,Main Part,,,U(Bassoon 1)&P8(Bassoon 2),
565.0,599.0,,P8(Oboe 2),,P8(Flute 2),,,U(Bassoon 2),U(Bassoon 1),P8(D Horn 2),P8(D Horn 1),U(E Horn 4),U(E Horn 3),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),,,,,P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,
599.0,611.0,,,Main Part,,,,,,,,,,,,,,,,,,,,,
